RMS,0.09999921,Time,2018/1/8 13:11,,
count,purpose,ResidualError,TimeDistribution,Working,spot
1040,450.5032122,0.459213418,4309.047569,450.0439988,8.15E-06
1041,450.7765351,0.409885833,4332.791467,450.3666493,8.18E-06
1042,451.0494115,0.363814745,4354.433267,450.6855968,8.21E-06
1043,451.3216763,0.320662721,4374.137858,451.0010136,8.24E-06
1044,451.593494,0.280429284,4392.036667,451.3130647,8.27E-06
1045,451.8647016,0.242792618,4408.27592,451.621909,8.30E-06
1046,452.1354621,0.20776268,4422.969568,451.9276994,8.33E-06
1047,452.4056115,0.175027955,4436.247694,452.2305835,8.41E-06
1048,452.6753161,0.144612696,4448.209532,452.5307034,8.53E-06
1049,452.9444099,0.116214071,4459.767527,452.8281958,8.65E-06
1050,453.2130584,0.089877804,4471.752543,453.1231806,8.77E-06
1051,453.4810965,0.065335239,4484.170994,453.4157613,8.89E-06
1052,453.7486898,0.04265311,4497.006313,453.7060367,9.01E-06
1053,454.0156729,0.021572452,4510.267198,453.9941004,9.12E-06
1054,454.2822117,0.00217107,4523.939109,454.2800406,9.24E-06
1055,454.5481405,-0.015799629,4538.032108,454.5639401,9.43E-06
1056,454.8136251,-0.032251605,4552.532088,454.8458767,9.61E-06
1057,455.0785003,-0.047422928,4566.891852,455.1259232,9.80E-06
1058,455.3429321,-0.061198997,4581.133128,455.4041311,9.98E-06
1059,455.6067542,-0.073797469,4595.299507,455.6805517,1.02E-05
1060,455.8701337,-0.085102957,4609.407903,455.9552367,1.04E-05
1061,456.1329043,-0.095333569,4623.497319,456.2282379,1.05E-05
1062,456.3952314,-0.104375525,4637.580765,456.4996069,1.07E-05
1063,456.6569504,-0.112444797,4651.693914,456.7693952,1.09E-05
1064,456.9182264,-0.11942701,4665.645263,457.0376534,1.11E-05
1065,457.1788946,-0.125535635,4679.279351,457.3044302,1.13E-05
1066,457.4391206,-0.1306517,4692.628892,457.5697723,1.15E-05
1067,457.6987388,-0.134986794,4705.747997,457.8337256,1.17E-05
1068,457.957914,-0.13842128,4718.663976,458.0963353,1.18E-05
1069,458.2164825,-0.141163193,4731.425614,458.3576457,1.20E-05
1070,458.4746098,-0.143090361,4744.054539,458.6177002,1.22E-05
1071,458.7321295,-0.144413569,4756.593776,458.8765431,1.23E-05
1072,458.9892079,-0.145015798,4768.867982,459.1342237,1.25E-05
1073,459.2456793,-0.145110081,4780.927185,459.3907894,1.26E-05
1074,459.5017108,-0.144573937,4792.793596,459.6462847,1.28E-05
1075,459.757135,-0.143616614,4804.510726,459.9007516,1.30E-05
1076,460.0121193,-0.142109753,4816.09521,460.1542291,1.31E-05
1077,460.2664968,-0.140256655,4827.585424,460.4067535,1.33E-05
1078,460.5204348,-0.137923738,4838.688322,460.6583585,1.34E-05
1079,460.7737662,-0.135308297,4849.35661,460.9090745,1.36E-05
1080,461.0266581,-0.132271224,4859.623982,461.1589293,1.38E-05
1081,461.2789436,-0.129007235,4869.545762,461.4079508,1.39E-05
1082,461.5307913,-0.125376503,4879.149748,461.6561678,1.41E-05
1083,461.7820325,-0.121577364,4888.485611,461.9036099,1.43E-05
1084,462.0328361,-0.117471155,4897.575711,462.1503073,1.45E-05
