RMS,0.132356623,Time,2018/1/8 4:32,,
count,purpose,ResidualError,TimeDistribution,Working,spot
0,450.5032122,0,1,5.89E-06,5.89E-06
1,450.5032122,0,1,1.19E-05,5.96E-06
2,450.5032122,0,1,0.000147496,6.04E-06
3,450.5032122,0,1,0.000411285,6.12E-06
4,450.5032122,0,1,0.000801712,6.19E-06
5,450.5032122,0,1,0.001317245,6.26E-06
6,450.5032122,0,1,0.001956383,6.33E-06
7,450.5032122,0,1,0.002717166,6.39E-06
8,450.5032122,0,1,0.003597671,6.46E-06
9,450.5032122,0,1,0.004595969,6.52E-06
10,450.5032122,0,1,0.005710168,6.59E-06
11,450.5032122,0,1,0.00693837,6.66E-06
12,450.5032122,0,1,0.008278716,6.72E-06
13,450.5032122,0,1,0.009729339,6.79E-06
14,450.5032122,0,1,0.011288411,6.85E-06
15,450.5032122,0,1,0.012954097,6.92E-06
16,450.5032122,0,1,0.014724602,6.99E-06
17,450.5032122,0,1,0.016598155,7.09E-06
18,450.5032122,0,1,0.018572992,7.19E-06
19,450.5032122,0,1,0.020648848,7.29E-06
20,450.5032122,0,1,0.022825464,7.39E-06
21,450.5032122,0,1,0.025102532,7.49E-06
22,450.5032122,0,1,0.027479749,7.59E-06
23,450.5032122,0,1,0.029956767,7.69E-06
24,450.5032122,0,1,0.032533241,7.79E-06
25,450.5032122,0,1,0.03520878,7.89E-06
26,450.5032122,0,1,0.037982998,7.99E-06
27,450.5032122,0,1,0.040855466,8.09E-06
28,450.5032122,0,1,0.04382576,8.19E-06
29,450.5032122,0,1,0.046893337,8.21E-06
30,450.5032122,0,1,0.05005774,8.24E-06
31,450.5032122,0,1,0.053315041,8.26E-06
32,450.5032122,0,1,0.056661405,8.28E-06
33,450.5032122,0,1,0.060093043,8.30E-06
34,450.5032122,0,1,0.063606257,8.33E-06
35,450.5032122,0,1,0.067197394,8.35E-06
36,450.5032122,0,1,0.070862897,8.37E-06
37,450.5032122,0,1,0.074599265,8.39E-06
38,450.5032122,0,1,0.078403089,8.42E-06
39,450.5032122,0,1,0.08227101,8.44E-06
40,450.5032122,0,1,0.086199764,8.46E-06
41,450.5032122,0,1,0.090186191,8.55E-06
42,450.5032122,0,1,0.094227162,8.63E-06
43,450.5032122,0,1,0.098322313,8.71E-06
44,450.5032122,0,1,0.1024713,8.80E-06
45,450.5032122,0,1,0.106673755,8.88E-06
46,450.5032122,0,1,0.110929329,8.97E-06
47,450.5032122,0,1,0.11523765,9.05E-06
48,450.5032122,0,1,0.119598342,9.14E-06
49,450.5032122,0,1,0.124010982,9.22E-06
50,450.5032122,0,1,0.128475144,9.30E-06
51,450.5032122,0,1,0.132990361,9.39E-06
52,450.5032122,0,1,0.137556161,9.47E-06
53,450.5032122,0,1,0.142172057,9.58E-06
54,450.5032122,0,1,0.146837539,9.69E-06
55,450.5032122,0,1,0.151553081,9.79E-06
56,450.5032122,0,1,0.156319134,9.90E-06
57,450.5032122,0,1,0.161136088,1.00E-05
58,450.5032122,0,1,0.166004313,1.01E-05
59,450.5032122,0,1,0.170924121,1.02E-05
60,450.5032122,0,1,0.17589584,1.03E-05
61,450.5032122,0,1,0.18091978,1.04E-05
62,450.5032122,0,1,0.185996269,1.05E-05
63,450.5032122,0,1,0.191125614,1.07E-05
64,450.5032122,0,1,0.196308141,1.08E-05
65,450.5032122,0,1,0.201544152,1.09E-05
66,450.5032122,0,1,0.20683397,1.10E-05
67,450.5032122,0,1,0.21217771,1.11E-05
68,450.5032122,0,1,0.21757551,1.12E-05
69,450.5032122,0,1,0.223027494,1.13E-05
70,450.5032122,0,1,0.228533811,1.14E-05
71,450.5032122,0,1,0.234094588,1.15E-05
72,450.5032122,0,1,0.239709951,1.16E-05
73,450.5032122,0,1,0.24537998,1.17E-05
74,450.5032122,0,1,0.251104754,1.18E-05
75,450.5032122,0,1,0.256884295,1.19E-05
76,450.5032122,0,1,0.262718636,1.20E-05
77,450.5032122,0,1,0.268607451,1.21E-05
78,450.5032122,0,1,0.274550424,1.22E-05
79,450.5032122,0,1,0.280547206,1.23E-05
80,450.5032122,0,1,0.28659746,1.24E-05
81,450.5032122,0,1,0.292700811,1.25E-05
82,450.5032122,0,1,0.298856904,1.26E-05
83,450.5032122,0,1,0.305065353,1.27E-05
84,450.5032122,0,1,0.311325788,1.28E-05
85,450.5032122,0,1,0.317637809,1.29E-05
86,450.5032122,0,1,0.324001033,1.29E-05
87,450.5032122,0,1,0.330415053,1.30E-05
88,450.5032122,0,1,0.336879477,1.32E-05
89,450.5032122,0,1,0.34339409,1.33E-05
90,450.5032122,0,1,0.349958696,1.34E-05
91,450.5032122,0,1,0.356573063,1.35E-05
92,450.5032122,0,1,0.36323698,1.36E-05
93,450.5032122,0,1,0.369950206,1.37E-05
94,450.5032122,0,1,0.376712513,1.38E-05
95,450.5032122,0,1,0.383523642,1.39E-05
96,450.5032122,0,1,0.390383362,1.40E-05
97,450.5032122,0,1,0.397291428,1.41E-05
98,450.5032122,0,1,0.404247622,1.42E-05
99,450.5032122,0,1,0.411251706,1.42E-05
100,450.5032122,0,1,0.418303475,1.43E-05
101,450.5032122,0,1,0.425402287,1.44E-05
102,450.5032122,0,1,0.432547544,1.45E-05
103,450.5032122,0,1,0.43973864,1.46E-05
104,450.5032122,0,1,0.446975011,1.47E-05
105,450.5032122,0,1,0.454256084,1.48E-05
106,450.5032122,0,1,0.461581334,1.49E-05
107,450.5032122,0,1,0.468950227,1.50E-05
108,450.5032122,0,1,0.47636228,1.51E-05
109,450.5032122,0,1,0.483817002,1.52E-05
110,450.5032122,0,1,0.491313944,1.53E-05
111,450.5032122,0,1,0.498852644,1.53E-05
