RMS,1.34999939,Time,2018/1/22 14:10,,,,,,,,
count,purpose,ResidualError,TimeDistribution,Working,spot,,,,,,
0,450.5032122,0,1,-2.36E-07,-2.36E-07,,,,,,
1,450.5032122,0,1,-4.36E-07,-2.00E-07,,,,,,
2,450.5032122,0,1,-6.24E-07,-1.64E-07,,,,,,
3,450.5032122,0,1,-7.46E-07,-8.37E-08,,,,,,
4,450.5032122,0,1,-7.95E-07,-3.04E-09,,,,,,
5,450.5032122,0,1,-7.55E-07,7.76E-08,,,,,,
6,450.5032122,0,1,-6.14E-07,1.58E-07,,,,,,
7,450.5032122,0,1,-3.61E-07,2.39E-07,,,,,,
8,450.5032122,0,1,8.54E-09,3.19E-07,,,,,,
9,450.5032122,0,1,4.98E-07,4.00E-07,,,,,,
10,450.5032122,0,1,9.67E-07,4.81E-07,,,,,,
11,450.5032122,0,1,1.26E-06,5.61E-07,,,,,,
12,450.5032122,0,1,1.38E-06,6.42E-07,,,,,,
13,450.5032122,0,1,1.33E-06,7.23E-07,,,,,,
14,450.5032122,0,1,1.17E-06,8.03E-07,,,,,,
15,450.5032122,0,1,9.28E-07,8.30E-07,,,,,,
16,450.5032122,0,1,7.00E-07,8.57E-07,,,,,,
17,450.5032122,0,1,6.29E-07,8.84E-07,,,,,,
18,450.5032122,0,1,8.71E-07,9.10E-07,,,,,,
19,450.5032122,0,1,1.60E-06,9.37E-07,,,,,,
20,450.5032122,0,1,2.98E-06,9.64E-07,,,,,,
21,450.5032122,0,1,5.19E-06,9.91E-07,,,,,,
22,450.5032122,0,1,8.43E-06,1.02E-06,,,,,,
23,450.5032122,0,1,1.29E-05,1.04E-06,,,,,,
24,450.5032122,0,1,1.87E-05,1.07E-06,,,,,,
25,450.5032122,0,1,2.62E-05,1.10E-06,,,,,,
26,450.5032122,0,1,3.53E-05,1.12E-06,,,,,,
27,450.5032122,0,1,4.65E-05,1.35E-06,,,,,,
28,450.5032122,0,1,5.98E-05,1.58E-06,,,,,,
29,450.5032122,0,1,7.53E-05,1.81E-06,,,,,,
30,450.5032122,0,1,9.29E-05,2.04E-06,,,,,,
31,450.5032122,0,1,0.000112642,2.27E-06,,,,,,
32,450.5032122,0,1,0.000134598,2.50E-06,,,,,,
33,450.5032122,0,1,0.000158848,2.73E-06,,,,,,
34,450.5032122,0,1,0.000185525,2.95E-06,,,,,,
35,450.5032122,0,1,0.000214804,3.18E-06,,,,,,
36,450.5032122,0,1,0.000246899,3.41E-06,,,,,,
37,450.5032122,0,1,0.000282187,3.64E-06,,,,,,
38,450.5032122,0,1,0.000321226,3.87E-06,,,,,,
39,450.5032122,0,1,0.000364661,4.09E-06,,,,,,
40,450.5032122,0,1,0.000413227,4.32E-06,,,,,,
41,450.5032122,0,1,0.000467744,4.54E-06,,,,,,
42,450.5032122,0,1,0.000529117,4.77E-06,,,,,,
43,450.5032122,0,1,0.000598333,4.99E-06,,,,,,
44,450.5032122,0,1,0.000676395,5.22E-06,,,,,,
45,450.5032122,0,1,0.000764322,5.44E-06,,,,,,
46,450.5032122,0,1,0.00086315,5.67E-06,,,,,,
47,450.5032122,0,1,0.00097393,5.89E-06,,,,,,
48,450.5032122,0,1,0.001097726,6.12E-06,,,,,,
49,450.5032122,0,1,0.001235617,6.34E-06,,,,,,
50,450.5032122,0,1,0.001388691,6.57E-06,,,,,,
51,450.5032122,0,1,0.001557886,6.63E-06,,,,,,
52,450.5032122,0,1,0.001744317,6.69E-06,,,,,,
53,450.5032122,0,1,0.001949201,6.76E-06,,,,,,
54,450.5032122,0,1,0.002173754,6.82E-06,,,,,,
55,450.5032122,0,1,0.002419186,6.88E-06,,,,,,
56,450.5032122,0,1,0.002686805,6.95E-06,,,,,,
57,450.5032122,0,1,0.002978013,7.01E-06,,,,,,
58,450.5032122,0,1,0.003294303,7.07E-06,,,,,,
59,450.5032122,0,1,0.003637261,7.14E-06,,,,,,
60,450.5032122,0,1,0.00400856,7.20E-06,,,,,,
61,450.5032122,0,1,0.004409863,7.26E-06,,,,,,
62,450.5032122,0,1,0.004842802,7.32E-06,,,,,,
63,450.5032122,0,1,0.005309443,7.78E-06,,,,,,
64,450.5032122,0,1,0.005811504,8.23E-06,,,,,,
65,450.5032122,0,1,0.006350517,8.69E-06,,,,,,
66,450.5032122,0,1,0.006928089,9.14E-06,,,,,,
67,450.5032122,0,1,0.007545904,9.60E-06,,,,,,
68,450.5032122,0,1,0.008205808,1.01E-05,,,,,,
69,450.5032122,0,1,0.008909811,1.05E-05,,,,,,
70,450.5032122,0,1,0.00966008,1.10E-05,,,,,,
71,450.5032122,0,1,0.010458942,1.14E-05,,,,,,
72,450.5032122,0,1,0.011308879,1.19E-05,,,,,,
73,450.5032122,0,1,0.012212603,1.22E-05,,,,,,
74,450.5032122,0,1,0.013173412,1.25E-05,,,,,,
75,450.5032122,0,1,0.01419494,1.28E-05,,,,,,
76,450.5032122,0,1,0.015281042,1.31E-05,,,,,,
77,450.5032122,0,1,0.016435791,1.34E-05,,,,,,
78,450.5032122,0,1,0.017663459,1.37E-05,,,,,,
79,450.5032122,0,1,0.018968511,1.40E-05,,,,,,
80,450.5032122,0,1,0.020355286,1.43E-05,,,,,,
81,450.5032122,0,1,0.021828002,1.46E-05,,,,,,
82,450.5032122,0,1,0.023390753,1.48E-05,,,,,,
83,450.5032122,0,1,0.025047415,1.51E-05,,,,,,
84,450.5032122,0,1,0.026801632,1.54E-05,,,,,,
85,450.5032122,0,1,0.028656914,1.58E-05,,,,,,
86,450.5032122,0,1,0.030616588,1.61E-05,,,,,,
87,450.5032122,0,1,0.032683804,1.64E-05,,,,,,
88,450.5032122,0,1,0.034861562,1.67E-05,,,,,,
89,450.5032122,0,1,0.037152707,1.71E-05,,,,,,
90,450.5032122,0,1,0.039559987,1.74E-05,,,,,,
91,450.5032122,0,1,0.04208605,1.77E-05,,,,,,
92,450.5032122,0,1,0.044733908,1.80E-05,,,,,,
93,450.5032122,0,1,0.047506931,1.84E-05,,,,,,
94,450.5032122,0,1,0.050408841,1.87E-05,,,,,,
95,450.5032122,0,1,0.053443718,1.90E-05,,,,,,
96,450.5032122,0,1,0.056616005,1.93E-05,,,,,,
97,450.5032122,0,1,0.059930488,1.97E-05,,,,,,
98,450.5032122,0,1,0.063392279,2.00E-05,,,,,,
99,450.5032122,0,1,0.067006815,2.03E-05,,,,,,
100,450.5032122,0,1,0.070779853,2.07E-05,,,,,,
101,450.5032122,0,1,0.074717464,2.10E-05,,,,,,
102,450.5032122,0,1,0.078825838,2.13E-05,,,,,,
103,450.5032122,0,1,0.083111277,2.17E-05,,,,,,
104,450.5032122,0,1,0.087580261,2.20E-05,,,,,,
105,450.5032122,0,1,0.092239446,2.23E-05,,,,,,
106,450.5032122,0,1,0.097095654,2.27E-05,,,,,,
107,450.5032122,0,1,0.102155875,2.30E-05,,,,,,
108,450.5032122,0,1,0.107427264,2.33E-05,,,,,,
109,450.5032122,0,1,0.112917166,2.37E-05,,,,,,
110,450.5032122,0,1,0.118633046,2.41E-05,,,,,,
111,450.5032122,0,1,0.124582493,2.44E-05,,,,,,
112,450.5032122,0,1,0.130773247,2.48E-05,,,,,,
113,450.5032122,0,1,0.137213186,2.52E-05,,,,,,
114,450.5032122,0,1,0.143910363,2.55E-05,,,,,,
115,450.5032122,0,1,0.150873002,2.59E-05,,,,,,
116,450.5032122,0,1,0.158109122,2.62E-05,,,,,,
117,450.5032122,0,1,0.165626541,2.66E-05,,,,,,
118,450.5032122,0,1,0.173432873,2.70E-05,,,,,,
119,450.5032122,0,1,0.181535553,2.73E-05,,,,,,
120,450.5032122,0,1,0.189941836,2.77E-05,,,,,,
121,450.5032122,0,1,0.198658937,2.82E-05,,,,,,
122,450.5032122,0,1,0.207693726,2.87E-05,,,,,,
123,450.5032122,0,1,0.217052798,2.93E-05,,,,,,
124,450.5032122,0,1,0.226742567,2.98E-05,,,,,,
125,450.5032122,0,1,0.236769272,3.03E-05,,,,,,
126,450.5032122,0,1,0.247139129,3.08E-05,,,,,,
127,450.5032122,0,1,0.257858338,3.13E-05,,,,,,
128,450.5032122,0,1,0.268933516,3.18E-05,,,,,,
129,450.5032122,0,1,0.280371695,3.23E-05,,,,,,
130,450.5032122,0,1,0.292180311,3.29E-05,,,,,,
131,450.5032122,0,1,0.304367286,3.34E-05,,,,,,
132,450.5032122,0,1,0.316941036,3.39E-05,,,,,,
