RMS,643.704142178745,Time,2017/06/26 11:12:17
count,purpose,ResidualError,TimeDistribution,Working,spot
34,3128.09638771102,2122.55779707511,341090.181353626,1005.53859063591,1.02697E-05
35,3126.27915753877,2028.88369548277,378471.144150437,1097.395462056,1.52535E-05
36,3124.46258921717,1935.44733810513,414435.860238144,1189.01525111204,2.09286E-05
37,3122.64668656092,1843.29964979076,449134.399277245,1279.34703677016,2.81575E-05
38,3120.83144194062,1753.4708856641,482297.975499743,1367.36055627652,3.8108E-05
39,3119.01686298567,1666.9270233836,513580.610054866,1452.08983960207,5.02194E-05
40,3117.20294778872,1584.54101594846,542492.591227032,1532.66193184026,6.7787E-05
41,3115.38969634978,1507.07013953603,568617.939935255,1608.31955681375,8.63529E-05
42,3113.57710676149,1435.13348194493,591190.161695688,1678.44362481656,0.000105969
43,3111.7651809312,1369.22132621808,609679.440229731,1742.54385471312,0.000124689
44,3109.95392076626,1309.66738770353,623794.638815217,1800.28653306273,0.000140013
45,3108.14332245197,1256.65647691539,633383.770277017,1851.48684553658,0.000152306
46,3106.33338980304,1210.22767457054,638957.893930368,1896.1057152325,0.000162461
47,3104.52412091211,1170.27806692404,641088.530333267,1934.24605398807,0.000170423
48,3102.71551577918,1136.58538440556,641092.165895798,1966.13013137362,0.00017599
49,3100.9075763116,1108.82807567511,639403.804113581,1992.0795006365,0.000179284
50,3099.10029678732,1086.60361451044,636648.903460588,2012.49668227688,0.000181111
51,3097.29368483574,1069.4371124797,633441.630380247,2027.85657235604,0.000177943
52,3095.48774045687,1056.79709332866,627786.236419636,2038.69064712821,0.000175117
53,3093.68245792865,1048.11523376791,622816.571763675,2045.56722416074,0.000170917
54,3091.87784106578,1042.78667438657,618493.323385371,2049.09116667921,0.000164995
55,3090.07388986827,1040.21735606327,614771.510911874,2049.856533805,0.000156728
56,3088.27060242875,1039.83379132185,611601.962136301,2048.4368111069,0.000146375
57,3086.46798065459,1041.09999886507,608932.776232892,2045.36798178952,0.000132468
58,3084.66602454578,1043.52997062341,606710.715393701,2041.13605392237,0.000115917
59,3082.86473600967,1046.70133689834,604882.488262431,2036.16339911133,9.76636E-05
60,3081.06411123157,1050.25248582867,603395.900913285,2030.8116254029,7.82661E-05
61,3079.26415402617,1053.88871784403,602200.832679191,2025.37543618214,6.04438E-05
62,3077.46485867142,1057.38074709742,601250.064708584,2020.084111574,4.45096E-05
63,3075.66623279672,1060.55987283667,600499.927214197,2015.10635996005,3.35888E-05
64,3073.86827258737,1063.31984031523,599910.773650592,2010.54843227214,2.42149E-05
65,3072.07097804338,1065.60412612167,599447.288614383,2006.46685192171,1.72384E-05
66,3070.27435107209,1067.40868108671,599078.625220181,2002.86566998538,1.27002E-05
67,3068.47839167351,1068.75197496648,598778.393971715,1999.72641670703,0
68,3066.68309603292,1069.6721608535,598524.520151247,1997.01093517942,0
69,3064.88846987239,1070.22086414639,598299.005462983,1994.667605726,0
70,3063.09450937721,1070.43102981788,598087.606257916,1992.66347955933,0
71,3061.30121836208,1070.36770960488,597879.449638907,1990.9335087572,0
72,3059.50859110496,1070.08791740112,597666.624963375,1989.42067370384,0
73,3057.71663142054,1069.640900745,597443.735328859,1988.07573067554,0
74,3055.92534121617,1069.0685221969,597207.458291765,1986.85681901927,0
75,3054.13471858451,1068.40576039728,596956.124878604,1985.72895818723,0
76,3052.34476352555,1067.68129900447,596689.331856594,1984.66346452109,0
77,3050.55547603929,1066.91816002169,596407.592965392,1983.6373160176,0
78,3048.76685803308,1066.13436718121,596112.047107327,1982.63249085187,0
79,3046.97890378488,1065.34360098145,595804.213673725,1981.63530280343,0
80,3045.19162092408,1064.55586821365,595485.799733267,1980.63575271043,0
81,3043.40500563598,1063.77809363463,595158.553762658,1979.62691200135,0
82,3041.61905982794,1063.01470920909,594824.155290396,1978.60435061885,0
83,3039.83378349995,1062.26816533396,594484.145096542,1977.56561816599,0
84,3038.04917474466,1061.53939071143,594139.875564896,1976.50978403323,0
85,3036.26523356208,1060.82819444106,593792.5005419,1975.43703912102,0
86,3034.48196185955,1060.13360262181,593442.975607817,1974.34835923774,0
87,3032.69935963707,1059.45413185669,593092.06833484,1973.24522778038,0
88,3030.917428802,1058.78801498823,592740.388993478,1972.12941381377,0
89,3029.13616553963,1058.13336512427,592388.395070291,1971.00280041536,0
90,3027.35557175732,1057.48831461013,592036.418538871,1969.86725714719,0
91,3025.57564745505,1056.8510968422,591684.690053348,1968.72455061285,0
92,3023.79639263284,1056.22010605387,591333.360114873,1967.57628657897,0
93,3022.01780729069,1055.5939298051,590982.517259789,1966.42387748559,0
94,3020.23989524329,1054.97136563568,590632.203434833,1965.26852960761,0
95,3018.46265076859,1054.35140596527,590282.426747214,1964.11124480332,0
96,3016.6860776813,1053.73324537715,589933.17184157,1962.95283230415,0
97,3014.91017407406,1053.11624712437,589584.408167508,1961.79392694969,0
98,3013.13493803952,1052.49992714166,589236.096374983,1960.63501089786,0
99,3011.36037720709,1051.88394061831,588888.193157502,1959.47643658878,0
100,3009.58648394736,1051.26803454302,588540.65475043,1958.31844940434,0
101,3007.81326588973,1050.65205705642,588193.439350817,1957.16120883331,0
102,3006.04071540481,1050.03590781745,587846.508670051,1956.00480758736,0
103,3004.26883439995,1049.41954631287,587499.828807927,1954.84928808708,0
104,3002.49762859718,1048.80297226075,587153.370618741,1953.69465633643,0
105,3000.72709227447,1048.18619898391,586807.109710747,1952.54089329056,0
106,2998.95722924652,1047.56926547058,586461.026194723,1951.38796377594,0
107,2997.18803760597,1046.9522140636,586115.104281467,1950.23582354237,0
108,2995.41951735282,1046.3350928652,585769.331780528,1949.08442448762,0
109,2993.65166657973,1045.7179481916,585423.699571958,1947.93371838813,0
110,2991.88449100875,1045.1008315774,585078.201088117,1946.78365943135,0
111,2990.11798491781,1044.48377910963,584732.831827256,1945.63420580818,0
112,2988.35215402898,1043.86683344246,584387.588903188,1944.48532058652,0
113,2986.58699452756,1043.25002247536,584042.470683464,1943.3369720522,0
114,2984.82250641354,1042.63337274325,583697.476448882,1942.18913367029,0
115,2983.05869159427,1042.01690780395,583352.606135692,1941.04178379032,0
116,2981.29555006976,1041.40064487697,583007.860121991,1939.89490519279,0
117,2979.53308184001,1040.78459728885,582663.239051597,1938.74848455116,0
118,2977.77128499765,1040.16877313318,582318.743724622,1937.60251186447,0
119,2976.01016335741,1039.55318345762,581974.374990965,1936.45697989979,0
120,2974.24971501192,1038.93783134163,581630.133699075,1935.31188367029,0
121,2972.48993805383,1038.32271808862,581286.020648768,1934.16721996521,0
122,2970.73083439049,1037.70784745109,580942.036557203,1933.0229869394,0
123,2968.97240592927,1037.09322216414,580598.182061707,1931.87918376513,0
124,2967.21465267014,1036.47884232601,580254.457706814,1930.73581034413,0
125,2965.45757270577,1035.8647056302,579910.863946955,1929.59286707557,0
126,2963.70116603616,1035.25081136203,579567.40115908,1928.45035467413,0
127,2961.94543456865,1034.63716053726,579224.069644176,1927.30827403139,0
128,2960.19037448855,1034.02374837478,578880.86963728,1926.16662611377,0
129,2958.43598961055,1033.41057772032,578537.801325046,1925.02541189023,0
130,2956.68228184201,1032.79764955781,578194.864842982,1923.8846322842,0
131,2954.92924736822,1032.18495922455,577852.060299283,1922.74428814367,0
132,2953.17688809653,1031.57250787106,577509.38776978,1921.60438022547,0
133,2951.42520402696,1030.96029483715,577166.847312039,1920.46490918981,0
134,2949.67419325213,1030.3483176505,576824.438964954,1919.32587560163,0
135,2947.92386149412,1029.73658155724,576482.16275784,1918.18727993688,0
136,2946.1742011235,1029.12507853213,576140.018712827,1917.04912259137,0
137,2944.4252197697,1028.51381587876,575798.006844568,1915.91140389094,0
138,2942.67691171065,1027.90278760856,575456.127169454,1914.77412410209,0
139,2940.9292788537,1027.29199541158,575114.379703204,1913.63728344212,0
140,2939.18232310621,1026.68144101753,574772.764460136,1912.50088208868,0
141,2937.43604256082,1026.07112237277,574431.281451176,1911.36492018805,0
142,2935.69044103224,1025.46104316985,574089.930692109,1910.22939786239,0
143,2933.94551279842,1024.85119758247,573748.712196933,1909.09431521595,0
144,2932.20126167405,1024.24158933417,573407.625983732,1907.95967233988,0
145,2930.45768765914,1023.63221834267,573066.672071149,1906.82546931647,0
146,2928.71478693898,1023.0230807168,572725.850480045,1905.69170622218,0
147,2926.97256714298,1022.41418401297,572385.161230739,1904.55838313001,0
148,2925.23102254908,1021.80552243771,572044.604342894,1903.42550011137,0
149,2923.49015697199,1021.1970997348,571704.179841698,1902.29305723719,0
150,2921.74996659701,1020.58891201814,571363.887748986,1901.16105457887,0
151,2920.01045523883,1019.98096303011,571023.728087888,1900.02949220872,0
152,2918.27161717541,1019.37324697503,570683.700886446,1898.89837020038,0
153,2916.53346003614,1018.76577140726,570343.806162394,1897.76768862888,0
154,2914.79598000633,1018.1585324356,570004.043946767,1896.63744757073,0
155,2913.05917899333,1017.5515318895,569664.414260923,1895.50764710383,0
156,2911.32305508978,1016.94476778248,569324.917133018,1894.3782873073,0
157,2909.58760638834,1016.33823812698,568985.552588981,1893.24936826136,0
158,2907.8528405184,1015.73195047129,568646.320652589,1892.12089004711,0
159,2906.11874985057,1015.12589710403,568307.221350832,1890.99285274654,0
160,2904.38533819955,1014.52008175732,567968.25470495,1889.86525644223,0
161,2902.65260747268,1013.91450625533,567629.420745326,1888.73810121735,0
162,2900.92055194792,1013.30916479246,567290.719496012,1887.61138715546,0
163,2899.18917543997,1012.70406109954,566952.150982311,1886.48511434043,0
164,2897.45847985617,1012.09919699975,566613.715233217,1885.35928285642,0
165,2895.72846328918,1011.49457050148,566275.412270542,1884.2338927877,0
166,2893.99912573899,1010.89018152031,565937.242119237,1883.10894421868,0
