RMS,8.44546310986795,Time,2017/06/27 3:19:46
count,purpose,ResidualError,TimeDistribution,Working,spot
34,3128.09638771102,261.47728809725,1148974.39878335,2866.61909961377,1.02697E-05
35,3126.27915753877,150.028015827641,1161156.11336184,2976.25114171113,1.52535E-05
36,3124.46258921717,57.7106878224149,1153500.89178378,3066.75190139475,2.09286E-05
37,3122.64668656092,-14.748610742678,1136448.11554383,3137.3952973036,2.81575E-05
38,3120.83144194062,-67.3597486192539,1114211.24168862,3188.19119055987,3.8108E-05
39,3119.01686298567,-101.001509277837,1089281.32442492,3220.01837226351,5.02194E-05
40,3117.20294778872,-117.347751896036,1061870.359296,3234.55069968476,6.7787E-05
41,3115.38969634978,-118.727869501588,1032488.23745125,3234.11756585137,8.63529E-05
42,3113.57710676149,-108.006328287799,997377.817372036,3221.58343504929,0.000105969
43,3111.7651809312,-88.1592502987123,955467.195814825,3199.92443122991,0.000124689
44,3109.95392076626,-62.3409484604531,907819.826650359,3172.29486922671,0.000140013
45,3108.14332245197,-33.5951561926454,856093.416329997,3141.73847864462,0.000152306
46,3106.33338980304,-4.70748170818342,807758.526975928,3111.04087151122,0.000162461
47,3104.52412091211,21.8747645191884,768475.765132133,3082.64935639292,0.000170423
48,3102.71551577918,44.2546357067613,749392.037272586,3058.46088007242,0.00017599
49,3100.9075763116,61.1757424739303,748954.176302306,3039.73183383767,0.000179284
50,3099.10029678732,72.0228698906858,766679.514431653,3027.07742689663,0.000181111
51,3097.29368483574,76.6724646559778,801007.932230625,3020.62122017976,0.000177943
52,3095.48774045687,75.4078397547141,822850.765612262,3020.07990070216,0.000175117
53,3093.68245792865,68.8612625488236,862176.533445338,3024.82119537983,0.000170917
54,3091.87784106578,57.7442633456972,909641.922104455,3034.13357772008,0.000164995
55,3090.07388986827,43.1112680261235,957647.081945185,3046.96262184215,0.000156728
56,3088.27060242875,26.1739060917685,1000394.71807651,3062.09669633698,0.000146375
57,3086.46798065459,8.23074580699631,1033865.10134158,3078.23723484759,0.000132468
58,3084.66602454578,-9.42236065862016,1055706.11283916,3094.0883852044,0.000115917
