RMS,1.37050425943498,Time,2018/10/08 18:17:45
count,purpose,ResidualError,TimeDistribution,Working,spot
0,11.76104844,0,1,0,0
1,11.76104844,0,1,4.6361939E-08,4.6361939E-08
2,11.76104844,0,1,1.39085817E-07,9.2723878E-08
3,11.76104844,0,1,2.781716341E-07,1.390858171E-07
4,11.76104844,0,1,5.07099361254404E-07,1.854477561E-07
5,11.76104844,0,1,9.11737896542867E-07,2.318096951E-07
6,11.76104844,0,1,1.61912806648778E-06,2.781716341E-07
7,11.76104844,0,1,2.76160078137524E-06,2.898252398E-07
8,11.76104844,0,1,4.54523161144106E-06,3.014788455E-07
9,11.76104844,0,1,7.21445475321909E-06,3.131324512E-07
10,11.76104844,0,1,1.09864986234185E-05,3.247860569E-07
11,11.76104844,0,1,1.60526902015089E-05,3.364396626E-07
12,11.76104844,0,1,2.25800001818885E-05,3.480932682E-07
13,11.76104844,0,1,3.07124938694401E-05,3.597468739E-07
14,11.76104844,0,1,4.05723548951845E-05,3.714004796E-07
15,11.76104844,0,1,5.22602909935622E-05,3.830540853E-07
16,11.76104844,0,1,6.58797132091387E-05,3.94707691E-07
17,11.76104844,0,1,8.15353797081988E-05,4.063612967E-07
18,11.76104844,0,1,9.93314542230165E-05,4.180149024E-07
19,11.76104844,0,1,0.000119370989354901,4.315435081E-07
20,11.76104844,0,1,0.000141749470573686,4.450721137E-07
21,11.76104844,0,1,0.000166553820231914,4.586007194E-07
22,11.76104844,0,1,0.00019386304865845,4.721293251E-07
23,11.76104844,0,1,0.000223745476900487,4.856579308E-07
24,11.76104844,0,1,0.000256256297659818,4.991865365E-07
25,11.76104844,0,1,0.000291435659901334,5.127151422E-07
26,11.76104844,0,1,0.000329307460399121,5.262437479E-07
27,11.76104844,0,1,0.000369878918103591,5.397723535E-07
28,11.76104844,0,1,0.000413138211960682,5.533009592E-07
29,11.76104844,0,1,0.000459055414464245,5.668295649E-07
30,11.76104844,0,1,0.000507583930081143,5.803581706E-07
31,11.76104844,0,1,0.000558696217390164,6.277756652E-07
32,11.76104844,0,1,0.000612318129753388,6.751931598E-07
33,11.76104844,0,1,0.000668365101444035,7.226106543E-07
34,11.76104844,0,1,0.000726808087610913,7.700281489E-07
35,11.76104844,0,1,0.000787674322695054,8.174456435E-07
36,11.76104844,0,1,0.000851047772436701,8.648631381E-07
37,11.76104844,0,1,0.000917069427361007,9.122806326E-07
38,11.76104844,0,1,0.000985937584142811,9.596981272E-07
39,11.76104844,0,1,0.00105790818740485,1.0071156218E-06
40,11.76104844,0,1,0.00113324767743429,1.0545331164E-06
41,11.76104844,0,1,0.00121223451956375,1.1019506109E-06
42,11.76104844,0,1,0.00129516079695163,1.1493681055E-06
43,11.76104844,0,1,0.00138233300808163,1.1961606001E-06
