RMS,0.999374463756269,Time,2017/06/29 19:31:36
count,purpose,ResidualError,TimeDistribution,Working,spot
0,130,0,1,5.88875E-06,5.88875E-06
1,130,0,1,1.185368E-05,5.96493E-06
2,130,0,1,-3.73094343044718E-06,6.04112E-06
3,130,0,1,-4.10876499344811E-05,6.1173E-06
4,130,0,1,-0.000100436298952887,6.19349E-06
5,130,0,1,-0.000182004060651128,6.25958E-06
6,130,0,1,-0.000286005353441597,6.32567E-06
7,130,0,1,-0.000412577686378047,6.39176E-06
8,130,0,1,-0.000561856033436186,6.45786E-06
9,130,0,1,-0.000733972868414043,6.52395E-06
10,130,0,1,-0.000929058219076793,6.59004E-06
11,130,0,1,-0.00114723953293059,6.65613E-06
12,130,0,1,-0.00138864182745251,6.72222E-06
13,130,0,1,-0.00165338768703755,6.78832E-06
14,130,0,1,-0.00194159729805703,6.85441E-06
15,130,0,1,-0.00225338849953036,6.9205E-06
16,130,0,1,-0.00258887665588903,6.98659E-06
17,130,0,1,-0.00294814040598461,7.08701E-06
18,130,0,1,-0.00333129032325753,7.18744E-06
19,130,0,1,-0.00373868676912191,7.28786E-06
20,130,0,1,-0.00417068712854344,7.38828E-06
21,130,0,1,-0.0046276456641424,7.4887E-06
22,130,0,1,-0.00510991356783221,7.58912E-06
23,130,0,1,-0.00561783895718034,7.68954E-06
24,130,0,1,-0.00615176642002138,7.78996E-06
25,130,0,1,-0.00671203701540607,7.89038E-06
26,130,0,1,-0.00729898826331903,7.9908E-06
27,130,0,1,-0.00791295414426701,8.09122E-06
28,130,0,1,-0.00855426509215558,8.19164E-06
29,130,0,1,-0.00922332596902463,8.21408E-06
30,130,0,1,-0.00992046011382715,8.23651E-06
31,130,0,1,-0.0106454145385557,8.25895E-06
32,130,0,1,-0.0113979341576793,8.28138E-06
33,130,0,1,-0.0121777619391547,8.30382E-06
34,130,0,1,-0.0129846388467699,8.32625E-06
35,130,0,1,-0.0138183039963833,8.34869E-06
36,130,0,1,-0.014678496313084,8.37112E-06
37,130,0,1,-0.0155649546544706,8.39356E-06
38,130,0,1,-0.0164774177300316,8.41599E-06
39,130,0,1,-0.017415624222789,8.43843E-06
40,130,0,1,-0.0183793127052357,8.46086E-06
41,130,0,1,-0.0193681599161639,8.54515E-06
42,130,0,1,-0.0203819043705045,8.62943E-06
43,130,0,1,-0.0214207389120832,8.71372E-06
44,130,0,1,-0.0224848551385279,8.79801E-06
45,130,0,1,-0.0235744435284575,8.88229E-06
46,130,0,1,-0.0246896933155372,8.96658E-06
47,130,0,1,-0.0258307924248934,9.05087E-06
48,130,0,1,-0.0269979234811905,9.13515E-06
49,130,0,1,-0.0281912637477279,9.21944E-06
50,130,0,1,-0.0294109851279583,9.30373E-06
51,130,0,1,-0.0306572543589986,9.38801E-06
52,130,0,1,-0.0319302329467287,9.4723E-06
53,130,0,1,-0.0332300539098927,9.57985E-06
54,130,0,1,-0.0345568684834907,9.6874E-06
