RMS,6.22564979453097,Time,2017/06/26 0:05:07
count,purpose,ResidualError,TimeDistribution,Working,spot
0,3128.09638771102,0,1,-3.87315E-07,-3.87315E-07
1,3128.09638771102,0,1,-8.57247E-07,-4.69932E-07
2,3128.09638771102,0,1,-8.62492E-07,-3.9256E-07
3,3128.09638771102,0,1,-7.07747E-07,-3.15187E-07
4,3128.09638771102,0,1,-5.53002E-07,-2.37815E-07
5,3128.09638771102,0,1,-3.98258E-07,-1.60443E-07
6,3128.09638771102,0,1,-2.435135E-07,-8.30705E-08
7,3128.09638771102,0,1,-1.187081E-07,-3.56376E-08
8,3128.09638771102,0,1,-2.38423E-08,1.17953E-08
9,3128.09638771102,0,1,7.10235E-08,5.92282E-08
10,3128.09638771102,0,1,1.658892E-07,1.06661E-07
11,3128.09638771102,0,1,2.60755E-07,1.54094E-07
12,3128.09638771102,0,1,3.55621E-07,2.01527E-07
13,3128.09638771102,0,1,5.03517E-07,3.0199E-07
14,3128.09638771102,0,1,7.04443E-07,4.02453E-07
15,3128.09638771102,0,1,9.0537E-07,5.02917E-07
16,3128.09638771102,0,1,1.106297E-06,6.0338E-07
17,3128.09638771102,0,1,-4.67060613290977E-07,7.03843E-07
18,3128.09638771102,0,1,-7.33669508417896E-06,8.04306E-07
19,3128.09638771102,0,1,-2.04357841101703E-05,9.86992E-07
20,3128.09638771102,0,1,-3.96123452076596E-05,1.16968E-06
21,3128.09638771102,0,1,-6.53033197699745E-05,1.35236E-06
22,3128.09638771102,0,1,-9.78325838953541E-05,1.53505E-06
23,3128.09638771102,0,1,-0.000137217775072948,1.71773E-06
24,3128.09638771102,0,1,-0.000183314720849047,1.90042E-06
25,3128.09638771102,0,1,-0.000235991313092613,2.02204E-06
26,3128.09638771102,0,1,-0.000294823565958246,2.14367E-06
27,3128.09638771102,0,1,-0.000358604920144651,2.26529E-06
28,3128.09638771102,0,1,-0.000425927643155622,2.38692E-06
29,3128.09638771102,0,1,-0.000495333142085107,2.50854E-06
30,3128.09638771102,0,1,-0.000565070760457876,2.63017E-06
31,3128.09638771102,0,1,-0.00063278340176652,2.88018E-06
