RMS,4.97992627200271,Time,2017/06/20 11:43:32
count,purpose,ResidualError,TimeDistribution,Working,spot
0,50,0,1,1.211E-06,1.211E-06
1,50,0,1,2.4380275E-06,1.2270275E-06
2,50,0,1,3.68504693281818E-06,1.243055E-06
3,50,0,1,4.95215967012512E-06,1.2590825E-06
4,50,0,1,6.23946768422158E-06,1.27511E-06
5,50,0,1,7.54707354744428E-06,1.2911375E-06
6,50,0,1,8.87508043157212E-06,1.307165E-06
7,50,0,1,1.02235921072329E-05,1.3231925E-06
8,50,0,1,1.15927129433108E-05,1.33922E-06
9,50,0,1,1.29825479063536E-05,1.3552475E-06
10,50,0,1,1.43932025599814E-05,1.371275E-06
11,50,0,1,1.58247830642952E-05,1.3873025E-06
12,50,0,1,1.7277396175286E-05,1.40333E-06
13,50,0,1,1.87569209109115E-05,1.425129166667E-06
14,50,0,1,2.02634652171716E-05,1.446928333333E-06
15,50,0,1,2.1797175423429E-05,1.4687275E-06
16,50,0,1,2.33581989187207E-05,1.490526666667E-06
17,50,0,1,2.49466841507263E-05,1.512325833333E-06
18,50,0,1,2.6562780624739E-05,1.534125E-06
19,50,0,1,2.82066389026318E-05,1.555924166667E-06
20,50,0,1,2.98784106018273E-05,1.577723333333E-06
21,50,0,1,3.15782483942713E-05,1.5995225E-06
22,50,0,1,3.33063060054011E-05,1.621321666667E-06
23,50,0,1,3.50627382131176E-05,1.643120833333E-06
24,50,0,1,3.68477008467611E-05,1.66492E-06
25,50,0,1,3.86739582860819E-05,1.699326666667E-06
26,50,0,1,4.05416684602145E-05,1.733733333333E-06
27,50,0,1,4.24510728926292E-05,1.76814E-06
28,50,0,1,4.44024152624177E-05,1.802546666667E-06
29,50,0,1,4.63959414022186E-05,1.836953333333E-06
30,50,0,1,4.84318992961471E-05,1.87136E-06
31,50,0,1,5.05105390777205E-05,1.905766666667E-06
32,50,0,1,5.26321130277867E-05,1.940173333333E-06
33,50,0,1,5.47968755724585E-05,1.97458E-06
34,50,0,1,5.70050832810421E-05,2.008986666667E-06
35,50,0,1,5.92569948639703E-05,2.043393333333E-06
36,50,0,1,6.15528711707401E-05,2.0778E-06
37,50,0,1,6.39078193545111E-05,2.127050833333E-06
38,50,0,1,6.63221045367133E-05,2.176301666667E-06
39,50,0,1,6.87960911619063E-05,2.2255525E-06
40,50,0,1,7.13301473977572E-05,2.274803333333E-06
41,50,0,1,7.39246451314852E-05,2.324054166667E-06
42,50,0,1,7.6579959966306E-05,2.373305E-06
43,50,0,1,7.92964712178831E-05,2.422555833333E-06
44,50,0,1,8.20745619107794E-05,2.471806666667E-06
45,50,0,1,8.49146187749063E-05,2.5210575E-06
46,50,0,1,8.78170322419825E-05,2.570308333333E-06
47,50,0,1,9.07821964419905E-05,2.619559166667E-06
48,50,0,1,9.38105091996326E-05,2.66881E-06
49,50,0,1,9.69188878641291E-05,2.734576666667E-06
50,50,0,1,0.000100107737639012,2.800343333333E-06
51,50,0,1,0.000103377575547205,2.86611E-06
52,50,0,1,0.000106728924518995,2.931876666667E-06
53,50,0,1,0.000110162313386426,2.997643333333E-06
54,50,0,1,0.000113678276877702,3.06341E-06
55,50,0,1,0.000117277355611583,3.129176666667E-06
56,50,0,1,0.000120960096091791,3.194943333333E-06
57,50,0,1,0.000124727050701419,3.26071E-06
58,50,0,1,0.000128578777697337,3.326476666667E-06
59,50,0,1,0.000132515841204608,3.392243333333E-06
60,50,0,1,0.000136538811210905,3.45801E-06
61,50,0,1,0.000140657787727592,3.533300833333E-06
62,50,0,1,0.00014487335245082,3.608591666667E-06
63,50,0,1,0.000149186155280859,3.6838825E-06
64,50,0,1,0.000153596854254699,3.759173333333E-06
65,50,0,1,0.000158106115538379,3.834464166667E-06
66,50,0,1,0.000162714613419308,3.909755E-06
67,50,0,1,0.000167423030298603,3.985045833333E-06
68,50,0,1,0.000172232056683423,4.060336666667E-06
69,50,0,1,0.000177142391179308,4.1356275E-06
70,50,0,1,0.000182154740482523,4.210918333333E-06
71,50,0,1,0.000187269819372408,4.286209166667E-06
72,50,0,1,0.000192488350703728,4.3615E-06
73,50,0,1,0.000197825902065694,4.4516275E-06
74,50,0,1,0.000203283212440989,4.541755E-06
75,50,0,1,0.000208861126005954,4.6318825E-06
76,50,0,1,0.000214560498198717,4.72201E-06
77,50,0,1,0.000220382195708608,4.8121375E-06
78,50,0,1,0.000226327096465579,4.902265E-06
79,50,0,1,0.000232396089629622,4.9923925E-06
80,50,0,1,0.000238590075580208,5.08252E-06
81,50,0,1,0.000244909965905712,5.1726475E-06
82,50,0,1,0.000251356683392857,5.262775E-06
83,50,0,1,0.000257931162016159,5.3529025E-06
84,50,0,1,0.000264634346927371,5.44303E-06
85,50,0,1,0.000271491391111612,5.557354166667E-06
86,50,0,1,0.000278503262043489,5.671678333333E-06
87,50,0,1,0.000285671096767771,5.7860025E-06
88,50,0,1,0.000292996047856219,5.900326666667E-06
89,50,0,1,0.000300479283393006,6.014650833333E-06
90,50,0,1,0.000308121986960148,6.128975E-06
91,50,0,1,0.000315925357622935,6.243299166667E-06
92,50,0,1,0.000323890609915376,6.357623333333E-06
93,50,0,1,0.000332018973825647,6.4719475E-06
94,50,0,1,0.000340311694781549,6.586271666667E-06
95,50,0,1,0.000348770033635963,6.700595833333E-06
96,50,0,1,0.000357395266652331,6.81492E-06
97,50,0,1,0.000366201068823457,6.9416275E-06
98,50,0,1,0.000375188747190331,7.068335E-06
99,50,0,1,0.000384359705239219,7.1950425E-06
100,50,0,1,0.000393715366077158,7.32175E-06
101,50,0,1,0.000403257172413568,7.4484575E-06
102,50,0,1,0.00041298658654187,7.575165E-06
103,50,0,1,0.000422905090321122,7.7018725E-06
104,50,0,1,0.000433014185157653,7.82858E-06
105,50,0,1,0.000443315391986713,7.9552875E-06
106,50,0,1,0.000453810251254129,8.081995E-06
107,50,0,1,0.000464500322897967,8.2087025E-06
108,50,0,1,0.000475387186330209,8.33541E-06
109,50,0,1,0.000486492343751766,8.482020833333E-06
110,50,0,1,0.000497817413467504,8.628631666667E-06
111,50,0,1,0.000509364163515777,8.7752425E-06
112,50,0,1,0.000521134387020047,8.921853333333E-06
113,50,0,1,0.00053312990216541,9.068464166667E-06
114,50,0,1,0.000545352552175124,9.215075E-06
115,50,0,1,0.00055780420528715,9.361685833333E-06
116,50,0,1,0.000570486754730701,9.508296666667E-06
117,50,0,1,0.000583402118702812,9.6549075E-06
118,50,0,1,0.000596552240344904,9.801518333333E-06
119,50,0,1,0.000609939087719379,9.948129166667E-06
120,50,0,1,0.000623564653786209,1.009474E-05
121,50,0,1,0.000637448490546209,1.0258885E-05
122,50,0,1,0.000651592640684332,1.042303E-05
123,50,0,1,0.000665999286515638,1.0587175E-05
124,50,0,1,0.000680670641552539,1.075132E-05
125,50,0,1,0.00069560895047563,1.0915465E-05
126,50,0,1,0.000710816489104519,1.107961E-05
127,50,0,1,0.000726295564368687,1.1243755E-05
128,50,0,1,0.000742048514278352,1.14079E-05
129,50,0,1,0.00075807770789535,1.1572045E-05
130,50,0,1,0.00077438554530403,1.173619E-05
131,50,0,1,0.000790974457582155,1.1900335E-05
132,50,0,1,0.000807846906771832,1.206448E-05
133,50,0,1,0.000825023256683774,1.2246495833333E-05
134,50,0,1,0.000842506031201587,1.2428511666667E-05
135,50,0,1,0.000860297902093025,1.26105275E-05
136,50,0,1,0.000878401579239619,1.2792543333333E-05
137,50,0,1,0.000896819810601044,1.2974559166667E-05
138,50,0,1,0.000915555382179522,1.3156575E-05
139,50,0,1,0.000934611117984229,1.3338590833333E-05
140,50,0,1,0.000953989879995727,1.3520606666667E-05
141,50,0,1,0.000973694568130406,1.37026225E-05
142,50,0,1,0.000993728120204946,1.3884638333333E-05
143,50,0,1,0.00101409351190079,1.4066654166667E-05
144,50,0,1,0.00103479375672866,1.424867E-05
145,50,0,1,0.00105585095182636,1.4449731666667E-05
146,50,0,1,0.00107726818625668,1.4650793333333E-05
147,50,0,1,0.00109904871150539,1.4851855E-05
148,50,0,1,0.00112119582458089,1.5052916666667E-05
149,50,0,1,0.00114371286797168,1.5253978333333E-05
150,50,0,1,0.0011666032296038,1.545504E-05
151,50,0,1,0.00118987034279837,1.5656101666667E-05
152,50,0,1,0.00121351768622904,1.5857163333333E-05
153,50,0,1,0.00123754878387958,1.6058225E-05
154,50,0,1,0.0012619672050014,1.6259286666667E-05
155,50,0,1,0.00128677656407109,1.6460348333333E-05
156,50,0,1,0.00131198052074808,1.666141E-05
157,50,0,1,0.00133758944733219,1.6869139166667E-05
158,50,0,1,0.0013636070937213,1.7076868333333E-05
159,50,0,1,0.00139003729852359,1.72845975E-05
160,50,0,1,0.00141688395347464,1.7492326666667E-05
161,50,0,1,0.00144415100338783,1.7700055833333E-05
162,50,0,1,0.00147184244610471,1.7907785E-05
163,50,0,1,0.00149996233244542,1.8115514166667E-05
164,50,0,1,0.00152851476615914,1.8323243333333E-05
165,50,0,1,0.00155750390387453,1.85309725E-05
166,50,0,1,0.00158693395505022,1.8738701666667E-05
167,50,0,1,0.00161680918192533,1.8946430833333E-05
168,50,0,1,0.00164713389946997,1.915416E-05
169,50,0,1,0.00167792350116919,1.9372915E-05
170,50,0,1,0.00170918240730682,1.959167E-05
171,50,0,1,0.00174091516293967,1.9810425E-05
172,50,0,1,0.0017731263746556,2.002918E-05
173,50,0,1,0.00180582071051604,2.0247935E-05
174,50,0,1,0.00183900289999853,2.046669E-05
175,50,0,1,0.00187267773393928,2.0685445E-05
176,50,0,1,0.00190685006447574,2.09042E-05
177,50,0,1,0.00194152480498928,2.1122955E-05
178,50,0,1,0.00197670693004782,2.134171E-05
179,50,0,1,0.00201240147534845,2.1560465E-05
180,50,0,1,0.00204861353766023,2.177922E-05
181,50,0,1,0.00208535747310017,2.2007173333333E-05
182,50,0,1,0.00212263850040941,2.2235126666667E-05
183,50,0,1,0.00216046195945415,2.246308E-05
184,50,0,1,0.00219883325972886,2.2691033333333E-05
185,50,0,1,0.00223775788029112,2.2918986666667E-05
186,50,0,1,0.00227724136969659,2.314694E-05
187,50,0,1,0.002317289345934,2.3374893333333E-05
188,50,0,1,0.0023579074963601,2.3602846666667E-05
189,50,0,1,0.00239910157763473,2.38308E-05
190,50,0,1,0.00244087741565587,2.4058753333333E-05
191,50,0,1,0.00248324090549476,2.4286706666667E-05
192,50,0,1,0.00252619801133102,2.451466E-05
193,50,0,1,0.00256976363555444,2.47514825E-05
194,50,0,1,0.00261394388036693,2.4988305E-05
195,50,0,1,0.00265874497495407,2.52251275E-05
196,50,0,1,0.00270417322668639,2.546195E-05
197,50,0,1,0.00275023502104632,2.56987725E-05
198,50,0,1,0.00279693682155501,2.5935595E-05
199,50,0,1,0.00284428516969929,2.61724175E-05
200,50,0,1,0.00289228668485863,2.640924E-05
201,50,0,1,0.00294094806423218,2.66460625E-05
202,50,0,1,0.00299027608276576,2.6882885E-05
203,50,0,1,0.00304027759307898,2.71197075E-05
204,50,0,1,0.00309095952539236,2.735653E-05
205,50,0,1,0.00314233179995444,2.7596265E-05
206,50,0,1,0.00319440150196904,2.7836E-05
207,50,0,1,0.00324717581309165,2.8075735E-05
208,50,0,1,0.00330066200094742,2.831547E-05
209,50,0,1,0.00335486741905061,2.8555205E-05
210,50,0,1,0.00340979950672423,2.879494E-05
211,50,0,1,0.00346546578901951,2.9034675E-05
212,50,0,1,0.00352187387663564,2.927441E-05
213,50,0,1,0.00357903146583938,2.9514145E-05
214,50,0,1,0.00363694633838476,2.975388E-05
215,50,0,1,0.00369562636143291,2.9993615E-05
216,50,0,1,0.00375507948747177,3.023335E-05
217,50,0,1,0.00381531685006932,3.0476180833333E-05
218,50,0,1,0.00387634657212677,3.0719011666667E-05
219,50,0,1,0.00393817688190143,3.09618425E-05
220,50,0,1,0.00400081610177911,3.1204673333333E-05
221,50,0,1,0.00406427264818593,3.1447504166667E-05
