     Count               Iteration-1             Iteration-100             Iteration-200             Iteration-300             Iteration-400             Iteration-500             Iteration-600             Iteration-700             Iteration-800             Iteration-900            Iteration-1000            Iteration-1001 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         2  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         3  0.000000000000000000e+00  1.219468792674509752e-09  1.578693830570084353e-09  1.856907025717899956e-09  2.118549992457358020e-09  2.371082630608543517e-09  2.614457835618130212e-09  2.848278357077846498e-09  3.072629068425139269e-09  3.287882206365477726e-09  3.494341099572379150e-09  3.496362386947247978e-09 
         4  0.000000000000000000e+00  6.088809345338285919e-09  7.878935986333866261e-09  9.264573211274710159e-09  1.056755517543665290e-08  1.182512156387423081e-08  1.303703050830206539e-08  1.420129494958440771e-08  1.531833620032882403e-08  1.639001141230681981e-08  1.741783441986744334e-08  1.742789673366721123e-08 
         5  0.000000000000000000e+00  1.824085151632567497e-08  2.359327325983291116e-08  2.773393873879621403e-08  3.162722733486163005e-08  3.538467809345389165e-08  3.900554606199776218e-08  4.248386745206065585e-08  4.582089691734332952e-08  4.902219373695762678e-08  5.209229092731772835e-08  5.212234592438676466e-08 
         6  0.000000000000000000e+00  4.250236386316914882e-08  5.494952426532615501e-08  6.457325402019988306e-08  7.362114805583389937e-08  8.235304280501107675e-08  9.076715417773423113e-08  9.884956013435163505e-08  1.066031662574397941e-07  1.140409155990069480e-07  1.211733652566578881e-07  1.212431866166527528e-07 
         7  0.000000000000000000e+00  8.488559312018676471e-08  1.096964243307361982e-07  1.288684074625852135e-07  1.468914789463029075e-07  1.642844663480120760e-07  1.810437083146187839e-07  1.971413468220133834e-07  2.125831485926028840e-07  2.273949421571563560e-07  2.415978015533265591e-07  2.417368321475592163e-07 
         8  0.000000000000000000e+00  1.525798232041489431e-07  1.970893190566417463e-07  2.314633335196251494e-07  2.637742849576588528e-07  2.949545367616532115e-07  3.249973282075805185e-07  3.538524881772485076e-07  3.815303157749925108e-07  4.080771980525037993e-07  4.335309954985539059e-07  4.337801519608380464e-07 
         9  0.000000000000000000e+00  2.529529966912005512e-07  3.265943391843310767e-07  3.834330887982801839e-07  4.368551653993435756e-07  4.884059005361910932e-07  5.380737764866991354e-07  5.857754501381632040e-07  6.315278811125800297e-07  6.754079040260444676e-07  7.174782513296114346e-07  7.178900455718846003e-07 
        10  0.000000000000000000e+00  3.935502500891758211e-07  5.078860073426823176e-07  5.960806525040989637e-07  6.789652921617603891e-07  7.589435681399752825e-07  8.359970580252214021e-07  9.099958223418466760e-07  9.809660608412516596e-07  1.049027204180621768e-06  1.114276796753431750e-06  1.114915451465527345e-06 
        11  0.000000000000000000e+00  5.820924554112759523e-07  7.508448590087935412e-07  8.809337492761664450e-07  1.003177478611943423e-06  1.121130258546999707e-06  1.234764066622742546e-06  1.343886292199582556e-06  1.448535399532597124e-06  1.548887865418037685e-06  1.645087878222476381e-06  1.646029436437631479e-06 
        12  0.000000000000000000e+00  8.264747664576288120e-07  1.065555074402698407e-06  1.249741689436596150e-06  1.422802272486223108e-06  1.589781774385018153e-06  1.750639268936654489e-06  1.905100662828059249e-06  2.053220145929995386e-06  2.195248033830870531e-06  2.331388919637679400e-06  2.332721348428201902e-06 
        13  0.000000000000000000e+00  1.134765171452811633e-06  1.462302124679031625e-06  1.714472231724189895e-06  1.951384079551334613e-06  2.179962416174117703e-06  2.400149435827638405e-06  2.611567926696104407e-06  2.814291692764442821e-06  3.008664063290735024e-06  3.194965761408979380e-06  3.196789049793384863e-06 
        14  0.000000000000000000e+00  1.515203050398703241e-06  1.951570429043415804e-06  2.287308463399586941e-06  2.602697311175739185e-06  2.906980427048550355e-06  3.200078410760376714e-06  3.481486382874310777e-06  3.751302066681779424e-06  4.009983400607211308e-06  4.257904962488692619e-06  4.260331213614023646e-06 
        15  0.000000000000000000e+00  1.976398652542180307e-06  2.544301124129486125e-06  2.980951637873194966e-06  3.391091604743581910e-06  3.786774124699091494e-06  4.167892671065440636e-06  4.533787078577430443e-06  4.884583713653970737e-06  5.220879238439857993e-06  5.543161893471902673e-06  5.546315744169893729e-06 
        16  0.000000000000000000e+00  2.527330258875090698e-06  3.251887352261564211e-06  3.808614806281327143e-06  4.331483875462949252e-06  4.835902425574015118e-06  5.321730372423755199e-06  5.788121420286701059e-06  6.235235721220176384e-06  6.663835391180568575e-06  7.074544307253145628e-06  7.078563334747379159e-06 
        17  0.000000000000000000e+00  3.177341355566807171e-06  4.086169574775989651e-06  4.784016488885207821e-06  5.439350423045136068e-06  6.071535439136846361e-06  6.680390478647014587e-06  7.264848885407531769e-06  7.825110156469019764e-06  8.362131301726582206e-06  8.876696055649507247e-06  8.881731171563902566e-06 
        18  0.000000000000000000e+00  3.936137815412840419e-06  5.059430904416322284e-06  5.921374377225573641e-06  6.730719081096675962e-06  7.511445116926169075e-06  8.263321958398611556e-06  8.985024813002980351e-06  9.676798495195332132e-06  1.033982715146762699e-05  1.097508092120146583e-05  1.098129675298927802e-05 
        19  0.000000000000000000e+00  4.813785090348225717e-06  6.184392463004360426e-06  7.235399076372452074e-06  8.222161421692763208e-06  9.173995972009323251e-06  1.009061306756576684e-05  1.097038829542887441e-05  1.181361816716926620e-05  1.262174910153431423e-05  1.339596659530504557e-05  1.340354185524868249e-05 
        20  0.000000000000000000e+00  5.820705412110711190e-06  7.474208758406062676e-06  8.741287878208853684e-06  9.930785002981810583e-06  1.107813585358511533e-05  1.218298069893892347e-05  1.324335014942402260e-05  1.425959919296550856e-05  1.523347463764693426e-05  1.616640877190357798e-05  1.617553661380430872e-05 
        21  0.000000000000000000e+00  6.967596241695639597e-06  8.942361123143883616e-06  1.045459864214331520e-05  1.187408884047975747e-05  1.324323365006477217e-05  1.456159095664924341e-05  1.582679702533693820e-05  1.703927248389233300e-05  1.820110569054909694e-05  1.931400969716318258e-05  1.932489793032102649e-05 
        22  0.000000000000000000e+00  8.265428040650848001e-06  1.060265407487923904e-05  1.239124492913537267e-05  1.406995738048029134e-05  1.568907214597948637e-05  1.724805093634095192e-05  1.874408214853876364e-05  2.017765958074888838e-05  2.155125740638347097e-05  2.286690600443252948e-05  2.287977729843434696e-05 
        23  0.000000000000000000e+00  9.725442051931112251e-06  1.246921169841698062e-05  1.456749116958618694e-05  1.653665451982401258e-05  1.843584093779891418e-05  2.026440057680913402e-05  2.201901614482232639e-05  2.370026248903236819e-05  2.531104702590858028e-05  2.685375667035041925e-05  2.686884875078874115e-05 
        24  0.000000000000000000e+00  1.135914808787460033e-05  1.455647404422921533e-05  1.699994785751390752e-05  1.929281766186083087e-05  2.150412939590478755e-05  2.363310456775308607e-05  2.567585793184011021e-05  2.763305359004776860e-05  2.950808284940689298e-05  3.130373106634628280e-05  3.132129690156549440e-05 
        25  0.000000000000000000e+00  1.317832232776699923e-05  1.687919354851476564e-05  1.970556677856751825e-05  2.235745181868929694e-05  2.491491968532801799e-05  2.737704432877443848e-05  2.973930569422802945e-05  3.200246564808179598e-05  3.417045330995800440e-05  3.624649713071772037e-05  3.626680510970916774e-05 
        26  0.000000000000000000e+00  1.519500512263237949e-05  1.945243146994121285e-05  2.270163626452071677e-05  2.574992374980140011e-05  2.868957983285987337e-05  3.151951004470867853e-05  3.423448792497842005e-05  3.683538189367669801e-05  3.932671613258231438e-05  4.171220963625764963e-05  4.173554373780009820e-05 
        27  0.000000000000000000e+00  1.742153077936479415e-05  2.229159573517986960e-05  2.600582516252809170e-05  2.949001168717345993e-05  3.284991901349415371e-05  3.608426131308780852e-05  3.918702922121138408e-05  4.215920675524033665e-05  4.500597379707409212e-05  4.773159018627994130e-05  4.775825019243653066e-05 
