     Count               Iteration-1             Iteration-100             Iteration-200             Iteration-300             Iteration-400             Iteration-500             Iteration-600             Iteration-700             Iteration-800             Iteration-900            Iteration-1000            Iteration-1001 
         0  0.000000000000000000e+00  8.248931942186004562e+00  5.557337952817590576e+00  5.010672218309707660e+00  4.819960070241847916e+00  4.653426752527707322e+00  4.476416795181705766e+00  4.296506864302330087e+00  4.122239156043804087e+00  3.954548203789386207e+00  3.792566182909069994e+00  3.790981911924177439e+00 
         1  0.000000000000000000e+00  8.121674616244774825e+00  5.452452380828049172e+00  4.911044516839467633e+00  4.723113122157371890e+00  4.559025109891138072e+00  4.384445727553952565e+00  4.206933813520208787e+00  4.034986032119945776e+00  3.869552600113536300e+00  3.709777519304452653e+00  3.708215023061200100e+00 
         2  0.000000000000000000e+00  7.995076022571936392e+00  5.348300787476205187e+00  4.812182716107713532e+00  4.627049079365974649e+00  4.465415830972915501e+00  4.293272022886242212e+00  4.118160331926958406e+00  3.948532877748959891e+00  3.785356085025739503e+00  3.627786088492484851e+00  3.626245344285052852e+00 
         3  0.000000000000000000e+00  7.868974032495088977e+00  5.244720137116814840e+00  4.713923275083288900e+00  4.531604092367842895e+00  4.372434847144972991e+00  4.202731437986017227e+00  4.030022027635027371e+00  3.862715169298951423e+00  3.701794013983771947e+00  3.546427132007863747e+00  3.544908116021360911e+00 
         4  0.000000000000000000e+00  7.743536107225565956e+00  5.141876976130049570e+00  4.616432230498048739e+00  4.436943886378173829e+00  4.280247662056069657e+00  4.112989299880894123e+00  3.942684077210401483e+00  3.777697950041272179e+00  3.619031307971170008e+00  3.465865455683228902e+00  3.464368142981413712e+00 
         5  0.000000000000000000e+00  7.618602181276912688e+00  5.039610316573998716e+00  4.519548080682511682e+00  4.342906645339155602e+00  4.188692235795258512e+00  4.023883390134301408e+00  3.855984110119948127e+00  3.693318714719509899e+00  3.536905338199346716e+00  3.385938314478551092e+00  3.384462678990416862e+00 
         6  0.000000000000000000e+00  7.494338162818280580e+00  4.938085136781353413e+00  4.423435286356664164e+00  4.249656512866181401e+00  4.097932485985495532e+00  3.935577446080685604e+00  3.770085710109128740e+00  3.609740911075675740e+00  3.455579427744282839e+00  3.306808914239923070e+00  3.305354928752024080e+00 
         7  0.000000000000000000e+00  7.370582934022820609e+00  4.837139381946826688e+00  4.327931271402690072e+00  4.157030593184970257e+00  4.007805288883787398e+00  3.847908162065039051e+00  3.684825416576472890e+00  3.526800941333704031e+00  3.374889853167644560e+00  3.228313413432033485e+00  3.226881049582232208e+00 
         8  0.000000000000000000e+00  7.247505639489702389e+00  4.736941248950074623e+00  4.233203704898414799e+00  4.065196230541857858e+00  3.918477756230856812e+00  3.761042463842443340e+00  3.600369996603035361e+00  3.444665431977909975e+00  3.295003112112624422e+00  3.150618188656494567e+00  3.149207416904971524e+00 
         9  0.000000000000000000e+00  7.124943099126824109e+00  4.637326603541680470e+00  4.139087921651366742e+00  3.973988432851513153e+00  3.829784661923326894e+00  3.674814938140400500e+00  3.516553877312105669e+00  3.363168668775358583e+00  3.215753360894836987e+00  3.073557274696042896e+00  3.072168064320692338e+00 
        10  0.000000000000000000e+00  7.003063608508512061e+00  4.538462780920440309e+00  4.045750722938691979e+00  3.883573672608292782e+00  3.741892243057293399e+00  3.589391633845934848e+00  3.433542947175112658e+00  3.282476398207109014e+00  3.137306216049523755e+00  2.997296166180490218e+00  2.995928485272145281e+00 
        11  0.000000000000000000e+00  6.881704839203166557e+00  4.440186486299978696e+00  3.953028277263456403e+00  3.793787787781241150e+00  3.654636100972481927e+00  3.504607963176454177e+00  3.351172457308734920e+00  3.202423728886628851e+00  3.059496655856094094e+00  2.921669719215117311e+00  2.920323534677834232e+00 
        12  0.000000000000000000e+00  6.761035139126704507e+00  4.342665095485017446e+00  3.861087421097977312e+00  3.704797282718118367e+00  3.568182502282411406e+00  3.420630002838379369e+00  3.269608322758529084e+00  3.123176432953528092e+00  2.982490321858563220e+00  2.846843453010365010e+00  2.845518730558580955e+00 
        13  0.000000000000000000e+00  6.640891832879162848e+00  4.245734955429043112e+00  3.769763959613669613e+00  3.616437629014853883e+00  3.482366679897666017e+00  3.337292795181724614e+00  3.188685423771858041e+00  3.044569247468189133e+00  2.906121820355110685e+00  2.772651851475927742e+00  2.771348555637075606e+00 
        14  0.000000000000000000e+00  6.521443514521365614e+00  4.149563674979674488e+00  3.679224955848042100e+00  3.528875553190346182e+00  3.397355119230496712e+00  3.254762632997483252e+00  3.108569889247917217e+00  2.966768156557918701e+00  2.830557003310218533e+00  2.699260642942533650e+00  2.697978737037487917e+00 
        15  0.000000000000000000e+00  6.402527086971190329e+00  4.053987164532031784e+00  3.589305770562816633e+00  3.441946076717499636e+00  3.312982598399571543e+00  3.172874099878583820e+00  3.029096137236592767e+00  2.889607432069112747e+00  2.755630009132858049e+00  2.626503841057854061e+00  2.625243287202692954e+00 
        16  0.000000000000000000e+00  6.284310893368115103e+00  3.959172767294830919e+00  3.500173193426803664e+00  3.355815647132544655e+00  3.229415319249085314e+00  3.091793201149585002e+00  2.950430005800171784e+00  2.813252764324488453e+00  2.681506393363235929e+00  2.554546875419418939e+00  2.553307634504506041e+00 
        17  0.000000000000000000e+00  6.166632246365225001e+00  3.864956788846257041e+00  3.411662972790566073e+00  3.270319667980061240e+00  3.146488437455161602e+00  3.011354894138833060e+00  2.872406283415784856e+00  2.737538792695204393e+00  2.608020659373437411e+00  2.483224122380192966e+00  2.482006154065800274e+00 
