     Count               Iteration-1          Iteration-143001 
         0  0.000000000000000000e+00  0.000000000000000000e+00 
         1  0.000000000000000000e+00  0.000000000000000000e+00 
         2  0.000000000000000000e+00  0.000000000000000000e+00 
         3  0.000000000000000000e+00  4.473844353168512102e-08 
         4  0.000000000000000000e+00  2.217623098826796473e-07 
         5  0.000000000000000000e+00  6.595417128633327248e-07 
         6  0.000000000000000000e+00  1.525616189087802606e-06 
         7  0.000000000000000000e+00  3.024784969156885573e-06 
         8  0.000000000000000000e+00  5.397328556116039927e-06 
         9  0.000000000000000000e+00  8.880955075797826215e-06 
        10  0.000000000000000000e+00  1.371066272804798291e-05 
        11  0.000000000000000000e+00  2.011860918843623704e-05 
        12  0.000000000000000000e+00  2.833398541613094509e-05 
        13  0.000000000000000000e+00  3.858289620174652616e-05 
        14  0.000000000000000000e+00  5.108824486346654880e-05 
        15  0.000000000000000000e+00  6.607699542686027924e-05 
        16  0.000000000000000000e+00  8.377975001732939654e-05 
        17  0.000000000000000000e+00  1.044303399341341875e-04 
        18  0.000000000000000000e+00  1.282654258575920483e-04 
        19  0.000000000000000000e+00  1.555241115217674715e-04 
        20  0.000000000000000000e+00  1.864475662896099436e-04 
        21  0.000000000000000000e+00  2.212757713906261239e-04 
        22  0.000000000000000000e+00  2.602472888948692531e-04 
        23  0.000000000000000000e+00  3.035990407566402957e-04 
        24  0.000000000000000000e+00  3.515660940957630702e-04 
        25  0.000000000000000000e+00  4.043814562032456883e-04 
        26  0.000000000000000000e+00  4.622758755547724569e-04 
        27  0.000000000000000000e+00  5.254788251720573242e-04 
        28  0.000000000000000000e+00  5.942182683570081461e-04 
        29  0.000000000000000000e+00  6.687204348667474645e-04 
        30  0.000000000000000000e+00  7.492096034816319921e-04 
        31  0.000000000000000000e+00  8.359078947728921637e-04 
        32  0.000000000000000000e+00  9.290350700848527821e-04 
        33  0.000000000000000000e+00  1.028869305901741185e-03 
        34  0.000000000000000000e+00  1.135744378989898438e-03 
        35  0.000000000000000000e+00  1.250046922143449590e-03 
        36  0.000000000000000000e+00  1.372213729070968693e-03 
        37  0.000000000000000000e+00  1.502729129302200631e-03 
        38  0.000000000000000000e+00  1.642122411628426206e-03 
        39  0.000000000000000000e+00  1.790940617591776744e-03 
        40  0.000000000000000000e+00  1.949747147423032487e-03 
        41  0.000000000000000000e+00  2.119120410075234565e-03 
        42  0.000000000000000000e+00  2.299652502600892448e-03 
        43  0.000000000000000000e+00  2.491947932710514724e-03 
        44  0.000000000000000000e+00  2.696622369850076428e-03 
        45  0.000000000000000000e+00  2.914267659612430547e-03 
        46  0.000000000000000000e+00  3.145452102047025314e-03 
        47  0.000000000000000000e+00  3.390720737837405602e-03 
        48  0.000000000000000000e+00  3.650595637180156262e-03 
        49  0.000000000000000000e+00  3.925576196041612696e-03 
        50  0.000000000000000000e+00  4.216139434460699879e-03 
        51  0.000000000000000000e+00  4.522752043795457387e-03 
        52  0.000000000000000000e+00  4.845870186879757714e-03 
        53  0.000000000000000000e+00  5.185939316005971911e-03 
        54  0.000000000000000000e+00  5.543394000539952730e-03 
        55  0.000000000000000000e+00  5.918657771729780685e-03 
        56  0.000000000000000000e+00  6.312142976571350449e-03 
        57  0.000000000000000000e+00  6.724294683398274186e-03 
        58  0.000000000000000000e+00  7.155588661341148564e-03 
        59  0.000000000000000000e+00  7.606529419933050901e-03 
        60  0.000000000000000000e+00  8.077648287777652175e-03 
        61  0.000000000000000000e+00  8.569501550257721534e-03 
        62  0.000000000000000000e+00  9.082668625609160301e-03 
        63  0.000000000000000000e+00  9.617754285754873816e-03 
        64  0.000000000000000000e+00  1.017538675618056589e-02 
        65  0.000000000000000000e+00  1.075621587728959987e-02 
        66  0.000000000000000000e+00  1.136091130517703079e-02 
        67  0.000000000000000000e+00  1.199016077345936571e-02 
        68  0.000000000000000000e+00  1.264466839358802455e-02 
        69  0.000000000000000000e+00  1.332514556748563492e-02 
        70  0.000000000000000000e+00  1.403230970697731846e-02 
        71  0.000000000000000000e+00  1.476688300490395719e-02 
        72  0.000000000000000000e+00  1.552959123790368344e-02 
        73  0.000000000000000000e+00  1.632116261970845833e-02 
        74  0.000000000000000000e+00  1.714232668493217981e-02 
