                    Count               1-iterative           20000-iterative           40000-iterative           60000-iterative           80000-iterative          100000-iterative          100001-iterative 
                        0  0.000000000000000000e+00  3.000000000000000000e+02  3.000000000000000000e+02  3.000000000000000000e+02  3.000000000000000000e+02  3.000000000000000000e+02  3.000000000000000000e+02 
                        1  0.000000000000000000e+00  9.000000000000000000e+02  9.000000000000000000e+02  9.000000000000000000e+02  9.000000000000000000e+02  9.000000000000000000e+02  9.000000000000000000e+02 
                        2  0.000000000000000000e+00  2.400000000000000000e+03  2.400000000000000000e+03  2.400000000000000000e+03  2.400000000000000000e+03  2.400000000000000000e+03  2.400000000000000000e+03 
                        3  0.000000000000000000e+00  3.000000000000000000e+03  3.000000000000000000e+03  3.000000000000000000e+03  3.000000000000000000e+03  3.000000000000000000e+03  3.000000000000000000e+03 
                        4  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
                        5  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
                        6  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
                        7  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
                        8  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
                        9  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
                       10  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
                       11  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
                       12  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
                       13  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
                       14  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
                       15  0.000000000000000000e+00  3.431456531288697533e+03  3.431342310944226028e+03  3.431228085686543636e+03  3.431113855522712129e+03  3.430999620459783728e+03  3.430999609036032780e+03 
                       16  0.000000000000000000e+00  4.008961783973456477e+03  4.008697701744548340e+03  4.008433604055054275e+03  4.008169490926160506e+03  4.007905362379021426e+03  4.007905335965396262e+03 
                       17  0.000000000000000000e+00  5.414673171012243984e+03  5.414025270522026403e+03  5.413377328459677301e+03  5.412729344881689030e+03  5.412081319844479367e+03  5.412081255039904136e+03 
                       18  0.000000000000000000e+00  7.529045757260635582e+03  7.528632739512233456e+03  7.528219666553338357e+03  7.527806538454571637e+03  7.527393355286451879e+03  7.527393313965382731e+03 
                       19  0.000000000000000000e+00  8.965928165412986345e+03  8.965729069597611669e+03  8.965529911698700744e+03  8.965330691793931692e+03  8.965131409960880774e+03  8.965131390029602699e+03 
                       20  0.000000000000000000e+00  9.719058418146654731e+03  9.719049041360636693e+03  9.719039601562952157e+03  9.719030098831290161e+03  9.719020533243223326e+03  9.719020532283524517e+03 
                       21  0.000000000000000000e+00  9.918322513273291406e+03  9.918363617747618264e+03  9.918404659106694453e+03  9.918445637428207192e+03  9.918486552789730922e+03  9.918486556878122428e+03 
                       22  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       23  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       24  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       25  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       26  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       27  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       28  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       29  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       30  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       31  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       32  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       33  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       34  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       35  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       36  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       37  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       38  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       39  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       40  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       41  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       42  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       43  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       44  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       45  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       46  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       47  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       48  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       49  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       50  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       51  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       52  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       53  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       54  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       55  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       56  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       57  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       58  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       59  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       60  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       61  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       62  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       63  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
                       64  0.000000000000000000e+00  9.958332385646323019e+03  9.958383667824806253e+03  9.958434886888036999e+03  9.958486042913706115e+03  9.958537135979386221e+03  9.958537141085547773e+03 
