     Count               1-iterative            2000-iterative            4000-iterative            6000-iterative            8000-iterative           10000-iterative           10001-iterative 
         0  0.000000000000000000e+00  3.000000000000000000e+02  3.000000000000000000e+02  3.000000000000000000e+02  3.000000000000000000e+02  3.000000000000000000e+02  3.000000000000000000e+02 
         1  0.000000000000000000e+00  9.000000000000000000e+02  9.000000000000000000e+02  9.000000000000000000e+02  9.000000000000000000e+02  9.000000000000000000e+02  9.000000000000000000e+02 
         2  0.000000000000000000e+00  2.400000000000000000e+03  2.400000000000000000e+03  2.400000000000000000e+03  2.400000000000000000e+03  2.400000000000000000e+03  2.400000000000000000e+03 
         3  0.000000000000000000e+00  3.000000000000000000e+03  3.000000000000000000e+03  3.000000000000000000e+03  3.000000000000000000e+03  3.000000000000000000e+03  3.000000000000000000e+03 
         4  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
         5  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
         6  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
         7  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
         8  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
         9  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
        10  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
        11  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
        12  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
        13  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
        14  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
        15  0.000000000000000000e+00  3.431559325392083792e+03  3.431547904022012972e+03  3.431536482602682099e+03  3.431525061134098905e+03  3.431513639616270666e+03  3.431513628194727971e+03 
        16  0.000000000000000000e+00  4.009199444743143886e+03  4.009173038610711046e+03  4.009146632323288031e+03  4.009120225880898488e+03  4.009093819283563789e+03  4.009093792876888983e+03 
        17  0.000000000000000000e+00  5.415256245862523429e+03  5.415191461434483244e+03  5.415126676589696217e+03  5.415061891328227830e+03  5.414997105650131743e+03  5.414997040864246628e+03 
        18  0.000000000000000000e+00  7.529417425970796103e+03  7.529376131660300416e+03  7.529334836796420859e+03  7.529293541379232920e+03  7.529252245408811177e+03  7.529252204112563959e+03 
        19  0.000000000000000000e+00  8.966107298501125115e+03  8.966087397312885514e+03  8.966067495502404199e+03  8.966047593069766663e+03  8.966027690015049302e+03  8.966027670111683619e+03 
        20  0.000000000000000000e+00  9.719066803314826757e+03  9.719065874154814082e+03  9.719064944363288305e+03  9.719064013940318546e+03  9.719063082885993936e+03  9.719063081954624067e+03 
        21  0.000000000000000000e+00  9.918285465218586978e+03  9.918289584198590092e+03  9.918293702546048735e+03  9.918297820261024754e+03  9.918301937343612735e+03  9.918301941460378657e+03 
        22  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        23  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        24  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        25  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        26  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        27  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        28  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        29  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        30  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        31  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        32  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        33  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        34  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        35  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        36  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        37  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        38  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        39  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        40  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        41  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        42  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        43  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        44  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        45  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        46  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        47  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        48  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        49  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        50  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        51  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        52  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        53  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        54  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        55  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        56  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        57  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        58  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        59  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        60  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        61  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        62  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        63  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        64  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
        65  0.000000000000000000e+00  9.958286177657877488e+03  9.958291314408295875e+03  9.958296450526171611e+03  9.958301586011562904e+03  9.958306720864566159e+03  9.958306725999103946e+03 
