     Count               1-iterative             200-iterative             400-iterative             600-iterative             800-iterative            1000-iterative            1001-iterative 
         0  0.000000000000000000e+00  3.000000000000000000e+02  3.000000000000000000e+02  3.000000000000000000e+02  3.000000000000000000e+02  3.000000000000000000e+02  3.000000000000000000e+02 
         1  0.000000000000000000e+00  9.000000000000000000e+02  9.000000000000000000e+02  9.000000000000000000e+02  9.000000000000000000e+02  9.000000000000000000e+02  9.000000000000000000e+02 
         2  0.000000000000000000e+00  2.400000000000000000e+03  2.400000000000000000e+03  2.400000000000000000e+03  2.400000000000000000e+03  2.400000000000000000e+03  2.400000000000000000e+03 
         3  0.000000000000000000e+00  3.000000000000000000e+03  3.000000000000000000e+03  3.000000000000000000e+03  3.000000000000000000e+03  3.000000000000000000e+03  3.000000000000000000e+03 
         4  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
         5  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
         6  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
         7  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
         8  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
         9  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
        10  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
        11  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
        12  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
        13  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
        14  0.000000000000000000e+00  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03  3.300000000000000000e+03 
        15  0.000000000000000000e+00  3.433902382201576074e+03  3.431581151410488928e+03  3.431567320321820716e+03  3.431566178190479604e+03  3.431565036058645092e+03  3.431565024637324314e+03 
        16  0.000000000000000000e+00  4.014615677023488388e+03  4.009249906238963376e+03  4.009217928943619881e+03  4.009215288348202193e+03  4.009212647751234272e+03  4.009212621345256593e+03 
        17  0.000000000000000000e+00  5.428543553596280617e+03  5.415380047273222772e+03  5.415301594714166640e+03  5.415295116319293811e+03  5.415288637920250949e+03  5.415288573136239393e+03 
        18  0.000000000000000000e+00  7.537880603448865259e+03  7.529496337552651312e+03  7.529446331658851705e+03  7.529442202291446847e+03  7.529438072918505895e+03  7.529438031624748874e+03 
        19  0.000000000000000000e+00  8.970178217926617435e+03  8.966145327786884081e+03  8.966121228962625537e+03  8.966119238915365713e+03  8.966117248861884946e+03  8.966117228961318688e+03 
        20  0.000000000000000000e+00  9.719243677304406447e+03  9.719068577164636736e+03  9.719067453351037329e+03  9.719067360507669946e+03  9.719067267657990669e+03  9.719067266729460243e+03 
        21  0.000000000000000000e+00  9.917426229833496109e+03  9.918277592106102020e+03  9.918282581556164587e+03  9.918282993526920109e+03  9.918283405491351004e+03  9.918283409610963645e+03 
        22  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        23  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        24  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        25  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        26  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        27  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        28  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        29  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        30  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        31  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        32  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        33  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        34  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        35  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        36  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        37  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        38  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        39  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        40  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        41  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        42  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        43  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        44  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        45  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        46  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        47  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        48  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        49  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        50  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        51  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        52  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        53  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        54  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        55  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        56  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        57  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        58  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        59  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        60  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        61  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        62  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        63  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        64  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
        65  0.000000000000000000e+00  9.957218053734344721e+03  9.958276359593424786e+03  9.958282581556164587e+03  9.958283095303961090e+03  9.958283609045434787e+03  9.958283614182817473e+03 
