     Count               1-iterative               2-iterative               4-iterative               6-iterative               8-iterative              10-iterative              11-iterative 
         0  0.000000000000000000e+00  0.000000000000000000e+00  4.644000000000000128e+00  7.466697759800000611e+00  1.134282507757646030e+01  1.637274396874513371e+01  2.163003725047259351e+01 
         1  0.000000000000000000e+00  0.000000000000000000e+00  1.619770000000000110e+01  2.568189119539999865e+01  3.850823477070389345e+01  5.548215716925258789e+01  7.375231022696941352e+01 
         2  0.000000000000000000e+00  0.000000000000000000e+00  4.586599999999999966e+01  7.145585943940000107e+01  1.054059884276715451e+02  1.512212568317984278e+02  2.017338347814471433e+02 
         3  0.000000000000000000e+00  0.000000000000000000e+00  7.164969999999999573e+01  1.063434394271999963e+02  1.494379272404179630e+02  2.112246314661001634e+02  2.846613287839885515e+02 
         4  0.000000000000000000e+00  0.000000000000000000e+00  9.418840000000000146e+01  1.277614512609999906e+02  1.618462038457229539e+02  2.187079537746553513e+02  2.970922376424700246e+02 
         5  0.000000000000000000e+00  0.000000000000000000e+00  1.101450999999999993e+02  1.280669574126999919e+02  1.307114196102772894e+02  1.624142240408507405e+02  2.223959984884871517e+02 
         6  0.000000000000000000e+00  0.000000000000000000e+00  1.249217999999999904e+02  1.171523265590000165e+02  7.680266515564294139e+01  7.486938955715666566e+01  1.000746228600810923e+02 
         7  0.000000000000000000e+00  0.000000000000000000e+00  1.449937000000000182e+02  1.098639169296999967e+02  2.661158181680937673e+01  2.379955647718384526e+01  3.173852261298830513e+01 
         8  0.000000000000000000e+00  0.000000000000000000e+00  1.894096000000000117e+02  1.468376439468000285e+02  3.344728640555359789e+01  3.386078078240878142e+00  3.998400557068754857e+00 
         9  0.000000000000000000e+00  0.000000000000000000e+00  2.767733000000000061e+02  2.676052112911000336e+02  1.234520196088883637e+02  4.691592672761247229e+01  1.331716784700429557e+01 
        10  0.000000000000000000e+00  0.000000000000000000e+00  4.274510000000000218e+02  5.152403302449999956e+02  3.937387840836716464e+02  1.996334735555366819e+02  1.034776804879295184e+02 
        11  0.000000000000000000e+00  0.000000000000000000e+00  6.222890999999999622e+02  8.542256840460000831e+02  8.155638639174503624e+02  6.173990074695972226e+02  3.709431503444577061e+02 
        12  0.000000000000000000e+00  0.000000000000000000e+00  8.440960000000001173e+02  1.253667244657000083e+03  1.345386730480923461e+03  1.210117631501165079e+03  9.498084662008074019e+02 
        13  0.000000000000000000e+00  0.000000000000000000e+00  1.075574000000000069e+03  1.682007377187999964e+03  1.936516238912756307e+03  1.929596552551533023e+03  1.731099347389622153e+03 
        14  0.000000000000000000e+00  0.000000000000000000e+00  1.311654999999999973e+03  2.130600235174999852e+03  2.574265228802869387e+03  2.733358884435852360e+03  2.677944688233768829e+03 
        15  0.000000000000000000e+00  0.000000000000000000e+00  1.548208000000000084e+03  2.589954020570000012e+03  3.242739089740654435e+03  3.597343510205178973e+03  3.723902061720707934e+03 
        16  0.000000000000000000e+00  0.000000000000000000e+00  1.778537000000000035e+03  3.043938083377000112e+03  3.913724391847160859e+03  4.478696322709233755e+03  4.809008731253954466e+03 
        17  0.000000000000000000e+00  0.000000000000000000e+00  1.981865999999999985e+03  3.447914383207999890e+03  4.515670889312286818e+03  5.275940510880410329e+03  5.798882695769246311e+03 
        18  0.000000000000000000e+00  0.000000000000000000e+00  2.137653000000000247e+03  3.758636795191000147e+03  4.980477949057292790e+03  5.893982277690466617e+03  6.569310052199498386e+03 
        19  0.000000000000000000e+00  0.000000000000000000e+00  2.223600000000000364e+03  3.930318847190000270e+03  5.237683209042293129e+03  6.236499005620466050e+03  6.996926611989498269e+03 
        20  0.000000000000000000e+00  0.000000000000000000e+00  2.261591000000000349e+03  4.006264851190000172e+03  5.351548229042292405e+03  6.388247061620466411e+03  7.186521731989498221e+03 
