     Count               Iteration-1               Iteration-4               Iteration-8              Iteration-12              Iteration-16              Iteration-20              Iteration-21 
         0  0.000000000000000000e+00  4.644000000000000128e+00  1.134282507757645853e+01  2.163003725047259351e+01  3.181246203452515431e+01  3.987294367218538582e+01  4.220221927613816604e+01 
         1  0.000000000000000000e+00  1.619770000000000110e+01  3.850823477070389345e+01  7.375231022696941352e+01  1.101376333341974885e+02  1.410877498406343875e+02  1.518449803472835242e+02 
         2  0.000000000000000000e+00  4.586599999999999966e+01  1.054059884276715309e+02  2.017338347814471433e+02  3.049921383397114596e+02  3.957925942111087352e+02  4.293557669654761639e+02 
         3  0.000000000000000000e+00  7.164969999999999573e+01  1.494379272404179630e+02  2.846613287839885515e+02  4.462611215748113409e+02  6.031968040533012072e+02  6.704684169213867335e+02 
         4  0.000000000000000000e+00  9.418840000000000146e+01  1.618462038457229539e+02  2.970922376424700246e+02  4.958444152122222590e+02  7.128658591768710266e+02  8.155713866778233978e+02 
         5  0.000000000000000000e+00  1.101450999999999993e+02  1.307114196102772894e+02  2.223959984884872085e+02  4.109392336582153007e+02  6.594343770541643153e+02  7.894373536047064590e+02 
         6  0.000000000000000000e+00  1.249218000000000046e+02  7.680266515564294139e+01  1.000746228600810923e+02  2.339859872747833265e+02  4.661284902625081372e+02  6.040629002049166729e+02 
         7  0.000000000000000000e+00  1.449937000000000182e+02  2.661158181680937673e+01  3.173852261298830868e+01  8.710197863831879772e+01  2.505281595610805994e+02  3.677759207166773194e+02 
         8  0.000000000000000000e+00  1.894096000000000117e+02  3.344728640555359789e+01  3.998400557068754413e+00  2.072662322286273096e+01  9.003242005839616979e+01  1.620466613954369848e+02 
         9  0.000000000000000000e+00  2.767733000000000629e+02  1.234520196088883495e+02  1.331716784700428136e+01  1.384900286150833049e+00  2.241504312015019451e+01  4.805693029467283850e+01 
        10  0.000000000000000000e+00  4.274510000000000787e+02  3.937387840836715895e+02  1.034776804879294900e+02  0.000000000000000000e+00  2.120502618816507479e+00  8.630842777340195227e+00 
        11  0.000000000000000000e+00  6.222890999999999622e+02  8.155638639174503624e+02  3.709431503444575924e+02  7.416522983936080493e+01  0.000000000000000000e+00  0.000000000000000000e+00 
        12  0.000000000000000000e+00  8.440960000000000036e+02  1.345386730480923461e+03  9.498084662008074019e+02  3.300415250864293739e+02  9.177223359301910932e+01  3.944779928109308997e+01 
        13  0.000000000000000000e+00  1.075574000000000069e+03  1.936516238912756307e+03  1.731099347389622153e+03  1.045522435323962327e+03  4.323049469018307605e+02  2.874599889078165234e+02 
        14  0.000000000000000000e+00  1.311654999999999973e+03  2.574265228802868933e+03  2.677944688233768829e+03  2.134907901639490774e+03  1.386680577221041176e+03  1.022498734782860311e+03 
        15  0.000000000000000000e+00  1.548208000000000084e+03  3.242739089740654890e+03  3.723902061720708389e+03  3.497289553108725158e+03  2.893049188178082204e+03  2.539662958503740356e+03 
        16  0.000000000000000000e+00  1.778536999999999807e+03  3.913724391847160859e+03  4.809008731253954466e+03  4.970143183418151239e+03  4.699031526439488516e+03  4.460952986926427911e+03 
        17  0.000000000000000000e+00  1.981865999999999758e+03  4.515670889312286818e+03  5.798882695769246311e+03  6.337291314291190247e+03  6.432837209479397643e+03  6.374117668446972857e+03 
        18  0.000000000000000000e+00  2.137653000000000247e+03  4.980477949057292790e+03  6.569310052199498386e+03  7.409945789276192045e+03  7.804332205467965650e+03  7.893765006097478363e+03 
        19  0.000000000000000000e+00  2.223599999999999909e+03  5.237683209042293129e+03  6.996926611989498269e+03  8.007127520275192182e+03  8.570233810407964484e+03  8.743709821252476104e+03 
        20  0.000000000000000000e+00  2.261590999999999894e+03  5.351548229042293315e+03  7.186521731989498221e+03  8.272308884275191303e+03  8.910857626407963835e+03  9.122000961252475463e+03 
