     Count               Iteration-1               Iteration-4               Iteration-8              Iteration-12              Iteration-16              Iteration-20              Iteration-24              Iteration-28              Iteration-31 
         0 -2.000000000000000000e+00  4.937500000000000000e+02  1.409316989746093896e+03  2.236703791435622406e+03  2.984403224985388988e+03  3.660090148910755488e+03  4.270700239900811539e+03  4.822501184874954561e+03  5.321157015963967751e+03 
         1 -2.000000000000000000e+00  4.937500000000000000e+02  1.409316989746093896e+03  2.236703791435623316e+03  2.984403224986341229e+03  3.660090148952333948e+03  4.270700240514136567e+03  4.822501189903778140e+03  5.321157044356642473e+03 
         2 6.934053727960832833e-310  4.937500000000000000e+02  1.409316989746093896e+03  2.236703791435242238e+03  2.984403224910161953e+03  3.660090147105974665e+03  4.270700221662407785e+03  4.822501071724787835e+03  5.321156504312813922e+03 
         3 9.734698130969006051e-309  4.937500000000000000e+02  1.409316989746093896e+03  2.236703791503830416e+03  2.984403229477102741e+03  3.660090213504443000e+03  4.270700705797693445e+03  4.822503431728831856e+03  5.321165326012720470e+03 
         4 6.934053728616408539e-310  4.937500000000000000e+02  1.409316989746093896e+03  2.236703784193344291e+03  2.984403020920889503e+03  3.660088284475511955e+03  4.270690394204064432e+03  4.822463759571543960e+03  5.321042856812586251e+03 
         5 6.934053728629451872e-310  4.937500000000000000e+02  1.409316992187500091e+03  2.236704295423813164e+03  2.984410310569326612e+03  3.660133218264575135e+03  4.270870473012659204e+03  4.823017814747325247e+03  5.322467651734461469e+03 
         6 6.934053728641704700e-310  4.937500000000000000e+02  1.409316406738281330e+03  2.236679788587875464e+03  2.984216269065420420e+03  3.659305563967699982e+03  4.268335225454065039e+03  4.816706403614512965e+03  5.308840979371180765e+03 
         7  0.000000000000000000e+00  4.937500000000000000e+02  1.409374883300781221e+03  2.237495179212875428e+03  2.988087323752920383e+03  3.671091345217700109e+03  4.296395108266564421e+03  4.873820075489512419e+03  5.413108440308679747e+03 
         8 8.407352952816840262e-315  4.937500000000000000e+02  1.406261602050781221e+03  2.218909241712875883e+03  2.931994355002920656e+03  3.545981970217699654e+03  4.061484952016564421e+03  4.479249762989512419e+03  4.800143596558669742e+03 
         9 1.390671161567000864e-308  5.000000000000000000e+02  1.499386602050781221e+03  2.496409241712875883e+03  3.489369355002920202e+03  4.476731970217699200e+03  5.457109952016566240e+03  6.429249762989543342e+03  7.392018596559024445e+03 
        10 6.953238202175526517e-310  1.250000000000000000e+00  1.813660205078124932e+01  5.265924171287555566e+01  1.031193550029204999e+02  1.679819702176976079e+02  2.458599520164893306e+02  3.354997629883981745e+02  4.357685965487854105e+02 
        11                       nan  1.250000000000000000e+00  1.813660205078124932e+01  5.265924171287555566e+01  1.031193550029222479e+02  1.679819702178488967e+02  2.458599520198376638e+02  3.354997630250090310e+02  4.357685968072063361e+02 
