     Count               Iteration-1               Iteration-4               Iteration-8              Iteration-12              Iteration-16              Iteration-20              Iteration-24              Iteration-28              Iteration-31 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  0.000000000000000000e+00  1.462812500000000000e+02  3.248168130004883096e+02  4.861572393299463783e+02  6.319586288721525307e+02  7.637175790377427802e+02  8.827865467838494169e+02  9.903877310852248002e+02  1.064231403441319571e+03 
         2  0.000000000000000000e+00  1.462812500000000000e+02  3.248168130004883096e+02  4.861572393299463783e+02  6.319586288721525307e+02  7.637175790377427802e+02  8.827865467838494169e+02  9.903877310852248002e+02  1.064231403441319571e+03 
         3  0.000000000000000000e+00  1.462812500000000000e+02  3.248168130004883096e+02  4.861572393299463783e+02  6.319586288721525307e+02  7.637175790377427802e+02  8.827865467838494169e+02  9.903877310852248002e+02  1.064231403441319571e+03 
         4  0.000000000000000000e+00  1.462812500000000000e+02  3.248168130004883096e+02  4.861572393299463783e+02  6.319586288721525307e+02  7.637175790377427802e+02  8.827865467838494169e+02  9.903877310852248002e+02  1.064231403441319571e+03 
         5  0.000000000000000000e+00  1.462812500000000000e+02  3.248168130004883096e+02  4.861572393299463783e+02  6.319586288721525307e+02  7.637175790377427802e+02  8.827865467838494169e+02  9.903877310852248002e+02  1.064231403441319571e+03 
         6  0.000000000000000000e+00  1.462812500000000000e+02  3.248168130004883096e+02  4.861572393299463783e+02  6.319586288721525307e+02  7.637175790377427802e+02  8.827865467838494169e+02  9.903877310852248002e+02  1.064231403441319571e+03 
         7  0.000000000000000000e+00  1.462812500000000000e+02  3.248168130004883096e+02  4.861572393299463783e+02  6.319586288721525307e+02  7.637175790377427802e+02  8.827865467838494169e+02  9.903877310852248002e+02  1.064231403441319571e+03 
         8  0.000000000000000000e+00  1.462812500000000000e+02  3.248168130004883096e+02  4.861572393299463783e+02  6.319586288721525307e+02  7.637175790377427802e+02  8.827865467838494169e+02  9.903877310852248002e+02  1.064231403441319571e+03 
         9  0.000000000000000000e+00  1.462812500000000000e+02  3.248168130004883096e+02  4.861572393299463783e+02  6.319586288721525307e+02  7.637175790377427802e+02  8.827865467838494169e+02  9.903877310852248002e+02  1.064231403441319571e+03 
        10  0.000000000000000000e+00  1.462812500000000000e+02  3.248168130004883096e+02  4.861572393299463783e+02  6.319586288721525307e+02  7.637175790377427802e+02  8.827865467838494169e+02  9.903877310852248002e+02  1.064231403441319571e+03 
        11  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
