     Count               Iteration-1               Iteration-4               Iteration-8              Iteration-12              Iteration-16              Iteration-20              Iteration-24              Iteration-28              Iteration-31 
         0  0.000000000000000000e+00  9.506250000000000000e+03  8.590683010253906104e+03  7.763296208564377594e+03  7.015596775014601917e+03  6.339909851088498726e+03  5.729299760082823013e+03  5.177498814947564824e+03  4.678842982793402371e+03 
         1  0.000000000000000000e+00  9.506250000000000000e+03  8.590683010253906104e+03  7.763296208564377594e+03  7.015596775014601917e+03  6.339909851088498726e+03  5.729299760082823013e+03  5.177498814947564824e+03  4.678842982793402371e+03 
         2  0.000000000000000000e+00  9.506250000000000000e+03  8.590683010253906104e+03  7.763296208564377594e+03  7.015596775014601917e+03  6.339909851088498726e+03  5.729299760082823013e+03  5.177498814947564824e+03  4.678842982793402371e+03 
         3  0.000000000000000000e+00  9.506250000000000000e+03  8.590683010253906104e+03  7.763296208564377594e+03  7.015596775014601917e+03  6.339909851088498726e+03  5.729299760082823013e+03  5.177498814947564824e+03  4.678842982793402371e+03 
         4  0.000000000000000000e+00  9.506250000000000000e+03  8.590683010253906104e+03  7.763296208564377594e+03  7.015596775014601917e+03  6.339909851088498726e+03  5.729299760082823013e+03  5.177498814947564824e+03  4.678842982793402371e+03 
         5  0.000000000000000000e+00  9.506250000000000000e+03  8.590683010253906104e+03  7.763296208564377594e+03  7.015596775014601917e+03  6.339909851088498726e+03  5.729299760082823013e+03  5.177498814947564824e+03  4.678842982793402371e+03 
         6  0.000000000000000000e+00  9.506250000000000000e+03  8.590683010253906104e+03  7.763296208564377594e+03  7.015596775014601917e+03  6.339909851088498726e+03  5.729299760082823013e+03  5.177498814947564824e+03  4.678842982793402371e+03 
         7  0.000000000000000000e+00  9.506250000000000000e+03  8.590683010253906104e+03  7.763296208564377594e+03  7.015596775014601917e+03  6.339909851088498726e+03  5.729299760082823013e+03  5.177498814947564824e+03  4.678842982793402371e+03 
         8  0.000000000000000000e+00  9.506250000000000000e+03  8.590683010253906104e+03  7.763296208564377594e+03  7.015596775014601917e+03  6.339909851088498726e+03  5.729299760082823013e+03  5.177498814947564824e+03  4.678842982793402371e+03 
         9  0.000000000000000000e+00  9.506250000000000000e+03  8.590683010253906104e+03  7.763296208564377594e+03  7.015596775014601917e+03  6.339909851088498726e+03  5.729299760082823013e+03  5.177498814947564824e+03  4.678842982793402371e+03 
