     Count               Iteration-1               Iteration-4               Iteration-8              Iteration-12              Iteration-16              Iteration-20              Iteration-24              Iteration-28              Iteration-31 
         0  0.000000000000000000e+00 -5.010000000000005116e+00 -5.455403962400012574e+00 -2.709080495446087866e+00 -7.144010851615263391e-01 -2.631179201628697228e-02  1.855101139275916466e-02 -1.461083807376155619e-01 -3.339958367896684877e-01 
         1  0.000000000000000000e+00  1.242000000000004434e+01  2.846055659599983301e+00  7.332112987825212258e-01  7.790792212163353270e-01  1.135581701151920697e+00  1.404042621215353392e+00  1.539810530747047324e+00  1.566682556362735568e+00 
         2  0.000000000000000000e+00  1.781999999999999318e+01  3.952297827099982896e+00 -2.502979057991296941e-01 -2.024584535666576812e+00 -2.291482241802327735e+00 -1.954216182782431588e+00 -1.454036128017037299e+00 -9.711111874493667528e-01 
         3  0.000000000000000000e+00  2.062000000000000455e+01  3.744295814999929917e+00  2.554090334710508614e+00  5.772074601725307730e-02 -1.644781771789610048e+00 -2.619626321656483015e+00 -3.116459360941405521e+00 -3.308311131378161463e+00 
         4  0.000000000000000000e+00  2.835000000000002274e+01 -1.153372199200077830e+00  5.940584202537706915e+00  7.588675649896003961e+00  7.417558370865435791e+00  6.688171879811193321e+00  5.828195974140896851e+00  4.992990607147646642e+00 
         5  0.000000000000000000e+00  5.139999999999997726e+01 -1.452992830260006940e+01 -6.580986465019464049e+00 -1.433301183371213483e+00  1.288787527000522459e+00  2.651154519622309635e+00  3.263047572714185662e+00  3.450090719693548635e+00 
         6  0.000000000000000000e+00  9.811000000000001364e+01 -1.703292686039992532e+01 -2.382227415896045386e+01 -2.338403068789205008e+01 -2.133964289107439072e+01 -1.891078620244809372e+01 -1.647698628042996916e+01 -1.419292967791921001e+01 
         7  0.000000000000000000e+00  1.629000000000000909e+02  4.386730611659993428e+01  2.830394870367933891e+01  2.076873528618500586e+01  1.618637960923751962e+01  1.295531570327023019e+01  1.049236052513697359e+01  8.543633455081021566e+00 
         8  0.000000000000000000e+00  1.355400000000001910e+02  4.903437453549997826e+01  4.024313811847196121e+01  3.222724266950137917e+01  2.593325177209999310e+01  2.096127725794940488e+01  1.697889824975584361e+01  1.376567876035971949e+01 
         9  0.000000000000000000e+00 -1.013399999999999181e+02 -1.286627584053999271e+02 -9.185357893591572065e+01 -6.968418418163787464e+01 -5.402009880812488518e+01 -4.229458131862224946e+01 -3.331359224254970286e+01 -2.635515926936886899e+01 
        10  0.000000000000000000e+00  1.840499999999999545e+02  4.905690020309998545e+01  4.268525214994792805e+01  3.395323644168206556e+01  2.628388523861485737e+01  2.021864211020601942e+01  1.557128956767905947e+01  1.204097386381454271e+01 
        11  0.000000000000000000e+00  2.598200000000001637e+02  4.127871076599967637e+01  2.965618463645114389e+01  2.329187307034862897e+01  1.855189875354381002e+01  1.481516387400188250e+01  1.183764943711594242e+01  9.460588951269073732e+00 
        12  0.000000000000000000e+00  2.426300000000001091e+02 -2.223818949330006944e+01 -2.821072746065146930e+01 -2.488977661902526961e+01 -2.049956970519815513e+01 -1.653924113339553514e+01 -1.325254220749138767e+01 -1.059669416667247788e+01 
        13  0.000000000000000000e+00  2.390399999999999636e+02 -1.354139977520026150e+01 -1.373709582292212872e+01 -1.017070212729959167e+01 -6.945782633828457620e+00 -4.553926092256915581e+00 -2.892205952524818713e+00 -1.774118654897392844e+00 
        14  0.000000000000000000e+00  2.426700000000000728e+02  1.616462532269906660e+01  1.384225345629511139e+01  9.543860220977876452e+00  6.032126687904565188e+00  3.561360063767097017e+00  1.920046686654131918e+00  8.692347833912208444e-01 
        15  0.000000000000000000e+00  2.348999999999996362e+02  2.456048559219925664e+01  3.045225857534114766e+01  2.737118484853999689e+01  2.295851718271569553e+01  1.884882238373847940e+01  1.535571491279461043e+01  1.247405031872585823e+01 
        16  0.000000000000000000e+00  2.110900000000001455e+02 -4.546357557779992931e+01 -3.272860270826731721e+01 -2.536349652891294681e+01 -2.008381036380251317e+01 -1.601963367206099065e+01 -1.282083929784403153e+01 -1.028157403338718723e+01 
        17  0.000000000000000000e+00  2.903999999999996362e+02 -5.349902008100070816e+01 -4.700786900680395775e+01 -3.746830541157396510e+01 -2.917346547987835947e+01 -2.260190571276507399e+01 -1.753638652187873959e+01 -1.365913075502794527e+01 
        18  0.000000000000000000e+00  6.025999999999985448e+02  1.440505449171996588e+02  1.021166691368744068e+02  7.732591728135957965e+01  5.986376208400906762e+01  4.684140839139035961e+01  3.689608752313506557e+01  2.920634427922595933e+01 
        19  0.000000000000000000e+00  3.345000000000000000e+02 -5.348851241319971450e+01 -4.489676963304009405e+01 -3.595644788264689851e+01 -2.884134383168202476e+01 -2.321573351954975806e+01 -1.873351781981000386e+01 -1.514209710979775991e+01 
        20  0.000000000000000000e+00  2.991999999999989086e+02 -4.771413500349990500e+01 -3.158825958675697620e+01 -2.319461377765583165e+01 -1.803356362585873285e+01 -1.439174655652277579e+01 -1.162902710393973393e+01 -9.457379371542629087e+00 
        21  0.000000000000000000e+00  3.662999999999992724e+02  2.008631565379801032e+01  2.662685898773634108e+01  2.601219209565533674e+01  2.362125503302377183e+01  2.084553077289638168e+01  1.810886106062025647e+01  1.556891570709558437e+01 
        22  0.000000000000000000e+00  4.133999999999996362e+02  1.711182932930023526e+01  7.719792828987920075e+00  2.003695678353324183e+00 -1.122989286102892947e+00 -2.741933698178399936e+00 -3.495770578667361406e+00 -3.746310026899664081e+00 
        23  0.000000000000000000e+00  4.346999999999989086e+02  1.480479529998774524e+00 -6.747676385892191320e+00 -8.288350786162482109e+00 -7.955574870284181088e+00 -7.101524891988447052e+00 -6.156747825580168865e+00 -5.262618262686373782e+00 
        24  0.000000000000000000e+00  4.400000000000000000e+02 -4.504085161201146548e+00 -4.221668482772656716e+00 -1.279073107671138132e+00  8.800178980800410500e-01  2.198085998708847910e+00  2.917885031582045485e+00  3.242705992750416044e+00 
        25  0.000000000000000000e+00  4.408999999999996362e+02 -1.846224804401572328e+00  1.009011724027004675e+00  2.483492179113454768e+00  2.573055813698374550e+00  2.152581245234614471e+00  1.614125522655740497e+00  1.108724977842939552e+00 
        26  0.000000000000000000e+00  4.410000000000000000e+02  1.142739645700203255e+00  1.868827556811083923e+00  1.112555542869813507e+00  1.333175655126979109e-01 -5.735946671466081170e-01 -9.941909033732372336e-01 -1.203747422068772721e+00 
        27  0.000000000000000000e+00  4.410000000000000000e+02  1.694111041799260420e+00  2.611291145913128275e-01 -6.795693266049056547e-01 -9.760577711567748338e-01 -8.817809128577209776e-01 -6.361829623783705756e-01 -3.645247217427822761e-01 
        28  0.000000000000000000e+00  4.410000000000000000e+02  1.225494309897840139e+00 -4.828855677278625080e-01 -5.578241588773380499e-01 -2.255536845077585895e-01  1.025605487502616597e-01  3.175472311049816199e-01  4.238909563937340863e-01 
        29  0.000000000000000000e+00  4.410000000000000000e+02  8.411859251973510254e-01 -2.698483634503645590e-01  7.556158980150939897e-02  3.164450200947612757e-01  3.598832001334812958e-01  2.897095795506174909e-01  1.787670103112759534e-01 
