     Count               Iteration-1               Iteration-4               Iteration-8              Iteration-12              Iteration-16              Iteration-20              Iteration-24              Iteration-28              Iteration-31 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         2  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         3  0.000000000000000000e+00  0.000000000000000000e+00  1.804999999999999938e+00  1.714749999999999996e+00  1.621864924371867023e+00  1.616068473676361528e+00  1.613309722891039577e+00  1.609493927812762237e+00  0.000000000000000000e+00 
         4  0.000000000000000000e+00  0.000000000000000000e+00  7.219999999999999751e+00  6.858999999999999986e+00  6.457179769283711401e+00  6.415741617468751379e+00  6.401773496727922286e+00  6.386242986490541895e+00  0.000000000000000000e+00 
         5  0.000000000000000000e+00  0.000000000000000000e+00  2.166000000000000014e+01  2.057699999999999818e+01  1.928911431813641641e+01  1.911069500378301456e+01  1.905472545603826973e+01  1.899915535979303272e+01  0.000000000000000000e+00 
         6  0.000000000000000000e+00  0.000000000000000000e+00  3.971000000000000085e+01  3.772449999999999903e+01  3.507193194095560784e+01  3.456602240104620449e+01  3.442392589465669772e+01  3.430673639442083811e+01  0.000000000000000000e+00 
         7  0.000000000000000000e+00  0.000000000000000000e+00  5.956499999999999773e+01  5.658674999999999500e+01  5.261146729011346679e+01  5.192983305049948939e+01  5.180417083085541918e+01  5.181312994479218048e+01  1.527748863075160557e+00 
         8  0.000000000000000000e+00  0.000000000000000000e+00  7.942000000000000171e+01  7.544899999999999807e+01  7.112284675297985359e+01  7.068399629449478994e+01  7.038732845422536855e+01  7.003120283845179017e+01  3.166308741297683582e+00 
         9  0.000000000000000000e+00  0.000000000000000000e+00  9.927500000000000568e+01  9.431125000000000114e+01  8.930006172938975340e+01  8.907962882976919161e+01  8.882201258494120566e+01  8.836948279146319862e+01  4.154794109743050967e+00 
        10  0.000000000000000000e+00  0.000000000000000000e+00  1.191299999999999955e+02  1.131734999999999900e+02  1.066680031600076148e+02  1.061823651353942921e+02  1.063217795087539344e+02  1.067399313731879147e+02  5.113251065095255399e+00 
        11  0.000000000000000000e+00  0.000000000000000000e+00  1.389850000000000136e+02  1.320357500000000073e+02  1.243082138736432398e+02  1.235484118404040146e+02  1.231585668725333989e+02  1.227173854988259620e+02  9.556312054226623331e-02 
        12  0.000000000000000000e+00  0.000000000000000000e+00  1.588400000000000034e+02  1.508979999999999961e+02  1.428986639174078732e+02  1.424362590611667656e+02  1.417155943958624960e+02  1.409142530086809870e+02  0.000000000000000000e+00 
        13  0.000000000000000000e+00  0.000000000000000000e+00  1.949399999999999977e+02  1.851929999999999836e+02  1.755775341909474889e+02  1.739970775613523699e+02  1.710169613106107533e+02  1.681071274081172646e+02  0.000000000000000000e+00 
        14  0.000000000000000000e+00  0.000000000000000000e+00  2.635299999999999727e+02  2.503534999999999968e+02  2.363002689187451324e+02  2.293850493296135653e+02  2.178465092218831671e+02  2.069445228476110969e+02  0.000000000000000000e+00 
        15  0.000000000000000000e+00  0.000000000000000000e+00  4.133450000000000273e+02  3.926777500000000032e+02  3.666564127112246183e+02  3.441653013905328180e+02  3.154213031088012258e+02  2.899837843964199351e+02  4.171074017474552420e+00 
        16  0.000000000000000000e+00  0.000000000000000000e+00  5.956499999999999773e+02  5.658674999999999500e+02  5.197954063014680059e+02  4.776709843325364773e+02  4.538071319161050496e+02  4.400246110936317336e+02  1.051408310675793132e+02 
        17  0.000000000000000000e+00  0.000000000000000000e+00  7.942000000000000455e+02  7.544900000000000091e+02  6.929789236737894953e+02  6.557397591412542397e+02  6.234912672062037018e+02  5.953568891062950570e+02  1.900321674453091987e+02 
        18  0.000000000000000000e+00  0.000000000000000000e+00  9.927500000000000000e+02  9.431124999999999545e+02  8.631694225741521223e+02  8.030156309427607084e+02  7.488305585735812429e+02  7.033295065971757367e+02  2.294586186906137755e+02 
        19  0.000000000000000000e+00  0.000000000000000000e+00  1.191299999999999955e+03  1.131734999999999900e+03  1.022113009465748974e+03  9.399052420651594275e+02  8.737286202042807872e+02  8.226910508415095364e+02  2.896789512864551170e+02 
        20  0.000000000000000000e+00  0.000000000000000000e+00  1.389849999999999909e+03  1.320357500000000073e+03  1.169776194530768180e+03  1.073560167030778757e+03  1.004338119339763466e+03  9.519867846824507751e+02  3.619791469652138858e+02 
        21  0.000000000000000000e+00  0.000000000000000000e+00  1.588400000000000091e+03  1.508980000000000018e+03  1.318049409746336778e+03  1.205195426070252324e+03  1.123855502488021557e+03  1.060429840517130060e+03  4.092651173315808819e+02 
        22  0.000000000000000000e+00  0.000000000000000000e+00  1.768900000000000091e+03  1.680454999999999927e+03  1.481190760545963030e+03  1.354560280626332769e+03  1.261678193834548665e+03  1.189111875119784827e+03  4.815795639515408766e+02 
        23  0.000000000000000000e+00  0.000000000000000000e+00  1.913299999999999955e+03  1.817634999999999991e+03  1.650481182625672091e+03  1.538164686451560556e+03  1.452506064046236133e+03  1.384165690995418572e+03  6.304192813903130173e+02 
        24  0.000000000000000000e+00  0.000000000000000000e+00  1.967450000000000045e+03  1.869077499999999873e+03  1.655831698686460641e+03  1.517366872169598082e+03  1.413783699739397434e+03  1.332882816217166237e+03  5.269015585289516821e+02 
        25  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.664309964154972704e+03  1.529245823827709728e+03  1.426434296646801386e+03  1.344632327211717666e+03  4.957441980951226697e+02 
        26  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.693294186287993398e+03  1.563771452584440567e+03  1.462979824048075898e+03  1.381663399575475296e+03  4.946140056015370874e+02 
        27  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.715235552735793362e+03  1.589479130024818005e+03  1.486394845703952342e+03  1.401329408903023932e+03  4.768993535160420834e+02 
        28  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.726035281540321648e+03  1.603365539438017095e+03  1.499967223681062933e+03  1.413859901143566049e+03  4.575331635160356427e+02 
        29  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.732544958834346517e+03  1.614796158222211261e+03  1.513221997874094541e+03  1.427627831522047245e+03  4.437064887122318169e+02 
        30  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.737032744642255921e+03  1.625510282557696883e+03  1.526559120059721181e+03  1.441533854773995472e+03  4.331311390874304834e+02 
        31  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.739779137996152940e+03  1.633535732232066493e+03  1.536714247693418884e+03  1.452122417358111306e+03  4.224764967306961125e+02 
        32  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741050279893817788e+03  1.638898586578717868e+03  1.544184370685541353e+03  1.460454270387492897e+03  4.128845981343525864e+02 
        33  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741490175248546848e+03  1.642599517556925321e+03  1.550246978426509258e+03  1.467820211670984690e+03  4.052826627528806966e+02 
        34  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741606537958868557e+03  1.645229333290142449e+03  1.555132797448619158e+03  1.474013771721840840e+03  3.989503568590716895e+02 
        35  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741629239800171490e+03  1.646996772414705219e+03  1.558808058839789965e+03  1.478893819750516059e+03  3.934939304054171316e+02 
        36  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632420695454130e+03  1.648094677592250491e+03  1.561476464783187566e+03  1.482729887527332266e+03  3.889735633404541204e+02 
        37  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632710663412354e+03  1.648742447684697936e+03  1.563415133720120593e+03  1.485780623648238361e+03  3.853457351984716297e+02 
        38  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649113454276995981e+03  1.564810877269401090e+03  1.488165868321344760e+03  3.824356660709670450e+02 
        39  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649317395676675687e+03  1.565784880352695836e+03  1.489978937177833359e+03  3.801033157981230488e+02 
        40  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649421484706304682e+03  1.566441574824093550e+03  1.491334200558264456e+03  3.782648627705900708e+02 
        41  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649469365284591277e+03  1.566873242856697743e+03  1.492337778297189288e+03  3.768426260104661196e+02 
        42  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649488868884297062e+03  1.567150941980138214e+03  1.493070433339985584e+03  3.757551440869353883e+02 
        43  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649495844482666598e+03  1.567324746269229081e+03  1.493594644827433740e+03  3.749316642241899444e+02 
        44  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649498026691478344e+03  1.567429759375438834e+03  1.493962256307169582e+03  3.743163956891000907e+02 
        45  0.000000000000000000e+00  0.000000000000000000e+00  1.985500000000000000e+03  1.886224999999999909e+03  1.741632719703521389e+03  1.649498622201556373e+03  1.567490814800261887e+03  1.494215541187277040e+03  3.738638984099891331e+02 
