     Count               Iteration-1               Iteration-4               Iteration-8              Iteration-12              Iteration-16              Iteration-20              Iteration-24              Iteration-28              Iteration-31 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  0.000000000000000000e+00  1.326000000000000512e-01  1.033843895209913821e-01  1.275265680762242143e-02  4.238543026330067465e-03  1.034000786354852611e-02  4.867382923117379370e-03  0.000000000000000000e+00  0.000000000000000000e+00 
         2  0.000000000000000000e+00  1.539200000000000568e+00  2.095826914721796275e+00  1.868325206158715446e+00  1.895144997095606465e+00  1.990036222808846400e+00  2.048829287650447917e+00  2.082931769293656199e+00  2.099917124520238598e+00 
         3  0.000000000000000000e+00  7.540000000000001812e+00  1.070338013641992703e+01  1.011594861302916648e+01  1.014537881163986199e+01  1.040189404904166182e+01  1.056846018481168414e+01  1.065399105989492412e+01  1.068369877715786131e+01 
         4  0.000000000000000000e+00  2.611960000000000548e+01  3.926300979196370378e+01  3.989260311168179385e+01  4.016698244094297365e+01  4.074032179932186182e+01  4.125865756796395090e+01  4.161802801283009501e+01  4.178340325827603863e+01 
         5  0.000000000000000000e+00  6.358690000000001419e+01  9.539908881528148754e+01  9.941942113927828473e+01  9.972136742289605138e+01  9.998254974110867010e+01  1.002778109268183186e+02  1.005002401703393105e+02  1.005997296853957863e+02 
         6  0.000000000000000000e+00  1.235701999999999998e+02  1.838726460741375206e+02  1.969954890336937012e+02  1.985279424288530947e+02  1.984694464038964838e+02  1.984039579214702940e+02  1.984599184307830058e+02  1.985549375280572235e+02 
         7  0.000000000000000000e+00  1.929642000000000337e+02  2.761189466477117094e+02  2.986188007795499857e+02  3.019552412542446405e+02  3.017503058273186411e+02  3.011076585618718013e+02  3.005530584100855549e+02  3.002413598673557544e+02 
         8  0.000000000000000000e+00  2.636322000000000116e+02  3.654629880621715756e+02  3.950074752986741373e+02  4.012804121416417047e+02  4.028642501859236518e+02  4.033231624336891059e+02  4.033483029827223731e+02  4.032188334482152072e+02 
         9  0.000000000000000000e+00  3.251884999999999764e+02  4.565238775940456435e+02  4.866340559353781146e+02  4.918342674571431985e+02  4.935192439583707937e+02  4.947327278939370672e+02  4.957569816417919810e+02  4.964116191377786436e+02 
        10  0.000000000000000000e+00  3.608539999999999850e+02  5.604717334526661716e+02  5.951843289386450806e+02  5.975563475160564622e+02  5.968398821493603918e+02  5.964899365844114527e+02  5.965534875526451515e+02  5.967553510672872790e+02 
        11  0.000000000000000000e+00  3.495140999999999849e+02  6.608023549527943032e+02  7.157491692913600900e+02  7.203015715123307245e+02  7.179236890748871929e+02  7.149032313495118842e+02  7.121447007614707445e+02  7.103388700318553219e+02 
        12  0.000000000000000000e+00  2.795389999999999304e+02  6.901620487967810504e+02  7.685164462421247435e+02  7.830915259765419023e+02  7.879944778226648623e+02  7.909223048302876578e+02  7.930486505268528390e+02  7.942966988292838550e+02 
        13  0.000000000000000000e+00  2.670173999999998955e+02  7.639717060257448793e+02  8.550213678563303574e+02  8.732887234233205618e+02  8.805904041374781173e+02  8.853514345706302038e+02  8.888762698883797384e+02  8.909431180235130796e+02 
        14  0.000000000000000000e+00  4.401045999999998344e+02  1.000324214784763285e+03  1.060799419042310092e+03  1.051249493304756015e+03  1.038176189891527883e+03  1.028118776750547113e+03  1.020782296279760430e+03  1.016620051355799887e+03 
        15  0.000000000000000000e+00  1.005855499999999893e+03  1.827953500109071683e+03  1.949613926712390366e+03  1.972744144938584213e+03  1.981676749972696371e+03  1.987070531927856337e+03  1.990730349639369024e+03  1.992727979736043608e+03 
        16  0.000000000000000000e+00  1.757384199999999964e+03  2.822950891008626058e+03  2.959431198340006631e+03  2.980055736706088283e+03  2.986268174508048105e+03  2.989888453943088280e+03  2.992475085317904814e+03  2.993963437183342194e+03 
        17  0.000000000000000000e+00  2.567735299999999825e+03  3.866609899266334651e+03  4.008290338984423215e+03  4.018257912312183635e+03  4.014948778923316240e+03  4.011282061319000150e+03  4.008423157741868181e+03  4.006762973958045222e+03 
