     Count               Iteration-1               Iteration-2               Iteration-4               Iteration-6               Iteration-8              Iteration-10              Iteration-12              Iteration-14              Iteration-16              Iteration-18              Iteration-20              Iteration-22              Iteration-24              Iteration-26              Iteration-28              Iteration-30              Iteration-32              Iteration-34              Iteration-36              Iteration-38              Iteration-40              Iteration-42              Iteration-44              Iteration-46              Iteration-48              Iteration-50              Iteration-52              Iteration-54              Iteration-56              Iteration-58              Iteration-60              Iteration-62              Iteration-64              Iteration-66              Iteration-68              Iteration-70              Iteration-72              Iteration-74              Iteration-76              Iteration-78              Iteration-80              Iteration-82              Iteration-84              Iteration-86              Iteration-88              Iteration-88 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         2  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         3  0.000000000000000000e+00  1.300000000000000044e+00  6.059702999999998507e-01  3.499183691769994775e-01  1.631962349223320397e-01  6.238880332834206843e-02  2.030018199700471884e-02  8.133753099984521173e-03  7.860766528681398940e-03  1.009751982349307679e-02  1.056686122913581480e-02  7.696539309684258777e-03  1.255840874479237108e-03  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         4  0.000000000000000000e+00  5.200000000000000178e+00  3.214328000000000074e+00  2.650606270324999070e+00  2.218337427518707106e+00  1.985008619953366749e+00  1.896973585484217129e+00  1.887352530559646135e+00  1.913049106472558769e+00  1.950948130043158368e+00  1.989707110562269676e+00  2.024232961910574780e+00  2.052619984727822811e+00  2.074460314903865843e+00  2.089946585264655265e+00  2.099917124520238598e+00  2.105259240415627620e+00  2.106832404781787460e+00  2.105421183998874124e+00  2.101714133762022652e+00  2.096298981941728368e+00  2.089666720594541172e+00  2.082220126774111613e+00  2.074284105849285353e+00  2.066116379505793521e+00  2.057917712081128059e+00  2.049841267483813123e+00  2.042000924262793227e+00  2.034478513175143721e+00  2.027330018479872820e+00  2.020590824533979646e+00  2.014280107423970456e+00  2.008404476234285863e+00  2.002960965702151430e+00  1.997939474928558168e+00  1.993324737687119264e+00  1.989097900039100031e+00  1.985237771228752335e+00  1.981721804657659902e+00  1.978526857358525071e+00  1.975629768906925987e+00  1.973007794137138671e+00  1.970638918327490163e+00  1.968502078626116258e+00  1.966577311320519161e+00  1.965688539623590136e+00 
         5  0.000000000000000000e+00  1.559999999999999964e+01  1.007449169999999938e+01  8.572484851947898221e+00  7.437166040114219001e+00  6.792863793327456712e+00  6.500356044840838621e+00  6.397180775216401827e+00  6.381816752478713717e+00  6.401175609364808672e+00  6.429656280131906598e+00  6.455762601043327109e+00  6.474974049081919425e+00  6.485930737876890007e+00  6.488464271704086350e+00  6.483864528117384118e+00  6.473510653781819890e+00  6.458739637625598995e+00  6.440758400563479036e+00  6.420605677537454703e+00  6.399145062762787717e+00  6.377074560980181772e+00  6.354943882839850566e+00  6.333174518031004396e+00  6.312079869661420872e+00  6.291884044671231635e+00  6.272738653460273817e+00  6.254737404850770233e+00  6.237928522903574802e+00  6.222325138229647834e+00  6.207913864935239445e+00  6.194661793317716381e+00  6.182522124963959698e+00  6.171438661395975522e+00  6.161349336171210389e+00  6.152188957154557158e+00  6.143891302732551019e+00  6.136390694247623401e+00  6.129623147489420276e+00  6.123527188913961083e+00  6.118044407369847448e+00  6.113119799367622953e+00  6.108701955142401552e+00  6.104743123712976782e+00  6.101199187611501706e+00  6.099569990733737512e+00 
         6  0.000000000000000000e+00  2.859999999999999787e+01  2.129678979999999910e+01  1.996417407845899916e+01  1.903205673794697361e+01  1.849672716602639966e+01  1.823110951157857684e+01  1.810833040603030852e+01  1.805891180950849417e+01  1.805032642741233673e+01  1.806709404361578919e+01  1.810081732134054633e+01  1.814610115668184065e+01  1.819893799591444505e+01  1.825630572387925810e+01  1.831608857944008051e+01  1.837650739745700079e+01  1.843619813912734173e+01  1.849414987675091737e+01  1.854964245018858549e+01  1.860219068240821017e+01  1.865149601440924698e+01  1.869740544587869024e+01  1.873987728179576706e+01  1.877895299182831579e+01  1.881473441341034203e+01  1.884736552936806930e+01  1.887701809635006711e+01  1.890388046960669399e+01  1.892814904866425962e+01  1.895002184833784753e+01  1.896969377521176980e+01  1.898735325851662736e+01  1.900317994512551678e+01  1.901734322100810459e+01  1.903000136629845329e+01  1.904130118882182643e+01  1.905137801228474714e+01  1.906035592118777089e+01  1.906834818566482426e+01  1.907545780661689250e+01  1.908177813534282308e+01  1.908739353294559749e+01  1.909238004359752949e+01  1.909680606269846947e+01  1.909882833040603600e+01 
         7  0.000000000000000000e+00  4.289999999999999858e+01  3.284448439999999891e+01  3.052224895474689603e+01  2.938188898493365286e+01  2.882798577505326776e+01  2.852749215749836154e+01  2.831422804176535735e+01  2.813028003021107537e+01  2.796282239228337474e+01  2.781232491894490622e+01  2.768101730332274357e+01  2.756987994708017098e+01  2.747840235671992559e+01  2.740520434075634881e+01  2.734839563688822750e+01  2.730578688171394219e+01  2.727521898816276646e+01  2.725467514569202976e+01  2.724233655217142314e+01  2.723660313924233378e+01  2.723609341113891347e+01  2.723963250898265542e+01  2.724623421728855277e+01  2.725508043082815135e+01  2.726550020102658678e+01  2.727694959537129904e+01  2.728899304368522039e+01  2.730128649315674494e+01  2.731356247523387637e+01  2.732561705468703295e+01  2.733729855406469156e+01  2.734849790575281503e+01  2.735914046599066651e+01  2.736917912194310176e+01  2.737858852859641701e+01  2.738736032305611801e+01  2.739549917728679063e+01  2.740301956482432644e+01  2.740994313147757211e+01  2.741629657388835994e+01  2.742210994267715307e+01  2.742741529858587768e+01  2.743224566047976865e+01  2.743663419330153275e+01  2.743867302281258702e+01 
         8  0.000000000000000000e+00  5.719999999999999574e+01  4.458362219999999354e+01  3.999137690346498886e+01  3.814059588151150848e+01  3.759092059534216901e+01  3.753267104743243010e+01  3.760157775681690850e+01  3.766617556180344906e+01  3.769072365586957574e+01  3.767284493836434933e+01  3.761966887905671797e+01  3.753977023725530415e+01  3.744082784317208024e+01  3.732926443168933872e+01  3.721005717632534981e+01  3.708709239478292830e+01  3.696339112969687335e+01  3.684125798716332412e+01  3.672241377741867296e+01  3.660810661099992558e+01  3.649920412667117375e+01  3.639626999771245153e+01  3.629962734294407767e+01  3.620941115563611845e+01  3.612561147884886026e+01  3.604810877309734707e+01  3.597670270506018397e+01  3.591113540990841102e+01  3.585111013093098364e+01  3.579630601119683320e+01  3.574638969917329945e+01  3.570102433131621211e+01  3.565987636817977346e+01  3.562262068537400239e+01  3.558894425564032815e+01  3.555854870238250243e+01  3.553115195717968078e+01  3.550648921316491879e+01  3.548431333178110947e+01  3.546439483150147964e+01  3.544652156287389744e+01  3.543049815404725678e+01  3.541614529416808921e+01  3.540329890817697844e+01  3.539739331684520351e+01 
         9  0.000000000000000000e+00  7.150000000000000000e+01  5.743538839999999368e+01  4.925229806786769871e+01  4.541525122835250272e+01  4.399226935350229439e+01  4.366088646961662079e+01  4.377078974311075399e+01  4.404203216274859756e+01  4.436050887201029269e+01  4.468063621800252605e+01  4.498451216280732723e+01  4.526555901774280244e+01  4.552199046713707276e+01  4.575414863341534044e+01  4.596322564326635529e+01  4.615087573007954092e+01  4.631890380389670270e+01  4.646911414062801526e+01  4.660323655682609711e+01  4.672289000875118603e+01  4.682956680956267803e+01  4.692462865104106839e+01  4.700930938311818608e+01  4.708472153549320183e+01  4.715186474421465590e+01  4.721163496047574881e+01  4.726483376301496975e+01  4.731217737537352974e+01  4.735430516638101039e+01  4.739178752394830241e+01  4.742513306186864241e+01  4.745479516174236068e+01  4.748117787697272263e+01  4.750464123930906624e+01  4.752550601475940084e+01  4.754405795756027686e+01  4.756055161005064491e+01  4.757521369389913701e+01  4.758824613492529920e+01  4.759982876020361431e+01  4.761012170253428621e+01  4.761926754387984317e+01  4.762739322609478876e+01  4.763461175426411387e+01  4.763791271599421862e+01 
