     Count               Iteration-1               Iteration-2               Iteration-4               Iteration-6               Iteration-8              Iteration-10              Iteration-12              Iteration-14              Iteration-16              Iteration-18              Iteration-20              Iteration-22              Iteration-24              Iteration-26              Iteration-28              Iteration-30              Iteration-32              Iteration-34              Iteration-36              Iteration-38              Iteration-40              Iteration-42              Iteration-44              Iteration-46              Iteration-48              Iteration-50              Iteration-52              Iteration-54              Iteration-56              Iteration-58              Iteration-60              Iteration-62              Iteration-64              Iteration-66              Iteration-68              Iteration-70              Iteration-72              Iteration-74              Iteration-76              Iteration-78              Iteration-80              Iteration-82              Iteration-84              Iteration-86              Iteration-88              Iteration-88 
         0  0.000000000000000000e+00  1.000000000000000000e+02  3.641309999999998581e+01  1.314884642899997402e+01  4.600911184718512459e+00  1.477285936436146585e+00  5.805788607217152730e-01  3.698596119005088667e-01  2.786325771039486199e-01  1.632043368501854275e-01  1.745025889132989505e-02 -1.360185046142703413e-01 -2.778109268183186487e-01 -4.003539694711122365e-01 -5.002401703393104526e-01 -5.727315350662536275e-01 -6.208507717399385228e-01 -6.480608719362521697e-01 -6.580068057803316606e-01 -6.541693638214098883e-01 -6.396812247901095816e-01 -6.172536436035755969e-01 -5.891673600177966819e-01 -5.572977900659594752e-01 -5.231565179373092178e-01 -4.879386611159617360e-01 -4.525702737478241033e-01 -4.177527022619500485e-01 -3.840024353875719498e-01 -3.516859402749616947e-01 -3.210495149672283333e-01 -2.922444770322272234e-01 -2.653481475620083074e-01 -2.403811397458639476e-01 -2.173214593761514379e-01 -1.961158942288818707e-01 -1.766891246222002110e-01 -1.589509373347084420e-01 -1.428018746514680970e-01 -1.281376025364551197e-01 -1.148522383244312550e-01 -1.028408395283122445e-01 -9.200122146961575709e-02 -8.223524225859080161e-02 -7.344966880071979176e-02 -6.939687939701855157e-02 
         1  0.000000000000000000e+00  2.000000000000000000e+02  7.642980000000000018e+01  3.614924616699994431e+01  1.612735392586247940e+01  6.717792865986950801e+00  3.004510966306298769e+00  1.772565739293270326e+00  1.472057571146905275e+00  1.469170895119276565e+00  1.530553596103516156e+00  1.579407371867517895e+00  1.596042078529706032e+00  1.580233967183033883e+00  1.540081569216994239e+00  1.480565124654674491e+00  1.407030434281693942e+00  1.324364933634939234e+00  1.236546176631321714e+00  1.146695204561581249e+00  1.057193146618772062e+00  9.698043099287758650e-01  8.857900464167016708e-01  8.060087065684342633e-01  7.310008879462088771e-01  6.610607361272968774e-01  5.962946785801364058e-01  5.366691776675907022e-01  4.820490905077576826e-01  4.322281229356406129e-01  3.869527166349371328e-01  3.459405432498101618e-01  3.088946144187332266e-01  2.755138618128114558e-01  2.455009012412290303e-01  2.185675715714694434e-01  1.944387327068284321e-01  1.728547162475706500e-01  1.535727463006537619e-01  1.363675845298928380e-01  1.210316012685268561e-01  1.073744317296245754e-01  9.522234157748243888e-02  8.441739804348458165e-02  7.481652024523555156e-02  7.042670518410432123e-02 
         2  0.000000000000000000e+00  3.000000000000000000e+02  1.070357999999999663e+02  5.437686010929994040e+01  2.388105335228829063e+01  8.196613581121766856e+00  1.381199220450014309e+00 -1.194253339895965382e+00 -1.955241254244640459e+00 -1.988110310317722451e+00 -1.750305827318641150e+00 -1.430901855929960220e+00 -1.107658561871801339e+00 -8.117507055620194478e-01 -5.530584100855548968e-01 -3.352187733207188103e-01 -1.563755313810588632e-01 -1.280262390304187647e-02  9.984079785135691054e-02  1.859485888242602414e-01  2.496805419022507522e-01  2.948237731145582075e-01  3.247377160425912734e-01  3.423465968995742514e-01  3.501583621579698047e-01  3.502974878468307907e-01  3.445440648563362629e-01  3.343745722490893968e-01  3.210016281342404909e-01  3.054111917285240452e-01  2.883964400218701485e-01  2.705880144883963112e-01  2.524806251215068187e-01  2.344561731321732623e-01  2.168036506594148705e-01  1.997361227248006799e-01  1.834051114309431796e-01  1.679126971241657884e-01  1.533216340168905845e-01  1.396637540074152639e-01  1.269469056978209665e-01  1.151606482078477711e-01  1.042808927486476023e-01  9.427365991103897613e-02  8.509809770117726657e-02  8.080814986578843673e-02 
         3  0.000000000000000000e+00  4.000000000000000000e+02  1.363677999999999884e+02  7.290470443139992085e+01  3.453701193782842438e+01  1.437592495230910572e+01  4.992524701325862679e+00  7.338368801345609427e-01 -1.280412141641704693e+00 -2.306655263122593169e+00 -2.864250185923651770e+00 -3.170467042541361025e+00 -3.323162433689105910e+00 -3.372490445122707570e+00 -3.348302982722373144e+00 -3.271765672840501793e+00 -3.157397985244870142e+00 -3.016529585214243525e+00 -2.858071923649049495e+00 -2.689037901285928456e+00 -2.514914291781565225e+00 -2.339946911110303063e+00 -2.167369293325180024e+00 -1.999590696392829159e+00 -1.838352406531157612e+00 -1.684858120888520716e+00 -1.539882605276716276e+00 -1.403861949120482677e+00 -1.276968186323358623e+00 -1.159170649872123704e+00 -1.050286106227247274e+00 -9.500194409424693731e-01 -8.579964256768448649e-01 -7.737898827276126212e-01 -6.969403733756962538e-01 -6.269723688037061038e-01 -5.634067154454101001e-01 -5.057700787365888573e-01 -4.536019386405882869e-01 -4.064596152900321613e-01 -3.639217219092643063e-01 -3.255903732114688864e-01 -2.910924191538128980e-01 -2.600799248732528213e-01 -2.322300765199543093e-01 -2.193970124298516566e-01 
         4  0.000000000000000000e+00  5.000000000000000000e+02  1.748115000000000236e+02  8.954427773899999465e+01  4.347612240595435651e+01  2.215406222030446770e+01  1.336594406462188545e+01  9.796854772892743313e+00  8.165732542856801501e+00  7.207251408325817010e+00  6.480756041629206265e+00  5.846973331173785482e+00  5.267272106062932835e+00  4.733098967206217367e+00  4.243018358208018981e+00  3.796215512972196393e+00  3.391557091201434559e+00  3.026773404306425164e+00  2.699060007338744072e+00  2.405386663476292597e+00  2.142698548049224883e+00  1.908040068439788683e+00  1.698625080670410625e+00  1.511871923401429285e+00  1.345416229393208596e+00  1.197110176103706181e+00  1.065013813744712934e+00  9.473820827140002621e-01  8.426498016904702126e-01  7.494160415218402704e-01  6.664287388384764199e-01  5.925700414582593112e-01  5.268426460987711835e-01  4.683572426050659487e-01  4.163210883724559608e-01  3.700276824783372831e-01  3.288474784409913809e-01  2.922195590464298220e-01  2.596441907084567902e-01  2.306761747030350307e-01  2.049189158992703597e-01  1.820191347634363410e-01  1.616621544307008662e-01  1.435677008994389325e-01  1.274861605470505310e-01  1.201297838713344390e-01 
         5  0.000000000000000000e+00  6.000000000000000000e+02  2.391460000000000150e+02  1.046677885843999434e+02  3.952826654733382838e+01  1.352115906905464726e+01  4.815671061354919402e+00  2.589566320469543825e+00  2.443652483943537845e+00  2.800224037539919664e+00  3.160117850639608150e+00  3.398985775482287863e+00  3.510063415588547286e+00  3.516970175730421033e+00  3.446512447354848518e+00  3.321858691783972972e+00  3.161180869574309327e+00  2.978149900772564251e+00  2.783005991402092150e+00  2.583321643060685346e+00  2.384612582069280506e+00  2.190814332086119975e+00  2.004651456363944817e+00  1.827924037357661291e+00  1.661730604359604513e+00  1.506641959305738965e+00  1.362836763891550618e+00  1.230207152072807730e+00  1.108440742336142648e+00  9.970840248612375945e-01  8.955910405658187301e-01  8.033604539566567837e-01  7.197634848353118286e-01  6.441646611705209580e-01  5.759369559077640588e-01  5.144725516004200472e-01  4.591902216234302614e-01  4.095401124047839403e-01  3.650065474248549435e-01  3.251093426856641599e-01  2.894040185261701481e-01  2.574812089326314890e-01  2.289655027357184736e-01  2.035138979717885377e-01  1.808140085252034623e-01  1.704062332005378266e-01 
         6  0.000000000000000000e+00  7.000000000000000000e+02  3.504859000000000151e+02  1.403701711769999747e+02  3.919764504720569676e+01 -1.364126837033836637e+00 -1.574916929136009003e+01 -1.991831548870459301e+01 -2.030157151233072454e+01 -1.933561404033900999e+01 -1.792368907488719287e+01 -1.640294244089238873e+01 -1.490323134951188422e+01 -1.347672964255559691e+01 -1.214470076147074451e+01 -1.091465607859697684e+01 -9.787659011622849903e+00 -8.761124190875079876e+00 -7.830363758300791233e+00 -6.989532404150168077e+00 -6.232212302410744087e+00 -5.551793713409779230e+00 -4.941725741120762905e+00 -4.395679154038475644e+00 -3.907647962526766605e+00 -3.472008011726757104e+00 -3.083545523260909249e+00 -2.737464882206836592e+00 -2.429382380763286164e+00 -2.155310757920346987e+00 -1.911638007786336857e+00 -1.695102928850701574e+00 -1.502769154254565365e+00 -1.331998868166692773e+00 -1.180427023783636287e+00 -1.045936596120441209e+00 -9.266351994667729741e-01 -8.208332543281358085e-01 -7.270237864314594844e-01 -6.438638695224199182e-01 -5.701576757526254369e-01 -5.048410661947855260e-01 -4.469676347714539588e-01 -3.956961082238876770e-01 -3.502790001609810133e-01 -3.295553776788437972e-01 
         7  0.000000000000000000e+00  8.000000000000000000e+02  5.204610000000000127e+02  2.440657244799999717e+02  1.098379512032189496e+02  5.411472688204833048e+01  3.148355375787525645e+01  2.173177179811386850e+01  1.690847402345809769e+01  1.403379344711242993e+01  1.200552217733513771e+01  1.040870283886727066e+01  9.077695169712342249e+00  7.938345515315631928e+00  6.951349473147161007e+00  6.091784235730415276e+00  5.341231311966112116e+00  4.685047071851613509e+00  4.110986872882108401e+00  3.608562537407919990e+00  3.168691497571330729e+00  2.783469257332171765e+00  2.446001735851496051e+00  2.150271165181266042e+00  1.891023640841240194e+00  1.663672432940188628e+00  1.464213812399634662e+00  1.289153371747033816e+00  1.135441416781873158e+00  1.000416316683754303e+00  8.817548794379490573e-01  7.774289373642204737e-01  6.856674165036338309e-01  6.049232383829803439e-01  5.338444695654516181e-01  4.712491959272711028e-01  4.161036555924511049e-01  3.675032170884833249e-01  3.246558375259382956e-01  2.868676794731754853e-01  2.535306047452650091e-01  2.241112987284168412e-01  1.981418103466694447e-01  1.752113206032390735e-01  1.549589771435648800e-01  1.457364539651280211e-01 
         8  0.000000000000000000e+00  9.000000000000000000e+02  6.329826000000000477e+02  2.945982847413999934e+02  1.360282939742551207e+02  7.140574827774696587e+01  4.497863214366964257e+01  3.308646703198462546e+01  2.671127657667943822e+01  2.255209700936177342e+01  1.940959586252188274e+01  1.683572336857889695e+01  1.464856542936979622e+01  1.276153265274581372e+01  1.112373011162026160e+01  9.699087438687342910e+00  8.458840091967431363e+00  7.378851257918199735e+00  6.438314747932508908e+00  5.619144340335878951e+00  4.905583010462237326e+00  4.283902130805699926e+00  3.742147853169171867e+00  3.269919396577279258e+00  2.858173108852724909e+00  2.499049171146566550e+00  2.185718748229078301e+00  1.912249658731298041e+00  1.673488731718975941e+00  1.464959086056865090e+00  1.282770659261586843e+00  1.123542426505082403e+00  9.843348805637788246e-01  8.625914808129664380e-01  7.560879163963818428e-01  6.628881602757701330e-01  5.813064136706316276e-01  5.098741527331185353e-01  4.473115904861515446e-01  3.925029571389586636e-01  3.444750814144299511e-01  3.023788252337453741e-01  2.654729849090244898e-01  2.331103248191084276e-01  2.047254553118591502e-01  1.918677678206677228e-01 
         9  0.000000000000000000e+00  1.000000000000000000e+03  5.598954000000001088e+02  1.595034318367999049e+02 -3.242147847632850244e-01 -5.068738263103841746e+01 -6.079941904231009175e+01 -5.777583856312594435e+01 -5.124949330475601528e+01 -4.440378177028219397e+01 -3.817618989152788345e+01 -3.275978252915069788e+01 -2.811877675054711290e+01 -2.415918234319519797e+01 -2.078229627976043048e+01 -1.789956806777479414e+01 -1.543523658044023250e+01 -1.332541860774904308e+01 -1.151647997802456302e+01 -9.963357944140284417e+00 -8.628120079489463023e+00 -7.478767762578286238e+00 -6.488251167880207504e+00 -5.633658470982027211e+00 -4.895546717715205887e+00 -4.257387814449316465e+00 -3.705108380091701292e+00 -3.226706449250059450e+00 -2.811931354842727160e+00 -2.452015739450530418e+00 -2.139450715022121585e+00 -1.867796838592539643e+00 -1.631524893242726648e+00 -1.425881529862863317e+00 -1.246775690257891256e+00 -1.090682436740280536e+00 -9.545613894981670455e-01 -8.357874455780347489e-01 -7.320918420090265499e-01 -6.415119461025824421e-01 -5.623484208676927665e-01 -4.931286329032218418e-01 -4.325753522466584400e-01 -3.795799451289667559e-01 -3.331793867753276572e-01 -3.121861302828392581e-01 
