     Count               Iteration-1               Iteration-2               Iteration-4               Iteration-6               Iteration-8              Iteration-10              Iteration-12              Iteration-14              Iteration-16              Iteration-18              Iteration-20              Iteration-22              Iteration-24              Iteration-26              Iteration-28              Iteration-30              Iteration-32              Iteration-34              Iteration-36              Iteration-38              Iteration-40              Iteration-42              Iteration-44              Iteration-46              Iteration-48              Iteration-50              Iteration-52              Iteration-54              Iteration-56              Iteration-58              Iteration-60              Iteration-62              Iteration-64              Iteration-66              Iteration-68              Iteration-70              Iteration-72              Iteration-74              Iteration-76              Iteration-78              Iteration-80              Iteration-82              Iteration-84              Iteration-86              Iteration-88              Iteration-88 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  0.000000000000000000e+00  0.000000000000000000e+00  1.326000000000000512e-01  1.789833655999998330e-01  1.033843895209913821e-01  4.318408615467216050e-02  1.275265680762242143e-02  3.325578145277906933e-03  4.238543026330067465e-03  7.975863444440666264e-03  1.034000786354852611e-02  9.464779869669773249e-03  4.867382923117379370e-03  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         2  0.000000000000000000e+00  0.000000000000000000e+00  1.539200000000000568e+00  2.196762794200000535e+00  2.095826914721796275e+00  1.945636050657540972e+00  1.868325206158715446e+00  1.861343982329976221e+00  1.895144997095606465e+00  1.943557322537384335e+00  1.990036222808846400e+00  2.026166706935607742e+00  2.048829287650447917e+00  2.064326476536735289e+00  2.082931769293656199e+00  2.095560797811450549e+00  2.103109964835204071e+00  2.106465243314875835e+00  2.106454260652955490e+00  2.103815499562078806e+00  2.099187182880227098e+00  2.093107859299160101e+00  2.086023207531157109e+00  2.078295735205610839e+00  2.070215437428863048e+00  2.062010327700488421e+00  2.053856263779714642e+00  2.045885795211925373e+00  2.038195938318619671e+00  2.030854887328858549e+00  2.023907726606873236e+00  2.017381236764560715e+00  2.011287898083454539e+00  2.005629195131977127e+00  2.000398321156202197e+00  1.995582372506641056e+00  1.991164113754088527e+00  1.987123384288236316e+00  1.983438207696689659e+00  1.980085656425584206e+00  1.977042516286870333e+00  1.974285788352389659e+00  1.971793059645192914e+00  1.969542768750274231e+00  1.967514387946149856e+00  1.966577311320519161e+00 
         3  0.000000000000000000e+00  0.000000000000000000e+00  7.540000000000001812e+00  1.064353920630000161e+01  1.070338013641992703e+01  1.035007780385861764e+01  1.011594861302916648e+01  1.006859202744512238e+01  1.014537881163986199e+01  1.027330482674978462e+01  1.040189404904166182e+01  1.050393913004267432e+01  1.056846018481168414e+01  1.061007337499152925e+01  1.065399105989492412e+01  1.067807682433173966e+01  1.068553597423195356e+01  1.067952702676743826e+01  1.066298923328062997e+01  1.063852627833668762e+01  1.060836583927778065e+01  1.057436414530409685e+01  1.053803404478793482e+01  1.050058361266603946e+01  1.046295783639041588e+01  1.042587926656342745e+01  1.038988551432709606e+01  1.035536265286305202e+01  1.032257426032206027e+01  1.029168622231643937e+01  1.026278761226906333e+01  1.023590805954108873e+01  1.021103204262093200e+01  1.018811053508555986e+01  1.016707040245222160e+01  1.014782190883643587e+01  1.013026464984219110e+01  1.011429218606579994e+01  1.009979561208910859e+01  1.008666625993012467e+01  1.007479770402762220e+01  1.006408720699007020e+01  1.005443672134156508e+01  1.004575354203235982e+01  1.003795068717935735e+01  1.003435381025254003e+01 
         4  0.000000000000000000e+00  0.000000000000000000e+00  2.611960000000000548e+01  3.660505110080001145e+01  3.926300979196370378e+01  3.983561301472877858e+01  3.989260311168179385e+01  3.997028024622981945e+01  4.016698244094297365e+01  4.044267273455288603e+01  4.074032179932186182e+01  4.101950901142060246e+01  4.125865756796395090e+01  4.145605311190479370e+01  4.161802801283009501e+01  4.173770595457745003e+01  4.182048639021713399e+01  4.187203105079042587e+01  4.189787435369768787e+01  4.190310655099418113e+01  4.189222589286202947e+01  4.186909737064837600e+01  4.183697136152521523e+01  4.179853308648193888e+01  4.175596557765667427e+01  4.171101615246595884e+01  4.166506082299404312e+01  4.161916373745860653e+01  4.157413034509721683e+01  4.153055391454572742e+01  4.148885557223111675e+01  4.144931831650566068e+01  4.141211560102198064e+01  4.137733512701819905e+01  4.134499847636858760e+01  4.131507717917937583e+01  4.128750575627812225e+01  4.126219221741754239e+01  4.123902643601196161e+01  4.121788676401673968e+01  4.119864519790966995e+01  4.118117135943900564e+01  4.116533551306713434e+01  4.115101080570408953e+01  4.113807488303073967e+01  4.113209099452407003e+01 
         5  0.000000000000000000e+00  0.000000000000000000e+00  6.358690000000001419e+01  8.685115357100002598e+01  9.539908881528148754e+01  9.852271406356385341e+01  9.941942113927828473e+01  9.963014038809949113e+01  9.972136742289605138e+01  9.983679566314981457e+01  9.998254974110867010e+01  1.001360185046142703e+02  1.002778109268183186e+02  1.004003539694711122e+02  1.005002401703393105e+02  1.005727315350662536e+02  1.006208507717399385e+02  1.006480608719362522e+02  1.006580068057803317e+02  1.006541693638214099e+02  1.006396812247901096e+02  1.006172536436035756e+02  1.005891673600177967e+02  1.005572977900659595e+02  1.005231565179373092e+02  1.004879386611159617e+02  1.004525702737478241e+02  1.004177527022619500e+02  1.003840024353875719e+02  1.003516859402749617e+02  1.003210495149672283e+02  1.002922444770322272e+02  1.002653481475620083e+02  1.002403811397458639e+02  1.002173214593761514e+02  1.001961158942288819e+02  1.001766891246222002e+02  1.001589509373347084e+02  1.001428018746514681e+02  1.001281376025364551e+02  1.001148522383244313e+02  1.001028408395283122e+02  1.000920012214696158e+02  1.000822352422585908e+02  1.000734496688007198e+02  1.000693968793970186e+02 
         6  0.000000000000000000e+00  0.000000000000000000e+00  1.235701999999999998e+02  1.638507538330000557e+02  1.838726460741375206e+02  1.932822071340130492e+02  1.969954890336937012e+02  1.982274342607067297e+02  1.985279424288530947e+02  1.985308291048807234e+02  1.984694464038964838e+02  1.984205926281324821e+02  1.984039579214702940e+02  1.984197660328169661e+02  1.984599184307830058e+02  1.985194348753453255e+02  1.985929695657183061e+02  1.986756350663650608e+02  1.987634538233686783e+02  1.988533047954384188e+02  1.989428068533812279e+02  1.990301956900712241e+02  1.991142099535832983e+02  1.991939912934315657e+02  1.992689991120537911e+02  1.993389392638727031e+02  1.994037053214198636e+02  1.994633308223324093e+02  1.995179509094922423e+02  1.995677718770643594e+02  1.996130472833650629e+02  1.996540594567501898e+02  1.996911053855812668e+02  1.997244861381871885e+02  1.997544990987587710e+02  1.997814324284285306e+02  1.998055612672931716e+02  1.998271452837524293e+02  1.998464272536993462e+02  1.998636324154701072e+02  1.998789683987314731e+02  1.998926255682703754e+02  1.999047776584225176e+02  1.999155826019565154e+02  1.999251834797547644e+02  1.999295732948158957e+02 
         7  0.000000000000000000e+00  0.000000000000000000e+00  1.929642000000000337e+02  2.456231398907000596e+02  2.761189466477117094e+02  2.918033864188782331e+02  2.986188007795499857e+02  3.011942533398959654e+02  3.019552412542446405e+02  3.019881103103177225e+02  3.017503058273186411e+02  3.014309018559299602e+02  3.011076585618718013e+02  3.008117507055620194e+02  3.005530584100855549e+02  3.003352187733207188e+02  3.001563755313810589e+02  3.000128026239030419e+02  2.999001592021486431e+02  2.998140514111757398e+02  2.997503194580977492e+02  2.997051762268854418e+02  2.996752622839574087e+02  2.996576534031004257e+02  2.996498416378420302e+02  2.996497025121531692e+02  2.996554559351436637e+02  2.996656254277509106e+02  2.996789983718657595e+02  2.996945888082714760e+02  2.997116035599781299e+02  2.997294119855116037e+02  2.997475193748784932e+02  2.997655438268678267e+02  2.997831963493405851e+02  2.998002638772751993e+02  2.998165948885690568e+02  2.998320873028758342e+02  2.998466783659831094e+02  2.998603362459925847e+02  2.998730530943021790e+02  2.998848393517921522e+02  2.998957191072513524e+02  2.999057263400889610e+02  2.999149019022988227e+02  2.999191918501342116e+02 
         8  0.000000000000000000e+00  0.000000000000000000e+00  2.636322000000000116e+02  3.270952955686000792e+02  3.654629880621715756e+02  3.856240750476908943e+02  3.950074752986741373e+02  3.992661631198654391e+02  4.012804121416417047e+02  4.023066552631225932e+02  4.028642501859236518e+02  4.031704670425413610e+02  4.033231624336891059e+02  4.033724904451227076e+02  4.033483029827223731e+02  4.032717656728405018e+02  4.031573979852448701e+02  4.030165295852142435e+02  4.028580719236490495e+02  4.026890379012859285e+02  4.025149142917815652e+02  4.023399469111103031e+02  4.021673692933251800e+02  4.019995906963928292e+02  4.018383524065311576e+02  4.016848581208885207e+02  4.015398826052767163e+02  4.014038619491204827e+02  4.012769681863233586e+02  4.011591706498721237e+02  4.010502861062272473e+02  4.009500194409424694e+02  4.008579964256768449e+02  4.007737898827276126e+02  4.006969403733756963e+02  4.006269723688037061e+02  4.005634067154454101e+02  4.005057700787365889e+02  4.004536019386405883e+02  4.004064596152900322e+02  4.003639217219092643e+02  4.003255903732114689e+02  4.002910924191538129e+02  4.002600799248732528e+02  4.002322300765199543e+02  4.002193970124298517e+02 
         9  0.000000000000000000e+00  0.000000000000000000e+00  3.251884999999999764e+02  4.104557222610000053e+02  4.565238775940456435e+02  4.778459377796955323e+02  4.866340559353781146e+02  4.902031452271072567e+02  4.918342674571431985e+02  4.927927485916741830e+02  4.935192439583707937e+02  4.941530266688262145e+02  4.947327278939370672e+02  4.952669010327937826e+02  4.957569816417919810e+02  4.962037844870278036e+02  4.966084429087985654e+02  4.969732265956935748e+02  4.973009399926612559e+02  4.975946133365237074e+02  4.978573014519507751e+02  4.980919599315602113e+02  4.983013749193295894e+02  4.984881280765985707e+02  4.986545837706067914e+02  4.988028898238962938e+02  4.989349861862552871e+02  4.990526179172859997e+02  4.991573501983095298e+02  4.992505839584781597e+02  4.993335712611615236e+02  4.994074299585417407e+02  4.994731573539012288e+02  4.995316427573949341e+02  4.995836789116275440e+02  4.996299723175216627e+02  4.996711525215590086e+02  4.997077804409535702e+02  4.997403558092915432e+02  4.997693238252969650e+02  4.997950810841007296e+02  4.998179808652365637e+02  4.998383378455692991e+02  4.998564322991005611e+02  4.998725138394529495e+02  4.998798702161286656e+02 
