     Count               Iteration-1              Iteration-40              Iteration-80              Iteration-88 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         2  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         3  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         4  0.000000000000000000e+00  2.096298981941728368e+00  1.975629768906925987e+00  1.965688539623590136e+00 
         5  0.000000000000000000e+00  6.399145062762787717e+00  6.118044407369847448e+00  6.099569990733737512e+00 
         6  0.000000000000000000e+00  1.860219068240821017e+01  1.907545780661689250e+01  1.909882833040603600e+01 
         7  0.000000000000000000e+00  2.723660313924233378e+01  2.741629657388835994e+01  2.743867302281258702e+01 
         8  0.000000000000000000e+00  3.660810661099992558e+01  3.546439483150147964e+01  3.539739331684520351e+01 
         9  0.000000000000000000e+00  4.672289000875118603e+01  4.759982876020361431e+01  4.763791271599421862e+01 
        10  0.000000000000000000e+00  5.286560370036608703e+01  5.391457150760290773e+01  5.396827826617423085e+01 
        11  0.000000000000000000e+00  5.817948329645174255e+01  5.563349458578710482e+01  5.552722498621132985e+01 
        12  0.000000000000000000e+00  8.697222523422458096e+01  8.822310689668270811e+01  8.827035781906313616e+01 
        13  0.000000000000000000e+00  8.858684088103802878e+01  9.049385393094901531e+01  9.055874259931280790e+01 
        14  0.000000000000000000e+00  1.577092172751165400e+01  1.247683506800302133e+01  1.237092981372287781e+01 
        15  0.000000000000000000e+00  1.888159772210382528e+02  1.901746176476036965e+02  1.902166624455309716e+02 
        16  0.000000000000000000e+00  2.873995370652953056e+02  2.885823542382441929e+02  2.886167195493836743e+02 
        17  0.000000000000000000e+00  3.576373191962464944e+02  3.563052808596325463e+02  3.562660894374181453e+02 
        18  0.000000000000000000e+00  4.514180637447682898e+02  4.514830553826479900e+02  4.514894356303382210e+02 
        19  0.000000000000000000e+00  5.486285125243424545e+02  5.483605100249816360e+02  5.483441017692879313e+02 
        20  0.000000000000000000e+00  6.429136058341149464e+02  6.446390197248589402e+02  6.446976888211789856e+02 
        21  0.000000000000000000e+00  7.110780132478173527e+02  7.097315568787705615e+02  7.096884141005643869e+02 
        22  0.000000000000000000e+00  8.104485200205804176e+02  8.088446533813346377e+02  8.087926750965676774e+02 
        23  0.000000000000000000e+00  9.925277269716851833e+02  9.962287111376898565e+02  9.963517901765479792e+02 
        24  0.000000000000000000e+00  9.015656195257711261e+02  8.994772869969256135e+02  8.994049008619626875e+02 
        25  0.000000000000000000e+00  8.932649864822532209e+02  8.918657458182145774e+02  8.918118045205636690e+02 
        26  0.000000000000000000e+00  9.151551338679404353e+02  9.179420787898375238e+02  9.180595988113813064e+02 
        27  0.000000000000000000e+00  9.110164180883725749e+02  9.098767855678568139e+02  9.098179806574885333e+02 
        28  0.000000000000000000e+00  9.076553143330496596e+02  9.067308040570958383e+02  9.066898702833002517e+02 
        29  0.000000000000000000e+00  9.085238879433055672e+02  9.097057105988255898e+02  9.097787800093248052e+02 
        30  0.000000000000000000e+00  9.096224744654813321e+02  9.094488613870356630e+02  9.094224186904611997e+02 
        31  0.000000000000000000e+00  9.093060869798613339e+02  9.088539238151020072e+02  9.088277048122753285e+02 
        32  0.000000000000000000e+00  9.088011085997087548e+02  9.090489010259826728e+02  9.090802423631423608e+02 
        33  0.000000000000000000e+00  9.090682378971994240e+02  9.091658842054099523e+02  9.091615316784793777e+02 
        34  0.000000000000000000e+00  9.092098115360594193e+02  9.090949652517376762e+02  9.090818247604593125e+02 
        35  0.000000000000000000e+00  9.090772667210885629e+02  9.090588997488697487e+02  9.090671621461034420e+02 
        36  0.000000000000000000e+00  9.090507907407295534e+02  9.090977646964745418e+02  9.091000670779844768e+02 
        37  0.000000000000000000e+00  9.090990779581968582e+02  9.091030857270104661e+02  9.090987702692119683e+02 
        38  0.000000000000000000e+00  9.091048308214205917e+02  9.090838292317511105e+02  9.090841979226992180e+02 
        39  0.000000000000000000e+00  9.090877220811823918e+02  9.090881271921631424e+02  9.090898104022594453e+02 
        40  0.000000000000000000e+00  9.090856950800313143e+02  9.090946445946522090e+02  9.090941407808786607e+02 
        41  0.000000000000000000e+00  9.090920548977954923e+02  9.090909457654602193e+02  9.090902956983090917e+02 
        42  0.000000000000000000e+00  9.090928859197921383e+02  9.090894612827913761e+02  9.090898040083956175e+02 
        43  0.000000000000000000e+00  9.090905579888398051e+02  9.090912101406617012e+02  9.090914532774237387e+02 
        44  0.000000000000000000e+00  9.090901659873708240e+02  9.090914075518597883e+02  9.090912042358679628e+02 
        45  0.000000000000000000e+00  9.090909826461673902e+02  9.090907110746554736e+02  9.090906349376956541e+02 
        46  0.000000000000000000e+00  9.090911859260966139e+02  9.090907414331346672e+02  9.090908458642960568e+02 
        47  0.000000000000000000e+00  9.090909124447507565e+02  9.090910103097359070e+02  9.090910283411543560e+02 
        48  0.000000000000000000e+00  9.090908100697129157e+02  9.090909638870750769e+02  9.090909157612406943e+02 
        49  0.000000000000000000e+00  9.090908949629731524e+02  9.090908622353153987e+02  9.090908599498881131e+02 
        50  0.000000000000000000e+00  9.090909427147192901e+02  9.090908920453546216e+02  9.090909131265926817e+02 
        51  0.000000000000000000e+00  9.090909199162558707e+02  9.090909292718010875e+02  9.090909284396475414e+02 
        52  0.000000000000000000e+00  9.090908995150557530e+02  9.090909142489020951e+02  9.090909052071116321e+02 
        53  0.000000000000000000e+00  9.090909038925772165e+02  9.090909008001640359e+02  9.090909017474201619e+02 
