     Count               Iteration-1              Iteration-40              Iteration-80              Iteration-88 
         0  0.000000000000000000e+00 -6.396812247901095816e-01 -1.148522383244312550e-01 -6.939687939701855157e-02 
         1  0.000000000000000000e+00  1.057193146618772062e+00  1.210316012685268561e-01  7.042670518410432123e-02 
         2  0.000000000000000000e+00  2.496805419022507522e-01  1.269469056978209665e-01  8.080814986578843673e-02 
         3  0.000000000000000000e+00 -2.514914291781565225e+00 -3.639217219092643063e-01 -2.193970124298516566e-01 
         4  0.000000000000000000e+00  2.142698548049224883e+00  2.049189158992703597e-01  1.201297838713344390e-01 
         5  0.000000000000000000e+00  2.384612582069280506e+00  2.894040185261701481e-01  1.704062332005378266e-01 
         6  0.000000000000000000e+00 -6.232212302410744087e+00 -5.701576757526254369e-01 -3.295553776788437972e-01 
         7  0.000000000000000000e+00  3.168691497571330729e+00  2.535306047452650091e-01  1.457364539651280211e-01 
         8  0.000000000000000000e+00  4.905583010462237326e+00  3.444750814144299511e-01  1.918677678206677228e-01 
         9  0.000000000000000000e+00 -8.628120079489463023e+00 -5.623484208676927665e-01 -3.121861302828392581e-01 
        10  0.000000000000000000e+00  3.617181552297779490e+00  2.236094656020668481e-01  1.243446671260244329e-01 
        11  0.000000000000000000e+00  3.126434180772321270e+00  1.806637911013240227e-01  9.697530203720816644e-02 
        12  0.000000000000000000e+00 -3.511585527602164802e+00 -2.061386347331790603e-01 -1.108654884919815231e-01 
        13  0.000000000000000000e+00  4.183111254496907350e-02  3.377998967698658817e-02  1.922080446820473298e-02 
        14  0.000000000000000000e+00 -5.217110141320517869e-01 -8.853308356992783956e-02 -5.225844394408341032e-02 
        15  0.000000000000000000e+00  4.444196988317344221e+00  3.126227684888363001e-01  1.752633314399645315e-01 
        16  0.000000000000000000e+00 -3.508442589222795505e+00 -2.290112819091518759e-01 -1.267002435333779431e-01 
        17  0.000000000000000000e+00 -4.233245848745355033e+00 -2.774164515267329989e-01 -1.559677387831470696e-01 
        18  0.000000000000000000e+00  9.648993629847609554e+00  6.562605653452919796e-01  3.684211054478510050e-01 
        19  0.000000000000000000e+00 -5.368586196644173469e+00 -3.860528448076365748e-01 -2.173407945774670225e-01 
        20  0.000000000000000000e+00 -3.529544768884079531e+00 -2.901662757794838399e-01 -1.676682339566468727e-01 
        21  0.000000000000000000e+00  6.822717055410976172e+00  6.333399672694213223e-01  3.691391334759828169e-01 
        22  0.000000000000000000e+00 -2.599752329708280740e+00 -3.188650884130765917e-01 -1.901015149815066252e-01 
        23  0.000000000000000000e+00 -2.261637016506938380e+00 -2.224427502242178889e-01 -1.323032819218497025e-01 
        24  0.000000000000000000e+00  2.590405984436074505e+00  4.020781532253749901e-01  2.488880829350819113e-01 
        25  0.000000000000000000e+00 -1.986253370323538547e-01 -1.496275430163223064e-01 -9.974827542464481667e-02 
        26  0.000000000000000000e+00 -1.006106237926360336e+00 -1.442633531660248991e-01 -8.884306934487540275e-02 
        27  0.000000000000000000e+00  3.982098400811082684e-01  1.794143921506474726e-01  1.214181582236051327e-01 
        28  0.000000000000000000e+00  2.736646450066473335e-01 -2.999218373588519171e-02 -2.721713677419757005e-02 
        29  0.000000000000000000e+00 -1.847876231477130204e-01 -7.431251556590723339e-02 -4.909682537254411727e-02 
        30  0.000000000000000000e+00 -8.626057219225913286e-02  5.219653079620911740e-02  4.133794112567557022e-02 
        31  0.000000000000000000e+00  7.629019778869405854e-02  9.457214731810381636e-03  2.302033924934221432e-03 
        32  0.000000000000000000e+00  3.383593960279540624e-02 -2.633664761015097611e-02 -2.003112276543106418e-02 
        33  0.000000000000000000e+00 -3.322230939375003800e-02  5.656775734678376466e-03  7.580184796097455546e-03 
        34  0.000000000000000000e+00 -1.322135513692046516e-02  8.777423397987149656e-03  5.518249441593070515e-03 
        35  0.000000000000000000e+00  1.369935299589997157e-02 -4.542985727312043309e-03 -4.944650632751290686e-03 
        36  0.000000000000000000e+00  5.367992052924819291e-03 -2.498511101293843240e-03 -7.819622551323845983e-04 
        37  0.000000000000000000e+00 -5.180563384783454239e-03  2.314227567694615573e-03  2.179735523895942606e-03 
        38  0.000000000000000000e+00 -2.372342920352821238e-03  6.637191654590424150e-04 -1.475777353334706277e-04 
        39  0.000000000000000000e+00  1.841479712311411276e-03 -1.093763201424735598e-03 -8.814679658826207742e-04 
        40  0.000000000000000000e+00  1.095456214898149483e-03 -1.222439223056426272e-04  2.186871915910160169e-04 
        41  0.000000000000000000e+00 -5.849790832144208252e-04  4.894392332062125206e-04  3.440774598857387900e-04 
        42  0.000000000000000000e+00 -4.805930766451638192e-04 -1.460633211536332965e-05 -1.514669693278847262e-04 
        43  0.000000000000000000e+00  1.646343025640817359e-04 -2.047536963800666854e-04 -1.245466137334005907e-04 
        44  0.000000000000000000e+00  2.127361531165661290e-04  2.840546767401974648e-05  8.304342190967872739e-05 
        45  0.000000000000000000e+00 -1.902855728985741735e-05  8.228379738284274936e-05  4.151316898060031235e-05 
        46  0.000000000000000000e+00 -7.455041304638143629e-05 -1.816087751649320126e-05 -3.980813198722898960e-05 
        47  0.000000000000000000e+00  3.795812517637386918e-07 -3.274979644629638642e-05 -1.313100619881879538e-05 
        48  0.000000000000000000e+00  3.471587478998117149e-05  9.193447112920694053e-06  1.776378485374152660e-05 
        49  0.000000000000000000e+00  1.462494401494041085e-05  1.305676232732366771e-05  4.041345164296217263e-06 
        50  0.000000000000000000e+00 -1.934993633767589927e-06 -4.166669896221719682e-06 -7.636848749825730920e-06 
        51  0.000000000000000000e+00  1.496118784416466951e-06 -5.228124791756272316e-06 -1.225878804689273238e-06 
        52  0.000000000000000000e+00  8.161319783539511263e-06  1.744050678098574281e-06  3.203873347956687212e-06 
        53  0.000000000000000000e+00  8.612139936303719878e-06  2.108605258399620652e-06  3.794284566538408399e-07 
        54  0.000000000000000000e+00  6.412450602510944009e-06 -6.802820280427113175e-07 -1.319473085459321737e-06 
        55  0.000000000000000000e+00  5.670988684869371355e-06 -8.570132195018231869e-07 -1.292246452067047358e-07 
        56  0.000000000000000000e+00  6.224547178135253489e-06  2.464275894453749061e-07  5.359670467441901565e-07 
        57  0.000000000000000000e+00  6.640866558882407844e-06  3.496315912343561649e-07  5.199035513214766979e-08 
        58  0.000000000000000000e+00  6.580014087376184762e-06 -8.105416782200336456e-08 -2.151955413864925504e-07 
        59  0.000000000000000000e+00  6.423064405680634081e-06 -1.422140485374256968e-07 -2.455089997965842485e-08 
        60  0.000000000000000000e+00  6.395324817276559770e-06  2.267188392579555511e-08  8.532515494152903557e-08 
        61  0.000000000000000000e+00  6.439897333621047437e-06  5.720539775211364031e-08  1.266926119569689035e-08 
        62  0.000000000000000000e+00  6.465179467340931296e-06 -4.210960469208657742e-09 -3.329660103190690279e-08 
        63  0.000000000000000000e+00  6.460135409724898636e-06 -2.254819264635443687e-08 -6.668415153399109840e-09 
