     Count               Iteration-1              Iteration-40              Iteration-80              Iteration-88 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         2  0.000000000000000000e+00  2.099187182880227098e+00  1.977042516286870333e+00  1.966577311320519161e+00 
         3  0.000000000000000000e+00  1.060836583927778065e+01  1.007479770402762220e+01  1.003435381025254003e+01 
         4  0.000000000000000000e+00  4.189222589286202947e+01  4.119864519790966995e+01  4.113209099452407003e+01 
         5  0.000000000000000000e+00  1.006396812247901096e+02  1.001148522383244313e+02  1.000693968793970186e+02 
         6  0.000000000000000000e+00  1.989428068533812279e+02  1.998789683987314731e+02  1.999295732948158957e+02 
         7  0.000000000000000000e+00  2.997503194580977492e+02  2.998730530943021790e+02  2.999191918501342116e+02 
         8  0.000000000000000000e+00  4.025149142917815652e+02  4.003639217219092643e+02  4.002193970124298517e+02 
         9  0.000000000000000000e+00  4.978573014519507751e+02  4.997950810841007296e+02  4.998798702161286656e+02 
        10  0.000000000000000000e+00  5.976153874179307195e+02  5.997105959814738299e+02  5.998295937667994622e+02 
        11  0.000000000000000000e+00  7.062322123024107441e+02  7.005701576757526254e+02  7.003295553776788438e+02 
        12  0.000000000000000000e+00  7.968313085024286693e+02  7.997464693952547350e+02  7.998542635460348720e+02 
        13  0.000000000000000000e+00  8.950944169895377627e+02  8.996555249185855700e+02  8.998081322321793323e+02 
        14  0.000000000000000000e+00  1.008628120079489463e+03  1.000562348420867693e+03  1.000312186130282839e+03 
        15  0.000000000000000000e+00  1.996382818447702221e+03  1.999776390534397933e+03  1.999875655332873976e+03 
        16  0.000000000000000000e+00  2.996873565819227679e+03  2.999819336208898676e+03  2.999903024697962792e+03 
        17  0.000000000000000000e+00  4.003511585527602165e+03  4.000206138634733179e+03  4.000110865488491982e+03 
        18  0.000000000000000000e+00  4.999958168887455031e+03  4.999966220010323013e+03  4.999980779195531795e+03 
        19  0.000000000000000000e+00  6.000521711014132052e+03  6.000088533083569928e+03  6.000052258443944083e+03 
        20  0.000000000000000000e+00  6.995555803011682656e+03  6.999687377231511164e+03  6.999824736668560035e+03 
        21  0.000000000000000000e+00  8.003508442589222796e+03  8.000229011281909152e+03  8.000126700243533378e+03 
        22  0.000000000000000000e+00  9.004233245848745355e+03  9.000277416451526733e+03  9.000155967738783147e+03 
        23  0.000000000000000000e+00  9.990351006370152390e+03  9.999343739434654708e+03  9.999631578894552149e+03 
        24  0.000000000000000000e+00  1.000536858619664417e+04  1.000038605284480764e+04  1.000021734079457747e+04 
        25  0.000000000000000000e+00  1.000352954476888408e+04  1.000029016627577948e+04  1.000016766823395665e+04 
        26  0.000000000000000000e+00  9.993177282944589024e+03  9.999366660032730579e+03  9.999630860866524017e+03 
        27  0.000000000000000000e+00  1.000259975232970828e+04  1.000031886508841308e+04  1.000019010151498151e+04 
        28  0.000000000000000000e+00  1.000226163701650694e+04  1.000022244275022422e+04  1.000013230328192185e+04 
        29  0.000000000000000000e+00  9.997409594015563925e+03  9.999597921846774625e+03  9.999751111917064918e+03 
        30  0.000000000000000000e+00  1.000019862533703235e+04  1.000014962754301632e+04  1.000009974827542464e+04 
        31  0.000000000000000000e+00  1.000100610623792636e+04  1.000014426335316602e+04  1.000008884306934488e+04 
        32  0.000000000000000000e+00  9.999601790159918892e+03  9.999820585607849353e+03  9.999878581841776395e+03 
        33  0.000000000000000000e+00  9.999726335354993353e+03  1.000002999218373589e+04  1.000002721713677420e+04 
        34  0.000000000000000000e+00  1.000018478762314771e+04  1.000007431251556591e+04  1.000004909682537254e+04 
        35  0.000000000000000000e+00  1.000008626057219226e+04  9.999947803469203791e+03  9.999958662058874324e+03 
        36  0.000000000000000000e+00  9.999923709802211306e+03  9.999990542785268190e+03  9.999997697966075066e+03 
        37  0.000000000000000000e+00  9.999966164060397205e+03  1.000002633664761015e+04  1.000002003112276543e+04 
        38  0.000000000000000000e+00  1.000003322230939375e+04  9.999994343224265322e+03  9.999992419815203903e+03 
        39  0.000000000000000000e+00  1.000001322135513692e+04  9.999991222576602013e+03  9.999994481750558407e+03 
        40  0.000000000000000000e+00  9.999986300647004100e+03  1.000000454298572731e+04  1.000000494465063275e+04 
        41  0.000000000000000000e+00  9.999994632007947075e+03  1.000000249851110129e+04  1.000000078196225513e+04 
        42  0.000000000000000000e+00  1.000000518056338478e+04  9.999997685772432305e+03  9.999997820264476104e+03 
        43  0.000000000000000000e+00  1.000000237234292035e+04  9.999999336280834541e+03  1.000000014757773533e+04 
        44  0.000000000000000000e+00  9.999998158520287689e+03  1.000000109376320142e+04  1.000000088146796588e+04 
        45  0.000000000000000000e+00  9.999998904543785102e+03  1.000000012224392231e+04  9.999999781312808409e+03 
        46  0.000000000000000000e+00  1.000000058497908321e+04  9.999999510560766794e+03  9.999999655922540114e+03 
        47  0.000000000000000000e+00  1.000000048059307665e+04  1.000000001460633212e+04  1.000000015146696933e+04 
        48  0.000000000000000000e+00  9.999999835365697436e+03  1.000000020475369638e+04  1.000000012454661373e+04 
        49  0.000000000000000000e+00  9.999999787263846883e+03  9.999999971594532326e+03  9.999999916956578090e+03 
        50  0.000000000000000000e+00  1.000000001902855729e+04  9.999999917716202617e+03  9.999999958486831019e+03 
        51  0.000000000000000000e+00  1.000000007455041305e+04  1.000000001816087752e+04  1.000000003980813199e+04 
        52  0.000000000000000000e+00  9.999999999620418748e+03  1.000000003274979645e+04  1.000000001313100620e+04 
        53  0.000000000000000000e+00  9.999999965284125210e+03  9.999999990806552887e+03  9.999999982236215146e+03 
