     Count               Iteration-1              Iteration-10              Iteration-20              Iteration-30              Iteration-40              Iteration-50              Iteration-60              Iteration-70              Iteration-80              Iteration-88 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         2  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         3  0.000000000000000000e+00  6.238880332834206843e-02  1.056686122913581480e-02  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         4  0.000000000000000000e+00  1.985008619953366749e+00  1.989707110562269676e+00  2.099917124520238598e+00  2.096298981941728368e+00  2.057917712081128059e+00  2.020590824533979646e+00  1.993324737687119264e+00  1.975629768906925987e+00  1.965688539623590136e+00 
         5  0.000000000000000000e+00  6.792863793327456712e+00  6.429656280131906598e+00  6.483864528117384118e+00  6.399145062762787717e+00  6.291884044671231635e+00  6.207913864935239445e+00  6.152188957154557158e+00  6.118044407369847448e+00  6.099569990733737512e+00 
         6  0.000000000000000000e+00  1.849672716602639966e+01  1.806709404361578919e+01  1.831608857944008051e+01  1.860219068240821017e+01  1.881473441341034203e+01  1.895002184833784753e+01  1.903000136629845329e+01  1.907545780661689250e+01  1.909882833040603600e+01 
         7  0.000000000000000000e+00  2.882798577505326776e+01  2.781232491894490622e+01  2.734839563688822750e+01  2.723660313924233378e+01  2.726550020102658678e+01  2.732561705468703295e+01  2.737858852859641701e+01  2.741629657388835994e+01  2.743867302281258702e+01 
         8  0.000000000000000000e+00  3.759092059534216901e+01  3.767284493836434933e+01  3.721005717632534981e+01  3.660810661099992558e+01  3.612561147884886026e+01  3.579630601119683320e+01  3.558894425564032815e+01  3.546439483150147964e+01  3.539739331684520351e+01 
         9  0.000000000000000000e+00  4.399226935350229439e+01  4.468063621800252605e+01  4.596322564326635529e+01  4.672289000875118603e+01  4.715186474421465590e+01  4.739178752394830241e+01  4.752550601475940084e+01  4.759982876020361431e+01  4.763791271599421862e+01 
        10  0.000000000000000000e+00  5.393555632600129002e+01  5.169832538204168770e+01  5.222921642683920851e+01  5.286560370036608703e+01  5.333374957410897110e+01  5.363273634816563629e+01  5.381150732947584459e+01  5.391457150760290773e+01  5.396827826617423085e+01 
        11  0.000000000000000000e+00  7.014192297845416135e+01  6.397821248652954296e+01  6.036854807822952296e+01  5.817948329645174255e+01  5.692730472966992039e+01  5.622893728823163428e+01  5.584414322266667341e+01  5.563349458578710482e+01  5.552722498621132985e+01 
        12  0.000000000000000000e+00  7.961335804125269533e+01  8.333097271981483800e+01  8.573566431377412300e+01  8.697222523422458096e+01  8.761397168934405499e+01  8.795020574650298784e+01  8.812812685245499722e+01  8.822310689668270811e+01  8.827035781906313616e+01 
        13  0.000000000000000000e+00  7.639233218931862268e+01  8.266318481730613144e+01  8.660314251621464621e+01  8.858684088103802878e+01  8.958835818044668997e+01  9.009781093242015970e+01  9.035900688416238324e+01  9.049385393094901531e+01  9.055874259931280790e+01 
        14  0.000000000000000000e+00  4.726214682724310734e+01  2.734277142542846661e+01  1.944577964468566833e+01  1.577092172751165400e+01  1.400438007818532959e+01  1.313482219875303514e+01  1.269875362466335211e+01  1.247683506800302133e+01  1.237092981372287781e+01 
        15  0.000000000000000000e+00  1.767620371757957400e+02  1.834559139142433253e+02  1.871959694472906790e+02  1.888159772210382528e+02  1.895571507503720170e+02  1.899114723002632275e+02  1.900863198458210945e+02  1.901746176476036965e+02  1.902166624455309716e+02 
        16  0.000000000000000000e+00  2.799117404170914369e+02  2.832657718625027883e+02  2.860572648915868399e+02  2.873995370652953056e+02  2.880444178724600306e+02  2.883559919020758002e+02  2.885077500166649429e+02  2.885823542382441929e+02  2.886167195493836743e+02 
