     Count               Iteration-1              Iteration-10              Iteration-20              Iteration-30              Iteration-40              Iteration-50              Iteration-60              Iteration-70              Iteration-80              Iteration-88 
         0  0.000000000000000000e+00  1.477285936436146585e+00  1.745025889132989505e-02 -5.727315350662536275e-01 -6.396812247901095816e-01 -4.879386611159617360e-01 -3.210495149672283333e-01 -1.961158942288818707e-01 -1.148522383244312550e-01 -6.939687939701855157e-02 
         1  0.000000000000000000e+00  6.717792865986950801e+00  1.530553596103516156e+00  1.480565124654674491e+00  1.057193146618772062e+00  6.610607361272968774e-01  3.869527166349371328e-01  2.185675715714694434e-01  1.210316012685268561e-01  7.042670518410432123e-02 
         2  0.000000000000000000e+00  8.196613581121766856e+00 -1.750305827318641150e+00 -3.352187733207188103e-01  2.496805419022507522e-01  3.502974878468307907e-01  2.883964400218701485e-01  1.997361227248006799e-01  1.269469056978209665e-01  8.080814986578843673e-02 
         3  0.000000000000000000e+00  1.437592495230910572e+01 -2.864250185923651770e+00 -3.271765672840501793e+00 -2.514914291781565225e+00 -1.684858120888520716e+00 -1.050286106227247274e+00 -6.269723688037061038e-01 -3.639217219092643063e-01 -2.193970124298516566e-01 
         4  0.000000000000000000e+00  2.215406222030446770e+01  6.480756041629206265e+00  3.796215512972196393e+00  2.142698548049224883e+00  1.197110176103706181e+00  6.664287388384764199e-01  3.700276824783372831e-01  2.049189158992703597e-01  1.201297838713344390e-01 
         5  0.000000000000000000e+00  1.352115906905464726e+01  3.160117850639608150e+00  3.321858691783972972e+00  2.384612582069280506e+00  1.506641959305738965e+00  8.955910405658187301e-01  5.144725516004200472e-01  2.894040185261701481e-01  1.704062332005378266e-01 
         6  0.000000000000000000e+00 -1.364126837033836637e+00 -1.792368907488719287e+01 -1.091465607859697684e+01 -6.232212302410744087e+00 -3.472008011726757104e+00 -1.911638007786336857e+00 -1.045936596120441209e+00 -5.701576757526254369e-01 -3.295553776788437972e-01 
         7  0.000000000000000000e+00  5.411472688204833048e+01  1.200552217733513771e+01  6.091784235730415276e+00  3.168691497571330729e+00  1.663672432940188628e+00  8.817548794379490573e-01  4.712491959272711028e-01  2.535306047452650091e-01  1.457364539651280211e-01 
         8  0.000000000000000000e+00  7.140574827774696587e+01  1.940959586252188274e+01  9.699087438687342910e+00  4.905583010462237326e+00  2.499049171146566550e+00  1.282770659261586843e+00  6.628881602757701330e-01  3.444750814144299511e-01  1.918677678206677228e-01 
         9  0.000000000000000000e+00 -5.068738263103841746e+01 -3.817618989152788345e+01 -1.789956806777479414e+01 -8.628120079489463023e+00 -4.257387814449316465e+00 -2.139450715022121585e+00 -1.090682436740280536e+00 -5.623484208676927665e-01 -3.121861302828392581e-01 
        10  0.000000000000000000e+00  8.461184144354569980e+01  1.832325002730362939e+01  7.880610538347127658e+00  3.617181552297779490e+00  1.734504864715745498e+00  8.582550853618613473e-01  4.344263780149049126e-01  2.236094656020668481e-01  1.243446671260244329e-01 
        11  0.000000000000000000e+00  7.677558689600846265e+01  1.373182549195189495e+01  6.496904532107691921e+00  3.126434180772321270e+00  1.513344042018616165e+00  7.384126187880610814e-01  3.635832754221155483e-01  1.806637911013240227e-01  9.697530203720816644e-02 
        12  0.000000000000000000e+00  2.530112195841093126e+01 -1.494877892331624025e+01 -7.275459060765570030e+00 -3.511585527602164802e+00 -1.708093612486663915e+00 -8.372939155810854572e-01 -4.137493201401412080e-01 -2.061386347331790603e-01 -1.108654884919815231e-01 
        13  0.000000000000000000e+00  4.614799046258394810e+01 -3.521746762407929054e+00 -6.552724203820616822e-01  4.183111254496907350e-02  1.326566807547351345e-01  1.004405778412547079e-01  6.080024020320706768e-02  3.377998967698658817e-02  1.922080446820473298e-02 
        14  0.000000000000000000e+00  7.908329679681355628e+01  2.978107590832223650e+00 -1.049959682459302712e-01 -5.217110141320517869e-01 -4.181050372590107145e-01 -2.665252322231026483e-01 -1.564425000915434794e-01 -8.853308356992783956e-02 -5.225844394408341032e-02 
        15  0.000000000000000000e+00  1.022504184054960206e+02  1.766538876169033756e+01  8.795223819459351944e+00  4.444196988317344221e+00  2.260508372792173759e+00  1.158993111492236494e+00  5.993530298737823614e-01  3.126227684888363001e-01  1.752633314399645315e-01 
        16  0.000000000000000000e+00  4.539342318662147591e+01 -1.436633637624800031e+01 -7.120348959964758251e+00 -3.508442589222795505e+00 -1.746448623779542686e+00 -8.782226164221356157e-01 -4.461912761853454867e-01 -2.290112819091518759e-01 -1.267002435333779431e-01 
        17  0.000000000000000000e+00  3.589217542593723920e+01 -2.006947225217481900e+01 -9.046527589152901783e+00 -4.233245848745355033e+00 -2.063714210413309047e+00 -1.036601224875994376e+00 -5.320411029842944117e-01 -2.774164515267329989e-01 -1.559677387831470696e-01 
        18  0.000000000000000000e+00  1.847974750773391861e+02  4.275071540885619470e+01  1.987801934350682131e+01  9.648993629847609554e+00  4.806025618579951697e+00  2.440572577972488943e+00  1.258052130657233647e+00  6.562605653452919796e-01  3.684211054478510050e-01 
        19  0.000000000000000000e+00  4.782173580260678136e+01 -2.098076999663317110e+01 -1.062834188556371373e+01 -5.368586196644173469e+00 -2.741221858512290055e+00 -1.413895082332601305e+00 -7.358732171196606942e-01 -3.860528448076365748e-01 -2.173407945774670225e-01 
        20  0.000000000000000000e+00  6.596704026002953469e+01 -1.284777524625133083e+01 -6.741569743695436046e+00 -3.529544768884079531e+00 -1.868434135727511602e+00 -9.975381809181271819e-01 -5.363757648592581972e-01 -2.901662757794838399e-01 -1.676682339566468727e-01 
        21  0.000000000000000000e+00  1.267614561762620724e+02  2.018923603620532958e+01  1.195362658653721155e+01  6.822717055410976172e+00  3.805192352660014876e+00  2.100196922576287761e+00  1.154081513770506717e+00  6.333399672694213223e-01  3.691391334759828169e-01 
        22  0.000000000000000000e+00  1.093033464092732174e+02 -2.885299034351191949e+00 -3.632834055832063314e+00 -2.599752329708280740e+00 -1.635591211233986542e+00 -9.723261405451921746e-01 -5.613674836222344311e-01 -3.188650884130765917e-01 -1.901015149815066252e-01 
        23  0.000000000000000000e+00  9.790640231533870974e+01 -6.406942030180289294e+00 -3.996677581037147320e+00 -2.261637016506938380e+00 -1.267009075163514353e+00 -7.087197726050362689e-01 -3.967684108956746059e-01 -2.224427502242178889e-01 -1.323032819218497025e-01 
        24  0.000000000000000000e+00  1.038877363863684877e+02  2.999549991229287116e+00  3.317245830297906650e+00  2.590405984436074505e+00  1.752726637438172475e+00  1.108640901989929262e+00  6.753733296482096193e-01  4.020781532253749901e-01  2.488880829350819113e-01 
        25  0.000000000000000000e+00  1.113747357470638235e+02  2.359794589941884624e+00  4.469233016898215283e-01 -1.986253370323538547e-01 -3.439540926101471996e-01 -3.049101172600785503e-01 -2.234481536179373506e-01 -1.496275430163223064e-01 -9.974827542464481667e-02 
        26  0.000000000000000000e+00  1.134836698698072723e+02 -4.173879013305850094e-01 -1.292064032128109830e+00 -1.006106237926360336e+00 -6.633691059014381608e-01 -4.095585152681451291e-01 -2.450660049416910624e-01 -1.442633531660248991e-01 -8.884306934487540275e-02 
