     Count               Iteration-1              Iteration-10              Iteration-20              Iteration-30              Iteration-40              Iteration-50              Iteration-60              Iteration-70              Iteration-80              Iteration-88 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  0.000000000000000000e+00  4.318408615467216050e-02  1.034000786354852611e-02  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         2  0.000000000000000000e+00  1.945636050657540972e+00  1.990036222808846400e+00  2.095560797811450549e+00  2.099187182880227098e+00  2.062010327700488421e+00  2.023907726606873236e+00  1.995582372506641056e+00  1.977042516286870333e+00  1.966577311320519161e+00 
         3  0.000000000000000000e+00  1.035007780385861764e+01  1.040189404904166182e+01  1.067807682433173966e+01  1.060836583927778065e+01  1.042587926656342745e+01  1.026278761226906333e+01  1.014782190883643587e+01  1.007479770402762220e+01  1.003435381025254003e+01 
         4  0.000000000000000000e+00  3.983561301472877858e+01  4.074032179932186182e+01  4.173770595457745003e+01  4.189222589286202947e+01  4.171101615246595884e+01  4.148885557223111675e+01  4.131507717917937583e+01  4.119864519790966995e+01  4.113209099452407003e+01 
         5  0.000000000000000000e+00  9.852271406356385341e+01  9.998254974110867010e+01  1.005727315350662536e+02  1.006396812247901096e+02  1.004879386611159617e+02  1.003210495149672283e+02  1.001961158942288819e+02  1.001148522383244313e+02  1.000693968793970186e+02 
         6  0.000000000000000000e+00  1.932822071340130492e+02  1.984694464038964838e+02  1.985194348753453255e+02  1.989428068533812279e+02  1.993389392638727031e+02  1.996130472833650629e+02  1.997814324284285306e+02  1.998789683987314731e+02  1.999295732948158957e+02 
         7  0.000000000000000000e+00  2.918033864188782331e+02  3.017503058273186411e+02  3.003352187733207188e+02  2.997503194580977492e+02  2.996497025121531692e+02  2.997116035599781299e+02  2.998002638772751993e+02  2.998730530943021790e+02  2.999191918501342116e+02 
         8  0.000000000000000000e+00  3.856240750476908943e+02  4.028642501859236518e+02  4.032717656728405018e+02  4.025149142917815652e+02  4.016848581208885207e+02  4.010502861062272473e+02  4.006269723688037061e+02  4.003639217219092643e+02  4.002193970124298517e+02 
         9  0.000000000000000000e+00  4.778459377796955323e+02  4.935192439583707937e+02  4.962037844870278036e+02  4.978573014519507751e+02  4.988028898238962938e+02  4.993335712611615236e+02  4.996299723175216627e+02  4.997950810841007296e+02  4.998798702161286656e+02 
        10  0.000000000000000000e+00  5.864788409309453527e+02  5.968398821493603918e+02  5.966781413082160270e+02  5.976153874179307195e+02  5.984933580406942610e+02  5.991044089594341813e+02  5.994855274483995800e+02  5.997105959814738299e+02  5.998295937667994622e+02 
        11  0.000000000000000000e+00  7.013641268370338366e+02  7.179236890748871929e+02  7.109146560785969768e+02  7.062322123024107441e+02  7.034720080117267571e+02  7.019116380077863369e+02  7.010459365961204412e+02  7.005701576757526254e+02  7.003295553776788438e+02 
