Read the target shape in
 ./files/input/20180107ErrorBetweenMirrorandCylinder1stSputter2.txt
Read the unit sputter yield in
 ./files/input/20190106AverageAllProfile.txt

                                       
    Iterative Deconvolution Started   
***************************************

The number of entries
  # Target   :    5750
  # Unit     :    1935
  # 1/2 Unit :     967
  # All      :    9620
The number of threads
  # Total    :       4
  # Thread   :       2
  # Thread   :       1
  # Thread   :       3
  # Thread   :       0
Computation time for initialization:    0.0042

Have memorized arrays 1 times
Multiplied alpha by    0.9500
loop:         2, alpha:   14.2500, rms:  792.3761
Multiplied alpha by    0.9500
loop:         5, alpha:   13.5375, rms:  630.0483
loop:       400, alpha:   13.5375, rms:   10.2270
loop:       800, alpha:   13.5375, rms:    5.1261
loop:      1200, alpha:   13.5375, rms:    3.7295
loop:      1600, alpha:   13.5375, rms:    3.2359
loop:      2000, alpha:   13.5375, rms:    3.0021
loop:      2400, alpha:   13.5375, rms:    2.8616
loop:      2800, alpha:   13.5375, rms:    2.7713
loop:      3200, alpha:   13.5375, rms:    2.7101
loop:      3600, alpha:   13.5375, rms:    2.6665
loop:      4000, alpha:   13.5375, rms:    2.6340
loop:      4400, alpha:   13.5375, rms:    2.6087
loop:      4800, alpha:   13.5375, rms:    2.5884
loop:      5200, alpha:   13.5375, rms:    2.5715
loop:      5600, alpha:   13.5375, rms:    2.5571
loop:      6000, alpha:   13.5375, rms:    2.5445
loop:      6400, alpha:   13.5375, rms:    2.5333
loop:      6800, alpha:   13.5375, rms:    2.5232
loop:      7200, alpha:   13.5375, rms:    2.5139
loop:      7600, alpha:   13.5375, rms:    2.5053
loop:      8000, alpha:   13.5375, rms:    2.4973
loop:      8400, alpha:   13.5375, rms:    2.4897
loop:      8800, alpha:   13.5375, rms:    2.4826
loop:      9200, alpha:   13.5375, rms:    2.4758
loop:      9600, alpha:   13.5375, rms:    2.4694
Have memorized arrays 2 times
loop:     10000, alpha:   13.5375, rms:    2.4632
loop:     10400, alpha:   13.5375, rms:    2.4573
loop:     10800, alpha:   13.5375, rms:    2.4517
loop:     11200, alpha:   13.5375, rms:    2.4462
loop:     11600, alpha:   13.5375, rms:    2.4409
loop:     12000, alpha:   13.5375, rms:    2.4358
loop:     12400, alpha:   13.5375, rms:    2.4309
loop:     12800, alpha:   13.5375, rms:    2.4261
loop:     13200, alpha:   13.5375, rms:    2.4215
loop:     13600, alpha:   13.5375, rms:    2.4170
loop:     14000, alpha:   13.5375, rms:    2.4127
loop:     14400, alpha:   13.5375, rms:    2.4084
loop:     14800, alpha:   13.5375, rms:    2.4043
loop:     15200, alpha:   13.5375, rms:    2.4003
loop:     15600, alpha:   13.5375, rms:    2.3964
loop:     16000, alpha:   13.5375, rms:    2.3926
loop:     16400, alpha:   13.5375, rms:    2.3889
loop:     16800, alpha:   13.5375, rms:    2.3853
loop:     17200, alpha:   13.5375, rms:    2.3818
loop:     17600, alpha:   13.5375, rms:    2.3784
loop:     18000, alpha:   13.5375, rms:    2.3751
loop:     18400, alpha:   13.5375, rms:    2.3718
loop:     18800, alpha:   13.5375, rms:    2.3687
loop:     19200, alpha:   13.5375, rms:    2.3656
loop:     19600, alpha:   13.5375, rms:    2.3626
Have memorized arrays 3 times
loop:     20000, alpha:   13.5375, rms:    2.3596
loop:     20400, alpha:   13.5375, rms:    2.3568
loop:     20800, alpha:   13.5375, rms:    2.3540
loop:     21200, alpha:   13.5375, rms:    2.3513
loop:     21600, alpha:   13.5375, rms:    2.3486
loop:     22000, alpha:   13.5375, rms:    2.3460
loop:     22400, alpha:   13.5375, rms:    2.3435
loop:     22800, alpha:   13.5375, rms:    2.3411
loop:     23200, alpha:   13.5375, rms:    2.3387
loop:     23600, alpha:   13.5375, rms:    2.3364
loop:     24000, alpha:   13.5375, rms:    2.3341
loop:     24400, alpha:   13.5375, rms:    2.3320
loop:     24800, alpha:   13.5375, rms:    2.3298
loop:     25200, alpha:   13.5375, rms:    2.3278
loop:     25600, alpha:   13.5375, rms:    2.3257
loop:     26000, alpha:   13.5375, rms:    2.3238
loop:     26400, alpha:   13.5375, rms:    2.3219
loop:     26800, alpha:   13.5375, rms:    2.3201
loop:     27200, alpha:   13.5375, rms:    2.3183
loop:     27600, alpha:   13.5375, rms:    2.3165
loop:     28000, alpha:   13.5375, rms:    2.3148
loop:     28400, alpha:   13.5375, rms:    2.3132
loop:     28800, alpha:   13.5375, rms:    2.3116
loop:     29200, alpha:   13.5375, rms:    2.3100
loop:     29600, alpha:   13.5375, rms:    2.3085
Have memorized arrays 4 times
loop:     30000, alpha:   13.5375, rms:    2.3071
loop:     30400, alpha:   13.5375, rms:    2.3057
loop:     30800, alpha:   13.5375, rms:    2.3043
loop:     31200, alpha:   13.5375, rms:    2.3029
loop:     31600, alpha:   13.5375, rms:    2.3017
loop:     32000, alpha:   13.5375, rms:    2.3004
loop:     32400, alpha:   13.5375, rms:    2.2992
loop:     32800, alpha:   13.5375, rms:    2.2980
loop:     33200, alpha:   13.5375, rms:    2.2969
loop:     33600, alpha:   13.5375, rms:    2.2958
loop:     34000, alpha:   13.5375, rms:    2.2947
loop:     34400, alpha:   13.5375, rms:    2.2937
loop:     34800, alpha:   13.5375, rms:    2.2927
loop:     35200, alpha:   13.5375, rms:    2.2917
loop:     35600, alpha:   13.5375, rms:    2.2907
loop:     36000, alpha:   13.5375, rms:    2.2897
loop:     36400, alpha:   13.5375, rms:    2.2888
loop:     36800, alpha:   13.5375, rms:    2.2879
loop:     37200, alpha:   13.5375, rms:    2.2870
loop:     37600, alpha:   13.5375, rms:    2.2861
loop:     38000, alpha:   13.5375, rms:    2.2853
loop:     38400, alpha:   13.5375, rms:    2.2844
