Read the target shape in
 ./files/input/20190307ErrorBetweenMirrorandCylinder1stSputter60nmOffset.txt
Read the unit sputter yield in
 ./files/input/20190325SputterYieldon20190324_2.txt

                                       
    Iterative Deconvolution Started   
***************************************

The number of entries
  # Target   :    5500
  # Unit     :    2175
  # 1/2 Unit :    1087
  # All      :    9850
The number of threads
  # Total    :       4
  # Thread   :       1
  # Thread   :       3
  # Thread   :       2
  # Thread   :       0
Computation time for initialization:    0.0040

Have memorized arrays 1 times
Multiplied alpha by    0.9500
loop:         8, alpha:   14.2500, rms:  168.8290
loop:       400, alpha:   14.2500, rms:    9.1506
loop:       800, alpha:   14.2500, rms:    6.1771
loop:      1200, alpha:   14.2500, rms:    4.9361
loop:      1600, alpha:   14.2500, rms:    4.2125
loop:      2000, alpha:   14.2500, rms:    3.7252
loop:      2400, alpha:   14.2500, rms:    3.3737
loop:      2800, alpha:   14.2500, rms:    3.1103
loop:      3200, alpha:   14.2500, rms:    2.9080
loop:      3600, alpha:   14.2500, rms:    2.7485
loop:      4000, alpha:   14.2500, rms:    2.6201
loop:      4400, alpha:   14.2500, rms:    2.5153
loop:      4800, alpha:   14.2500, rms:    2.4289
loop:      5200, alpha:   14.2500, rms:    2.3568
loop:      5600, alpha:   14.2500, rms:    2.2956
loop:      6000, alpha:   14.2500, rms:    2.2435
loop:      6400, alpha:   14.2500, rms:    2.1982
loop:      6800, alpha:   14.2500, rms:    2.1586
loop:      7200, alpha:   14.2500, rms:    2.1237
loop:      7600, alpha:   14.2500, rms:    2.0930
loop:      8000, alpha:   14.2500, rms:    2.0657
loop:      8400, alpha:   14.2500, rms:    2.0413
loop:      8800, alpha:   14.2500, rms:    2.0195
loop:      9200, alpha:   14.2500, rms:    1.9999
loop:      9600, alpha:   14.2500, rms:    1.9822
Have memorized arrays 2 times
loop:     10000, alpha:   14.2500, rms:    1.9662
loop:     10400, alpha:   14.2500, rms:    1.9515
loop:     10800, alpha:   14.2500, rms:    1.9382
loop:     11200, alpha:   14.2500, rms:    1.9259
loop:     11600, alpha:   14.2500, rms:    1.9146
loop:     12000, alpha:   14.2500, rms:    1.9042
loop:     12400, alpha:   14.2500, rms:    1.8946
loop:     12800, alpha:   14.2500, rms:    1.8857
loop:     13200, alpha:   14.2500, rms:    1.8774
loop:     13600, alpha:   14.2500, rms:    1.8697
loop:     14000, alpha:   14.2500, rms:    1.8624
loop:     14400, alpha:   14.2500, rms:    1.8557
loop:     14800, alpha:   14.2500, rms:    1.8493
loop:     15200, alpha:   14.2500, rms:    1.8434
loop:     15600, alpha:   14.2500, rms:    1.8378
loop:     16000, alpha:   14.2500, rms:    1.8325
loop:     16400, alpha:   14.2500, rms:    1.8275
loop:     16800, alpha:   14.2500, rms:    1.8228
loop:     17200, alpha:   14.2500, rms:    1.8183
loop:     17600, alpha:   14.2500, rms:    1.8141
loop:     18000, alpha:   14.2500, rms:    1.8101
loop:     18400, alpha:   14.2500, rms:    1.8063
loop:     18800, alpha:   14.2500, rms:    1.8027
loop:     19200, alpha:   14.2500, rms:    1.7992
