     Count               Iteration-1           Iteration-10000           Iteration-20000           Iteration-30000           Iteration-40000           Iteration-50000           Iteration-60000           Iteration-70000           Iteration-80000           Iteration-90000          Iteration-100000          Iteration-100001 
         0  0.000000000000000000e+00  1.009078000000000058e-03  1.009078000000000058e-03  1.009078000000000058e-03  1.009078000000000058e-03  1.009078000000000058e-03  1.009078000000000058e-03  1.009078000000000058e-03  1.009078000000000058e-03  1.009078000000000058e-03  1.009078000000000058e-03  1.009078000000000058e-03 
         1  0.000000000000000000e+00  2.023790000000000137e-03  2.023790000000000137e-03  2.023790000000000137e-03  2.023790000000000137e-03  2.023790000000000137e-03  2.023790000000000137e-03  2.023790000000000137e-03  2.023790000000000137e-03  2.023790000000000137e-03  2.023790000000000137e-03  2.023790000000000137e-03 
         2  0.000000000000000000e+00  3.044136000000000238e-03  3.044136000000000238e-03  3.044136000000000238e-03  3.044136000000000238e-03  3.044136000000000238e-03  3.044136000000000238e-03  3.044136000000000238e-03  3.044136000000000238e-03  3.044136000000000238e-03  3.044136000000000238e-03  3.044136000000000238e-03 
         3  0.000000000000000000e+00  4.070116000000000359e-03  4.070116000000000359e-03  4.070116000000000359e-03  4.070116000000000359e-03  4.070116000000000359e-03  4.070116000000000359e-03  4.070116000000000359e-03  4.070116000000000359e-03  4.070116000000000359e-03  4.070116000000000359e-03  4.070116000000000359e-03 
         4  0.000000000000000000e+00  5.101730000000000501e-03  5.101730000000000501e-03  5.101730000000000501e-03  5.101730000000000501e-03  5.101730000000000501e-03  5.101730000000000501e-03  5.101730000000000501e-03  5.101730000000000501e-03  5.101730000000000501e-03  5.101730000000000501e-03  5.101730000000000501e-03 
         5  0.000000000000000000e+00  6.138978000000000664e-03  6.138978000000000664e-03  6.138978000000000664e-03  6.138978000000000664e-03  6.138978000000000664e-03  6.138978000000000664e-03  6.138978000000000664e-03  6.138978000000000664e-03  6.138978000000000664e-03  6.138978000000000664e-03  6.138978000000000664e-03 
         6  0.000000000000000000e+00  7.181859999999999980e-03  7.181859999999999980e-03  7.181859999999999980e-03  7.181859999999999980e-03  7.181859999999999980e-03  7.181859999999999980e-03  7.181859999999999980e-03  7.181859999999999980e-03  7.181859999999999980e-03  7.181859999999999980e-03  7.181859999999999980e-03 
         7  0.000000000000000000e+00  8.230377999999999999e-03  8.230377999999999999e-03  8.230377999999999999e-03  8.230377999999999999e-03  8.230377999999999999e-03  8.230377999999999999e-03  8.230377999999999999e-03  8.230377999999999999e-03  8.230377999999999999e-03  8.230377999999999999e-03  8.230377999999999999e-03 
         8  0.000000000000000000e+00  9.284530000000000907e-03  9.284530000000000907e-03  9.284530000000000907e-03  9.284530000000000907e-03  9.284530000000000907e-03  9.284530000000000907e-03  9.284530000000000907e-03  9.284530000000000907e-03  9.284530000000000907e-03  9.284530000000000907e-03  9.284530000000000907e-03 
         9  0.000000000000000000e+00  1.034431600000000097e-02  1.034431600000000097e-02  1.034431600000000097e-02  1.034431600000000097e-02  1.034431600000000097e-02  1.034431600000000097e-02  1.034431600000000097e-02  1.034431600000000097e-02  1.034431600000000097e-02  1.034431600000000097e-02  1.034431600000000097e-02 
        10  0.000000000000000000e+00  1.140973600000000018e-02  1.140973600000000018e-02  1.140973600000000018e-02  1.140973600000000018e-02  1.140973600000000018e-02  1.140973600000000018e-02  1.140973600000000018e-02  1.140973600000000018e-02  1.140973600000000018e-02  1.140973600000000018e-02  1.140973600000000018e-02 
        11  0.000000000000000000e+00  1.248078999999999855e-02  1.248078999999999855e-02  1.248078999999999855e-02  1.248078999999999855e-02  1.248078999999999855e-02  1.248078999999999855e-02  1.248078999999999855e-02  1.248078999999999855e-02  1.248078999999999855e-02  1.248078999999999855e-02  1.248078999999999855e-02 
        12  0.000000000000000000e+00  1.355747799999999954e-02  1.355747799999999954e-02  1.355747799999999954e-02  1.355747799999999954e-02  1.355747799999999954e-02  1.355747799999999954e-02  1.355747799999999954e-02  1.355747799999999954e-02  1.355747799999999954e-02  1.355747799999999954e-02  1.355747799999999954e-02 
        13  0.000000000000000000e+00  1.463979999999999795e-02  1.463979999999999795e-02  1.463979999999999795e-02  1.463979999999999795e-02  1.463979999999999795e-02  1.463979999999999795e-02  1.463979999999999795e-02  1.463979999999999795e-02  1.463979999999999795e-02  1.463979999999999795e-02  1.463979999999999795e-02 
        14  0.000000000000000000e+00  1.572775599999999899e-02  1.572775599999999899e-02  1.572775599999999899e-02  1.572775599999999899e-02  1.572775599999999899e-02  1.572775599999999899e-02  1.572775599999999899e-02  1.572775599999999899e-02  1.572775599999999899e-02  1.572775599999999899e-02  1.572775599999999899e-02 
        15  0.000000000000000000e+00  1.682134600000000091e-02  1.682134600000000091e-02  1.682134600000000091e-02  1.682134600000000091e-02  1.682134600000000091e-02  1.682134600000000091e-02  1.682134600000000091e-02  1.682134600000000091e-02  1.682134600000000091e-02  1.682134600000000091e-02  1.682134600000000091e-02 
        16  0.000000000000000000e+00  1.792057000000000025e-02  1.792057000000000025e-02  1.792057000000000025e-02  1.792057000000000025e-02  1.792057000000000025e-02  1.792057000000000025e-02  1.792057000000000025e-02  1.792057000000000025e-02  1.792057000000000025e-02  1.792057000000000025e-02  1.792057000000000025e-02 
        17  0.000000000000000000e+00  1.902542800000000048e-02  1.902542800000000048e-02  1.902542800000000048e-02  1.902542800000000048e-02  1.902542800000000048e-02  1.902542800000000048e-02  1.902542800000000048e-02  1.902542800000000048e-02  1.902542800000000048e-02  1.902542800000000048e-02  1.902542800000000048e-02 
        18  0.000000000000000000e+00  2.013591999999999813e-02  2.013591999999999813e-02  2.013591999999999813e-02  2.013591999999999813e-02  2.013591999999999813e-02  2.013591999999999813e-02  2.013591999999999813e-02  2.013591999999999813e-02  2.013591999999999813e-02  2.013591999999999813e-02  2.013591999999999813e-02 
        19  0.000000000000000000e+00  2.125204799999999908e-02  2.125204799999999908e-02  2.125204799999999908e-02  2.125204799999999908e-02  2.125204799999999908e-02  2.125204799999999908e-02  2.125204799999999908e-02  2.125204799999999908e-02  2.125204799999999908e-02  2.125204799999999908e-02  2.125204799999999908e-02 
        20  0.000000000000000000e+00  2.237381000000000439e-02  2.237381000000000439e-02  2.237381000000000439e-02  2.237381000000000439e-02  2.237381000000000439e-02  2.237381000000000439e-02  2.237381000000000439e-02  2.237381000000000439e-02  2.237381000000000439e-02  2.237381000000000439e-02  2.237381000000000439e-02 
        21  0.000000000000000000e+00  2.350120600000000018e-02  2.350120600000000018e-02  2.350120600000000018e-02  2.350120600000000018e-02  2.350120600000000018e-02  2.350120600000000018e-02  2.350120600000000018e-02  2.350120600000000018e-02  2.350120600000000018e-02  2.350120600000000018e-02  2.350120600000000018e-02 
        22  0.000000000000000000e+00  2.463423600000000033e-02  2.463423600000000033e-02  2.463423600000000033e-02  2.463423600000000033e-02  2.463423600000000033e-02  2.463423600000000033e-02  2.463423600000000033e-02  2.463423600000000033e-02  2.463423600000000033e-02  2.463423600000000033e-02  2.463423600000000033e-02 
        23  0.000000000000000000e+00  2.577289999999999789e-02  2.577289999999999789e-02  2.577289999999999789e-02  2.577289999999999789e-02  2.577289999999999789e-02  2.577289999999999789e-02  2.577289999999999789e-02  2.577289999999999789e-02  2.577289999999999789e-02  2.577289999999999789e-02  2.577289999999999789e-02 
        24  0.000000000000000000e+00  2.691719799999999982e-02  2.691719799999999982e-02  2.691719799999999982e-02  2.691719799999999982e-02  2.691719799999999982e-02  2.691719799999999982e-02  2.691719799999999982e-02  2.691719799999999982e-02  2.691719799999999982e-02  2.691719799999999982e-02  2.691719799999999982e-02 
