Read the target shape in
 ./files/input/20190327ResidueMirrorAndCyl_Offset500nmMA-0.01mm.txt
Read the unit sputter yield in
 ./files/input/20190327SputterYieldon20190327.txt

                                       
    Iterative Deconvolution Started   
***************************************

The number of entries
  # Target   :    4400
  # Unit     :    2261
  # 1/2 Unit :    1130
  # All      :    8922
The number of threads
  # Total    :       4
  # Thread   :       3
  # Thread   :       1
  # Thread   :       2
  # Thread   :       0
Computation time for initialization:    0.0034

Have memorized arrays 1 times
loop:       400, alpha:   10.5000, rms:   13.8474
loop:       800, alpha:   10.5000, rms:    9.3010
loop:      1200, alpha:   10.5000, rms:    7.4549
loop:      1600, alpha:   10.5000, rms:    6.4889
loop:      2000, alpha:   10.5000, rms:    5.9133
loop:      2400, alpha:   10.5000, rms:    5.5060
loop:      2800, alpha:   10.5000, rms:    5.1843
loop:      3200, alpha:   10.5000, rms:    4.9219
loop:      3600, alpha:   10.5000, rms:    4.7042
loop:      4000, alpha:   10.5000, rms:    4.5207
loop:      4400, alpha:   10.5000, rms:    4.3637
loop:      4800, alpha:   10.5000, rms:    4.2274
loop:      5200, alpha:   10.5000, rms:    4.1076
loop:      5600, alpha:   10.5000, rms:    4.0016
loop:      6000, alpha:   10.5000, rms:    3.9068
loop:      6400, alpha:   10.5000, rms:    3.8212
loop:      6800, alpha:   10.5000, rms:    3.7439
loop:      7200, alpha:   10.5000, rms:    3.6734
loop:      7600, alpha:   10.5000, rms:    3.6089
loop:      8000, alpha:   10.5000, rms:    3.5496
loop:      8400, alpha:   10.5000, rms:    3.4948
loop:      8800, alpha:   10.5000, rms:    3.4441
loop:      9200, alpha:   10.5000, rms:    3.3969
loop:      9600, alpha:   10.5000, rms:    3.3529
Have memorized arrays 2 times
loop:     10000, alpha:   10.5000, rms:    3.3118
loop:     10400, alpha:   10.5000, rms:    3.2735
loop:     10800, alpha:   10.5000, rms:    3.2375
loop:     11200, alpha:   10.5000, rms:    3.2038
loop:     11600, alpha:   10.5000, rms:    3.1721
loop:     12000, alpha:   10.5000, rms:    3.1423
loop:     12400, alpha:   10.5000, rms:    3.1140
loop:     12800, alpha:   10.5000, rms:    3.0873
loop:     13200, alpha:   10.5000, rms:    3.0619
loop:     13600, alpha:   10.5000, rms:    3.0377
loop:     14000, alpha:   10.5000, rms:    3.0147
loop:     14400, alpha:   10.5000, rms:    2.9928
loop:     14800, alpha:   10.5000, rms:    2.9718
loop:     15200, alpha:   10.5000, rms:    2.9518
loop:     15600, alpha:   10.5000, rms:    2.9327
loop:     16000, alpha:   10.5000, rms:    2.9144
loop:     16400, alpha:   10.5000, rms:    2.8969
loop:     16800, alpha:   10.5000, rms:    2.8801
loop:     17200, alpha:   10.5000, rms:    2.8640
loop:     17600, alpha:   10.5000, rms:    2.8487
loop:     18000, alpha:   10.5000, rms:    2.8339
loop:     18400, alpha:   10.5000, rms:    2.8197
loop:     18800, alpha:   10.5000, rms:    2.8060
loop:     19200, alpha:   10.5000, rms:    2.7929
loop:     19600, alpha:   10.5000, rms:    2.7803
Have memorized arrays 3 times
loop:     20000, alpha:   10.5000, rms:    2.7681
loop:     20400, alpha:   10.5000, rms:    2.7564
loop:     20800, alpha:   10.5000, rms:    2.7449
loop:     21200, alpha:   10.5000, rms:    2.7336
loop:     21600, alpha:   10.5000, rms:    2.7225
loop:     22000, alpha:   10.5000, rms:    2.7118
loop:     22400, alpha:   10.5000, rms:    2.7014
loop:     22800, alpha:   10.5000, rms:    2.6913
loop:     23200, alpha:   10.5000, rms:    2.6815
loop:     23600, alpha:   10.5000, rms:    2.6721
loop:     24000, alpha:   10.5000, rms:    2.6629
loop:     24400, alpha:   10.5000, rms:    2.6540
loop:     24800, alpha:   10.5000, rms:    2.6454
loop:     25200, alpha:   10.5000, rms:    2.6370
loop:     25600, alpha:   10.5000, rms:    2.6289
loop:     26000, alpha:   10.5000, rms:    2.6210
loop:     26400, alpha:   10.5000, rms:    2.6133
loop:     26800, alpha:   10.5000, rms:    2.6058
loop:     27200, alpha:   10.5000, rms:    2.5986
loop:     27600, alpha:   10.5000, rms:    2.5915
loop:     28000, alpha:   10.5000, rms:    2.5846
loop:     28400, alpha:   10.5000, rms:    2.5779
loop:     28800, alpha:   10.5000, rms:    2.5714
loop:     29200, alpha:   10.5000, rms:    2.5650
loop:     29600, alpha:   10.5000, rms:    2.5589
Have memorized arrays 4 times
loop:     30000, alpha:   10.5000, rms:    2.5528
loop:     30400, alpha:   10.5000, rms:    2.5470
loop:     30800, alpha:   10.5000, rms:    2.5413
loop:     31200, alpha:   10.5000, rms:    2.5357
loop:     31600, alpha:   10.5000, rms:    2.5303
loop:     32000, alpha:   10.5000, rms:    2.5250
loop:     32400, alpha:   10.5000, rms:    2.5199
loop:     32800, alpha:   10.5000, rms:    2.5149
loop:     33200, alpha:   10.5000, rms:    2.5100
loop:     33600, alpha:   10.5000, rms:    2.5053
loop:     34000, alpha:   10.5000, rms:    2.5007
loop:     34400, alpha:   10.5000, rms:    2.4963
loop:     34800, alpha:   10.5000, rms:    2.4922
loop:     35200, alpha:   10.5000, rms:    2.4882
loop:     35600, alpha:   10.5000, rms:    2.4842
loop:     36000, alpha:   10.5000, rms:    2.4804
loop:     36400, alpha:   10.5000, rms:    2.4766
loop:     36800, alpha:   10.5000, rms:    2.4729
loop:     37200, alpha:   10.5000, rms:    2.4694
loop:     37600, alpha:   10.5000, rms:    2.4659
loop:     38000, alpha:   10.5000, rms:    2.4625
loop:     38400, alpha:   10.5000, rms:    2.4592
loop:     38800, alpha:   10.5000, rms:    2.4560
loop:     39200, alpha:   10.5000, rms:    2.4529
loop:     39600, alpha:   10.5000, rms:    2.4498
Have memorized arrays 5 times
loop:     40000, alpha:   10.5000, rms:    2.4469
loop:     40400, alpha:   10.5000, rms:    2.4441
loop:     40800, alpha:   10.5000, rms:    2.4413
loop:     41200, alpha:   10.5000, rms:    2.4386
loop:     41600, alpha:   10.5000, rms:    2.4360
loop:     42000, alpha:   10.5000, rms:    2.4335
loop:     42400, alpha:   10.5000, rms:    2.4310
loop:     42800, alpha:   10.5000, rms:    2.4286
loop:     43200, alpha:   10.5000, rms:    2.4263
loop:     43600, alpha:   10.5000, rms:    2.4241
loop:     44000, alpha:   10.5000, rms:    2.4220
loop:     44400, alpha:   10.5000, rms:    2.4199
loop:     44800, alpha:   10.5000, rms:    2.4179
loop:     45200, alpha:   10.5000, rms:    2.4160
loop:     45600, alpha:   10.5000, rms:    2.4141
loop:     46000, alpha:   10.5000, rms:    2.4123
loop:     46400, alpha:   10.5000, rms:    2.4106
loop:     46800, alpha:   10.5000, rms:    2.4090
loop:     47200, alpha:   10.5000, rms:    2.4074
loop:     47600, alpha:   10.5000, rms:    2.4058
loop:     48000, alpha:   10.5000, rms:    2.4044
loop:     48400, alpha:   10.5000, rms:    2.4030
loop:     48800, alpha:   10.5000, rms:    2.4017
loop:     49200, alpha:   10.5000, rms:    2.4004
loop:     49600, alpha:   10.5000, rms:    2.3992
Have memorized arrays 6 times
loop:     50000, alpha:   10.5000, rms:    2.3980
loop:     50400, alpha:   10.5000, rms:    2.3969
loop:     50800, alpha:   10.5000, rms:    2.3959
loop:     51200, alpha:   10.5000, rms:    2.3949
loop:     51600, alpha:   10.5000, rms:    2.3940
loop:     52000, alpha:   10.5000, rms:    2.3931
loop:     52400, alpha:   10.5000, rms:    2.3922
loop:     52800, alpha:   10.5000, rms:    2.3914
loop:     53200, alpha:   10.5000, rms:    2.3907
loop:     53600, alpha:   10.5000, rms:    2.3900
loop:     54000, alpha:   10.5000, rms:    2.3893
loop:     54400, alpha:   10.5000, rms:    2.3887
loop:     54800, alpha:   10.5000, rms:    2.3881
loop:     55200, alpha:   10.5000, rms:    2.3876
loop:     55600, alpha:   10.5000, rms:    2.3872
loop:     56000, alpha:   10.5000, rms:    2.3868
loop:     56400, alpha:   10.5000, rms:    2.3865
loop:     56800, alpha:   10.5000, rms:    2.3862
loop:     57200, alpha:   10.5000, rms:    2.3859
loop:     57600, alpha:   10.5000, rms:    2.3857
loop:     58000, alpha:   10.5000, rms:    2.3856
loop:     58400, alpha:   10.5000, rms:    2.3855
loop:     58800, alpha:   10.5000, rms:    2.3855
Multiplied alpha by    0.9500
loop:     58944, alpha:    9.9750, rms:    2.3855
Multiplied alpha by    0.9500
loop:     58945, alpha:    9.4762, rms:    2.3855
Multiplied alpha by    0.9500
loop:     58947, alpha:    9.0024, rms:    2.3855
Multiplied alpha by    0.9500
loop:     58949, alpha:    8.5523, rms:    2.3855
Multiplied alpha by    0.9500
loop:     58951, alpha:    8.1247, rms:    2.3855
Multiplied alpha by    0.9500
loop:     58953, alpha:    7.7185, rms:    2.3855
Multiplied alpha by    0.9500
loop:     58955, alpha:    7.3325, rms:    2.3855
Multiplied alpha by    0.9500
loop:     58957, alpha:    6.9659, rms:    2.3855
Multiplied alpha by    0.9500
loop:     58959, alpha:    6.6176, rms:    2.3855
Multiplied alpha by    0.9500
loop:     58961, alpha:    6.2867, rms:    2.3855
Multiplied alpha by    0.9500
loop:     58963, alpha:    5.9724, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59004, alpha:    5.6738, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59006, alpha:    5.3901, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59008, alpha:    5.1206, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59010, alpha:    4.8646, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59012, alpha:    4.6213, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59014, alpha:    4.3903, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59015, alpha:    4.1708, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59017, alpha:    3.9622, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59019, alpha:    3.7641, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59021, alpha:    3.5759, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59023, alpha:    3.3971, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59024, alpha:    3.2272, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59026, alpha:    3.0659, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59028, alpha:    2.9126, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59030, alpha:    2.7670, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59032, alpha:    2.6286, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59033, alpha:    2.4972, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59035, alpha:    2.3723, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59037, alpha:    2.2537, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59039, alpha:    2.1410, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59041, alpha:    2.0340, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59043, alpha:    1.9323, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59045, alpha:    1.8357, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59046, alpha:    1.7439, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59048, alpha:    1.6567, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59050, alpha:    1.5738, rms:    2.3855
Multiplied alpha by    0.9500
loop:     59052, alpha:    1.4952, rms:    2.3855
