Read the target shape in
 ./files/input/20190331ResidueMirrorAndCyl_MA-0.05mmMT-0.002Offset450nm.txt
Read the unit sputter yield in
 ./files/input/20190331SputerYieldon20190331.txt

                                       
    Iterative Deconvolution Started   
***************************************

The number of entries
  # Target   :    4400
  # Unit     :    2285
  # 1/2 Unit :    1142
  # All      :    8970
The number of threads
  # Total    :       4
  # Thread   :       1
  # Thread   :       3
  # Thread   :       0
  # Thread   :       2
Computation time for initialization:    0.0042

Have memorized arrays 1 times
loop:       400, alpha:   10.5000, rms:   15.0154
loop:       800, alpha:   10.5000, rms:    9.7004
loop:      1200, alpha:   10.5000, rms:    7.3997
loop:      1600, alpha:   10.5000, rms:    6.1146
loop:      2000, alpha:   10.5000, rms:    5.2969
loop:      2400, alpha:   10.5000, rms:    4.7412
loop:      2800, alpha:   10.5000, rms:    4.3467
loop:      3200, alpha:   10.5000, rms:    4.0567
loop:      3600, alpha:   10.5000, rms:    3.8369
loop:      4000, alpha:   10.5000, rms:    3.6652
loop:      4400, alpha:   10.5000, rms:    3.5269
loop:      4800, alpha:   10.5000, rms:    3.4124
loop:      5200, alpha:   10.5000, rms:    3.3150
loop:      5600, alpha:   10.5000, rms:    3.2302
loop:      6000, alpha:   10.5000, rms:    3.1550
loop:      6400, alpha:   10.5000, rms:    3.0871
loop:      6800, alpha:   10.5000, rms:    3.0251
loop:      7200, alpha:   10.5000, rms:    2.9681
loop:      7600, alpha:   10.5000, rms:    2.9153
loop:      8000, alpha:   10.5000, rms:    2.8663
loop:      8400, alpha:   10.5000, rms:    2.8207
loop:      8800, alpha:   10.5000, rms:    2.7782
loop:      9200, alpha:   10.5000, rms:    2.7385
loop:      9600, alpha:   10.5000, rms:    2.7012
Have memorized arrays 2 times
loop:     10000, alpha:   10.5000, rms:    2.6661
loop:     10400, alpha:   10.5000, rms:    2.6331
loop:     10800, alpha:   10.5000, rms:    2.6019
loop:     11200, alpha:   10.5000, rms:    2.5725
loop:     11600, alpha:   10.5000, rms:    2.5447
loop:     12000, alpha:   10.5000, rms:    2.5184
loop:     12400, alpha:   10.5000, rms:    2.4934
loop:     12800, alpha:   10.5000, rms:    2.4698
loop:     13200, alpha:   10.5000, rms:    2.4472
loop:     13600, alpha:   10.5000, rms:    2.4257
loop:     14000, alpha:   10.5000, rms:    2.4051
