     Count               Iteration-1           Iteration-10000           Iteration-20000           Iteration-30000           Iteration-40000           Iteration-50000           Iteration-60000           Iteration-70000           Iteration-80000           Iteration-90000          Iteration-100000          Iteration-110000          Iteration-120000          Iteration-130000          Iteration-140000          Iteration-150000          Iteration-160000          Iteration-170000          Iteration-180000          Iteration-190000          Iteration-200000          Iteration-200001 
         0  0.000000000000000000e+00  2.556740029782872625e+00  2.743157086408189116e+00  2.989578862397763714e+00  3.142635661082522347e+00  3.345485023384583201e+00  3.405745275709762154e+00  3.405745288392324710e+00  3.405745301130195912e+00  3.405745313795478069e+00  3.405745326478665902e+00  3.405745339104157665e+00  3.405745351750283589e+00  3.405745364431993494e+00  3.405745377098241988e+00  3.405745389703952242e+00  3.405745402405955247e+00  3.405745415092667372e+00  3.405745427614021992e+00  3.405745440195801166e+00  3.405745452792245942e+00  3.405745452792245942e+00 
         1  0.000000000000000000e+00  2.359151117674741727e+00  2.539681469282982107e+00  2.778533005199165018e+00  2.924789146348928170e+00  3.120433332481411526e+00  3.178652714332145024e+00  3.178652726572579468e+00  3.178652738866730942e+00  3.178652751089657613e+00  3.178652763328955189e+00  3.178652775514251516e+00  3.178652787719784101e+00  3.178652799957546904e+00  3.178652812182576781e+00  3.178652824347977912e+00  3.178652836606488563e+00  3.178652848850731516e+00  3.178652860935017088e+00  3.178652873077112417e+00  3.178652885234441783e+00  3.178652885234441783e+00 
         2  0.000000000000000000e+00  2.304312745847823862e+00  2.478877793620711145e+00  2.710102078529530445e+00  2.849484549162696112e+00  3.037844632598591943e+00  3.094005277883525196e+00  3.094005289677568271e+00  3.094005301521406182e+00  3.094005313298396231e+00  3.094005325092325620e+00  3.094005336833106412e+00  3.094005348592588689e+00  3.094005360383732750e+00  3.094005372162712320e+00  3.094005383884336879e+00  3.094005395695717198e+00  3.094005407492716131e+00  3.094005419136465207e+00  3.094005430836091364e+00  3.094005442549701002e+00  3.094005442549701002e+00 
         3  0.000000000000000000e+00  2.381570518158639516e+00  2.550100001041755604e+00  2.773651603071471072e+00  2.906097441315012020e+00  3.087098337215536503e+00  3.141185032881708139e+00  3.141185044225096590e+00  3.141185055617768285e+00  3.141185066945297422e+00  3.141185078289197463e+00  3.141185089581824741e+00  3.141185100892471382e+00  3.141185112234211374e+00  3.141185123563104753e+00  3.141185134837940041e+00  3.141185146198324674e+00  3.141185157545464790e+00  3.141185168745039391e+00  3.141185179997819432e+00  3.141185191264071364e+00  3.141185191264071364e+00 
         4  0.000000000000000000e+00  2.565337732882483124e+00  2.727770433988155219e+00  2.943615111144367802e+00  3.069071606716590850e+00  3.242643188793351783e+00  3.294642027144618623e+00  3.294642038035703990e+00  3.294642048973798865e+00  3.294642059849309135e+00  3.294642070739541850e+00  3.294642081581457660e+00  3.294642092441677050e+00  3.294642103329920246e+00  3.294642114207022132e+00  3.294642125031998603e+00  3.294642135938545380e+00  3.294642146831790797e+00  3.294642157585371933e+00  3.294642168388236314e+00  3.294642179205709454e+00  3.294642179205709454e+00 
         5  0.000000000000000000e+00  2.829930913754878929e+00  2.986214887091705350e+00  3.194329574879930078e+00  3.312754387614234020e+00  3.478836734105016149e+00  3.528730401774339498e+00  3.528730412208176404e+00  3.528730422687829105e+00  3.528730433107511999e+00  3.528730443541689965e+00  3.528730453929256328e+00  3.528730464332227257e+00  3.528730474765325198e+00  3.528730485185747057e+00  3.528730495556544611e+00  3.528730506006127143e+00  3.528730516443829401e+00  3.528730526745619045e+00  3.528730537096294029e+00  3.528730547459758782e+00  3.528730547459758782e+00 
         6  0.000000000000000000e+00  3.149666934317394862e+00  3.299759563206691837e+00  3.500132376870794815e+00  3.611493606990563876e+00  3.770037527661145305e+00  3.817811145140353801e+00  3.817811155115919064e+00  3.817811165132923179e+00  3.817811175093027032e+00  3.817811185067739643e+00  3.817811194997830171e+00  3.817811204943041048e+00  3.817811214915877827e+00  3.817811224878198573e+00  3.817811234791349762e+00  3.817811244780159541e+00  3.817811254758282757e+00  3.817811264605722954e+00  3.817811274500456875e+00  3.817811284407184758e+00  3.817811284407184758e+00 
         7  0.000000000000000000e+00  3.498862654123627181e+00  3.642730648905171620e+00  3.835360843506521178e+00  3.939636999148376617e+00  4.090603795319623259e+00  4.136242714625268491e+00  4.136242724135911430e+00  4.136242733689073248e+00  4.136242743187267479e+00  4.136242752698990444e+00  4.136242762167114506e+00  4.136242771651382100e+00  4.136242781161286075e+00  4.136242790660617175e+00  4.136242800113791418e+00  4.136242809639213647e+00  4.136242819152926131e+00  4.136242828544368422e+00  4.136242837978841180e+00  4.136242847426103708e+00  4.136242847426103708e+00 
         8  0.000000000000000000e+00  3.851834750470004565e+00  3.989454773950967592e+00  4.174351940235055736e+00  4.271531862888082287e+00  4.414889620167230078e+00  4.458381403858368230e+00  4.458381412904202534e+00  4.458381421988747206e+00  4.458381431021393837e+00  4.458381440067398671e+00  4.458381449072874148e+00  4.458381458091480454e+00  4.458381467135438925e+00  4.458381476169677171e+00  4.458381485159691238e+00  4.458381494218713215e+00  4.458381503267446533e+00  4.458381512198172913e+00  4.458381521171816075e+00  4.458381530155691053e+00  4.458381530155691053e+00 
         9  0.000000000000000000e+00  4.182899754418826888e+00  4.314258733641736399e+00  4.491442215645463421e+00  4.581524903233173518e+00  4.717247528353254893e+00  4.758582362113429554e+00  4.758582370690930929e+00  4.758582379305266841e+00  4.758582387871229002e+00  4.758582396448332474e+00  4.758582404987237169e+00  4.758582413540523248e+00  4.758582422116944599e+00  4.758582430683475195e+00  4.758582439208282722e+00  4.758582447798232806e+00  4.758582456379429004e+00  4.758582464847791016e+00  4.758582473355659204e+00  4.758582481876260317e+00  4.758582481876260317e+00 
