Read the target shape in
 ./files/input/20190408ResidueMirrorAndCyl_MA-0.08mmOffset300nm.txt
Read the unit sputter yield in
 ./files/input/20190408SputterYieldon20190408.txt

                                       
    Iterative Deconvolution Started   
***************************************

The number of entries
  # Target   :    4400
  # Unit     :    2141
  # 1/2 Unit :    1070
  # All      :    8682
The number of threads
  # Total    :       4
  # Thread   :       1
  # Thread   :       2
  # Thread   :       3
  # Thread   :       0
Computation time for initialization:    0.0039

Have memorized arrays 1 times
loop:       400, alpha:   10.5000, rms:    8.7993
loop:       800, alpha:   10.5000, rms:    6.2019
loop:      1200, alpha:   10.5000, rms:    5.1175
loop:      1600, alpha:   10.5000, rms:    4.4896
loop:      2000, alpha:   10.5000, rms:    4.0607
loop:      2400, alpha:   10.5000, rms:    3.7415
loop:      2800, alpha:   10.5000, rms:    3.4924
loop:      3200, alpha:   10.5000, rms:    3.2927
loop:      3600, alpha:   10.5000, rms:    3.1295
loop:      4000, alpha:   10.5000, rms:    2.9946
loop:      4400, alpha:   10.5000, rms:    2.8818
loop:      4800, alpha:   10.5000, rms:    2.7867
loop:      5200, alpha:   10.5000, rms:    2.7059
loop:      5600, alpha:   10.5000, rms:    2.6367
loop:      6000, alpha:   10.5000, rms:    2.5770
loop:      6400, alpha:   10.5000, rms:    2.5251
loop:      6800, alpha:   10.5000, rms:    2.4798
loop:      7200, alpha:   10.5000, rms:    2.4398
loop:      7600, alpha:   10.5000, rms:    2.4045
loop:      8000, alpha:   10.5000, rms:    2.3730
loop:      8400, alpha:   10.5000, rms:    2.3447
loop:      8800, alpha:   10.5000, rms:    2.3193
loop:      9200, alpha:   10.5000, rms:    2.2962
loop:      9600, alpha:   10.5000, rms:    2.2752
Have memorized arrays 2 times
loop:     10000, alpha:   10.5000, rms:    2.2560
loop:     10400, alpha:   10.5000, rms:    2.2383
loop:     10800, alpha:   10.5000, rms:    2.2221
loop:     11200, alpha:   10.5000, rms:    2.2070
loop:     11600, alpha:   10.5000, rms:    2.1929
loop:     12000, alpha:   10.5000, rms:    2.1799
loop:     12400, alpha:   10.5000, rms:    2.1676
loop:     12800, alpha:   10.5000, rms:    2.1562
loop:     13200, alpha:   10.5000, rms:    2.1454
loop:     13600, alpha:   10.5000, rms:    2.1352
loop:     14000, alpha:   10.5000, rms:    2.1256
loop:     14400, alpha:   10.5000, rms:    2.1165
loop:     14800, alpha:   10.5000, rms:    2.1078
loop:     15200, alpha:   10.5000, rms:    2.0996
loop:     15600, alpha:   10.5000, rms:    2.0918
loop:     16000, alpha:   10.5000, rms:    2.0844
loop:     16400, alpha:   10.5000, rms:    2.0773
loop:     16800, alpha:   10.5000, rms:    2.0705
loop:     17200, alpha:   10.5000, rms:    2.0641
loop:     17600, alpha:   10.5000, rms:    2.0579
loop:     18000, alpha:   10.5000, rms:    2.0519
loop:     18400, alpha:   10.5000, rms:    2.0462
loop:     18800, alpha:   10.5000, rms:    2.0407
loop:     19200, alpha:   10.5000, rms:    2.0354
loop:     19600, alpha:   10.5000, rms:    2.0304
Have memorized arrays 3 times
loop:     20000, alpha:   10.5000, rms:    2.0255
loop:     20400, alpha:   10.5000, rms:    2.0208
loop:     20800, alpha:   10.5000, rms:    2.0162
loop:     21200, alpha:   10.5000, rms:    2.0118
loop:     21600, alpha:   10.5000, rms:    2.0076
loop:     22000, alpha:   10.5000, rms:    2.0035
loop:     22400, alpha:   10.5000, rms:    1.9996
loop:     22800, alpha:   10.5000, rms:    1.9958
loop:     23200, alpha:   10.5000, rms:    1.9921
loop:     23600, alpha:   10.5000, rms:    1.9885
loop:     24000, alpha:   10.5000, rms:    1.9850
loop:     24400, alpha:   10.5000, rms:    1.9817
loop:     24800, alpha:   10.5000, rms:    1.9785
loop:     25200, alpha:   10.5000, rms:    1.9753
loop:     25600, alpha:   10.5000, rms:    1.9723
loop:     26000, alpha:   10.5000, rms:    1.9693
loop:     26400, alpha:   10.5000, rms:    1.9665
loop:     26800, alpha:   10.5000, rms:    1.9637
loop:     27200, alpha:   10.5000, rms:    1.9610
loop:     27600, alpha:   10.5000, rms:    1.9584
loop:     28000, alpha:   10.5000, rms:    1.9559
loop:     28400, alpha:   10.5000, rms:    1.9535
loop:     28800, alpha:   10.5000, rms:    1.9511
loop:     29200, alpha:   10.5000, rms:    1.9488
loop:     29600, alpha:   10.5000, rms:    1.9466
Have memorized arrays 4 times
loop:     30000, alpha:   10.5000, rms:    1.9444
loop:     30400, alpha:   10.5000, rms:    1.9423
loop:     30800, alpha:   10.5000, rms:    1.9403
loop:     31200, alpha:   10.5000, rms:    1.9384
loop:     31600, alpha:   10.5000, rms:    1.9365
loop:     32000, alpha:   10.5000, rms:    1.9346
loop:     32400, alpha:   10.5000, rms:    1.9329
loop:     32800, alpha:   10.5000, rms:    1.9311
loop:     33200, alpha:   10.5000, rms:    1.9295
loop:     33600, alpha:   10.5000, rms:    1.9278
loop:     34000, alpha:   10.5000, rms:    1.9263
loop:     34400, alpha:   10.5000, rms:    1.9247
loop:     34800, alpha:   10.5000, rms:    1.9233
loop:     35200, alpha:   10.5000, rms:    1.9218
loop:     35600, alpha:   10.5000, rms:    1.9205
loop:     36000, alpha:   10.5000, rms:    1.9191
loop:     36400, alpha:   10.5000, rms:    1.9178
loop:     36800, alpha:   10.5000, rms:    1.9166
loop:     37200, alpha:   10.5000, rms:    1.9154
loop:     37600, alpha:   10.5000, rms:    1.9143
loop:     38000, alpha:   10.5000, rms:    1.9131
loop:     38400, alpha:   10.5000, rms:    1.9121
loop:     38800, alpha:   10.5000, rms:    1.9110
loop:     39200, alpha:   10.5000, rms:    1.9101
loop:     39600, alpha:   10.5000, rms:    1.9091
Have memorized arrays 5 times
loop:     40000, alpha:   10.5000, rms:    1.9082
loop:     40400, alpha:   10.5000, rms:    1.9073
loop:     40800, alpha:   10.5000, rms:    1.9065
loop:     41200, alpha:   10.5000, rms:    1.9057
loop:     41600, alpha:   10.5000, rms:    1.9050
loop:     42000, alpha:   10.5000, rms:    1.9043
loop:     42400, alpha:   10.5000, rms:    1.9036
loop:     42800, alpha:   10.5000, rms:    1.9029
loop:     43200, alpha:   10.5000, rms:    1.9023
loop:     43600, alpha:   10.5000, rms:    1.9017
loop:     44000, alpha:   10.5000, rms:    1.9012
loop:     44400, alpha:   10.5000, rms:    1.9007
loop:     44800, alpha:   10.5000, rms:    1.9002
loop:     45200, alpha:   10.5000, rms:    1.8997
loop:     45600, alpha:   10.5000, rms:    1.8993
loop:     46000, alpha:   10.5000, rms:    1.8989
loop:     46400, alpha:   10.5000, rms:    1.8985
loop:     46800, alpha:   10.5000, rms:    1.8982
loop:     47200, alpha:   10.5000, rms:    1.8979
loop:     47600, alpha:   10.5000, rms:    1.8976
loop:     48000, alpha:   10.5000, rms:    1.8973
loop:     48400, alpha:   10.5000, rms:    1.8971
loop:     48800, alpha:   10.5000, rms:    1.8969
loop:     49200, alpha:   10.5000, rms:    1.8967
loop:     49600, alpha:   10.5000, rms:    1.8966
Have memorized arrays 6 times
loop:     50000, alpha:   10.5000, rms:    1.8964
loop:     50400, alpha:   10.5000, rms:    1.8963
loop:     50800, alpha:   10.5000, rms:    1.8963
loop:     51200, alpha:   10.5000, rms:    1.8962
loop:     51600, alpha:   10.5000, rms:    1.8962
loop:     52000, alpha:   10.5000, rms:    1.8961
loop:     52400, alpha:   10.5000, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52736, alpha:    9.9750, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52737, alpha:    9.4762, rms:    1.8961
Multiplied alpha by    0.9500
loop:     52739, alpha:    9.0024, rms:    1.8961
Multiplied alpha by    0.9500
