Dwell Time	
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
0.00E+00	0 
1.50E+02	150 
3.02E+02	301 
4.50E+02	450 
5.72E+02	571 
6.40E+02	640 
6.42E+02	641 
5.83E+02	582 
4.88E+02	488 
3.94E+02	393 
3.34E+02	333 
3.29E+02	328 
3.82E+02	382 
4.78E+02	477 
5.89E+02	589 
6.89E+02	688 
7.56E+02	756 
7.83E+02	783 
7.73E+02	772 
7.36E+02	735 
6.86E+02	686 
6.39E+02	639 
6.08E+02	608 
6.01E+02	601 
6.18E+02	617 
6.48E+02	648 
6.80E+02	680 
7.05E+02	704 
7.22E+02	722 
7.46E+02	746 
7.93E+02	793 
8.76E+02	876 
9.99E+02	998 
1.16E+03	1162 
1.39E+03	1388 
1.75E+03	1747 
2.39E+03	2394 
3.59E+03	3593 
5.72E+03	5715 
9.19E+03	9192 
1.44E+04	14412 
2.16E+04	21554 
3.04E+04	30425 
4.04E+04	40387 
5.05E+04	50473 
5.97E+04	59676 
6.72E+04	67245 
7.29E+04	72851 
7.66E+04	76568 
7.87E+04	78724 
7.97E+04	79735 
8.00E+04	79971 
7.97E+04	79707 
7.91E+04	79122 
7.83E+04	78333 
7.74E+04	77419 
7.64E+04	76445 
7.55E+04	75468 
7.45E+04	74533 
7.37E+04	73668 
7.29E+04	72882 
7.22E+04	72166 
7.15E+04	71495 
7.08E+04	70836 
7.02E+04	70151 
6.94E+04	69407 
6.86E+04	68587 
6.77E+04	67695 
6.68E+04	66756 
6.58E+04	65803 
6.49E+04	64877 
6.40E+04	64011 
6.32E+04	63231 
6.26E+04	62550 
6.20E+04	61960 
6.14E+04	61438 
6.10E+04	60950 
6.05E+04	60460 
5.99E+04	59938 
5.94E+04	59354 
5.87E+04	58681 
5.79E+04	57886 
5.70E+04	56952 
5.59E+04	55882 
5.47E+04	54710 
5.35E+04	53502 
5.23E+04	52333 
5.13E+04	51274 
5.04E+04	50378 
4.97E+04	49676 
4.92E+04	49167 
4.88E+04	48820 
4.86E+04	48575 
4.84E+04	48360 
4.81E+04	48110 
4.78E+04	47782 
4.74E+04	47366 
4.69E+04	46868 
4.63E+04	46306 
4.57E+04	45698 
4.51E+04	45061 
4.44E+04	44414 
4.38E+04	43785 
4.32E+04	43211 
4.27E+04	42728 
4.24E+04	42361 
4.21E+04	42111 
4.20E+04	41953 
4.18E+04	41836 
4.17E+04	41696 
4.15E+04	41462 
4.11E+04	41054 
4.04E+04	40395 
3.94E+04	39423 
3.81E+04	38119 
3.65E+04	36528 
3.48E+04	34775 
3.31E+04	33065 
3.17E+04	31654 
3.08E+04	30805 
3.07E+04	30720 
3.15E+04	31472 
3.29E+04	32945 
3.48E+04	34802 
3.65E+04	36506 
3.74E+04	37404 
3.69E+04	36896 
3.46E+04	34635 
3.07E+04	30706 
2.57E+04	25678 
2.05E+04	20458 
1.60E+04	15983 
1.29E+04	12895 
1.14E+04	11373 
1.12E+04	11177 
1.18E+04	11840 
1.29E+04	12876 
1.39E+04	13922 
1.48E+04	14774 
1.54E+04	15367 
1.57E+04	15713 
1.59E+04	15854 
1.58E+04	15829 
1.57E+04	15669 
1.54E+04	15405 
1.51E+04	15080 
1.47E+04	14745 
1.45E+04	14456 
1.43E+04	14263 
1.42E+04	14206 
1.43E+04	14312 
1.46E+04	14593 
1.50E+04	15042 
1.56E+04	15628 
1.63E+04	16298 
1.70E+04	16978 
1.76E+04	17583 
1.80E+04	18033 
1.83E+04	18258 
1.82E+04	18216 
1.79E+04	17903 
1.74E+04	17364 
1.67E+04	16684 
1.60E+04	15976 
1.54E+04	15354 
1.49E+04	14911 
1.47E+04	14700 
1.47E+04	14732 
1.50E+04	14980 
1.54E+04	15385 
1.59E+04	15876 
1.64E+04	16373 
1.68E+04	16802 
1.72E+04	17184 
1.75E+04	17534 
1.78E+04	17755 
1.78E+04	17791 
1.76E+04	17627 
1.73E+04	17288 
1.68E+04	16835 
1.64E+04	16353 
1.59E+04	15941 
1.57E+04	15692 
1.57E+04	15679 
1.59E+04	15944 
1.65E+04	16485 
1.73E+04	17257 
1.82E+04	18170 
1.91E+04	19103 
1.99E+04	19916 
2.05E+04	20476 
2.07E+04	20672 
2.04E+04	20441 
1.98E+04	19778 
1.87E+04	18743 
1.75E+04	17458 
1.61E+04	16090 
1.48E+04	14830 
1.39E+04	13861 
1.33E+04	13333 
1.33E+04	13332 
1.39E+04	13868 
1.49E+04	14860 
1.61E+04	16149 
1.75E+04	17512 
1.87E+04	18698 
1.95E+04	19463 
1.96E+04	19618 
1.91E+04	19054 
1.78E+04	17767 
1.59E+04	15855 
1.35E+04	13501 
1.09E+04	10939 
8.41E+03	8413 
6.14E+03	6141 
4.28E+03	4281 
2.92E+03	2916 
2.06E+03	2060 
1.66E+03	1662 
1.63E+03	1633 
1.87E+03	1865 
2.25E+03	2252 
2.71E+03	2705 
3.16E+03	3158 
3.58E+03	3576 
3.95E+03	3952 
4.30E+03	4296 
4.64E+03	4637 
5.00E+03	5004 
5.42E+03	5417 
5.89E+03	5885 
6.40E+03	6396 
6.92E+03	6923 
7.43E+03	7428 
7.87E+03	7873 
8.23E+03	8228 
8.48E+03	8480 
8.63E+03	8634 
8.72E+03	8716 
8.76E+03	8763 
8.82E+03	8819 
8.93E+03	8931 
9.14E+03	9139 
9.47E+03	9471 
9.94E+03	9942 
1.06E+04	10550 
1.13E+04	11275 
1.21E+04	12076 
1.29E+04	12900 
1.37E+04	13687 
1.44E+04	14371 
1.49E+04	14898 
1.52E+04	15225 
1.53E+04	15329 
1.52E+04	15210 
1.49E+04	14891 
1.44E+04	14417 
1.39E+04	13850 
1.33E+04	13268 
1.28E+04	12756 
1.24E+04	12397 
1.23E+04	12265 
1.24E+04	12414 
1.29E+04	12872 
1.36E+04	13631 
1.47E+04	14650 
1.59E+04	15852 
1.71E+04	17130 
1.84E+04	18360 
1.94E+04	19411 
2.02E+04	20167 
2.05E+04	20540 
2.05E+04	20486 
2.00E+04	20017 
1.92E+04	19197 
1.81E+04	18138 
1.70E+04	16990 
1.59E+04	15914 
1.51E+04	15069 
1.46E+04	14585 
1.45E+04	14548 
1.50E+04	14988 
1.59E+04	15870 
1.71E+04	17097 
1.85E+04	18519 
2.00E+04	19955 
2.12E+04	21208 
2.21E+04	22101 
2.25E+04	22493 
