     Count               Iteration-1          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  1.838427122097891697e+01  1.228658529838958202e+01  1.228569208256340062e+01  1.228569189372592518e+01  1.228569170551054412e+01  1.228569170550872514e+01 
         1  0.000000000000000000e+00  9.475064689496775827e+00  5.774308511052367976e+00  5.773842905114634050e+00  5.773842806937864225e+00  5.773842709085329261e+00  5.773842709083510272e+00 
         2  0.000000000000000000e+00  3.316197388381624478e+00  1.612373026129262144e+00  1.612280589324200264e+00  1.612280570263919799e+00  1.612280551265484974e+00  1.612280551264575479e+00 
         3  0.000000000000000000e+00 -5.836463103551068343e-01 -7.534873982583576435e-01 -7.532768543642305303e-01 -7.532768091891739459e-01 -7.532767641632744926e-01 -7.532767641632744926e-01 
         4  0.000000000000000000e+00 -2.767771079914837173e+00 -1.881431593966681248e+00 -1.880998336920583824e+00 -1.880998244527972929e+00 -1.880998152441407001e+00 -1.880998152438451143e+00 
         5  0.000000000000000000e+00 -3.767253374972369784e+00 -2.272267078710910937e+00 -2.271695380441997258e+00 -2.271695258700219711e+00 -2.271695137362030437e+00 -2.271695137359984074e+00 
         6  0.000000000000000000e+00 -4.035133806803969492e+00 -2.314129928827242111e+00 -2.313502394624265435e+00 -2.313502261054964038e+00 -2.313502127925175955e+00 -2.313502127924039087e+00 
         7  0.000000000000000000e+00 -3.904338572744336489e+00 -2.254330315782681282e+00 -2.253723030256878701e+00 -2.253722900993579970e+00 -2.253722772161154353e+00 -2.253722772158880616e+00 
         8  0.000000000000000000e+00 -3.583283568080787518e+00 -2.208378692345149830e+00 -2.207857240559405909e+00 -2.207857129518060901e+00 -2.207857018844833874e+00 -2.207857018844151753e+00 
         9  0.000000000000000000e+00 -3.183891727604532207e+00 -2.198393206870832728e+00 -2.198009452041560507e+00 -2.198009370222280268e+00 -2.198009288674938944e+00 -2.198009288672892581e+00 
        10  0.000000000000000000e+00 -2.760623503530950984e+00 -2.198765967728832038e+00 -2.198555492919695098e+00 -2.198555447867192925e+00 -2.198555402962938388e+00 -2.198555402960892025e+00 
        11  0.000000000000000000e+00 -2.340732430709977052e+00 -2.169988533524019658e+00 -2.169968811461785663e+00 -2.169968806878387113e+00 -2.169968802308403610e+00 -2.169968802309085731e+00 
        12  0.000000000000000000e+00 -1.939562560759668486e+00 -2.075746865636801886e+00 -2.075916392314866243e+00 -2.075916427873153225e+00 -2.075916463318662863e+00 -2.075916463319799732e+00 
        13  0.000000000000000000e+00 -1.565060601425102504e+00 -1.888584956232534751e+00 -1.888923669063615307e+00 -1.888923740512154836e+00 -1.888923811723770996e+00 -1.888923811725362611e+00 
        14  0.000000000000000000e+00 -1.219104246636561584e+00 -1.592253063667612878e+00 -1.592724313392636759e+00 -1.592724412952520652e+00 -1.592724512183849583e+00 -1.592724512185213825e+00 
        15  0.000000000000000000e+00 -9.000041061933643505e-01 -1.184952032260298438e+00 -1.185506198004986800e+00 -1.185506315150632872e+00 -1.185506431907697333e+00 -1.185506431909516323e+00 
        16  0.000000000000000000e+00 -6.049982059328158357e-01 -6.817243025088828290e-01 -6.823038814809478936e-01 -6.823040040137584583e-01 -6.823041261422986281e-01 -6.823041261445723649e-01 
        17  0.000000000000000000e+00 -3.319389749747188034e-01 -1.145441331516394712e-01 -1.150898674297877733e-01 -1.150899827841840306e-01 -1.150900977602304920e-01 -1.150900977622768551e-01 
        18  0.000000000000000000e+00 -8.254085137923539151e-02  4.679533268681552727e-01  4.674959425587985606e-01  4.674958459370373021e-01  4.674957496340539365e-01  4.674957496317801997e-01 
        19  0.000000000000000000e+00  1.333517720768213621e-01  1.001674962373272137e+00  1.001349571556602314e+00  1.001349502920675150e+00  1.001349434511894287e+00  1.001349434511439540e+00 
        20  0.000000000000000000e+00  2.979455904612677841e-01  1.414252847911711797e+00  1.414087306007559164e+00  1.414087271261450951e+00  1.414087236630848565e+00  1.414087236630621192e+00 
        21  0.000000000000000000e+00  3.937870086299426475e-01  1.641042870862747804e+00  1.641046167399963451e+00  1.641046168445427611e+00  1.641046169489754902e+00  1.641046169489754902e+00 
        22  0.000000000000000000e+00  4.160866746560714091e-01  1.644771219229596682e+00  1.644932688956487254e+00  1.644932723530700969e+00  1.644932757991000472e+00  1.644932757991909966e+00 
        23  0.000000000000000000e+00  3.796953347946327995e-01  1.428263897175838792e+00  1.428554860280428329e+00  1.428554922297507801e+00  1.428554984109496218e+00  1.428554984111769954e+00 
        24  0.000000000000000000e+00  3.155162881248543272e-01  1.033997091639776045e+00  1.034374733439562988e+00  1.034374813818658367e+00  1.034374893930817052e+00  1.034374893931499173e+00 
        25  0.000000000000000000e+00  2.595351333102371427e-01  5.329408931502257474e-01  5.333538844479335239e-01  5.333539723028479784e-01  5.333540598674062494e-01  5.333540598680883704e-01 
        26  0.000000000000000000e+00  2.402886056192983233e-01  8.304105647539472557e-03  8.699223567873559659e-03  8.699307614733697847e-03  8.699391382833709940e-03  8.699391384880073019e-03 
        27  0.000000000000000000e+00  2.688488368721664301e-01 -4.613911642431958171e-01 -4.610622920868081565e-01 -4.610622221036919655e-01 -4.610621523509053077e-01 -4.610621523490863183e-01 
