     Count               Iteration-1          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  3.234674999999999790e-04  3.234674999999999790e-04  3.234674999999999790e-04  3.234674999999999790e-04  3.234674999999999790e-04  3.234674999999999790e-04 
         1  0.000000000000000000e+00  1.001551904935044915e-03  1.072089822939729627e-03  1.072099024966406732e-03  1.072099026921317574e-03  1.072099028869761585e-03  1.072099028869791292e-03 
         2  0.000000000000000000e+00  2.075652990957954028e-03  2.292756650078830571e-03  2.292784954819734530e-03  2.292784960824388769e-03  2.292784966809179557e-03  2.292784966809270630e-03 
         3  0.000000000000000000e+00  3.487755743533516375e-03  3.909718230150410409e-03  3.909773325510835368e-03  3.909773337197015169e-03  3.909773348844539261e-03  3.909773348844715335e-03 
         4  0.000000000000000000e+00  5.069911898744466731e-03  5.709500690200063067e-03  5.709584543259944162e-03  5.709584561050837052e-03  5.709584578782878582e-03  5.709584578783149199e-03 
         5  0.000000000000000000e+00  6.581259334739887612e-03  7.389133560588198243e-03  7.389240315616355144e-03  7.389240338271933946e-03  7.389240360852568357e-03  7.389240360852910965e-03 
         6  0.000000000000000000e+00  7.782550919205528592e-03  8.652936415831175010e-03  8.653053082073846811e-03  8.653053106835190827e-03  8.653053131514626406e-03  8.653053131515001106e-03 
         7  0.000000000000000000e+00  8.523161196365506773e-03  9.323482968653436231e-03  9.323593096055704868e-03  9.323593119427391399e-03  9.323593142721764773e-03  9.323593142722118657e-03 
         8  0.000000000000000000e+00  8.807861421470964194e-03  9.423782315026458384e-03  9.423871576875757564e-03  9.423871595817442590e-03  9.423871614696469404e-03  9.423871614696757368e-03 
         9  0.000000000000000000e+00  8.814761104227564897e-03  9.194548764814153285e-03  9.194610440933399798e-03  9.194610454020715751e-03  9.194610467064738210e-03  9.194610467064937703e-03 
        10  0.000000000000000000e+00  8.852547699626575964e-03  9.033171787314818804e-03  9.033209971385701420e-03  9.033209979485042063e-03  9.033209987557586432e-03  9.033209987557709597e-03 
        11  0.000000000000000000e+00  9.268438071818679846e-03  9.371663198029199504e-03  9.371692300494154776e-03  9.371692306667737254e-03  9.371692312820902038e-03  9.371692312820995713e-03 
        12  0.000000000000000000e+00  1.033794689666839121e-02  1.053591120169001388e-02  1.053595172221044249e-02  1.053595173080314716e-02  1.053595173936742492e-02  1.053595173936755502e-02 
        13  0.000000000000000000e+00  1.217517780742146186e-02  1.263681143286137128e-02  1.263688343769362593e-02  1.263688345296532477e-02  1.263688346818650499e-02  1.263688346818673744e-02 
        14  0.000000000000000000e+00  1.469468852592033074e-02  1.553178280725002296e-02  1.553189944039278826e-02  1.553189946513570605e-02  1.553189948979677264e-02  1.553189948979714560e-02 
        15  0.000000000000000000e+00  1.763668343477453604e-02  1.886836911680738610e-02  1.886853242644031745e-02  1.886853246108677676e-02  1.886853249561862983e-02  1.886853249561915372e-02 
        16  0.000000000000000000e+00  2.064496753304605539e-02  2.219211399227020987e-02  2.219231442401669099e-02  2.219231446654225740e-02  2.219231450892715507e-02  2.219231450892780039e-02 
        17  0.000000000000000000e+00  2.337065423144930876e-02  2.508074029308896349e-02  2.508095983896759668e-02  2.508095988555036904e-02  2.508095993197904591e-02  2.508095993197975715e-02 
        18  0.000000000000000000e+00  2.556925989190278123e-02  2.726221637632052219e-02  2.726243415298534520e-02  2.726243419919663694e-02  2.726243424525506137e-02  2.726243424525576220e-02 
        19  0.000000000000000000e+00  2.716455114355364325e-02  2.868449398778084511e-02  2.868469238033290181e-02  2.868469242243773878e-02  2.868469246440329481e-02  2.868469246440394707e-02 
        20  0.000000000000000000e+00  2.826410756284994039e-02  2.952193383936659726e-02  2.952210341050332323e-02  2.952210344648823273e-02  2.952210348235411244e-02  2.952210348235465368e-02 
        21  0.000000000000000000e+00  2.912355029245424290e-02  3.011938266417772334e-02  3.011952455945850898e-02  3.011952458956553697e-02  3.011952461957297447e-02  3.011952461957343244e-02 
        22  0.000000000000000000e+00  3.006843445241441301e-02  3.088837298451109145e-02  3.088849823995461208e-02  3.088849826653298006e-02  3.088849829302342184e-02  3.088849829302382430e-02 
        23  0.000000000000000000e+00  3.139594366211723858e-02  3.218381994201720969e-02  3.218394584495047617e-02  3.218394587167160148e-02  3.218394589830433916e-02  3.218394589830472774e-02 
        24  0.000000000000000000e+00  3.328847346435166027e-02  3.420055352743451432e-02  3.420069804734470614e-02  3.420069807801099510e-02  3.420069810857583048e-02  3.420069810857630233e-02 
        25  0.000000000000000000e+00  3.577094362794369653e-02  3.692819283643290762e-02  3.692836893951756405e-02  3.692836897688334119e-02  3.692836901412551581e-02  3.692836901412607786e-02 
        26  0.000000000000000000e+00  3.872966221497581990e-02  4.018493168753579231e-02  4.018514365936150246e-02  4.018514370434279198e-02  4.018514374917527693e-02  4.018514374917596388e-02 
        27  0.000000000000000000e+00  4.198576074506062128e-02  4.371921093236723344e-02  4.371945429754339751e-02  4.371945434918544232e-02  4.371945440065663768e-02  4.371945440065742872e-02 
        28  0.000000000000000000e+00  4.539126096350201006e-02  4.733636570039631564e-02  4.733663093239109249e-02  4.733663098866527225e-02  4.733663104475332312e-02  4.733663104475418354e-02 
        29  0.000000000000000000e+00  4.890582279867433657e-02  5.099457266511749076e-02  5.099485115770087396e-02  5.099485121677867910e-02  5.099485127566107806e-02  5.099485127566195236e-02 
        30  0.000000000000000000e+00  5.262717908465981004e-02  5.483429245681269854e-02  5.483458215653837925e-02  5.483458221799554499e-02  5.483458227924942197e-02  5.483458227925035178e-02 
        31  0.000000000000000000e+00  5.678374933100321931e-02  5.915259768996744549e-02  5.915290622179956992e-02  5.915290628724994421e-02  5.915290635248379725e-02  5.915290635248477563e-02 
        32  0.000000000000000000e+00  6.173716975765289328e-02  6.438532508775487995e-02  6.438567019963038762e-02  6.438567027285822808e-02  6.438567034584385951e-02  6.438567034584495585e-02 
        33  0.000000000000000000e+00  6.806891421631999783e-02  7.119223439411613563e-02  7.119264425572464916e-02  7.119264434269383102e-02  7.119264442937528470e-02  7.119264442937661697e-02 
        34  0.000000000000000000e+00  7.682599738741895112e-02  8.073808036278125322e-02  8.073859854857090568e-02  8.073859865852335560e-02  8.073859876811213809e-02  8.073859876811377567e-02 
        35  0.000000000000000000e+00  8.996132089231097251e-02  9.521150794142572982e-02  9.521220874220183428e-02  9.521220889088226336e-02  9.521220903907083588e-02  9.521220903907302857e-02 
        36  0.000000000000000000e+00  1.109173786187706429e-01  1.185164045304384212e-01  1.185174224478652699e-01  1.185174226637741995e-01  1.185174228789689505e-01  1.185174228789722395e-01 
        37  0.000000000000000000e+00  1.451811090477248822e-01  1.569235183309372894e-01  1.569250905054004885e-01  1.569250908388794830e-01  1.569250911712553875e-01  1.569250911712605223e-01 
        38  0.000000000000000000e+00  2.005151117102788871e-01  2.193251406000687187e-01  2.193276529183588452e-01  2.193276534512858533e-01  2.193276539824499383e-01  2.193276539824580984e-01 
        39  0.000000000000000000e+00  2.865032115677234037e-01  3.166595739798874765e-01  3.166635923970314570e-01  3.166635932494507588e-01  3.166635940990499831e-01  3.166635940990630838e-01 
        40  0.000000000000000000e+00  4.131414151768145193e-01  4.601838977295000244e-01  4.601901594016898911e-01  4.601901607301306929e-01  4.601901620541771765e-01  4.601901620541972160e-01 
        41  0.000000000000000000e+00  5.885608392411521006e-01  6.587005190643830943e-01  6.587098599978726821e-01  6.587098619796767363e-01  6.587098639549249235e-01  6.587098639549548995e-01 
        42  0.000000000000000000e+00  8.165003010420215368e-01  9.155045651820497010e-01  9.155177799128529914e-01  9.155177827166114390e-01  9.155177855110956386e-01  9.155177855111381602e-01 
        43  0.000000000000000000e+00  1.094522305150628760e+00  1.226308855700729339e+00  1.226326517937532889e+00  1.226326521685165760e+00  1.226326525420401437e+00  1.226326525420458280e+00 
        44  0.000000000000000000e+00  1.413865305907692660e+00  1.579279061056563460e+00  1.579301364741371394e+00  1.579301369473260275e+00  1.579301374189496343e+00  1.579301374189568063e+00 
        45  0.000000000000000000e+00  1.761245129786857211e+00  1.957535902059160948e+00  1.957562587979086999e+00  1.957562593640083337e+00  1.957562599282354654e+00  1.957562599282441251e+00 
        46  0.000000000000000000e+00  2.122165423169835918e+00  2.343472505686408969e+00  2.343502912202283461e+00  2.343502918651819034e+00  2.343502925080020560e+00  2.343502925080117816e+00 
        47  0.000000000000000000e+00  2.484716201896767451e+00  2.723496528283305906e+00  2.723529758697943226e+00  2.723529765746271813e+00  2.723529772771283941e+00  2.723529772771390078e+00 
        48  0.000000000000000000e+00  2.842648912479592394e+00  3.091629297264814724e+00  3.091664452462436596e+00  3.091664459919203356e+00  3.091664467351301848e+00  3.091664467351415091e+00 
        49  0.000000000000000000e+00  3.196762888023221283e+00  3.450803276107008877e+00  3.450839677855647825e+00  3.450839685576733373e+00  3.450839693272275355e+00  3.450839693272393038e+00 
        50  0.000000000000000000e+00  3.554206762068916170e+00  3.811497533819474093e+00  3.811534869381386859e+00  3.811534877300790214e+00  3.811534885193997191e+00  3.811534885194117095e+00 
        51  0.000000000000000000e+00  3.925979365425602552e+00  4.188231334841769460e+00  4.188269682944314454e+00  4.188269691079129942e+00  4.188269699187038064e+00  4.188269699187160633e+00 
        52  0.000000000000000000e+00  4.323468914081241010e+00  4.595092249149769437e+00  4.595131988506181209e+00  4.595131996935415408e+00  4.595132005336764358e+00  4.595132005336894920e+00 
        53  0.000000000000000000e+00  4.755116495748426431e+00  5.041699527749194054e+00  5.041741166733533674e+00  5.041741175566143873e+00  5.041741184369533890e+00  5.041741184369666229e+00 
        54  0.000000000000000000e+00  5.224167084068784384e+00  5.530754745277572937e+00  5.530798732664295336e+00  5.530798741994285450e+00  5.530798751293414917e+00  5.530798751293557025e+00 
        55  0.000000000000000000e+00  5.728050632002283038e+00  6.057735120115180116e+00  6.057781696521130854e+00  6.057781706399253174e+00  6.057781716244701187e+00  6.057781716244852177e+00 
        56  0.000000000000000000e+00  6.259388443399422464e+00  6.612576793587266799e+00  6.612625923792579741e+00  6.612625934212329248e+00  6.612625944597607663e+00  6.612625944597763983e+00 
        57  0.000000000000000000e+00  6.808146815791112694e+00  7.182628310119893555e+00  7.182679706582543844e+00  7.182679717483627435e+00  7.182679728348651871e+00  7.182679728348817960e+00 
        58  0.000000000000000000e+00  7.364204252972612608e+00  7.755895709921933445e+00  7.755948928779408114e+00  7.755948940066521580e+00  7.755948951316301354e+00  7.755948951316472773e+00 
        59  0.000000000000000000e+00  7.919598988863596034e+00  8.323674596831358130e+00  8.323729168691619051e+00  8.323729180265326377e+00  8.323729191800739002e+00  8.323729191800914862e+00 
        60  0.000000000000000000e+00  8.469931503389505068e+00  8.881983941999719079e+00  8.882039494969349747e+00  8.882039506751777225e+00  8.882039518495226105e+00  8.882039518495403740e+00 
        61  0.000000000000000000e+00  9.014716889393229238e+00  9.431646577160481826e+00  9.431702918090529408e+00  9.431702930040952282e+00  9.431702941951840558e+00  9.431702941952019970e+00 
        62  0.000000000000000000e+00  9.556811191724449372e+00  9.977270595761430272e+00  9.977327733392581166e+00  9.977327745512836188e+00  9.977327757592991730e+00  9.977327757593180024e+00 
        63  0.000000000000000000e+00  1.010129661607888529e+01  1.052568134992585769e+01  1.052573946462720045e+01  1.052573947695463019e+01  1.052573948924127656e+01  1.052573948924145775e+01 
        64  0.000000000000000000e+00  1.065433662777220825e+01  1.108446862928594889e+01  1.108452801272385280e+01  1.108452802531997961e+01  1.108452803787444196e+01  1.108452803787463381e+01 
        65  0.000000000000000000e+00  1.122247616021839178e+01  1.166122034622162751e+01  1.166128134491418145e+01  1.166128135785243813e+01  1.166128137074788107e+01  1.166128137074808180e+01 
        66  0.000000000000000000e+00  1.181268322205007415e+01  1.226375159766391576e+01  1.226381459402186103e+01  1.226381460738410745e+01  1.226381462070215456e+01  1.226381462070236061e+01 
        67  0.000000000000000000e+00  1.243319207833433993e+01  1.290132207786667529e+01  1.290138753179963338e+01  1.290138754568241986e+01  1.290138755951928218e+01  1.290138755951949356e+01 
        68  0.000000000000000000e+00  1.309504216909759755e+01  1.358663413996003300e+01  1.358670269956804866e+01  1.358670271410939279e+01  1.358670272860265094e+01  1.358670272860286588e+01 
        69  0.000000000000000000e+00  1.381422988685354447e+01  1.433846027298660708e+01  1.433853295316439969e+01  1.433853296857913229e+01  1.433853298394286746e+01  1.433853298394310194e+01 
