     Count               Iteration-1          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  1.740845106719439173e+01  1.180365026763320202e+01  1.180365013774394356e+01  1.180365000753658933e+01  1.180364987711755020e+01  1.180364987711482172e+01 
         1  0.000000000000000000e+00  9.182667181542910839e+00  5.446884484861357123e+00  5.446884421109643881e+00  5.446884357201952298e+00  5.446884293188759329e+00  5.446884293188531956e+00 
         2  0.000000000000000000e+00  3.481703944019500341e+00  1.325489200021365832e+00  1.325489190918460736e+00  1.325489181794637261e+00  1.325489172654670256e+00  1.325489172655125003e+00 
         3  0.000000000000000000e+00 -1.354463466725519538e-01 -1.041909708989578576e+00 -1.041909676764589676e+00 -1.041909644461611606e+00 -1.041909612107019711e+00 -1.041909612105882843e+00 
         4  0.000000000000000000e+00 -2.167161355625012220e+00 -2.160725111264810039e+00 -2.160725051712461209e+00 -2.160724992013683732e+00 -2.160724932218499816e+00 -2.160724932217817695e+00 
         5  0.000000000000000000e+00 -3.107494948409794233e+00 -2.501302769680251004e+00 -2.501302696342236231e+00 -2.501302622825960498e+00 -2.501302549190086211e+00 -2.501302549188039848e+00 
         6  0.000000000000000000e+00 -3.380907158253876332e+00 -2.441583103847278835e+00 -2.441583028885816020e+00 -2.441582953741090023e+00 -2.441582878473582241e+00 -2.441582878471990625e+00 
         7  0.000000000000000000e+00 -3.299275263255140089e+00 -2.234356080714178461e+00 -2.234356014240347577e+00 -2.234355947603035020e+00 -2.234355880856355725e+00 -2.234355880856128351e+00 
         8  0.000000000000000000e+00 -3.055862012072793732e+00 -2.010854073662585506e+00 -2.010854023337060426e+00 -2.010853972889208308e+00 -2.010853922357910051e+00 -2.010853922356773182e+00 
         9  0.000000000000000000e+00 -2.751605459518486896e+00 -1.814176322486673598e+00 -1.814176293326681844e+00 -1.814176264095749502e+00 -1.814176234817750810e+00 -1.814176234817523437e+00 
        10  0.000000000000000000e+00 -2.432736317639864865e+00 -1.641049581435254368e+00 -1.641049575765009649e+00 -1.641049570080667763e+00 -1.641049564386548809e+00 -1.641049564386321435e+00 
        11  0.000000000000000000e+00 -2.120100586990020020e+00 -1.472878499159605781e+00 -1.472878516675109495e+00 -1.472878534231540471e+00 -1.472878551817302650e+00 -1.472878551816620529e+00 
        12  0.000000000000000000e+00 -1.823938188568035912e+00 -1.290882834980493499e+00 -1.290882872933707404e+00 -1.290882910980371889e+00 -1.290882949089336762e+00 -1.290882949090018883e+00 
        13  0.000000000000000000e+00 -1.548173822423450474e+00 -1.080307313833372973e+00 -1.080307367366685867e+00 -1.080307421030738624e+00 -1.080307474783694488e+00 -1.080307474784149235e+00 
        14  0.000000000000000000e+00 -1.291659944045932207e+00 -8.316127110385878041e-01 -8.316127736750331678e-01 -8.316128364642736415e-01 -8.316128993569691374e-01 -8.316128993571965111e-01 
        15  0.000000000000000000e+00 -1.050633460950166409e+00 -5.428726438665307796e-01 -5.428727081755368999e-01 -5.428727726414308563e-01 -5.428728372119167034e-01 -5.428728372132809454e-01 
        16  0.000000000000000000e+00 -8.211369792738878459e-01 -2.217575093343384651e-01 -2.217575677366312448e-01 -2.217576262814873189e-01 -2.217576849232045788e-01 -2.217576849241140735e-01 
        17  0.000000000000000000e+00 -6.005906173400035186e-01  1.141542766058591951e-01  1.141542309667329391e-01  1.141541852171030769e-01  1.141541393915304070e-01  1.141541393908482860e-01 
        18  0.000000000000000000e+00 -3.908909760439200909e-01  4.366607843239762587e-01  4.366607567528717482e-01  4.366607291137825086e-01  4.366607014299006551e-01  4.366607014294459077e-01 
        19  0.000000000000000000e+00 -2.025110798965670256e-01  7.063640169888003584e-01  7.063640105468493857e-01  7.063640040896643768e-01  7.063639976227022999e-01  7.063639976224749262e-01 
        20  0.000000000000000000e+00 -5.416522651034938463e-02  8.773822227526579809e-01  8.773822378293516522e-01  8.773822529435619799e-01  8.773822680818739173e-01  8.773822680823286646e-01 
        21  0.000000000000000000e+00  3.560596606007493392e-02  9.104242011528640433e-01  9.104242353555491718e-01  9.104242696409983182e-01  9.104243039832908835e-01  9.104243039837456308e-01 
        22  0.000000000000000000e+00  6.083707671564297925e-02  7.893917235510343744e-01  7.893917719641194708e-01  7.893918204947567574e-01  7.893918691049748304e-01  7.893918691061116988e-01 
        23  0.000000000000000000e+00  3.516284834472571674e-02  5.313732572778917529e-01  5.313733130678883754e-01  5.313733689936270821e-01  5.313734250114521274e-01  5.313734250123616221e-01 
        24  0.000000000000000000e+00 -1.175762661046064750e-02  1.841533434280790971e-01  1.841533987308139331e-01  1.841534541688361060e-01  1.841535096971256280e-01  1.841535096978077490e-01 
        25  0.000000000000000000e+00 -4.519305144276586361e-02 -1.859263534972797061e-01 -1.859263065280174487e-01 -1.859262594434767379e-01 -1.859262122818563512e-01 -1.859262122814016038e-01 
        26  0.000000000000000000e+00 -3.783198247788277513e-02 -5.099463344092782791e-01 -5.099463025226214086e-01 -5.099462705579753674e-01 -5.099462385405786335e-01 -5.099462385396691388e-01 
        27  0.000000000000000000e+00  2.026413369821966626e-02 -7.317848608595340920e-01 -7.317848487564333482e-01 -7.317848366246835212e-01 -7.317848244733795582e-01 -7.317848244729248108e-01 
        28  0.000000000000000000e+00  1.183370104197365436e-01 -8.180779259996597830e-01 -8.180779356450784690e-01 -8.180779453134618961e-01 -8.180779549979888543e-01 -8.180779549977614806e-01 
        29  0.000000000000000000e+00  2.311487961726470530e-01 -7.588760391847699793e-01 -7.588760694713982957e-01 -7.588760998319230566e-01 -7.588761302417879051e-01 -7.588761302420152788e-01 
