     Count               Iteration-1          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  3.234674999999999790e-03  3.234674999999999790e-03  3.234674999999999790e-03  3.234674999999999790e-03  3.234674999999999790e-03  3.234674999999999790e-03 
         1  0.000000000000000000e+00  7.694197568779760979e-03  7.747399372316127880e-03  7.747399374119900289e-03  7.747399375928080631e-03  7.747399377739218676e-03  7.747399377739247299e-03 
         2  0.000000000000000000e+00  1.301188406757772947e-02  1.317611177739687334e-02  1.317611178291930307e-02  1.317611178845522896e-02  1.317611179400020663e-02  1.317611179400029510e-02 
         3  0.000000000000000000e+00  1.850666785498277650e-02  1.882689023933306616e-02  1.882689025003063399e-02  1.882689026075434410e-02  1.882689027149559574e-02  1.882689027149576921e-02 
         4  0.000000000000000000e+00  2.344018369899923335e-02  2.392748804885145436e-02  2.392748806505243936e-02  2.392748808129301422e-02  2.392748809756015463e-02  2.392748809756041484e-02 
         5  0.000000000000000000e+00  2.727687621960103032e-02  2.789575567866241917e-02  2.789575569912305236e-02  2.789575571963368722e-02  2.789575574017786816e-02  2.789575574017819082e-02 
         6  0.000000000000000000e+00  2.986311725302522035e-02  3.053544953428105960e-02  3.053544955635933977e-02  3.053544957849157332e-02  3.053544960066000361e-02  3.053544960066035402e-02 
         7  0.000000000000000000e+00  3.147856390555439643e-02  3.210566090729418537e-02  3.210566092771920121e-02  3.210566094819412852e-02  3.210566096870254987e-02  3.210566096870286906e-02 
         8  0.000000000000000000e+00  3.274674931787435045e-02  3.324313573214254802e-02  3.324313574810704164e-02  3.324313576411055265e-02  3.324313578014023718e-02  3.324313578014049392e-02 
         9  0.000000000000000000e+00  3.443680145596784287e-02  3.476366861420079196e-02  3.476366862449998402e-02  3.476366863482435732e-02  3.476366864516560601e-02  3.476366864516577254e-02 
        10  0.000000000000000000e+00  3.722960958971672368e-02  3.741467650898920583e-02  3.741467651462430932e-02  3.741467652027318652e-02  3.741467652593130633e-02  3.741467652593138959e-02 
        11  0.000000000000000000e+00  4.153063285900562840e-02  4.166549479570118980e-02  4.166549479974590575e-02  4.166549480380051657e-02  4.166549480786174708e-02  4.166549480786182341e-02 
        12  0.000000000000000000e+00  4.738418130450440524e-02  4.759864424339327327e-02  4.759864425009278227e-02  4.759864425680866706e-02  4.759864426353554306e-02  4.759864426353564715e-02 
        13  0.000000000000000000e+00  5.450003075960550836e-02  5.492187960328950846e-02  5.492187961674398905e-02  5.492187963023134611e-02  5.492187964374076192e-02  5.492187964374096315e-02 
        14  0.000000000000000000e+00  6.236281915229436451e-02  6.307714033461309100e-02  6.307714035744016456e-02  6.307714038032301296e-02  6.307714040324330362e-02  6.307714040324366445e-02 
        15  0.000000000000000000e+00  7.037591298602312306e-02  7.139812737694820055e-02  7.139812740944523339e-02  7.139812744202171657e-02  7.139812747465146270e-02  7.139812747465197618e-02 
        16  0.000000000000000000e+00  7.799855270163494336e-02  7.926991661609984752e-02  7.926991665624022465e-02  7.926991669647873162e-02  7.926991673678303318e-02  7.926991673678368544e-02 
        17  0.000000000000000000e+00  8.485355409724272546e-02  8.625965141359855093e-02  8.625965145758761332e-02  8.625965150168420081e-02  8.625965154585288341e-02  8.625965154585359118e-02 
        18  0.000000000000000000e+00  9.079780352772889862e-02  9.220296038189003396e-02  9.220296042539669057e-02  9.220296046900967879e-02  9.220296051269399884e-02  9.220296051269466497e-02 
        19  0.000000000000000000e+00  9.595243771873135374e-02  9.723873704771718307e-02  9.723873708707592156e-02  9.723873712653083312e-02  9.723873716605024864e-02  9.723873716605085926e-02 
        20  0.000000000000000000e+00  1.006762702693661110e-01  1.017758279722183606e-01  1.017758280054612274e-01  1.017758280387853764e-01  1.017758280721640235e-01  1.017758280721645092e-01 
        21  0.000000000000000000e+00  1.054606691398747714e-01  1.063728158288011899e-01  1.063728158561657727e-01  1.063728158835972049e-01  1.063728159110735594e-01  1.063728159110740035e-01 
        22  0.000000000000000000e+00  1.107636407923134336e-01  1.115527572268623369e-01  1.115527572506362919e-01  1.115527572744683255e-01  1.115527572983393972e-01  1.115527572983397858e-01 
        23  0.000000000000000000e+00  1.168582394571223010e-01  1.176326897041692632e-01  1.176326897279338785e-01  1.176326897517564751e-01  1.176326897756181100e-01  1.176326897756184431e-01 
        24  0.000000000000000000e+00  1.237786891324663685e-01  1.246567717530720765e-01  1.246567717805894676e-01  1.246567718081742354e-01  1.246567718358040644e-01  1.246567718358044946e-01 
        25  0.000000000000000000e+00  1.313963173896348091e-01  1.324702111672582672e-01  1.324702112012769439e-01  1.324702112353786931e-01  1.324702112695362310e-01  1.324702112695367584e-01 
        26  0.000000000000000000e+00  1.395817769883885284e-01  1.408925816576680201e-01  1.408925816991693780e-01  1.408925817407720993e-01  1.408925817824429327e-01  1.408925817824435434e-01 
        27  0.000000000000000000e+00  1.483541305211005801e-01  1.498881169245349088e-01  1.498881169727037388e-01  1.498881170209902525e-01  1.498881170693556752e-01  1.498881170693564802e-01 
        28  0.000000000000000000e+00  1.579248140652877996e-01  1.596327697569923931e-01  1.596327698099134773e-01  1.596327698629639025e-01  1.596327699161012303e-01  1.596327699161021185e-01 
        29  0.000000000000000000e+00  1.686292224672133189e-01  1.704604274654989149e-01  1.704604275214386122e-01  1.704604275775150057e-01  1.704604276336831314e-01  1.704604276336839919e-01 
        30  0.000000000000000000e+00  1.808526205430509848e-01  1.827882858642447539e-01  1.827882859226699075e-01  1.827882859812376692e-01  1.827882860399013265e-01  1.827882860399022424e-01 
        31  0.000000000000000000e+00  1.951171122098508959e-01  1.971902130214664151e-01  1.971902130837256684e-01  1.971902131461371332e-01  1.971902132086506276e-01  1.971902132086516268e-01 
        32  0.000000000000000000e+00  2.124739099246522878e-01  2.147737523335821186e-01  2.147737524029809386e-01  2.147737524725492619e-01  2.147737525422315497e-01  2.147737525422326876e-01 
        33  0.000000000000000000e+00  2.352946005303178101e-01  2.379703329159935377e-01  2.379703329978503368e-01  2.379703330799071703e-01  2.379703331620983964e-01  2.379703331620995899e-01 
        34  0.000000000000000000e+00  2.684788391901333782e-01  2.717697647958042251e-01  2.717697648983802838e-01  2.717697650012070310e-01  2.717697651042019213e-01  2.717697651042035312e-01 
        35  0.000000000000000000e+00  3.209119003947623061e-01  3.252374596155825914e-01  3.252374597531212386e-01  3.252374598909958392e-01  3.252374600290961482e-01  3.252374600290982576e-01 
        36  0.000000000000000000e+00  4.067341795230800527e-01  4.128661072361665685e-01  4.128661074345683635e-01  4.128661076334551039e-01  4.128661078326668621e-01  4.128661078326700262e-01 
        37  0.000000000000000000e+00  5.457316373253545683e-01  5.550408408734871513e-01  5.550408411785074936e-01  5.550408414842727955e-01  5.550408417905383640e-01  5.550408417905433600e-01 
        38  0.000000000000000000e+00  7.620078188310652756e-01  7.767314314775944917e-01  7.767314319634426312e-01  7.767314324504782652e-01  7.767314329383105953e-01  7.767314329383178118e-01 
        39  0.000000000000000000e+00  1.080267714893767605e+00  1.103687671296485595e+00  1.103687672072001025e+00  1.103687672849411827e+00  1.103687673628093169e+00  1.103687673628105825e+00 
        40  0.000000000000000000e+00  1.520006006809044852e+00  1.556390061283814852e+00  1.556390062489581005e+00  1.556390063698293691e+00  1.556390064908982573e+00  1.556390064909001891e+00 
        41  0.000000000000000000e+00  2.089599814613334772e+00  2.143768977322835667e+00  2.143768979117202544e+00  2.143768980915954803e+00  2.143768982717650040e+00  2.143768982717678462e+00 
        42  0.000000000000000000e+00  2.783216707579207139e+00  2.859714454896113089e+00  2.859714457427054324e+00  2.859714459964180389e+00  2.859714462505455579e+00  2.859714462505495991e+00 
        43  0.000000000000000000e+00  3.582215248602988567e+00  3.684251700409522545e+00  3.684251703779196419e+00  3.684251707157105926e+00  3.684251710540539460e+00  3.684251710540593194e+00 
        44  0.000000000000000000e+00  4.460169422293142283e+00  4.588695364364881790e+00  4.588695368599332802e+00  4.588695372844131093e+00  4.588695377095870498e+00  4.588695377095937999e+00 
        45  0.000000000000000000e+00  5.389090897594773999e+00  5.542391924472102716e+00  5.542391929508566406e+00  5.542391934557340250e+00  5.542391939614371488e+00  5.542391939614450536e+00 
        46  0.000000000000000000e+00  6.344748451492328911e+00  6.518792377566547280e+00  6.518792383266037049e+00  6.518792388979460561e+00  6.518792394702223270e+00  6.518792394702316528e+00 
        47  0.000000000000000000e+00  7.310079070084877451e+00  7.499572744525248247e+00  7.499572750708150437e+00  7.499572756906154325e+00  7.499572763114297658e+00  7.499572763114397134e+00 
        48  0.000000000000000000e+00  8.276574413548324571e+00  8.476417482552950133e+00  8.476417489047477716e+00  8.476417495557875270e+00  8.476417502078925637e+00  8.476417502079030442e+00 
        49  0.000000000000000000e+00  9.243910468180072115e+00  9.450586212605163183e+00  9.450586219291960077e+00  9.450586225995087020e+00  9.450586232709190071e+00  9.450586232709289547e+00 
        50  0.000000000000000000e+00  1.021813263851035103e+01  1.043060118257677082e+01  1.043060118941617453e+01  1.043060119627228488e+01  1.043060120313961292e+01  1.043060120313972128e+01 
        51  0.000000000000000000e+00  1.120881281340347790e+01  1.142864790188103896e+01  1.142864790891728966e+01  1.142864791597074614e+01  1.142864792303572052e+01  1.142864792303583243e+01 
        52  0.000000000000000000e+00  1.222576198689123217e+01  1.245652632820543637e+01  1.245652633554443511e+01  1.245652634290137151e+01  1.245652635027035160e+01  1.245652635027046351e+01 
        53  0.000000000000000000e+00  1.327604741781199671e+01  1.352213934165524378e+01  1.352213934942839124e+01  1.352213935722053684e+01  1.352213936502543135e+01  1.352213936502554681e+01 
        54  0.000000000000000000e+00  1.436202439618244142e+01  1.462737222417890592e+01  1.462737223249988538e+01  1.462737224084120946e+01  1.462737224919617240e+01  1.462737224919630563e+01 
        55  0.000000000000000000e+00  1.548080802902634723e+01  1.576779983587577938e+01  1.576779984481115626e+01  1.576779985376838766e+01  1.576779986274026513e+01  1.576779986274040191e+01 
        56  0.000000000000000000e+00  1.662517032103721704e+01  1.693409641769389395e+01  1.693409642724594377e+01  1.693409643682134202e+01  1.693409644641239709e+01  1.693409644641254630e+01 
        57  0.000000000000000000e+00  1.778547599129162649e+01  1.811457949431460435e+01  1.811457950442463272e+01  1.811457951455937376e+01  1.811457952471069177e+01  1.811457952471084809e+01 
        58  0.000000000000000000e+00  1.895204175398741953e+01  1.929808728090738867e+01  1.929808729147699609e+01  1.929808730207243883e+01  1.929808731268522948e+01  1.929808731268539645e+01 
        59  0.000000000000000000e+00  2.011723981286101193e+01  2.047637970302483623e+01  2.047637971394449252e+01  2.047637972489081193e+01  2.047637973585503701e+01  2.047637973585522175e+01 
        60  0.000000000000000000e+00  2.127681950709855840e+01  2.164549010379118599e+01  2.164549011496480801e+01  2.164549012616575396e+01  2.164549013738498218e+01  2.164549013738517402e+01 
        61  0.000000000000000000e+00  2.243023119666386833e+01  2.280584804393936338e+01  2.280584805530668646e+01  2.280584806670178821e+01  2.280584807811552395e+01  2.280584807811572290e+01 
        62  0.000000000000000000e+00  2.358006755541772748e+01  2.396138559909145371e+01  2.396138561063231975e+01  2.396138562220141210e+01  2.396138563378940844e+01  2.396138563378957542e+01 
        63  0.000000000000000000e+00  2.473104795640558606e+01  2.511817700358280447e+01  2.511817701531521152e+01  2.511817702707627831e+01  2.511817703885659725e+01  2.511817703885678554e+01 
        64  0.000000000000000000e+00  2.588901218071573496e+01  2.628319433037047403e+01  2.628319434234146712e+01  2.628319435434169193e+01  2.628319436636158457e+01  2.628319436636176576e+01 
        65  0.000000000000000000e+00  2.706032502875684287e+01  2.746365452701008891e+01  2.746365453928235212e+01  2.746365455158461799e+01  2.746365456390701354e+01  2.746365456390720539e+01 
        66  0.000000000000000000e+00  2.825190281830530381e+01  2.866717989147064216e+01  2.866717990412161754e+01  2.866717991680349442e+01  2.866717992950610139e+01  2.866717992950629323e+01 
        67  0.000000000000000000e+00  2.947193945439004992e+01  2.990280063354351014e+01  2.990280064666974269e+01  2.990280065982807045e+01  2.990280067300790989e+01  2.990280067300812306e+01 
        68  0.000000000000000000e+00  3.073129487604573740e+01  3.118268691044138308e+01  3.118268692418009991e+01  3.118268693795238278e+01  3.118268695174719696e+01  3.118268695174739946e+01 
        69  0.000000000000000000e+00  3.204551107853988157e+01  3.252452511896150611e+01  3.252452513352252339e+01  3.252452514811913886e+01  3.252452516273961436e+01  3.252452516273985594e+01 
        70  0.000000000000000000e+00  3.343760656056636549e+01  3.395470944221571585e+01  3.395470945792707340e+01  3.395470947367683578e+01  3.395470948945233403e+01  3.395470948945258272e+01 
        71  0.000000000000000000e+00  3.494213416439004760e+01  3.551293412152303830e+01  3.551293413889415973e+01  3.551293415630765793e+01  3.551293417374967731e+01  3.551293417374994732e+01 
        72  0.000000000000000000e+00  3.661126487452555978e+01  3.725908402739598557e+01  3.725908404720473754e+01  3.725908406706192721e+01  3.725908408695156737e+01  3.725908408695188001e+01 
