     Count               Iteration-1          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  3.053668244735399639e+01  1.928903286834338360e+01  1.631290364866117670e+01  1.573906459680847547e+01  1.573906447141871467e+01  1.573906447141871467e+01 
         1  0.000000000000000000e+00  1.677979272790435061e+01  8.574217016025158955e+00  7.338210572167554346e+00  7.036604088759304432e+00  7.036604023556719767e+00  7.036604023556719767e+00 
         2  0.000000000000000000e+00  6.603047190160395985e+00  1.099602854032127652e+00  1.169462941513756959e+00  1.085884824504319113e+00  1.085884807468119106e+00  1.085884807468119106e+00 
         3  0.000000000000000000e+00 -3.293784596817204147e-01 -3.514604994663841353e+00 -2.586609892500746355e+00 -2.511742637137558631e+00 -2.511742619259621279e+00 -2.511742619259621279e+00 
         4  0.000000000000000000e+00 -4.555460983804550779e+00 -5.822460398834664375e+00 -4.461097931140102446e+00 -4.287804348726240278e+00 -4.287804309349212417e+00 -4.287804309349212417e+00 
         5  0.000000000000000000e+00 -6.700752368006305915e+00 -6.439332171143632877e+00 -5.013145224305390002e+00 -4.796985198526726890e+00 -4.796985150105683715e+00 -4.796985150105683715e+00 
         6  0.000000000000000000e+00 -7.378623676990628155e+00 -5.947295775407837937e+00 -4.742558017887404276e+00 -4.530353282932082948e+00 -4.530353235997608863e+00 -4.530353235997608863e+00 
         7  0.000000000000000000e+00 -7.126288333216052706e+00 -4.838600810545358399e+00 -4.043385331092395063e+00 -3.870023980009591469e+00 -3.870023942427906150e+00 -3.870023942427906150e+00 
         8  0.000000000000000000e+00 -6.368422078920048079e+00 -3.487497660760254803e+00 -3.187255322315650119e+00 -3.073891468171495944e+00 -3.073891444714718091e+00 -3.073891444714718091e+00 
         9  0.000000000000000000e+00 -5.407491337915416807e+00 -2.148041965815536969e+00 -2.332519752144207814e+00 -2.286300822159091695e+00 -2.286300814410651583e+00 -2.286300814410651583e+00 
        10  0.000000000000000000e+00 -4.436272294621403489e+00 -9.721910284238219901e-01 -1.552129587135823385e+00 -1.567406722965642984e+00 -1.567406729566982904e+00 -1.567406729566982904e+00 
        11  0.000000000000000000e+00 -3.559934338511993701e+00 -3.488988707454154792e-02 -8.658857301488751546e-01 -9.267064450461930392e-01 -9.267064622356429027e-01 -9.267064622356429027e-01 
        12  0.000000000000000000e+00 -2.820804565370735872e+00  6.408754008939467894e-01 -2.694080736939667986e-01 -3.529666062097476242e-01 -3.529666285969597084e-01 -3.529666285969597084e-01 
        13  0.000000000000000000e+00 -2.223101944616473702e+00  1.061429153649669388e+00  2.427524651823205204e-01  1.621165349747570872e-01  1.621165135118189937e-01  1.621165135118189937e-01 
        14  0.000000000000000000e+00 -1.751502952279906822e+00  1.247608586360229310e+00  6.651166775870933634e-01  6.118243701482697361e-01  6.118243555104072584e-01  6.118243555104072584e-01 
        15  0.000000000000000000e+00 -1.381194466861870751e+00  1.229275061224825549e+00  9.813355995845540747e-01  9.748323887847618607e-01  9.748323857761533873e-01  9.748323857761533873e-01 
        16  0.000000000000000000e+00 -1.082889330271200379e+00  1.044735731781202048e+00  1.171140709108613009e+00  1.222929514513225513e+00  1.222929526122015886e+00  1.222929526122015886e+00 
        17  0.000000000000000000e+00 -8.266117053003654291e-01  7.404484665803465759e-01  1.218634141826896666e+00  1.330407006953464588e+00  1.330407033876554124e+00  1.330407033876554124e+00 
        18  0.000000000000000000e+00 -5.869964443566004775e-01  3.676545816442740033e-01  1.117573706336997930e+00  1.280656250188485501e+00  1.280656290649631046e+00  1.280656290649631046e+00 
        19  0.000000000000000000e+00 -3.495465384366980288e-01 -2.384258539404982002e-02  8.729055986827916058e-01  1.069087623386394625e+00  1.069087673287640428e+00  1.069087673287640428e+00 
        20  0.000000000000000000e+00 -1.127216025774941954e-01 -3.896694596483030182e-01  5.027734725708796759e-01  7.064450918680904579e-01  7.064451452345110738e-01  7.064451452345110738e-01 
        21  0.000000000000000000e+00  1.159342892542554182e-01 -6.906197416481063556e-01  4.236003127721232886e-02  2.237200627994297975e-01  2.237201124996772705e-01  2.237201124996772705e-01 
        22  0.000000000000000000e+00  3.244279214734433481e-01 -8.928729054623545380e-01 -4.555906484943079704e-01 -3.266219978311255545e-01 -3.266219591857861815e-01 -3.266219591857861815e-01 
        23  0.000000000000000000e+00  4.990325520386704738e-01 -9.707482245100891305e-01 -9.257380444121281471e-01 -8.753699279284319346e-01 -8.753699070064158150e-01 -8.753699070064158150e-01 
