     Count               Iteration-1          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  4.262317581608999519e-03  4.262317581608999519e-03  4.262317581608999519e-03  4.262317581608999519e-03  4.262317581608999519e-03  4.262317581608999519e-03 
         1  0.000000000000000000e+00  9.357786541400323760e-03  9.551758072892681944e-03  9.704731200179922412e-03  9.723915160638578470e-03  9.723915164870569963e-03  9.723915164870569963e-03 
         2  0.000000000000000000e+00  1.504184896104985777e-02  1.554274916897461015e-02  1.593222123120205391e-02  1.598102807442659118e-02  1.598102808516756526e-02  1.598102808516756526e-02 
         3  0.000000000000000000e+00  2.098770653620189719e-02  2.183521121493588873e-02  2.248369218070165459e-02  2.256498564591088996e-02  2.256498566382940038e-02  2.256498566382940038e-02 
         4  0.000000000000000000e+00  2.686590292335663821e-02  2.803351020619867379e-02  2.891031085109344381e-02  2.902041674314343594e-02  2.902041676743103912e-02  2.902041676743103912e-02 
         5  0.000000000000000000e+00  3.243028161460378284e-02  3.383923208614705164e-02  3.487340156262584701e-02  3.500372339237151076e-02  3.500372342107915119e-02  3.500372342107915119e-02 
         6  0.000000000000000000e+00  3.758682757702577759e-02  3.912900575477482046e-02  4.022885197677650987e-02  4.036825286960659537e-02  4.036825290030748858e-02  4.036825290030748858e-02 
         7  0.000000000000000000e+00  4.242522916021995716e-02  4.399254732107764354e-02  4.506955264559193985e-02  4.520724925431901520e-02  4.520724928466396397e-02  4.520724928466396397e-02 
         8  0.000000000000000000e+00  4.719658101375954345e-02  4.871084626482184016e-02  4.970314881546507302e-02  4.983154313781174016e-02  4.983154316613511159e-02  4.983154316613511159e-02 
         9  0.000000000000000000e+00  5.224085579954139413e-02  5.367612327411749873e-02  5.456533961979612157e-02  5.468204421788051134e-02  5.468204424363152377e-02  5.468204424363152377e-02 
        10  0.000000000000000000e+00  5.788961110029238605e-02  5.927998640937733738e-02  6.009610612487624459e-02  6.020453294262317900e-02  6.020453296656944758e-02  6.020453296656944758e-02 
        11  0.000000000000000000e+00  6.437789072123080436e-02  6.580793951143443232e-02  6.662046538172025634e-02  6.672876528261791063e-02  6.672876530653173988e-02  6.672876530653173988e-02 
        12  0.000000000000000000e+00  7.179038753814304119e-02  7.337107056048566833e-02  7.426912676687323633e-02  7.438781620935554229e-02  7.438781623552963296e-02  7.438781623552963296e-02 
        13  0.000000000000000000e+00  8.005407779939044399e-02  8.189173563356676178e-02  8.295935281416198792e-02  8.309837974205619426e-02  8.309837977269995957e-02  8.309837977269995957e-02 
        14  0.000000000000000000e+00  8.897360574324214566e-02  9.114145938870210628e-02  9.243553084058951652e-02  9.260167755516313104e-02  9.260167759175133573e-02  9.260167759175133573e-02 
        15  0.000000000000000000e+00  9.829025543658401198e-02  1.008106197678134003e-01  1.023477703942973494e-01  1.025431301449187677e-01  1.025431301879191764e-01  1.025431301879191764e-01 
        16  0.000000000000000000e+00  1.077463449987437205e-01  1.105876507611404241e-01  1.123428639710842558e-01  1.125647115636559253e-01  1.125647116124480485e-01  1.125647116124480485e-01 
        17  0.000000000000000000e+00  1.171402297724189051e-01  1.202282807156188349e-01  1.221444363218271156e-01  1.223863702411218946e-01  1.223863702943419896e-01  1.223863702943419896e-01 
        18  0.000000000000000000e+00  1.263588507695979635e-01  1.295979802191017938e-01  1.316026165961332595e-01  1.318565187133910466e-01  1.318565187692372909e-01  1.318565187692372909e-01 
        19  0.000000000000000000e+00  1.353875686947024759e-01  1.386850248443282085e-01  1.407090016614334360e-01  1.409671773288879160e-01  1.409671773856970289e-01  1.409671773856970289e-01 
        20  0.000000000000000000e+00  1.442985636911456315e-01  1.475856388479562520e-01  1.495787407516921963e-01  1.498356614463429992e-01  1.498356615029479144e-01  1.498356615029479144e-01 
        21  0.000000000000000000e+00  1.532056240316849172e-01  1.564507503080799777e-01  1.583907745077784146e-01  1.586440362846350816e-01  1.586440363405144105e-01  1.586440363405144105e-01 
        22  0.000000000000000000e+00  1.621854718071302215e-01  1.653955453942453357e-01  1.672882975869481592e-01  1.675385112398579401e-01  1.675385112951982558e-01  1.675385112951982558e-01 
        23  0.000000000000000000e+00  1.711953927857787494e-01  1.744032726180615722e-01  1.762722221740423145e-01  1.765217014208100843e-01  1.765217014761443770e-01  1.765217014761443770e-01 
        24  0.000000000000000000e+00  1.800210055951415589e-01  1.832613164100984071e-01  1.851289011846790344e-01  1.853794007569690427e-01  1.853794008125883852e-01  1.853794008125883852e-01 
        25  0.000000000000000000e+00  1.882769333586826743e-01  1.915569531907315159e-01  1.934230282995869632e-01  1.936732018529878363e-01  1.936732019085532219e-01  1.936732019085532219e-01 
        26  0.000000000000000000e+00  1.954735421995270617e-01  1.987487148072087373e-01  2.005735577171772477e-01  2.008170290827789584e-01  2.008170291368590321e-01  2.008170291368590321e-01 
        27  0.000000000000000000e+00  2.011485558297962384e-01  2.043124802451631861e-01  2.060117212287169153e-01  2.062366493059046013e-01  2.062366493558357439e-01  2.062366493558357439e-01 
        28  0.000000000000000000e+00  2.050578986446499052e-01  2.079542988170165752e-01  2.094110447186580404e-01  2.096018022721034824e-01  2.096018023144192444e-01  2.096018023144192444e-01 
        29  0.000000000000000000e+00  2.074342408311267150e-01  2.098948177371851020e-01  2.109912577693634772e-01  2.111324847506112490e-01  2.111324847818697448e-01  2.111324847818697448e-01 
        30  0.000000000000000000e+00  2.093447464218727849e-01  2.112546689481403506e-01  2.119237495482285127e-01  2.120124641433988877e-01  2.120124641692778533e-01  2.120124641692778533e-01 
        31  0.000000000000000000e+00  2.131796669624105578e-01  2.145736399168326480e-01  2.150188940130634829e-01  2.150864415715934841e-01  2.150864415931315610e-01  2.150864415931315610e-01 
        32  0.000000000000000000e+00  2.232420883426695091e-01  2.244366682930944434e-01  2.247983881719129995e-01  2.248521727557177829e-01  2.248521727742156806e-01  2.248521727742156806e-01 
        33  0.000000000000000000e+00  2.463427319611076749e-01  2.481082110347364866e-01  2.490102638743849073e-01  2.491286311161858003e-01  2.491286311486105576e-01  2.491286311486105576e-01 
        34  0.000000000000000000e+00  2.922845188390322257e-01  2.960497552622343154e-01  2.986093728837175831e-01  2.989326929773638564e-01  2.989326930544278227e-01  2.989326930544278227e-01 
        35  0.000000000000000000e+00  3.740828660047467169e-01  3.821533613746844749e-01  3.881357791579458927e-01  3.888863124675241978e-01  3.888863126380944224e-01  3.888863126380944224e-01 
        36  0.000000000000000000e+00  5.077222095598080687e-01  5.234762881177289495e-01  5.354255689254177053e-01  5.369244216489639232e-01  5.369244219839585108e-01  5.369244219839585108e-01 
        37  0.000000000000000000e+00  7.113081868945624331e-01  7.393187766912125980e-01  7.606238419509306903e-01  7.632998561652657443e-01  7.632998567594146966e-01  7.632998567594146966e-01 
        38  0.000000000000000000e+00  1.003596537134943123e+00  1.049617118261977788e+00  1.084466624138893831e+00  1.088851350774321380e+00  1.088851351744863694e+00  1.088851351744863694e+00 
        39  0.000000000000000000e+00  1.401901400215945115e+00  1.472662762907954281e+00  1.525850681937915176e+00  1.532554590794495741e+00  1.532554592276664795e+00  1.532554592276664795e+00 
        40  0.000000000000000000e+00  1.919447412008093545e+00  2.022228738893146360e+00  2.098788081512387382e+00  2.108455115931355373e+00  2.108455118067188216e+00  2.108455118067188216e+00 
        41  0.000000000000000000e+00  2.562743277724433888e+00  2.704703830184898461e+00  2.809365480398545500e+00  2.822605478962781245e+00  2.822605481886580669e+00  2.822605481886580669e+00 
        42  0.000000000000000000e+00  3.330142767553855521e+00  3.517467336264579192e+00  3.653994159617230064e+00  3.671299262035116584e+00  3.671299265855517913e+00  3.671299265855517913e+00 
        43  0.000000000000000000e+00  4.212372317163166180e+00  4.449408260649371449e+00  4.619950997153761563e+00  4.641614160280292722e+00  4.641614165061168862e+00  4.641614165061168862e+00 
        44  0.000000000000000000e+00  5.194677844803797129e+00  5.483329405047822291e+00  5.688014712497118985e+00  5.714076462016822511e+00  5.714076467767252865e+00  5.714076467767252865e+00 
        45  0.000000000000000000e+00  6.259643640010885690e+00  6.599237916693621031e+00  6.836150514983126314e+00  6.866394101211507284e+00  6.866394107882056730e+00  6.866394107882056730e+00 
        46  0.000000000000000000e+00  7.389886126163704994e+00  7.777563452751527606e+00  8.043150399581053378e+00  8.077149026403077414e+00  8.077149033901754649e+00  8.077149033901754649e+00 
        47  0.000000000000000000e+00  8.570155608554516746e+00  9.001668309535000745e+00  9.291458952385259096e+00  9.328662301966977211e+00  9.328662310169606897e+00  9.328662310169606897e+00 
        48  0.000000000000000000e+00  9.788638953866090731e+00  1.025933520536589327e+01  1.056878876765556718e+01  1.060862614705365203e+01  1.060862615583648250e+01  1.060862615583648250e+01 
        49  0.000000000000000000e+00  1.103743400501823224e+01  1.154317705907290836e+01  1.186845431029458098e+01  1.191042991228820824e+01  1.191042992154034330e+01  1.191042992154034330e+01 
        50  0.000000000000000000e+00  1.231228777388433038e+01  1.285010474493156352e+01  1.318860075809164911e+01  1.323236142669030357e+01  1.323236143633381978e+01  1.323236143633381978e+01 
        51  0.000000000000000000e+00  1.361177184302989929e+01  1.418011562835855344e+01  1.453066494905720063e+01  1.457602963292083764e+01  1.457602964291384673e+01  1.457602964291384673e+01 
        52  0.000000000000000000e+00  1.493612365960562371e+01  1.553473623724040564e+01  1.589748539458688015e+01  1.594443526430730707e+01  1.594443527464562749e+01  1.594443527464562749e+01 
        53  0.000000000000000000e+00  1.628602981007256645e+01  1.691548758846423084e+01  1.729150279657384459e+01  1.734013954860102302e+01  1.734013955930712214e+01  1.734013955930712214e+01 
        54  0.000000000000000000e+00  1.766160971489706100e+01  1.832269380985458085e+01  1.871342002705496910e+01  1.876390552140573575e+01  1.876390553251539117e+01  1.876390553251539117e+01 
        55  0.000000000000000000e+00  1.906174940905292203e+01  1.975480437026169866e+01  2.016150623177872347e+01  2.021399818561340567e+01  2.021399819716033974e+01  2.021399819716033974e+01 
        56  0.000000000000000000e+00  2.048381898222406505e+01  2.120823912644068443e+01  2.163153371892041577e+01  2.168612973447034520e+01  2.168612974647651725e+01  2.168612974647651725e+01 
        57  0.000000000000000000e+00  2.192372289736544388e+01  2.267764832310360745e+01  2.311719543173855484e+01  2.317389258109901817e+01  2.317389259356662023e+01  2.317389259356662023e+01 
        58  0.000000000000000000e+00  2.337616380580618269e+01  2.415640044646657714e+01  2.461076487796867340e+01  2.466943643710436262e+01  2.466943645000941032e+01  2.466943645000941032e+01 
        59  0.000000000000000000e+00  2.483496500838382204e+01  2.563708485387032709e+01  2.610374332974211953e+01  2.616412989157813485e+01  2.616412990486717405e+01  2.616412990486717405e+01 
        60  0.000000000000000000e+00  2.629331521728893151e+01  2.711185896114994165e+01  2.758730154708466742e+01  2.764901178803296844e+01  2.764901180162404515e+01  2.764901180162404515e+01 
        61  0.000000000000000000e+00  2.774387500252167627e+01  2.857257854658274354e+01  2.905245664715291198e+01  2.911497387425406558e+01  2.911497388803879005e+01  2.911497388803879005e+01 
        62  0.000000000000000000e+00  2.917880548732167512e+01  3.001080588788431669e+01  3.049010479126355833e+01  3.055279874742225843e+01  3.055279876127045924e+01  3.055279876127045924e+01 
        63  0.000000000000000000e+00  3.058991612649412772e+01  3.141795713093381792e+01  3.189121563314467522e+01  3.195336420964761359e+01  3.195336422340551152e+01  3.195336422340551152e+01 
        64  0.000000000000000000e+00  3.196922480686790990e+01  3.278596595374786915e+01  3.324762228797371932e+01  3.330845426521791808e+01  3.330845427872505127e+01  3.330845427872505127e+01 
        65  0.000000000000000000e+00  3.331025117728066931e+01  3.410886861222958544e+01  3.455386785133008942e+01  3.461264404272053952e+01  3.461264405582333126e+01  3.461264405582333126e+01 
        66  0.000000000000000000e+00  3.461036553566860619e+01  3.538569441528205317e+01  3.581052789769826461e+01  3.586668157130678480e+01  3.586668158389162642e+01  3.586668158389162642e+01 
        67  0.000000000000000000e+00  3.587448978890061113e+01  3.662498098525379220e+01  3.702933271848404928e+01  3.708268996718278032e+01  3.708268997922019850e+01  3.708268997922019850e+01 
        68  0.000000000000000000e+00  3.712033344910576460e+01  3.785107197374863119e+01  3.824021896800835663e+01  3.829131593570163972e+01  3.829131594732134403e+01  3.829131594732134403e+01 
        69  0.000000000000000000e+00  3.838514343316191457e+01  3.911209482158875517e+01  3.950014118467164081e+01  3.955064656817244639e+01  3.955064657974845943e+01  3.955064657974845943e+01 
        70  0.000000000000000000e+00  3.973366940502593536e+01  4.048917949435171693e+01  4.090309097613640432e+01  4.095632799388321388e+01  4.095632800614868785e+01  4.095632800614868785e+01 
        71  0.000000000000000000e+00  4.126672212696482234e+01  4.210609765887352296e+01  4.259035399510229070e+01  4.265189824764450321e+01  4.265189826182225374e+01  4.265189826182225374e+01 
        72  0.000000000000000000e+00  4.312939401569092013e+01  4.413814671989838700e+01  4.475966642437364840e+01  4.483797789979048076e+01  4.483797791773450570e+01  4.483797791773450570e+01 
        73  0.000000000000000000e+00  4.551774598585459586e+01  4.681881534091175467e+01  4.767163362459109521e+01  4.777866003654020943e+01  4.777866006086657791e+01  4.777866006086657791e+01 
        74  0.000000000000000000e+00  4.868256153763912408e+01  5.044257892327539139e+01  5.165156908817229464e+01  5.180323116478476919e+01  5.180323119898485373e+01  5.180323119898485373e+01 
        75  0.000000000000000000e+00  5.292870557616135585e+01  5.536217347681733258e+01  5.708495190018469145e+01  5.730139939036233443e+01  5.730139943886099019e+01  5.730139943886099019e+01 
        76  0.000000000000000000e+00  5.860879445121424425e+01  6.197898595908906572e+01  6.440511987676264027e+01  6.471064437540407255e+01  6.471064444353920919e+01  6.471064444353920919e+01 
        77  0.000000000000000000e+00  6.611037154317277498e+01  7.072586443943761481e+01  7.407264670449140453e+01  7.449515712600252471e+01  7.449515721991262751e+01  7.449515721991262751e+01 
        78  0.000000000000000000e+00  7.583661069728536575e+01  8.204269899249847242e+01  8.654706429291299230e+01  8.711707055075513040e+01  8.711707067715487085e+01  8.711707067715487085e+01 
        79  0.000000000000000000e+00  8.818160518054075681e+01  9.634638786623480655e+01  1.022530134643668731e+02  1.030021225280330981e+02  1.030021226938773538e+02  1.030021226938773538e+02 
        80  0.000000000000000000e+00  1.035023511639656988e+02  1.139980363465408573e+02  1.215442566964298976e+02  1.225032582349846564e+02  1.225032584470483670e+02  1.225032584470483670e+02 
        81  0.000000000000000000e+00  1.220904129294045077e+02  1.352711892553150506e+02  1.446699718792079636e+02  1.458666680157526514e+02  1.458666682801509182e+02  1.458666682801509182e+02 
        82  0.000000000000000000e+00  1.441467305030319324e+02  1.603252969060453665e+02  1.717480580123673235e+02  1.732050589175989046e+02  1.732050592392990040e+02  1.732050592392990040e+02 
        83  0.000000000000000000e+00  1.697629405516778149e+02  1.891882786433830574e+02  2.027496292800113622e+02  2.044823771909913432e+02  2.044823775733775619e+02  2.044823775733775619e+02 
        84  0.000000000000000000e+00  1.989118912173933893e+02  2.217509602946268785e+02  2.374974552892162194e+02  2.395127399279378153e+02  2.395127403724820851e+02  2.395127403724820851e+02 
        85  0.000000000000000000e+00  2.314487676262050400e+02  2.577744226113449031e+02  2.756789828191828633e+02  2.779741639936053730e+02  2.779741644996981904e+02  2.779741644996981904e+02 
        86  0.000000000000000000e+00  2.671225958524170778e+02  2.969092089946817623e+02  3.168721432991612801e+02  3.194352062115320336e+02  3.194352067764925209e+02  3.194352067764925209e+02 
        87  0.000000000000000000e+00  3.055962680378772802e+02  3.387234299609954178e+02  3.605800348044796237e+02  3.633904868838631046e+02  3.633904875031388997e+02  3.633904875031388997e+02 
        88  0.000000000000000000e+00  3.464720747774963456e+02  3.827355966040431667e+02  4.062693550257254742e+02  4.092998537409795290e+02  4.092998544085091339e+02  4.092998544085091339e+02 
        89  0.000000000000000000e+00  3.893192915488817221e+02  4.284477756006938876e+02  4.534074141058828218e+02  4.566259173751682283e+02  4.566259180838541170e+02  4.566259180838541170e+02 
        90  0.000000000000000000e+00  4.337006229815178813e+02  4.753752966609310988e+02  5.014935300766541673e+02  5.048657023450975316e+02  5.048657030873445706e+02  5.048657030873445706e+02 
        91  0.000000000000000000e+00  4.791950319787773651e+02  5.230704162477675254e+02  5.500821683253135461e+02  5.535737628840836351e+02  5.535737636523255105e+02  5.535737636523255105e+02 
        92  0.000000000000000000e+00  5.254153910557149629e+02  5.711386542670095423e+02  5.987968421232226319e+02  6.023758094571214770e+02  6.023758102442959625e+02  6.023758102442959625e+02 
        93  0.000000000000000000e+00  5.720203042713814057e+02  6.192477073271313657e+02  6.473352150006650163e+02  6.509733461502844420e+02  6.509733469501969694e+02  6.509733469501969694e+02 
        94  0.000000000000000000e+00  6.187202423945374221e+02  6.671297599461629488e+02  6.954668745733252990e+02  6.991408636255163174e+02  6.991408644330796278e+02  6.991408644330796278e+02 
        95  0.000000000000000000e+00  6.652787287058966967e+02  7.145785969299479348e+02  7.430258265565967122e+02  7.467177147342457602e+02  7.467177155455839284e+02  7.467177155455839284e+02 
        96  0.000000000000000000e+00  7.115096858571390612e+02  7.614431801017470889e+02  7.898999297846397667e+02  7.935969657312849677e+02  7.935969665436983860e+02  7.935969665436983860e+02 
        97  0.000000000000000000e+00  7.572721993656265340e+02  8.076193279933938811e+02  8.360193296825282232e+02  8.397133405253061937e+02  8.397133413371309416e+02  8.397133413371309416e+02 
