Count	Target	Error	Dwell Time	Expected Figure	Sputter Yield              Error in RMS           Target Elements             Unit Elements            Total Elements
0	0.00E+00	0.00E+00	0.00E+00	3.23E-03	2.156449999999999911e-06  1.851849315002036089e+00  3.630000000000000000e+02  1.710000000000000000e+02  1.047000000000000000e+03
1	0.00E+00	0.00E+00	0.00E+00	7.75E-03	2.81E-06
2	0.00E+00	0.00E+00	0.00E+00	1.32E-02	3.16E-06
3	0.00E+00	0.00E+00	0.00E+00	1.88E-02	3.05E-06
4	0.00E+00	0.00E+00	0.00E+00	2.39E-02	2.52E-06
5	0.00E+00	0.00E+00	0.00E+00	2.79E-02	1.76E-06
6	0.00E+00	0.00E+00	0.00E+00	3.05E-02	1.05E-06
7	0.00E+00	0.00E+00	0.00E+00	3.21E-02	6.59E-07
8	0.00E+00	0.00E+00	0.00E+00	3.32E-02	7.25E-07
9	0.00E+00	0.00E+00	0.00E+00	3.48E-02	1.23E-06
10	0.00E+00	0.00E+00	0.00E+00	3.74E-02	2.03E-06
11	0.00E+00	0.00E+00	0.00E+00	4.17E-02	2.88E-06
12	0.00E+00	0.00E+00	0.00E+00	4.76E-02	3.57E-06
13	0.00E+00	0.00E+00	0.00E+00	5.49E-02	3.96E-06
14	0.00E+00	0.00E+00	0.00E+00	6.31E-02	4.03E-06
15	0.00E+00	0.00E+00	0.00E+00	7.14E-02	3.84E-06
16	0.00E+00	0.00E+00	0.00E+00	7.93E-02	3.50E-06
17	0.00E+00	0.00E+00	0.00E+00	8.63E-02	3.13E-06
18	0.00E+00	0.00E+00	0.00E+00	9.22E-02	2.83E-06
19	0.00E+00	0.00E+00	0.00E+00	9.72E-02	2.67E-06
20	0.00E+00	0.00E+00	0.00E+00	1.02E-01	2.71E-06
21	0.00E+00	0.00E+00	0.00E+00	1.06E-01	2.93E-06
22	0.00E+00	0.00E+00	0.00E+00	1.12E-01	3.25E-06
23	0.00E+00	0.00E+00	0.00E+00	1.18E-01	3.57E-06
24	0.00E+00	0.00E+00	0.00E+00	1.25E-01	3.79E-06
25	0.00E+00	0.00E+00	0.00E+00	1.32E-01	3.89E-06
26	0.00E+00	0.00E+00	0.00E+00	1.41E-01	3.98E-06
27	0.00E+00	0.00E+00	0.00E+00	1.50E-01	4.20E-06
28	0.00E+00	0.00E+00	0.00E+00	1.60E-01	4.68E-06
29	0.00E+00	0.00E+00	0.00E+00	1.70E-01	5.44E-06
30	0.00E+00	0.00E+00	0.00E+00	1.83E-01	6.42E-06
