     Count               Iteration-1          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  1.740845106719348223e+01  1.180362004617063576e+01  1.180361991157656121e+01  1.180361977702591503e+01  1.180361964239887129e+01  1.180361964239659756e+01 
         1  0.000000000000000000e+00  9.182667181543820334e+00  5.446869610586645649e+00  5.446869544524815865e+00  5.446869478486405569e+00  5.446869412409569122e+00  5.446869412407750133e+00 
         2  0.000000000000000000e+00  3.481703944019955088e+00  1.325487013345991727e+00  1.325487003914531670e+00  1.325486994485800096e+00  1.325486985052066302e+00  1.325486985052975797e+00 
         3  0.000000000000000000e+00 -1.354463466732340748e-01 -1.041902294359488224e+00 -1.041902260966026006e+00 -1.041902227585524088e+00 -1.041902194187969144e+00 -1.041902194186832276e+00 
         4  0.000000000000000000e+00 -2.167161355626376462e+00 -2.160711339510726248e+00 -2.160711277801965480e+00 -2.160711216111167232e+00 -2.160711154386945054e+00 -2.160711154385808186e+00 
         5  0.000000000000000000e+00 -3.107494948411840596e+00 -2.501285781203023362e+00 -2.501285705210193555e+00 -2.501285629242147479e+00 -2.501285553229763536e+00 -2.501285553227944547e+00 
         6  0.000000000000000000e+00 -3.380907158253194211e+00 -2.441565718995207135e+00 -2.441565641319584756e+00 -2.441565563666244998e+00 -2.441565485970386362e+00 -2.441565485970386362e+00 
         7  0.000000000000000000e+00 -3.299275263255594837e+00 -2.234340646074542747e+00 -2.234340577192142518e+00 -2.234340508332024910e+00 -2.234340439433708525e+00 -2.234340439431662162e+00 
         8  0.000000000000000000e+00 -3.055862012072111611e+00 -2.010842368831163185e+00 -2.010842316682328601e+00 -2.010842264551683911e+00 -2.010842212391480643e+00 -2.010842212390116401e+00 
         9  0.000000000000000000e+00 -2.751605459518032148e+00 -1.814169514412469653e+00 -1.814169484196554549e+00 -1.814169453992008130e+00 -1.814169423767907574e+00 -1.814169423767680200e+00 
        10  0.000000000000000000e+00 -2.432736317639410117e+00 -1.641048212732130196e+00 -1.641048206855202807e+00 -1.641048200982368144e+00 -1.641048195103849139e+00 -1.641048195103621765e+00 
        11  0.000000000000000000e+00 -2.120100586989792646e+00 -1.472882503048367653e+00 -1.472882521197107053e+00 -1.472882539338797869e+00 -1.472882557492766864e+00 -1.472882557493221611e+00 
        12  0.000000000000000000e+00 -1.823938188568718033e+00 -1.290891577672482526e+00 -1.290891616999488178e+00 -1.290891656315352520e+00 -1.290891695653044735e+00 -1.290891695653499482e+00 
        13  0.000000000000000000e+00 -1.548173822422768353e+00 -1.080319670297967605e+00 -1.080319725772596939e+00 -1.080319781226762643e+00 -1.080319836713442783e+00 -1.080319836713442783e+00 
        14  0.000000000000000000e+00 -1.291659944045704833e+00 -8.316271800349568366e-01 -8.316272449424104707e-01 -8.316273098246256268e-01 -8.316273747443574393e-01 -8.316273747454943077e-01 
        15  0.000000000000000000e+00 -1.050633460949939035e+00 -5.428875026977948437e-01 -5.428875693355621479e-01 -5.428876359533205687e-01 -5.428877026063219091e-01 -5.428877026076861512e-01 
        16  0.000000000000000000e+00 -8.211369792732057249e-01 -2.217710004565560666e-01 -2.217710609756977647e-01 -2.217711214739210845e-01 -2.217711820060230821e-01 -2.217711820076146978e-01 
        17  0.000000000000000000e+00 -6.005906173404582660e-01  1.141437438725461107e-01  1.141436965808679815e-01  1.141436493041965150e-01  1.141436020004675811e-01  1.141436020009223284e-01 
        18  0.000000000000000000e+00 -3.908909760448295856e-01  4.366544402903400623e-01  4.366544117208377429e-01  4.366543831602029968e-01  4.366543545829699724e-01  4.366543545822878514e-01 
        19  0.000000000000000000e+00 -2.025110798956575309e-01  7.063625723769746401e-01  7.063625657021930238e-01  7.063625590285482758e-01  7.063625523535392858e-01  7.063625523535392858e-01 
        20  0.000000000000000000e+00 -5.416522650966726360e-02  8.773857679768752860e-01  8.773857835988110310e-01  8.773857992173361708e-01  8.773858148435920157e-01  8.773858148449562577e-01 
        21  0.000000000000000000e+00  3.560596605939281289e-02  9.104321819916094682e-01  9.104322174330263806e-01  9.104322528630746092e-01  9.104322883115401055e-01  9.104322883131317212e-01 
        22  0.000000000000000000e+00  6.083707671564297925e-02  7.894030011987069884e-01  7.894030513643883751e-01  7.894031015152904729e-01  7.894031516925679171e-01  7.894031516925679171e-01 
        23  0.000000000000000000e+00  3.516284834449834307e-02  5.313862488478662272e-01  5.313863066596695717e-01  5.313863644514640328e-01  5.313864222766824241e-01  5.313864222766824241e-01 
        24  0.000000000000000000e+00 -1.175762661182488955e-02  1.841662269782773365e-01  1.841662842834921321e-01  1.841663415721086494e-01  1.841663988911932393e-01  1.841663988918753603e-01 
        25  0.000000000000000000e+00 -4.519305144162899524e-02 -1.859153955228975974e-01 -1.859153468526528741e-01 -1.859152981965053186e-01 -1.859152495146645379e-01 -1.859152495133002958e-01 
        26  0.000000000000000000e+00 -3.783198247697328043e-02 -5.099388659405121871e-01 -5.099388328983422980e-01 -5.099387998666315980e-01 -5.099387668171857513e-01 -5.099387668158215092e-01 
        27  0.000000000000000000e+00  2.026413369821966626e-02 -7.317819717366091936e-01 -7.317819591958141245e-01 -7.317819466588844080e-01 -7.317819341151334811e-01 -7.317819341158156021e-01 
        28  0.000000000000000000e+00  1.183370104208734119e-01 -8.180800716640987957e-01 -8.180800816580813262e-01 -8.180800916509269882e-01 -8.180801016458190134e-01 -8.180801016460463870e-01 
        29  0.000000000000000000e+00  2.311487961726470530e-01 -7.588829640646963526e-01 -7.588829954479479056e-01 -7.588830268207402696e-01 -7.588830582114951540e-01 -7.588830582114951540e-01 
        30  0.000000000000000000e+00  3.309877115100334777e-01 -5.616891385934650316e-01 -5.616891871284224180e-01 -5.616892356458720315e-01 -5.616892841908338596e-01 -5.616892841917433543e-01 
        31  0.000000000000000000e+00  3.959694135726294917e-01 -2.473652018131815566e-01 -2.473652606786345132e-01 -2.473653195252154546e-01 -2.473653784047655790e-01 -2.473653784049929527e-01 
        32  0.000000000000000000e+00  4.099196527217827679e-01  1.480601196553834598e-01  1.480600589834466518e-01  1.480599983326555957e-01  1.480599376482132357e-01  1.480599376473037410e-01 
        33  0.000000000000000000e+00  3.591991442610833474e-01  5.714349181193938421e-01  5.714348647481983789e-01  5.714348113947380625e-01  5.714347580096728052e-01  5.714347580094454315e-01 
        34  0.000000000000000000e+00  2.327859821552920039e-01  9.565974982460829779e-01  9.565974606259715074e-01  9.565974230197298311e-01  9.565973853914329084e-01  9.565973853907507873e-01 
        35  0.000000000000000000e+00  2.563173639373417245e-02  1.234114946679028435e+00  1.234114931428166528e+00  1.234114916184580579e+00  1.234114900931217562e+00  1.234114900931444936e+00 
        36  0.000000000000000000e+00 -2.563160279330531921e-01  1.344258862496189977e+00  1.344258873437638613e+00  1.344258884375449270e+00  1.344258895319740077e+00  1.344258895318944269e+00 
        37  0.000000000000000000e+00 -5.903448242519289124e-01  1.251304050812905189e+00  1.251304088349115773e+00  1.251304125873161865e+00  1.251304163418126336e+00  1.251304163418808457e+00 
        38  0.000000000000000000e+00 -9.337478097163511848e-01  9.547744010111500756e-01  9.547744619526383758e-01  9.547745228746862267e-01  9.547745838290211395e-01  9.547745838301580079e-01 
        39  0.000000000000000000e+00 -1.227010436385398862e+00  4.927067142963323931e-01  4.927067921620391644e-01  4.927068700015979630e-01  4.927069478842440731e-01  4.927069478850398809e-01 
        40  0.000000000000000000e+00 -1.405041212461583200e+00 -6.557095638277132821e-02 -6.557087060730282246e-02 -6.557078486127920769e-02 -6.557069906727974740e-02 -6.557069906568813167e-02 
        41  0.000000000000000000e+00 -1.417537598375588459e+00 -6.445043586526253421e-01 -6.445042755701706483e-01 -6.445041925154555429e-01 -6.445041094131056525e-01 -6.445041094125372183e-01 
        42  0.000000000000000000e+00 -1.247781054555957780e+00 -1.169202230911537299e+00 -1.169202161073485513e+00 -1.169202091257147913e+00 -1.169202021402043101e+00 -1.169202021401019920e+00 
        43  0.000000000000000000e+00 -9.149046776228715316e-01 -1.583497541264705433e+00 -1.583497493808181389e+00 -1.583497446368482997e+00 -1.583497398901613451e+00 -1.583497398900476583e+00 
        44  0.000000000000000000e+00 -4.685468873947229440e-01 -1.850202839327607762e+00 -1.850202820672507187e+00 -1.850202802022408832e+00 -1.850202783363101844e+00 -1.850202783362647097e+00 
        45  0.000000000000000000e+00  3.015613635045610863e-02 -1.942915390475832282e+00 -1.942915403353254078e+00 -1.942915416226469461e+00 -1.942915429107301861e+00 -1.942915429107642922e+00 
        46  0.000000000000000000e+00  5.270171737231521547e-01 -1.839273209361067529e+00 -1.839273252355383192e+00 -1.839273295336056435e+00 -1.839273338340376540e+00 -1.839273338341172348e+00 
        47  0.000000000000000000e+00  9.828517721177831845e-01 -1.523786033426176800e+00 -1.523786101094515288e+00 -1.523786168739547975e+00 -1.523786236422211005e+00 -1.523786236423006812e+00 
        48  0.000000000000000000e+00  1.368553581073115311e+00 -1.001134691725496850e+00 -1.001134775296009138e+00 -1.001134858839577646e+00 -1.001134942429757757e+00 -1.001134942431008312e+00 
        49  0.000000000000000000e+00  1.654131146571899080e+00 -3.116546251329737061e-01 -3.116547137232146270e-01 -3.116548022829874753e-01 -3.116548908930099060e-01 -3.116548908938057139e-01 
        50  0.000000000000000000e+00  1.802710346152366583e+00  4.628421583246336013e-01  4.628420761933966787e-01  4.628419940892172235e-01  4.628419119393356596e-01  4.628419119391082859e-01 
        51  0.000000000000000000e+00  1.775594653513621779e+00  1.208286027726558132e+00  1.208285962509307865e+00  1.208285897314112844e+00  1.208285832083106470e+00  1.208285832081742228e+00 
        52  0.000000000000000000e+00  1.546321655646124782e+00  1.802166481147196464e+00  1.802166440765631705e+00  1.802166400397823054e+00  1.802166360006481227e+00  1.802166360006026480e+00 
        53  0.000000000000000000e+00  1.116477496809579861e+00  2.141433922521628119e+00  2.141433911180342875e+00  2.141433899842240862e+00  2.141433888498681881e+00  2.141433888498340821e+00 
        54  0.000000000000000000e+00  5.256153080422336643e-01  2.165747625283529487e+00  2.165747642803239614e+00  2.165747660317720147e+00  2.165747677842773555e+00  2.165747677842887242e+00 
        55  0.000000000000000000e+00 -1.514578173454310672e-01  1.868305095841947150e+00  1.868305137624247436e+00  1.868305179393473736e+00  1.868305221185323717e+00  1.868305221186346898e+00 
        56  0.000000000000000000e+00 -8.201440096302121674e-01  1.292138872910982172e+00  1.292138930562600763e+00  1.292138988195688398e+00  1.292139045860039914e+00  1.292139045861404156e+00 
        57  0.000000000000000000e+00 -1.386121771066655128e+00  5.183560587299780309e-01  5.183561212977565447e-01  5.183561838450714276e-01  5.183562464263786751e-01  5.183562464272881698e-01 
        58  0.000000000000000000e+00 -1.769107779850855877e+00 -3.441896868203002668e-01 -3.441896311743448678e-01 -3.441895755472614837e-01 -3.441895198885731588e-01 -3.441895198874362904e-01 
        59  0.000000000000000000e+00 -1.908471791164629394e+00 -1.166852788770597726e+00 -1.166852750890484458e+00 -1.166852713022763055e+00 -1.166852675134350648e+00 -1.166852675133895900e+00 
        60  0.000000000000000000e+00 -1.767929839634234668e+00 -1.814132974608128279e+00 -1.814132962555731865e+00 -1.814132950507882924e+00 -1.814132938453326460e+00 -1.814132938452644339e+00 
        61  0.000000000000000000e+00 -1.342371574196477013e+00 -2.163847981175763380e+00 -2.163847998829055541e+00 -2.163848016476322300e+00 -2.163848034134275622e+00 -2.163848034134502996e+00 
        62  0.000000000000000000e+00 -6.644516880600122022e-01 -2.130465190295808497e+00 -2.130465236578061194e+00 -2.130465282843601926e+00 -2.130465329136654873e+00 -2.130465329137450681e+00 
        63  0.000000000000000000e+00  1.917887581298600708e-01 -1.686506758838049791e+00 -1.686506827733865066e+00 -1.686506896606147166e+00 -1.686506965517082790e+00 -1.686506965518105972e+00 
        64  0.000000000000000000e+00  1.112894214856169128e+00 -8.767644006630916920e-01 -8.767644820580926535e-01 -8.767645634252403397e-01 -8.767646448383175084e-01 -8.767646448389996294e-01 
        65  0.000000000000000000e+00  1.959103691696554961e+00  1.828257090591023371e-01  1.828256278308799665e-01  1.828255466305108712e-01  1.828254653837575461e-01  1.828254653827343645e-01 
        66  0.000000000000000000e+00  2.588587995419743493e+00  1.323874759678801638e+00  1.323874691805258408e+00  1.323874623954793606e+00  1.323874556065675279e+00  1.323874556064765784e+00 
        67  0.000000000000000000e+00  2.883764038300000720e+00  2.354229784065864806e+00  2.354229741087806360e+00  2.354229698123731396e+00  2.354229655135668509e+00  2.354229655134872701e+00 
        68  0.000000000000000000e+00  2.771633363923228899e+00  3.088933848902570389e+00  3.088933838783077590e+00  3.088933828667109083e+00  3.088933818546138355e+00  3.088933818545910981e+00 
        69  0.000000000000000000e+00  2.232682577617197239e+00  3.376844867165686992e+00  3.376844892965664258e+00  3.376844918756546576e+00  3.376844944562321871e+00  3.376844944562662931e+00 
        70  0.000000000000000000e+00  1.301242697665543346e+00  3.123081799219335153e+00  3.123081858625823770e+00  3.123081918012871938e+00  3.123081977432889289e+00  3.123081977433344036e+00 
        71  0.000000000000000000e+00  6.342849329132604907e-02  2.309424736005894374e+00  2.309424821827292362e+00  2.309424907620609702e+00  2.309424993461902886e+00  2.309424993463721876e+00 
        72  0.000000000000000000e+00 -1.342823204696401262e+00  1.012702603277716662e+00  1.012702704796311082e+00  1.012702806280458390e+00  1.012702907822017551e+00  1.012702907823836540e+00 
        73  0.000000000000000000e+00 -2.729746905391380096e+00 -5.869133095267216049e-01 -5.869132046241247735e-01 -5.869130997558613672e-01 -5.869129948289355525e-01 -5.869129948274576236e-01 
        74  0.000000000000000000e+00 -3.875684240272448733e+00 -2.222116423365719129e+00 -2.222116326878563086e+00 -2.222116230423466732e+00 -2.222116133914710190e+00 -2.222116133913345948e+00 
        75  0.000000000000000000e+00 -4.560093516147276205e+00 -3.584665424881904983e+00 -3.584665346271776798e+00 -3.584665267687796586e+00 -3.584665189060160628e+00 -3.584665189058682699e+00 
        76  0.000000000000000000e+00 -4.608631497383669284e+00 -4.390403961167749003e+00 -4.390403906385358823e+00 -4.390403851621613285e+00 -4.390403796826547023e+00 -4.390403796825523841e+00 
        77  0.000000000000000000e+00 -3.934935947098892939e+00 -4.445179871720824849e+00 -4.445179842911727519e+00 -4.445179814112407257e+00 -4.445179785297057151e+00 -4.445179785296431874e+00 
        78  0.000000000000000000e+00 -2.569716810894249193e+00 -3.696212356246803665e+00 -3.696212352311761151e+00 -3.696212348377571288e+00 -3.696212344441448749e+00 -3.696212344441391906e+00 
        79  0.000000000000000000e+00 -6.696180089348331421e-01 -2.255183027713712818e+00 -2.255183045463525104e+00 -2.255183063207311989e+00 -2.255183080961444375e+00 -2.255183080961728592e+00 
        80  0.000000000000000000e+00  1.500308373157622555e+00 -3.824070737286433541e-01 -3.824071092049052822e-01 -3.824071446691164056e-01 -3.824071801532795689e-01 -3.824071801540185334e-01 
        81  0.000000000000000000e+00  3.610331996481363603e+00  1.568159108239171928e+00  1.568159058750666190e+00  1.568159009278417670e+00  1.568158959778259032e+00  1.568158959777406380e+00 
        82  0.000000000000000000e+00  5.328154102806138326e+00  3.229978836594398217e+00  3.229978776144150743e+00  3.229978715714196369e+00  3.229978655250135944e+00  3.229978655249055919e+00 
        83  0.000000000000000000e+00  6.387519372379301785e+00  4.310181157401871133e+00  4.310181088546016781e+00  4.310181019713070327e+00  4.310180950841470349e+00  4.310180950840333480e+00 
        84  0.000000000000000000e+00  6.648079016216684067e+00  4.658274549708380619e+00  4.658274474989525515e+00  4.658274400295795203e+00  4.658274325559546014e+00  4.658274325558409146e+00 
        85  0.000000000000000000e+00  6.126341388748812733e+00  4.295433759361344528e+00  4.295433681764166067e+00  4.295433604192567145e+00  4.295433526577596695e+00  4.295433526576346139e+00 
        86  0.000000000000000000e+00  4.981050212770696817e+00  3.391188295984818524e+00  3.391188219133425719e+00  3.391188142307555609e+00  3.391188065438541344e+00  3.391188065437233945e+00 
        87  0.000000000000000000e+00  3.457272343840372741e+00  2.197004970598015916e+00  2.197004898639022485e+00  2.197004826704301195e+00  2.197004754729277920e+00  2.197004754727686304e+00 
        88  0.000000000000000000e+00  1.816448346601362118e+00  9.682954920477300220e-01  9.682954293040211269e-01  9.682953665814011401e-01  9.682953038234245469e-01  9.682953038225718956e-01 
        89  0.000000000000000000e+00  2.805987141817354313e-01 -9.467481156224266670e-02 -9.467486100959376927e-02 -9.467491044051712379e-02 -9.467495989952112723e-02 -9.467495990037377851e-02 
        90  0.000000000000000000e+00 -9.979806070464292134e-01 -8.752773701648379756e-01 -8.752774028246790294e-01 -8.752774354736629903e-01 -8.752774681407231583e-01 -8.752774681416894964e-01 
        91  0.000000000000000000e+00 -1.943058352483092222e+00 -1.340950986040354564e+00 -1.340950999214953754e+00 -1.340951012385517060e+00 -1.340951025563526855e+00 -1.340951025563413168e+00 
        92  0.000000000000000000e+00 -2.542387088159102859e+00 -1.523202104721008254e+00 -1.523202096599106881e+00 -1.523202088479706617e+00 -1.523202080355986254e+00 -1.523202080355815724e+00 
        93  0.000000000000000000e+00 -2.825549913828012905e+00 -1.488091156123516612e+00 -1.488091125848484353e+00 -1.488091095583968126e+00 -1.488091065302171501e+00 -1.488091065301659910e+00 
        94  0.000000000000000000e+00 -2.842794718178936364e+00 -1.310438733348860296e+00 -1.310438681159553198e+00 -1.310438628987583343e+00 -1.310438576786111753e+00 -1.310438576785315945e+00 
        95  0.000000000000000000e+00 -2.653235796003173164e+00 -1.060933050615801676e+00 -1.060932978083201306e+00 -1.060932905575214136e+00 -1.060932833026356548e+00 -1.060932833025105992e+00 
        96  0.000000000000000000e+00 -2.321456334955882994e+00 -8.043420628248441062e-01 -8.043419731449148458e-01 -8.043418834948283802e-01 -8.043417937944923324e-01 -8.043417937930712469e-01 
        97  0.000000000000000000e+00 -1.914948128626349444e+00 -5.994881098740165726e-01 -5.994880080925213406e-01 -5.994879063453026902e-01 -5.994878045408995604e-01 -5.994878045393079447e-01 
        98  0.000000000000000000e+00 -1.497679963092082289e+00 -4.947040943711726868e-01 -4.947039874199390397e-01 -4.947038805045167464e-01 -4.947037735288404292e-01 -4.947037735273056569e-01 
        99  0.000000000000000000e+00 -1.120900996675402439e+00 -5.192257555290780147e-01 -5.192256519623583699e-01 -5.192255484302563673e-01 -5.192254448397193300e-01 -5.192254448380708709e-01 
       100  0.000000000000000000e+00 -8.151586467020592863e-01 -6.747906751450614138e-01 -6.747905845390391733e-01 -6.747904939633713184e-01 -6.747904033367717602e-01 -6.747904033352369879e-01 
       101  0.000000000000000000e+00 -5.874032894176366426e-01 -9.322051769113386399e-01 -9.322051089529850287e-01 -9.322050410173687851e-01 -9.322049730436106074e-01 -9.322049730424168956e-01 
       102  0.000000000000000000e+00 -4.239706748672347203e-01 -1.234698893282939025e+00 -1.234698856644058651e+00 -1.234698820017001708e+00 -1.234698783369594821e+00 -1.234698783369196917e+00 
       103  0.000000000000000000e+00 -2.978631910924605108e-01 -1.507236780965570233e+00 -1.507236782114830476e+00 -1.507236783263579127e+00 -1.507236784412896213e+00 -1.507236784413009900e+00 
       104  0.000000000000000000e+00 -1.799041961571106185e-01 -1.671698209312694416e+00 -1.671698251444979633e+00 -1.671698293563224524e+00 -1.671698335704888905e+00 -1.671698335705514182e+00 
       105  0.000000000000000000e+00 -5.243424563434473384e-02 -1.666245930575485090e+00 -1.666246012837348189e+00 -1.666246095071244326e+00 -1.666246177351581537e+00 -1.666246177353002622e+00 
       106  0.000000000000000000e+00  8.028883774323958278e-02 -1.462191359676012326e+00 -1.462191476829218573e+00 -1.462191593943146017e+00 -1.462191711123125515e+00 -1.462191711124944504e+00 
       107  0.000000000000000000e+00  1.913234784625501561e-01 -1.070840691786429488e+00 -1.070840834401337816e+00 -1.070840976968554514e+00 -1.070841119616147807e+00 -1.070841119618194170e+00 
       108  0.000000000000000000e+00  2.418802851022405775e-01 -5.372629158036943409e-01 -5.372630709963459594e-01 -5.372632261366447892e-01 -5.372633813642551104e-01 -5.372633813667562208e-01 
       109  0.000000000000000000e+00  2.006966549513435893e-01  7.682441061143663319e-02  7.682425795275094060e-02  7.682410534516748157e-02  7.682395265175046006e-02  7.682395264959041015e-02 
       110  0.000000000000000000e+00  6.190383353242623343e-02  7.116113462717521543e-01  7.116112118905562056e-01  7.116110775541528710e-01  7.116109431423183196e-01  7.116109431402719565e-01 
       111  0.000000000000000000e+00 -1.522705226558969116e-01  1.315841290717571610e+00  1.315841189214836504e+00  1.315841087746036919e+00  1.315840986220166542e+00  1.315840986218461239e+00 
       112  0.000000000000000000e+00 -4.060558048255984431e-01  1.839338099570682061e+00  1.839338042669794504e+00  1.839337985788120022e+00  1.839337928874385852e+00  1.839337928873533201e+00 
       113  0.000000000000000000e+00 -6.671055473922251622e-01  2.225593289201810876e+00  2.225593284279227646e+00  2.225593279358122345e+00  2.225593274434402247e+00  2.225593274434231716e+00 
       114  0.000000000000000000e+00 -9.121569958899158337e-01  2.416882157186989843e+00  2.416882206264688193e+00  2.416882255325958795e+00  2.416882304414855298e+00  2.416882304415707949e+00 
       115  0.000000000000000000e+00 -1.122631693206756154e+00  2.369104892781649596e+00  2.369104992123652664e+00  2.369105091432231802e+00  2.369105190797029081e+00  2.369105190798563854e+00 
       116  0.000000000000000000e+00 -1.278052111452211648e+00  2.067038301512297949e+00  2.067038441887916633e+00  2.067038582216525811e+00  2.067038722624261027e+00  2.067038722626421077e+00 
       117  0.000000000000000000e+00 -1.352886029521016553e+00  1.533249091295488142e+00  1.533249258898024436e+00  1.533249426444513119e+00  1.533249594085475564e+00  1.533249594087862988e+00 
       118  0.000000000000000000e+00 -1.320929991740911191e+00  8.258199021166774401e-01  8.258200800434565281e-01  8.258202579106637131e-01  8.258204358780858456e-01  8.258204358807574863e-01 
       119  0.000000000000000000e+00 -1.166550332671931756e+00  2.517909943537688378e-02  2.517926956653582238e-02  2.517943964073765528e-02  2.517960981072064897e-02  2.517960981339228965e-02 
       120  0.000000000000000000e+00 -8.939318106779410300e-01 -7.811752473711521816e-01 -7.811751023166948471e-01 -7.811749573106112621e-01 -7.811748122230142144e-01 -7.811748122206836342e-01 
       121  0.000000000000000000e+00 -5.267839304892163454e-01 -1.508054529602247840e+00 -1.508054424083013600e+00 -1.508054318599022281e+00 -1.508054213055686432e+00 -1.508054213054094816e+00 
       122  0.000000000000000000e+00 -1.017184628523182255e-01 -2.078152616989768831e+00 -2.078152560973762775e+00 -2.078152504976628734e+00 -2.078152448947776065e+00 -2.078152448946980257e+00 
       123  0.000000000000000000e+00  3.377518849491707442e-01 -2.429200036376641947e+00 -2.429200034193513602e+00 -2.429200032011067378e+00 -2.429200029827313756e+00 -2.429200029827256913e+00 
       124  0.000000000000000000e+00  7.457756024198829437e-01 -2.521710479805676641e+00 -2.521710529656331801e+00 -2.521710579490161308e+00 -2.521710629352241995e+00 -2.521710629353037803e+00 
       125  0.000000000000000000e+00  1.079658985369690072e+00 -2.343509072054303033e+00 -2.343509166238220587e+00 -2.343509260390703730e+00 -2.343509354596221783e+00 -2.343509354597586025e+00 
       126  0.000000000000000000e+00  1.305521840881738171e+00 -1.910828057577987238e+00 -1.910828183416924730e+00 -1.910828309213798093e+00 -1.910828435081441512e+00 -1.910828435083317345e+00 
