     Count               Iteration-1          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  3.234674999999999790e-03  3.234674999999999790e-03  3.234674999999999790e-03  3.234674999999999790e-03  3.234674999999999790e-03  3.234674999999999790e-03 
         1  0.000000000000000000e+00  7.694197568779760979e-03  7.747399790478169332e-03  7.747399792347293111e-03  7.747399794215792390e-03  7.747399796085342044e-03  7.747399796085371534e-03 
         2  0.000000000000000000e+00  1.301188406757772947e-02  1.317611306007395941e-02  1.317611306579647042e-02  1.317611307151706629e-02  1.317611307724088181e-02  1.317611307724097028e-02 
         3  0.000000000000000000e+00  1.850666785498277997e-02  1.882689272580735651e-02  1.882689273689250667e-02  1.882689274797394452e-02  1.882689275906162391e-02  1.882689275906179044e-02 
         4  0.000000000000000000e+00  2.344018369899923682e-02  2.392749181095130823e-02  2.392749182773926467e-02  2.392749184452160061e-02  2.392749186131339079e-02  2.392749186131364059e-02 
         5  0.000000000000000000e+00  2.727687621960103379e-02  2.789576042762549959e-02  2.789576044882743217e-02  2.789576047002226972e-02  2.789576049122903870e-02  2.789576049122936482e-02 
         6  0.000000000000000000e+00  2.986311725302522035e-02  3.053545465797168762e-02  3.053545468084987308e-02  3.053545470372040840e-02  3.053545472660381538e-02  3.053545472660416579e-02 
         7  0.000000000000000000e+00  3.147856390555439643e-02  3.210566564543450296e-02  3.210566566659953797e-02  3.210566568775746754e-02  3.210566570892733201e-02  3.210566570892765120e-02 
         8  0.000000000000000000e+00  3.274674931787435045e-02  3.324313943776855546e-02  3.324313945431145445e-02  3.324313947084882315e-02  3.324313948739548996e-02  3.324313948739575364e-02 
         9  0.000000000000000000e+00  3.443680145596784287e-02  3.476367100706521246e-02  3.476367101773755741e-02  3.476367102840632883e-02  3.476367103908111628e-02  3.476367103908127587e-02 
        10  0.000000000000000000e+00  3.722960958971672368e-02  3.741467781966054118e-02  3.741467782549981469e-02  3.741467783133712449e-02  3.741467783717773027e-02  3.741467783717781354e-02 
        11  0.000000000000000000e+00  4.153063285900563534e-02  4.166549573489981145e-02  4.166549573909108378e-02  4.166549574328094752e-02  4.166549574747317047e-02  4.166549574747322598e-02 
        12  0.000000000000000000e+00  4.738418130450441912e-02  4.759864579708976418e-02  4.759864580403200957e-02  4.759864581097191655e-02  4.759864581791574401e-02  4.759864581791584809e-02 
        13  0.000000000000000000e+00  5.450003075960550142e-02  5.492188272233403112e-02  5.492188273627597594e-02  5.492188275021324395e-02  5.492188276415836679e-02  5.492188276415857495e-02 
