     Count               Iteration-1          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  4.053122604972827503e-01  2.494476304767374586e-01  2.374164857493781255e-01  2.374164838321632942e-01  2.374164819161421747e-01  2.374164819161421747e-01 
         1  0.000000000000000000e+00  2.160411161535193969e-01  1.076392869664175578e-01  1.004574594692542178e-01  1.004574583628823348e-01  1.004574572571641511e-01  1.004574572571357294e-01 
         2  0.000000000000000000e+00  8.106303618143329004e-02  1.413503042525121600e-02  1.081173922014500022e-02  1.081173875539320761e-02  1.081173829052772817e-02  1.081173829055614988e-02 
         3  0.000000000000000000e+00 -8.741988063377448270e-03 -4.093056579600329314e-02 -4.141656014238037642e-02 -4.141656014053296531e-02 -4.141656013874239761e-02 -4.141656013877081932e-02 
         4  0.000000000000000000e+00 -6.275807309668834932e-02 -6.722976920499945663e-02 -6.585145185010787827e-02 -6.585145154826932412e-02 -6.585145124654445681e-02 -6.585145124657287852e-02 
         5  0.000000000000000000e+00 -8.993505284271918754e-02 -7.355362911258112035e-02 -7.116572521982789112e-02 -7.116572476363103306e-02 -7.116572430771839208e-02 -7.116572430760470525e-02 
         6  0.000000000000000000e+00 -9.825891770884709331e-02 -6.734719818547318937e-02 -6.463350313555338289e-02 -6.463350264129985590e-02 -6.463350214718843745e-02 -6.463350214707475061e-02 
         7  0.000000000000000000e+00 -9.442026636799027983e-02 -5.448185234868674343e-02 -5.192551827610714099e-02 -5.192551782485566036e-02 -5.192551737374628829e-02 -5.192551737383155341e-02 
         8  0.000000000000000000e+00 -8.367660981426183753e-02 -3.924023196069015285e-02 -3.711895522155828075e-02 -3.711895485835725594e-02 -3.711895449518465284e-02 -3.711895449512780942e-02 
         9  0.000000000000000000e+00 -6.988033136499893772e-02 -2.446499974769267283e-02 -2.286945044582466835e-02 -2.286945018261121731e-02 -2.286944991951145312e-02 -2.286944991951145312e-02 
        10  0.000000000000000000e+00 -5.562629104170468963e-02 -1.180828509660614145e-02 -1.067917033151388750e-02 -1.067917015362240818e-02 -1.067916997587303740e-02 -1.067916997587303740e-02 
        11  0.000000000000000000e+00 -4.247207135406938505e-02 -2.023516835834016092e-03 -1.200723530246250448e-03 -1.200723404991776988e-03 -1.200723279737303528e-03 -1.200723279765725238e-03 
        12  0.000000000000000000e+00 -3.118725651174258928e-02  4.748638944079175417e-03  5.472202681318094619e-03  5.472202795203884307e-03  5.472202908890722028e-03  5.472202908777035191e-03 
        13  0.000000000000000000e+00 -2.199374474233195542e-02  8.736792679769678216e-03  9.563821359677149303e-03  9.563821502155178678e-03  9.563821644519521215e-03  9.563821644491099505e-03 
        14  0.000000000000000000e+00 -1.477658507704404656e-02  1.035211475286246241e-02  1.143809525009942263e-02  1.143809545251883719e-02  1.143809565496667346e-02  1.143809565496667346e-02 
