     Count               Iteration-1          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  4.262317581608999519e-03  4.262317581608999519e-03  4.262317581608999519e-03  4.262317581608999519e-03  4.262317581608999519e-03  4.262317581608999519e-03 
         1  0.000000000000000000e+00  8.738668495047556550e-03  8.741280140224905182e-03  8.741667568525925830e-03  8.741667568611492800e-03  8.741667568697004259e-03  8.741667568697004259e-03 
         2  0.000000000000000000e+00  1.329554072708103406e-02  1.330226440989039707e-02  1.330324185402229249e-02  1.330324185419751865e-02  1.330324185437263204e-02  1.330324185437263204e-02 
         3  0.000000000000000000e+00  1.773784955403234775e-02  1.774922157112782464e-02  1.775083856297930002e-02  1.775083856324562864e-02  1.775083856351178727e-02  1.775083856351179074e-02 
         4  0.000000000000000000e+00  2.189645019079650493e-02  2.191214793332582622e-02  2.191432524106772667e-02  2.191432524142272742e-02  2.191432524177749572e-02  2.191432524177749919e-02 
         5  0.000000000000000000e+00  2.569547315993678943e-02  2.571449402626134473e-02  2.571705759223380863e-02  2.571705759267169100e-02  2.571705759310929235e-02  2.571705759310929928e-02 
         6  0.000000000000000000e+00  2.918736880270841536e-02  2.920832236807115873e-02  2.921105199988692502e-02  2.921105200035765265e-02  2.921105200082807496e-02  2.921105200082808884e-02 
         7  0.000000000000000000e+00  3.254863468625267264e-02  3.257012130169514852e-02  3.257280926187439141e-02  3.257280926232698770e-02  3.257280926277927868e-02  3.257280926277929256e-02 
         8  0.000000000000000000e+00  3.603265322162777645e-02  3.605365318031288069e-02  3.605616093290352209e-02  3.605616093333262329e-02  3.605616093376144693e-02  3.605616093376146081e-02 
         9  0.000000000000000000e+00  3.989462469327312300e-02  3.991479326894853408e-02  3.991709108025759400e-02  3.991709108066622547e-02  3.991709108107457937e-02  3.991709108107457937e-02 
        10  0.000000000000000000e+00  4.431806146164751076e-02  4.433783614474062079e-02  4.434001272327453558e-02  4.434001272367438934e-02  4.434001272407398636e-02  4.434001272407399330e-02 
        11  0.000000000000000000e+00  4.937020274701594408e-02  4.939068375542868955e-02  4.939292190191048315e-02  4.939292190231932972e-02  4.939292190272791261e-02  4.939292190272791955e-02 
        12  0.000000000000000000e+00  5.499683845462165904e-02  5.501947928983576958e-02  5.502200490432901381e-02  5.502200490476609474e-02  5.502200490520288423e-02  5.502200490520289811e-02 
        13  0.000000000000000000e+00  6.105319755128531256e-02  6.107940293434488410e-02  6.108242322538474933e-02  6.108242322590860807e-02  6.108242322643213373e-02  6.108242322643214761e-02 
        14  0.000000000000000000e+00  6.735583741148845616e-02  6.738659195681449832e-02  6.739024162036484633e-02  6.739024162098605775e-02  6.739024162160683895e-02  6.739024162160686671e-02 
        15  0.000000000000000000e+00  7.373285989548920838e-02  7.376849477949444511e-02  7.377280546650952231e-02  7.377280546722850274e-02  7.377280546794703908e-02  7.377280546794703908e-02 
        16  0.000000000000000000e+00  8.006000753508708823e-02  8.010015883614088339e-02  8.010505845740217845e-02  8.010505845820967141e-02  8.010505845901663702e-02  8.010505845901665090e-02 
        17  0.000000000000000000e+00  8.627807225714617667e-02  8.632182371198476867e-02  8.632716279507458845e-02  8.632716279595467612e-02  8.632716279683420868e-02  8.632716279683420868e-02 
        18  0.000000000000000000e+00  9.238954945679908604e-02  9.243570343256796162e-02  9.244129873378971463e-02  9.244129873472457792e-02  9.244129873565885835e-02  9.244129873565887223e-02 
        19  0.000000000000000000e+00  9.844405294757448133e-02  9.849144316372744623e-02  9.849712488764617024e-02  9.849712488862064075e-02  9.849712488959450063e-02  9.849712488959452839e-02 
        20  0.000000000000000000e+00  1.045179403557471576e-01  1.045657028802711996e-01  1.045713531291855986e-01  1.045713531301478288e-01  1.045713531311095040e-01  1.045713531311095040e-01 
        21  0.000000000000000000e+00  1.106758771851836243e-01  1.107236184938294454e-01  1.107291925831610513e-01  1.107291925841075997e-01  1.107291925850535513e-01  1.107291925850535513e-01 
        22  0.000000000000000000e+00  1.169157711705842012e-01  1.169635843242985418e-01  1.169691088520612016e-01  1.169691088529966200e-01  1.169691088539315388e-01  1.169691088539315388e-01 
        23  0.000000000000000000e+00  1.231254601220184985e-01  1.231737611350203904e-01  1.231793060568685538e-01  1.231793060578031118e-01  1.231793060587370314e-01  1.231793060587370314e-01 
        24  0.000000000000000000e+00  1.290743099177162345e-01  1.291235214365150930e-01  1.291291515793220324e-01  1.291291515802662770e-01  1.291291515812099944e-01  1.291291515812099944e-01 
        25  0.000000000000000000e+00  1.344469490421109081e-01  1.344971198228800680e-01  1.345028399346418213e-01  1.345028399356015258e-01  1.345028399365606475e-01  1.345028399365606753e-01 
        26  0.000000000000000000e+00  1.389187484430491615e-01  1.389692335255282851e-01  1.389749454762178316e-01  1.389749454771890824e-01  1.389749454781596671e-01  1.389749454781596949e-01 
        27  0.000000000000000000e+00  1.422632364838241348e-01  1.423125674594075130e-01  1.423180577972448235e-01  1.423180577981693617e-01  1.423180577990932894e-01  1.423180577990932894e-01 
        28  0.000000000000000000e+00  1.444846435838698651e-01  1.445306882408736449e-01  1.445356588609343074e-01  1.445356588617853211e-01  1.445356588626358074e-01  1.445356588626358074e-01 
        29  0.000000000000000000e+00  1.459881276172609321e-01  1.460285920855096120e-01  1.460327393173640187e-01  1.460327393180708422e-01  1.460327393187771661e-01  1.460327393187772216e-01 
        30  0.000000000000000000e+00  1.478212752939616625e-01  1.478545750827783278e-01  1.478577184190021099e-01  1.478577184195459804e-01  1.478577184200894346e-01  1.478577184200894623e-01 
        31  0.000000000000000000e+00  1.520119620762893087e-01  1.520385056795238998e-01  1.520407700980602739e-01  1.520407700984512112e-01  1.520407700988419819e-01  1.520407700988419819e-01 
        32  0.000000000000000000e+00  1.619609473710477143e-01  1.619849133132971186e-01  1.619869747401759263e-01  1.619869747405605354e-01  1.619869747409448391e-01  1.619869747409448391e-01 
        33  0.000000000000000000e+00  1.827956478440989629e-01  1.828273040866498222e-01  1.828307026125961243e-01  1.828307026132016400e-01  1.828307026138067948e-01  1.828307026138067948e-01 
        34  0.000000000000000000e+00  2.215984224781579193e-01  2.216569033009128109e-01  2.216644089926143035e-01  2.216644089939466267e-01  2.216644089952780616e-01  2.216644089952780894e-01 
        35  0.000000000000000000e+00  2.874017668274009840e-01  2.875180471883564959e-01  2.875340384601301480e-01  2.875340384629221369e-01  2.875340384657122939e-01  2.875340384657124049e-01 
        36  0.000000000000000000e+00  3.908157958459023140e-01  3.910353961227019948e-01  3.910661822830011070e-01  3.910661822883189642e-01  3.910661822936335463e-01  3.910661822936336574e-01 
        37  0.000000000000000000e+00  5.432319093789975684e-01  5.436166293556069506e-01  5.436706179860949506e-01  5.436706179953910700e-01  5.436706180046809722e-01  5.436706180046810832e-01 
        38  0.000000000000000000e+00  7.556568873511959605e-01  7.562847456926222733e-01  7.563723425353741092e-01  7.563723425504295106e-01  7.563723425654750310e-01  7.563723425654750310e-01 
        39  0.000000000000000000e+00  1.037208415642182135e+00  1.038171075548410149e+00  1.038304225690834137e+00  1.038304225713671425e+00  1.038304225736493391e+00  1.038304225736493835e+00 
        40  0.000000000000000000e+00  1.393333994953229293e+00  1.394731170900753270e+00  1.394922485990435668e+00  1.394922486023192798e+00  1.394922486055928612e+00  1.394922486055929278e+00 
        41  0.000000000000000000e+00  1.824296760847415433e+00  1.826227397652730344e+00  1.826488859717231072e+00  1.826488859761876471e+00  1.826488859806492560e+00  1.826488859806493226e+00 
        42  0.000000000000000000e+00  2.324900654086969443e+00  2.327451560708852174e+00  2.327792924462391166e+00  2.327792924520588169e+00  2.327792924578748757e+00  2.327792924578748757e+00 
        43  0.000000000000000000e+00  2.885801815834301287e+00  2.889036105331068693e+00  2.889463360425823524e+00  2.889463360498560451e+00  2.889463360571249417e+00  2.889463360571250750e+00 
        44  0.000000000000000000e+00  3.495640627651634080e+00  3.499589490824433824e+00  3.500103899471060931e+00  3.500103899558595355e+00  3.500103899646073824e+00  3.500103899646075156e+00 
        45  0.000000000000000000e+00  4.142989805529862402e+00  4.147650468180448691e+00  4.148248564937633276e+00  4.148248565039353686e+00  4.148248565141005706e+00  4.148248565141007482e+00 
        46  0.000000000000000000e+00  4.817636463182374484e+00  4.822977046657500821e+00  4.823651650703387972e+00  4.823651650818087333e+00  4.823651650932708534e+00  4.823651650932712975e+00 
        47  0.000000000000000000e+00  5.511184692188208167e+00  5.517154487061005419e+00  5.517896447737451027e+00  5.517896447863603449e+00  5.517896447989672382e+00  5.517896447989675046e+00 
        48  0.000000000000000000e+00  6.217167751028799039e+00  6.223710014747096508e+00  6.224510220164313878e+00  6.224510220300358831e+00  6.224510220436314967e+00  6.224510220436318519e+00 
        49  0.000000000000000000e+00  6.930884579930975953e+00  6.937948617724472022e+00  6.938799770994323879e+00  6.938799771138925543e+00  6.938799771283434836e+00  6.938799771283437501e+00 
        50  0.000000000000000000e+00  7.649119483560712141e+00  7.656669326480779247e+00  7.657567104328973251e+00  7.657567104481351805e+00  7.657567104633633548e+00  7.657567104633635324e+00 
        51  0.000000000000000000e+00  8.369828372322880128e+00  8.377846506203226795e+00  8.378789905086939882e+00  8.378789905246788905e+00  8.378789905406536676e+00  8.378789905406536676e+00 
        52  0.000000000000000000e+00  9.091823567472570033e+00  9.100309507810401044e+00  9.101300391954040947e+00  9.101300392121592253e+00  9.101300392289042307e+00  9.101300392289045860e+00 
        53  0.000000000000000000e+00  9.814493500126188152e+00  9.823458198970358879e+00  9.824500240115229488e+00  9.824500240291007103e+00  9.824500240466674583e+00  9.824500240466676360e+00 
        54  0.000000000000000000e+00  1.053758922320126956e+01  1.054704710479704133e+01  1.054814441315013696e+01  1.054814441333475195e+01  1.054814441351924614e+01  1.054814441351924970e+01 
        55  0.000000000000000000e+00  1.126106732022526735e+01  1.127102802301529927e+01  1.127218379479553967e+01  1.127218379498951961e+01  1.127218379518336988e+01  1.127218379518337343e+01 
        56  0.000000000000000000e+00  1.198497074907497506e+01  1.199543235265915797e+01  1.199664779918605007e+01  1.199664779938960280e+01  1.199664779959303473e+01  1.199664779959303651e+01 
        57  0.000000000000000000e+00  1.270935133067638034e+01  1.272029612485214578e+01  1.272156982924313695e+01  1.272156982945610260e+01  1.272156982966893501e+01  1.272156982966893857e+01 
        58  0.000000000000000000e+00  1.343423677814111983e+01  1.344562977321346509e+01  1.344695748858761064e+01  1.344695748880936037e+01  1.344695748903096089e+01  1.344695748903096266e+01 
        59  0.000000000000000000e+00  1.415962923100705950e+01  1.417141887396454436e+01  1.417279367011057190e+01  1.417279367034005055e+01  1.417279367056937645e+01  1.417279367056938177e+01 
        60  0.000000000000000000e+00  1.488551239834438000e+01  1.489763253926054709e+01  1.489904514912802114e+01  1.489904514936374724e+01  1.489904514959932591e+01  1.489904514959932769e+01 
        61  0.000000000000000000e+00  1.561184967847833960e+01  1.562422183702771861e+01  1.562566106313919789e+01  1.562566106337933469e+01  1.562566106361931162e+01  1.562566106361931340e+01 
        62  0.000000000000000000e+00  1.633857596153305636e+01  1.635111139985224682e+01  1.635256451362142727e+01  1.635256451386394616e+01  1.635256451410629452e+01  1.635256451410629808e+01 
        63  0.000000000000000000e+00  1.706560699119404845e+01  1.707820894900196862e+01  1.707966214104916958e+01  1.707966214129180571e+01  1.707966214153427842e+01  1.707966214153427842e+01 
        64  0.000000000000000000e+00  1.779287950905175819e+01  1.780544705659449889e+01  1.780688614999944974e+01  1.780688615023997556e+01  1.780688615048032375e+01  1.780688615048032730e+01 
        65  0.000000000000000000e+00  1.852039625428012926e+01  1.853283232196284303e+01  1.853424410600289818e+01  1.853424410623900798e+01  1.853424410647497211e+01  1.853424410647497211e+01 
        66  0.000000000000000000e+00  1.924825195508869768e+01  1.926047890698754017e+01  1.926185354386495163e+01  1.926185354409508577e+01  1.926185354432509911e+01  1.926185354432510266e+01 
        67  0.000000000000000000e+00  1.997665767526043012e+01  1.998864409260955810e+01  1.998997906641558231e+01  1.998997906663936774e+01  1.998997906686298975e+01  1.998997906686299331e+01 
        68  0.000000000000000000e+00  2.070599378695402848e+01  2.071779579442604202e+01  2.071910179748971359e+01  2.071910179770904392e+01  2.071910179792822149e+01  2.071910179792822504e+01 
        69  0.000000000000000000e+00  2.143690936311016415e+01  2.144872875810432333e+01  2.145003773484807041e+01  2.145003773506834222e+01  2.145003773528849678e+01  2.145003773528850033e+01 
        70  0.000000000000000000e+00  2.217046174342445752e+01  2.218272132099210481e+01  2.218409661090410268e+01  2.218409661113596343e+01  2.218409661136766786e+01  2.218409661136766786e+01 
        71  0.000000000000000000e+00  2.290826523940196324e+01  2.292169906894404363e+01  2.292324721715976921e+01  2.292324721742119564e+01  2.292324721768247997e+01  2.292324721768247997e+01 
        72  0.000000000000000000e+00  2.365262959636416440e+01  2.366838273283059735e+01  2.367026609236438972e+01  2.367026609268278747e+01  2.367026609300099693e+01  2.367026609300100404e+01 
        73  0.000000000000000000e+00  2.440669254452299342e+01  2.442642106198640306e+01  2.442886984431625663e+01  2.442886984473059186e+01  2.442886984514464999e+01  2.442886984514465709e+01 
        74  0.000000000000000000e+00  2.517454231729169578e+01  2.520050113490163568e+01  2.520382314776522037e+01  2.520382314832739468e+01  2.520382314888919595e+01  2.520382314888919595e+01 
        75  0.000000000000000000e+00  2.596129655030366834e+01  2.599639992511469799e+01  2.600098595798868928e+01  2.600098595876477248e+01  2.600098595954032987e+01  2.600098595954034764e+01 
        76  0.000000000000000000e+00  2.677307594269386826e+01  2.682091449682090101e+01  2.682723727869885977e+01  2.682723727976852857e+01  2.682723728083751880e+01  2.682723728083753656e+01 
        77  0.000000000000000000e+00  2.761682101869513062e+01  2.768162051486477182e+01  2.769022547350088814e+01  2.769022547495592335e+01  2.769022547641003129e+01  2.769022547641003840e+01 
        78  0.000000000000000000e+00  2.849996362396612781e+01  2.858647497936272330e+01  2.859796174151412629e+01  2.859796174345529352e+01  2.859796174539521019e+01  2.859796174539523861e+01 
