     Count               Iteration-1          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  3.142233150741822101e+01  2.920202808428894059e+01  2.920202773454593626e+01  2.920202738421630784e+01  2.920202703393897536e+01  2.920202703393442789e+01 
         1  0.000000000000000000e+00  9.665600003494546399e+00  7.660081810607152875e+00  7.660081476396044309e+00  7.660081141624232259e+00  7.660080806904716155e+00  7.660080806899259187e+00 
         2  0.000000000000000000e+00 -6.197368253165222995e-01 -2.385633255184075097e+00 -2.385633570532263548e+00 -2.385633886411142157e+00 -2.385634202243181790e+00 -2.385634202245910274e+00 
         3  0.000000000000000000e+00 -6.497745287959332927e+00 -8.000830261584724212e+00 -8.000830553819014312e+00 -8.000830846545795794e+00 -8.000831139225283550e+00 -8.000831139227557287e+00 
         4  0.000000000000000000e+00 -1.000068996679055999e+01 -1.121583074679119818e+01 -1.121583101000851457e+01 -1.121583127367011912e+01 -1.121583153729125115e+01 -1.121583153729352489e+01 
         5  0.000000000000000000e+00 -1.015086825396019776e+01 -1.104756624667697906e+01 -1.104756647272097325e+01 -1.104756669914831946e+01 -1.104756692553883113e+01 -1.104756692554110487e+01 
         6  0.000000000000000000e+00 -9.376544360415664414e+00 -9.917414167383867607e+00 -9.917414345656652586e+00 -9.917414524228661321e+00 -9.917414702774749458e+00 -9.917414702778387436e+00 
         7  0.000000000000000000e+00 -7.164743784899656021e+00 -7.306875028238209779e+00 -7.306875146098718687e+00 -7.306875264155223704e+00 -7.306875382195812563e+00 -7.306875382197176805e+00 
         8  0.000000000000000000e+00 -3.898269970994078903e+00 -3.597694474359741434e+00 -3.597694518143271125e+00 -3.597694562000924634e+00 -3.597694605851302185e+00 -3.597694605852211680e+00 
         9  0.000000000000000000e+00 -9.654572737003945804e-01 -1.842958451229605998e-01 -1.842958017041382845e-01 -1.842957582121016458e-01 -1.842957147277957120e-01 -1.842957147264314699e-01 
        10  0.000000000000000000e+00  1.895037752548887511e+00  3.179698852710771462e+00  3.179698994011232571e+00  3.179699135549981293e+00  3.179699277066902141e+00  3.179699277069175878e+00 
        11  0.000000000000000000e+00  4.110699394454513822e+00  5.897533088068030338e+00  5.897533333469709760e+00  5.897533579284754524e+00  5.897533825062055257e+00  5.897533825064783741e+00 
        12  0.000000000000000000e+00  5.873659475364092941e+00  8.128923844014252609e+00  8.128924193442117030e+00  8.128924543459334018e+00  8.128924893422208697e+00  8.128924893425164555e+00 
        13  0.000000000000000000e+00  6.741728765053494499e+00  9.393619573601426964e+00  9.393620019312493241e+00  9.393620465773210526e+00  9.393620912165260961e+00  9.393620912170490556e+00 
        14  0.000000000000000000e+00  6.851110895050396721e+00  9.787795370759113212e+00  9.787795896647821792e+00  9.787796423422605585e+00  9.787796950116216976e+00  9.787796950122356066e+00 
        15  0.000000000000000000e+00  6.129892955717423320e+00  9.201973306243644402e+00  9.201973887999201906e+00  9.201974470735649447e+00  9.201975053381147518e+00  9.201975053388650849e+00 
        16  0.000000000000000000e+00  4.024282612074784993e+00  7.051914651270408285e+00  7.051915257425662276e+00  7.051915864602960937e+00  7.051916471686809018e+00  7.051916471694312349e+00 
        17  0.000000000000000000e+00  1.231651330467229855e+00  4.015957743438548277e+00  4.015958337279471380e+00  4.015958932120611280e+00  4.015959526868755347e+00  4.015959526876713426e+00 
        18  0.000000000000000000e+00 -2.014791940687473470e+00  3.230619953790210275e-01  3.230625375554154743e-01  3.230630806469889649e-01  3.230636236528425798e-01  3.230636236594364163e-01 
        19  0.000000000000000000e+00 -5.222769960537789302e+00 -3.521971222414549629e+00 -3.521970770801544859e+00 -3.521970318427975144e+00 -3.521969866125573390e+00 -3.521969866119434300e+00 
        20  0.000000000000000000e+00 -8.584768968454454807e+00 -7.682000366717602446e+00 -7.682000040870207158e+00 -7.681999714473704444e+00 -7.681999388128360806e+00 -7.681999388124495454e+00 
        21  0.000000000000000000e+00 -1.160498627537367611e+01 -1.161591000184853328e+01 -1.161590983016344580e+01 -1.161590965818982113e+01 -1.161590948624143493e+01 -1.161590948623961594e+01 
        22  0.000000000000000000e+00 -1.382661830148254012e+01 -1.480898206815436424e+01 -1.480898206958227092e+01 -1.480898207101176922e+01 -1.480898207244104015e+01 -1.480898207244194964e+01 
        23  0.000000000000000000e+00 -1.464863043301738799e+01 -1.659416614404358370e+01 -1.659416632617603682e+01 -1.659416650861680864e+01 -1.659416669102756714e+01 -1.659416669103006825e+01 
