     Count               Iteration-1          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  4.262317581608999519e-03  4.262317581608999519e-03  4.262317581608999519e-03  4.262317581608999519e-03  4.262317581608999519e-03  4.262317581608999519e-03 
         1  0.000000000000000000e+00  9.343740330790491905e-03  9.398698960730388074e-03  9.398698970155196231e-03  9.398698979595880576e-03  9.398698989035099080e-03  9.398698989035222245e-03 
         2  0.000000000000000000e+00  1.495162659977889580e-02  1.508250695387590781e-02  1.508250697611859988e-02  1.508250699839875676e-02  1.508250702067545634e-02  1.508250702067574431e-02 
         3  0.000000000000000000e+00  2.076888359233965489e-02  2.097646108103132234e-02  2.097646111589304696e-02  2.097646115081349197e-02  2.097646118572851770e-02  2.097646118572896873e-02 
         4  0.000000000000000000e+00  2.648553346007168074e-02  2.675397403430359450e-02  2.675397407864962135e-02  2.675397412307034192e-02  2.675397416748416524e-02  2.675397416748474116e-02 
         5  0.000000000000000000e+00  3.187301549158987751e-02  3.217337178906267553e-02  3.217337183763713943e-02  3.217337188629341982e-02  3.217337193494215070e-02  3.217337193494278214e-02 
         6  0.000000000000000000e+00  3.686352733152302441e-02  3.716263568271472445e-02  3.716263572948794863e-02  3.716263577633995702e-02  3.716263582318469344e-02  3.716263582318529712e-02 
         7  0.000000000000000000e+00  4.156326066650400247e-02  4.183111635240632092e-02  4.183111639207511001e-02  4.183111643181070677e-02  4.183111647154014179e-02  4.183111647154064833e-02 
         8  0.000000000000000000e+00  4.623449331051297795e-02  4.645305587928701130e-02  4.645305590874402452e-02  4.645305593825065082e-02  4.645305596775269052e-02  4.645305596775307216e-02 
         9  0.000000000000000000e+00  5.122168463172127595e-02  5.139127170632518810e-02  5.139127172577363095e-02  5.139127174525481151e-02  5.139127176473297365e-02  5.139127176473322345e-02 
