Count	Target	Error	Dwell Time	Expected Figure	Sputter Yield              Error in RMS           Target Elements             Unit Elements            Total Elements
0	0.00E+00	0.00E+00	0.00E+00	4.26E-03	2.841545054405999815e-06  2.383177916335025159e+01  4.120000000000000000e+02  1.710000000000000000e+02  7.540000000000000000e+02
1	0.00E+00	0.00E+00	0.00E+00	9.78E-03	2.98E-06
2	0.00E+00	0.00E+00	0.00E+00	1.61E-02	3.03E-06
3	0.00E+00	0.00E+00	0.00E+00	2.27E-02	2.94E-06
4	0.00E+00	0.00E+00	0.00E+00	2.91E-02	2.75E-06
5	0.00E+00	0.00E+00	0.00E+00	3.51E-02	2.51E-06
6	0.00E+00	0.00E+00	0.00E+00	4.05E-02	2.31E-06
7	0.00E+00	0.00E+00	0.00E+00	4.54E-02	2.22E-06
8	0.00E+00	0.00E+00	0.00E+00	5.01E-02	2.30E-06
9	0.00E+00	0.00E+00	0.00E+00	5.50E-02	2.56E-06
10	0.00E+00	0.00E+00	0.00E+00	6.06E-02	2.93E-06
11	0.00E+00	0.00E+00	0.00E+00	6.72E-02	3.35E-06
12	0.00E+00	0.00E+00	0.00E+00	7.51E-02	3.73E-06
13	0.00E+00	0.00E+00	0.00E+00	8.40E-02	4.01E-06
14	0.00E+00	0.00E+00	0.00E+00	9.39E-02	4.17E-06
15	0.00E+00	0.00E+00	0.00E+00	1.04E-01	4.21E-06
16	0.00E+00	0.00E+00	0.00E+00	1.15E-01	4.17E-06
17	0.00E+00	0.00E+00	0.00E+00	1.26E-01	4.10E-06
18	0.00E+00	0.00E+00	0.00E+00	1.36E-01	4.03E-06
19	0.00E+00	0.00E+00	0.00E+00	1.46E-01	3.99E-06
20	0.00E+00	0.00E+00	0.00E+00	1.56E-01	4.00E-06
21	0.00E+00	0.00E+00	0.00E+00	1.66E-01	4.06E-06
22	0.00E+00	0.00E+00	0.00E+00	1.76E-01	4.11E-06
23	0.00E+00	0.00E+00	0.00E+00	1.85E-01	4.09E-06
24	0.00E+00	0.00E+00	0.00E+00	1.95E-01	3.91E-06
25	0.00E+00	0.00E+00	0.00E+00	2.04E-01	3.53E-06
26	0.00E+00	0.00E+00	0.00E+00	2.11E-01	2.93E-06
27	0.00E+00	0.00E+00	0.00E+00	2.17E-01	2.18E-06
28	0.00E+00	0.00E+00	0.00E+00	2.20E-01	1.44E-06
29	0.00E+00	0.00E+00	0.00E+00	2.23E-01	9.67E-07
30	0.00E+00	0.00E+00	0.00E+00	2.25E-01	1.19E-06
31	0.00E+00	0.00E+00	0.00E+00	2.29E-01	2.77E-06
32	0.00E+00	0.00E+00	0.00E+00	2.40E-01	6.60E-06
33	0.00E+00	0.00E+00	0.00E+00	2.66E-01	1.38E-05
34	0.00E+00	0.00E+00	0.00E+00	3.17E-01	2.58E-05
35	0.00E+00	0.00E+00	0.00E+00	4.09E-01	4.37E-05
36	0.00E+00	0.00E+00	0.00E+00	5.58E-01	6.86E-05
37	0.00E+00	0.00E+00	0.00E+00	7.86E-01	1.01E-04
38	0.00E+00	0.00E+00	0.00E+00	1.11E+00	1.41E-04
39	0.00E+00	0.00E+00	0.00E+00	1.56E+00	1.86E-04
40	0.00E+00	0.00E+00	0.00E+00	2.14E+00	2.36E-04
41	0.00E+00	0.00E+00	0.00E+00	2.86E+00	2.85E-04
42	0.00E+00	0.00E+00	0.00E+00	3.71E+00	3.31E-04
43	0.00E+00	0.00E+00	0.00E+00	4.69E+00	3.70E-04
44	0.00E+00	0.00E+00	0.00E+00	5.77E+00	4.02E-04
45	0.00E+00	0.00E+00	0.00E+00	6.93E+00	4.26E-04
46	0.00E+00	0.00E+00	0.00E+00	8.16E+00	4.44E-04
47	0.00E+00	0.00E+00	0.00E+00	9.43E+00	4.56E-04
48	0.00E+00	0.00E+00	0.00E+00	1.07E+01	4.64E-04
49	0.00E+00	0.00E+00	0.00E+00	1.21E+01	4.69E-04
50	0.00E+00	0.00E+00	0.00E+00	1.35E+01	4.71E-04
51	0.00E+00	0.00E+00	0.00E+00	1.49E+01	4.72E-04
52	0.00E+00	0.00E+00	0.00E+00	1.63E+01	4.73E-04
53	0.00E+00	0.00E+00	0.00E+00	1.78E+01	4.73E-04
54	0.00E+00	0.00E+00	0.00E+00	1.94E+01	4.72E-04
55	0.00E+00	0.00E+00	0.00E+00	2.10E+01	4.72E-04
56	0.00E+00	0.00E+00	0.00E+00	2.27E+01	4.72E-04
57	0.00E+00	0.00E+00	0.00E+00	2.44E+01	4.72E-04
58	0.00E+00	0.00E+00	0.00E+00	2.61E+01	4.72E-04
59	0.00E+00	0.00E+00	0.00E+00	2.78E+01	4.71E-04
60	0.00E+00	0.00E+00	0.00E+00	2.96E+01	4.72E-04
61	0.00E+00	0.00E+00	0.00E+00	3.13E+01	4.72E-04
62	0.00E+00	0.00E+00	0.00E+00	3.30E+01	4.72E-04
63	0.00E+00	0.00E+00	0.00E+00	3.46E+01	4.72E-04
64	0.00E+00	0.00E+00	0.00E+00	3.62E+01	4.72E-04
65	0.00E+00	0.00E+00	0.00E+00	3.77E+01	4.72E-04
66	0.00E+00	0.00E+00	0.00E+00	3.91E+01	4.73E-04
67	0.00E+00	0.00E+00	0.00E+00	4.05E+01	4.73E-04
68	0.00E+00	0.00E+00	0.00E+00	4.18E+01	4.74E-04
69	0.00E+00	0.00E+00	0.00E+00	4.32E+01	4.74E-04
70	0.00E+00	0.00E+00	0.00E+00	4.48E+01	4.75E-04
71	0.00E+00	0.00E+00	0.00E+00	4.67E+01	4.75E-04
72	0.00E+00	0.00E+00	0.00E+00	4.91E+01	4.76E-04
73	0.00E+00	0.00E+00	0.00E+00	5.22E+01	4.76E-04
74	0.00E+00	0.00E+00	0.00E+00	5.64E+01	4.77E-04
75	0.00E+00	0.00E+00	0.00E+00	6.21E+01	4.77E-04
76	0.00E+00	0.00E+00	0.00E+00	6.98E+01	4.77E-04
77	0.00E+00	0.00E+00	0.00E+00	7.98E+01	4.77E-04
78	0.00E+00	0.00E+00	0.00E+00	9.27E+01	4.76E-04
79	0.00E+00	0.00E+00	0.00E+00	1.09E+02	4.76E-04
80	0.00E+00	0.00E+00	0.00E+00	1.29E+02	4.76E-04
81	0.00E+00	0.00E+00	0.00E+00	1.53E+02	4.76E-04
82	0.00E+00	0.00E+00	0.00E+00	1.81E+02	4.76E-04
83	0.00E+00	0.00E+00	0.00E+00	2.13E+02	4.76E-04
84	0.00E+00	0.00E+00	0.00E+00	2.49E+02	4.76E-04
85	0.00E+00	0.00E+00	1.50E+03	2.89E+02	4.76E-04
86	0.00E+00	0.00E+00	1.87E+03	3.32E+02	4.77E-04
87	0.00E+00	0.00E+00	2.09E+03	3.79E+02	4.78E-04
88	0.00E+00	0.00E+00	2.23E+03	4.28E+02	4.78E-04
89	0.00E+00	0.00E+00	2.29E+03	4.79E+02	4.79E-04
90	0.00E+00	0.00E+00	2.28E+03	5.33E+02	4.80E-04
91	0.00E+00	0.00E+00	2.23E+03	5.88E+02	4.80E-04
92	0.00E+00	0.00E+00	2.15E+03	6.45E+02	4.80E-04
93	0.00E+00	0.00E+00	2.07E+03	7.03E+02	4.79E-04
94	0.00E+00	0.00E+00	2.04E+03	7.62E+02	4.79E-04
95	0.00E+00	0.00E+00	2.05E+03	8.22E+02	4.79E-04
96	0.00E+00	0.00E+00	2.11E+03	8.83E+02	4.79E-04
97	0.00E+00	0.00E+00	2.22E+03	9.44E+02	4.79E-04
98	0.00E+00	0.00E+00	2.34E+03	1.01E+03	4.79E-04
99	0.00E+00	0.00E+00	2.48E+03	1.07E+03	4.79E-04
100	0.00E+00	0.00E+00	2.59E+03	1.13E+03	4.79E-04
101	0.00E+00	0.00E+00	2.68E+03	1.19E+03	4.79E-04
102	0.00E+00	0.00E+00	2.74E+03	1.25E+03	4.79E-04
103	0.00E+00	0.00E+00	2.76E+03	1.31E+03	4.78E-04
104	0.00E+00	0.00E+00	2.75E+03	1.36E+03	4.77E-04
105	0.00E+00	0.00E+00	2.72E+03	1.42E+03	4.76E-04
106	0.00E+00	0.00E+00	2.67E+03	1.47E+03	4.76E-04
107	0.00E+00	0.00E+00	2.62E+03	1.52E+03	4.75E-04
108	0.00E+00	0.00E+00	2.55E+03	1.56E+03	4.74E-04
109	0.00E+00	0.00E+00	2.46E+03	1.61E+03	4.74E-04
110	0.00E+00	0.00E+00	2.36E+03	1.65E+03	4.74E-04
111	0.00E+00	0.00E+00	2.22E+03	1.69E+03	4.74E-04
112	0.00E+00	0.00E+00	2.06E+03	1.74E+03	4.74E-04
113	0.00E+00	0.00E+00	1.89E+03	1.78E+03	4.73E-04
114	0.00E+00	0.00E+00	1.75E+03	1.82E+03	4.71E-04
115	0.00E+00	0.00E+00	1.67E+03	1.85E+03	4.69E-04
116	0.00E+00	0.00E+00	1.69E+03	1.89E+03	4.64E-04
117	0.00E+00	0.00E+00	1.92E+03	1.93E+03	4.58E-04
118	0.00E+00	0.00E+00	2.54E+03	1.97E+03	4.48E-04
119	0.00E+00	0.00E+00	3.82E+03	2.01E+03	4.33E-04
120	0.00E+00	0.00E+00	6.04E+03	2.05E+03	4.13E-04
121	0.00E+00	0.00E+00	9.55E+03	2.09E+03	3.87E-04
122	0.00E+00	0.00E+00	1.47E+04	2.13E+03	3.54E-04
123	0.00E+00	0.00E+00	2.17E+04	2.17E+03	3.14E-04
124	0.00E+00	0.00E+00	3.07E+04	2.21E+03	2.68E-04
125	0.00E+00	0.00E+00	4.13E+04	2.25E+03	2.18E-04
126	0.00E+00	0.00E+00	5.33E+04	2.30E+03	1.68E-04
127	0.00E+00	0.00E+00	6.57E+04	2.34E+03	1.20E-04
128	0.00E+00	0.00E+00	7.78E+04	2.39E+03	7.93E-05
129	0.00E+00	0.00E+00	8.88E+04	2.44E+03	4.74E-05
130	0.00E+00	0.00E+00	9.79E+04	2.48E+03	2.48E-05
131	0.00E+00	0.00E+00	1.05E+05	2.53E+03	1.06E-05
132	0.00E+00	0.00E+00	1.10E+05	2.58E+03	3.04E-06
133	0.00E+00	0.00E+00	1.14E+05	2.63E+03	9.19E-08
134	0.00E+00	0.00E+00	1.17E+05	2.68E+03	0.00E+00
135	0.00E+00	0.00E+00	1.18E+05	2.73E+03	1.39E-06
136	0.00E+00	0.00E+00	1.20E+05	2.78E+03	3.31E-06
137	0.00E+00	0.00E+00	1.22E+05	2.82E+03	5.18E-06
138	0.00E+00	0.00E+00	1.24E+05	2.87E+03	6.72E-06
139	0.00E+00	0.00E+00	1.27E+05	2.91E+03	7.83E-06
140	0.00E+00	0.00E+00	1.30E+05	2.94E+03	8.52E-06
141	0.00E+00	0.00E+00	1.33E+05	2.98E+03	8.89E-06
142	0.00E+00	0.00E+00	1.36E+05	3.01E+03	9.05E-06
143	0.00E+00	0.00E+00	1.38E+05	3.04E+03	9.10E-06
144	0.00E+00	0.00E+00	1.38E+05	3.07E+03	9.12E-06
145	0.00E+00	0.00E+00	1.37E+05	3.10E+03	9.12E-06
146	0.00E+00	0.00E+00	1.35E+05	3.12E+03	9.09E-06
147	0.00E+00	0.00E+00	1.31E+05	3.14E+03	9.01E-06
148	0.00E+00	0.00E+00	1.25E+05	3.16E+03	8.90E-06
149	0.00E+00	0.00E+00	1.19E+05	3.18E+03	8.78E-06
150	0.00E+00	0.00E+00	1.11E+05	3.20E+03	8.71E-06
151	0.00E+00	0.00E+00	1.04E+05	3.21E+03	8.72E-06
152	0.00E+00	0.00E+00	9.75E+04	3.23E+03	8.83E-06
153	0.00E+00	0.00E+00	9.20E+04	3.24E+03	9.04E-06
154	0.00E+00	0.00E+00	8.77E+04	3.25E+03	9.33E-06
155	0.00E+00	0.00E+00	8.48E+04	3.26E+03	9.67E-06
156	0.00E+00	0.00E+00	8.31E+04	3.27E+03	1.00E-05
157	0.00E+00	0.00E+00	8.22E+04	3.28E+03	1.03E-05
158	0.00E+00	0.00E+00	8.18E+04	3.29E+03	1.06E-05
159	0.00E+00	0.00E+00	8.16E+04	3.30E+03	1.08E-05
160	0.00E+00	0.00E+00	8.13E+04	3.30E+03	1.10E-05
161	0.00E+00	0.00E+00	8.09E+04	3.30E+03	1.12E-05
162	0.00E+00	0.00E+00	8.04E+04	3.30E+03	1.13E-05
163	0.00E+00	0.00E+00	7.98E+04	3.30E+03	1.13E-05
164	0.00E+00	0.00E+00	7.94E+04	3.29E+03	1.11E-05
165	0.00E+00	0.00E+00	7.91E+04	3.28E+03	1.05E-05
166	0.00E+00	0.00E+00	7.94E+04	3.26E+03	9.54E-06
167	0.00E+00	0.00E+00	8.02E+04	3.24E+03	8.15E-06
168	0.00E+00	0.00E+00	8.20E+04	3.22E+03	6.39E-06
169	0.00E+00	0.00E+00	8.49E+04	3.19E+03	4.36E-06
170	0.00E+00	0.00E+00	8.89E+04	3.15E+03	2.19E-06
171	3.14E+03	2.05E+01	9.39E+04	3.12E+03	0.00E+00
172	3.08E+03	5.32E+00	9.96E+04	3.08E+03	0.00E+00
173	3.04E+03	-3.80E-01	1.05E+05	3.04E+03	0.00E+00
174	2.99E+03	-3.61E+00	1.10E+05	3.00E+03	0.00E+00
175	2.95E+03	-6.17E+00	1.14E+05	2.95E+03	0.00E+00
176	2.90E+03	-6.79E+00	1.16E+05	2.91E+03	0.00E+00
177	2.86E+03	-7.50E+00	1.16E+05	2.87E+03	0.00E+00
178	2.82E+03	-7.37E+00	1.15E+05	2.83E+03	0.00E+00
179	2.78E+03	-6.31E+00	1.12E+05	2.79E+03	0.00E+00
180	2.74E+03	-5.32E+00	1.08E+05	2.75E+03	0.00E+00
181	2.70E+03	-3.78E+00	1.02E+05	2.71E+03	0.00E+00
182	2.66E+03	-2.04E+00	9.67E+04	2.67E+03	0.00E+00
183	2.63E+03	1.96E-01	9.05E+04	2.63E+03	0.00E+00
184	2.59E+03	2.41E+00	8.40E+04	2.59E+03	0.00E+00
185	2.55E+03	4.56E+00	7.75E+04	2.55E+03	0.00E+00
186	2.52E+03	6.34E+00	7.13E+04	2.51E+03	0.00E+00
187	2.48E+03	6.88E+00	6.55E+04	2.48E+03	0.00E+00
188	2.45E+03	6.57E+00	6.04E+04	2.44E+03	0.00E+00
189	2.42E+03	5.39E+00	5.58E+04	2.41E+03	0.00E+00
190	2.39E+03	3.63E+00	5.17E+04	2.38E+03	0.00E+00
191	2.35E+03	1.01E+00	4.81E+04	2.35E+03	0.00E+00
192	2.32E+03	-1.97E+00	4.48E+04	2.33E+03	0.00E+00
193	2.29E+03	-4.76E+00	4.15E+04	2.30E+03	0.00E+00
194	2.26E+03	-6.63E+00	3.82E+04	2.27E+03	0.00E+00
195	2.24E+03	-7.57E+00	3.49E+04	2.24E+03	0.00E+00
196	2.21E+03	-6.67E+00	3.16E+04	2.21E+03	0.00E+00
197	2.18E+03	-3.95E+00	2.83E+04	2.18E+03	0.00E+00
198	2.15E+03	5.15E-01	2.54E+04	2.15E+03	0.00E+00
199	2.13E+03	7.09E+00	2.30E+04	2.12E+03	0.00E+00
200	2.10E+03	1.32E+01	2.14E+04	2.09E+03	0.00E+00
201	2.06E+03	1.20E+01	2.06E+04	2.05E+03	0.00E+00
202	2.02E+03	8.95E+00	2.08E+04	2.02E+03	0.00E+00
203	1.99E+03	6.57E+00	2.18E+04	1.98E+03	0.00E+00
204	1.95E+03	3.33E+00	2.35E+04	1.94E+03	0.00E+00
205	1.90E+03	-3.46E+00	2.53E+04	1.90E+03	0.00E+00
206	1.86E+03	-6.79E+00	2.70E+04	1.87E+03	0.00E+00
207	1.82E+03	-5.91E+00	2.80E+04	1.83E+03	0.00E+00
208	1.78E+03	-4.64E+00	2.79E+04	1.79E+03	0.00E+00
209	1.74E+03	-5.31E+00	2.67E+04	1.75E+03	0.00E+00
210	1.70E+03	-7.95E+00	2.45E+04	1.71E+03	0.00E+00
211	1.66E+03	-1.00E+01	2.14E+04	1.67E+03	0.00E+00
212	1.61E+03	-1.15E+01	1.80E+04	1.63E+03	0.00E+00
213	1.57E+03	-1.28E+01	1.49E+04	1.59E+03	0.00E+00
214	1.53E+03	-9.79E+00	1.28E+04	1.54E+03	0.00E+00
215	1.50E+03	-1.59E+00	1.22E+04	1.50E+03	0.00E+00
216	1.47E+03	8.24E+00	1.32E+04	1.47E+03	0.00E+00
217	1.45E+03	1.88E+01	1.58E+04	1.43E+03	0.00E+00
218	1.41E+03	2.01E+01	1.96E+04	1.39E+03	0.00E+00
219	1.36E+03	8.55E+00	2.42E+04	1.35E+03	0.00E+00
220	1.31E+03	-1.68E+00	2.90E+04	1.32E+03	0.00E+00
221	1.28E+03	-4.49E+00	3.37E+04	1.28E+03	0.00E+00
222	1.24E+03	-3.39E+00	3.80E+04	1.25E+03	0.00E+00
223	1.21E+03	6.07E-01	4.15E+04	1.21E+03	0.00E+00
224	1.18E+03	5.58E+00	4.42E+04	1.18E+03	0.00E+00
225	1.15E+03	7.61E+00	4.61E+04	1.15E+03	0.00E+00
226	1.12E+03	5.08E+00	4.71E+04	1.12E+03	0.00E+00
227	1.09E+03	1.65E+00	4.75E+04	1.09E+03	0.00E+00
228	1.06E+03	-1.01E+00	4.76E+04	1.06E+03	0.00E+00
229	1.03E+03	-2.69E+00	4.74E+04	1.03E+03	0.00E+00
230	1.00E+03	-3.44E+00	4.74E+04	1.01E+03	0.00E+00
231	9.80E+02	-3.82E+00	4.77E+04	9.84E+02	0.00E+00
232	9.60E+02	-2.96E+00	4.84E+04	9.63E+02	0.00E+00
233	9.42E+02	-1.69E+00	4.94E+04	9.44E+02	0.00E+00
234	9.26E+02	-5.85E-01	5.04E+04	9.26E+02	0.00E+00
235	9.10E+02	-2.10E-01	5.09E+04	9.10E+02	0.00E+00
236	8.94E+02	-3.92E-01	5.05E+04	8.95E+02	0.00E+00
237	8.79E+02	-1.49E+00	4.85E+04	8.81E+02	0.00E+00
238	8.65E+02	-2.68E+00	4.46E+04	8.68E+02	0.00E+00
