     Count               Iteration-1          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00 -1.136596574174999997e-04 -1.136596574174999997e-04 -1.136596574174999997e-04 -1.136596574174999997e-04 -1.136596574174999997e-04 -1.136596574174999997e-04 
         1  0.000000000000000000e+00  1.017627111908999977e-03  1.017627111908999977e-03  1.017627111908999977e-03  1.017627111908999977e-03  1.017627111908999977e-03  1.017627111908999977e-03 
         2  0.000000000000000000e+00  3.311621314649479050e-03  3.308380986357669674e-03  3.305882534783626675e-03  3.303768940453132800e-03  3.301901914680510901e-03  3.301901896979722150e-03 
         3  0.000000000000000000e+00  6.752287830628762866e-03  6.775185594243569691e-03  6.792950758382063602e-03  6.808041296145134376e-03  6.821412558649913443e-03  6.821412685589699383e-03 
         4  0.000000000000000000e+00  1.144110022644308743e-02  1.158306028293479284e-02  1.169182393680496916e-02  1.178344111424578164e-02  1.186410846436359266e-02  1.186410922806458053e-02 
         5  0.000000000000000000e+00  1.759031093585313593e-02  1.801833644641817264e-02  1.834306979724502351e-02  1.861480644093948394e-02  1.885286742025974252e-02  1.885286966909046485e-02 
         6  0.000000000000000000e+00  2.551516430739011673e-02  2.647063792870065629e-02  2.718865516954234798e-02  2.778561913046265208e-02  2.830603087479909366e-02  2.830603578018778960e-02 
         7  0.000000000000000000e+00  3.563522228222300303e-02  3.743112389376002797e-02  3.876787286039239111e-02  3.987204590323995684e-02  4.082984671611356031e-02  4.082985572453055184e-02 
         8  0.000000000000000000e+00  4.847606418047459981e-02  5.149710382899483352e-02  5.372439212885075921e-02  5.555219628165791040e-02  5.712979437172583524e-02  5.712980917679418014e-02 
         9  0.000000000000000000e+00  6.464409217450470257e-02  6.935416284642069440e-02  7.279415874168222722e-02  7.559902043087632362e-02  7.800798966128201506e-02  7.800801221903898297e-02 
        10  0.000000000000000000e+00  8.479555173974348548e-02  9.175487727866067644e-02  9.679151782851026786e-02  1.008726943759773037e-01  1.043611136376544346e-01  1.043611462344511270e-01 
        11  0.000000000000000000e+00  1.096537461506632977e-01  1.195441473293449991e-01  1.266404657300575776e-01  1.323567191473935811e-01  1.372206991852098767e-01  1.372207445449453445e-01 
        12  0.000000000000000000e+00  1.400591562949491387e-01  1.537121046987209860e-01  1.634291493176480703e-01  1.712134850069683134e-01  1.778094605023371744e-01  1.778095219002456262e-01 
        13  0.000000000000000000e+00  1.769887173329471042e-01  1.954118416597500352e-01  2.084257895847413666e-01  2.187983609019136244e-01  2.275535722379066483e-01  2.275536535964226836e-01 
        14  0.000000000000000000e+00  2.215451678364102062e-01  2.459472668466042289e-01  2.630648476536264213e-01  2.766441737360829101e-01  2.880655048508277138e-01  2.880656108192637954e-01 
        15  0.000000000000000000e+00  2.749654097902051730e-01  3.067819174340111754e-01  3.289557265500935301e-01  3.464696119803637453e-01  3.611520490099769942e-01  3.611521850401691602e-01 
        16  0.000000000000000000e+00  3.386631586022962326e-01  3.795827088532974236e-01  4.079269453657194955e-01  4.302235806989204159e-01  4.488587347276117856e-01  4.488589071498247929e-01 
