     Count               Iteration-1          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  3.006994396292247984e+01  2.268042960332695657e+01  1.916233912347388468e+01  1.692289974992991120e+01  1.535204310051631182e+01  1.535202972867364224e+01 
         1  0.000000000000000000e+00  2.076838340561744189e+01  1.464965837725731035e+01  1.185541713755355886e+01  1.011897733841578884e+01  8.924930704005419102e+00  8.924920641293738299e+00 
         2  0.000000000000000000e+00  1.264508795999154245e+01  7.760687537990179408e+00  5.656900682754439913e+00  4.394936117564611777e+00  3.553079636146321718e+00  3.553072652784067031e+00 
         3  0.000000000000000000e+00  5.938086055132771435e+00  2.239078818838606821e+00  7.846464667309192009e-01 -3.692414808665489545e-02 -5.554766663672126015e-01 -5.554808380070426210e-01 
         4  0.000000000000000000e+00  6.714475059334290563e-01 -1.903447801960282959e+00 -2.756942838022951037e+00 -3.177307660135738843e+00 -3.405250240035002207e+00 -3.405251900872372062e+00 
         5  0.000000000000000000e+00 -3.270521944953998172e+00 -4.794366765380345896e+00 -5.101950526727250690e+00 -5.164704916579012206e+00 -5.137877262035090098e+00 -5.137876739885996358e+00 
         6  0.000000000000000000e+00 -6.072082044001490431e+00 -6.628709149056248862e+00 -6.451013788141153782e+00 -6.203241460885692504e+00 -5.959794731742476870e+00 -5.959792373362688522e+00 
         7  0.000000000000000000e+00 -7.937491976186720422e+00 -7.620104402357810613e+00 -7.022122762349226832e+00 -6.513308657685684011e+00 -6.092748109339936491e+00 -6.092744271428728098e+00 
         8  0.000000000000000000e+00 -9.057709207100288040e+00 -7.967154669847332116e+00 -7.016817480326608347e+00 -6.297653060917582479e+00 -5.739813812555894401e+00 -5.739808852213172941e+00 
         9  0.000000000000000000e+00 -9.593792824003685382e+00 -7.836595840422887704e+00 -6.603244712805008021e+00 -5.724390812742967682e+00 -5.068405273952521384e+00 -5.068399539187794289e+00 
        10  0.000000000000000000e+00 -9.675609514675670653e+00 -7.361857108428466745e+00 -5.914693200630154024e+00 -4.925568729842325411e+00 -4.208885307275977539e+00 -4.208879128097123612e+00 
        11  0.000000000000000000e+00 -9.406435643768872978e+00 -6.647611942887124314e+00 -5.054195084245293401e+00 -4.001852836720900086e+00 -3.259357475491924561e+00 -3.259351156085358525e+00 
        12  0.000000000000000000e+00 -8.869387875722622994e+00 -5.776230761593524221e+00 -4.101081579274705291e+00 -3.029210741156020958e+00 -2.292481961287649028e+00 -2.292475773509977444e+00 
        13  0.000000000000000000e+00 -8.135124691855253332e+00 -4.815558109370158490e+00 -3.118896503764972294e+00 -2.066973145824704261e+00 -1.363683870676140941e+00 -1.363678049021018523e+00 
        14  0.000000000000000000e+00 -7.266093463790639362e+00 -3.823289531702812383e+00 -2.159940834085318784e+00 -1.162544929680734640e+00 -5.160215136847909889e-01 -5.160162517381650105e-01 
        15  0.000000000000000000e+00 -6.315660503569688444e+00 -2.846287482842853933e+00 -1.264787209350288322e+00 -3.511037170114832406e-01  2.199484758032212994e-01  2.199530273114760348e-01 
        16  0.000000000000000000e+00 -5.325656082399291336e+00 -1.918355762573582979e+00 -4.602722167519459617e-01  3.462166920801337255e-01  8.278211390763772215e-01  8.278248726740002894e-01 
        17  0.000000000000000000e+00 -4.325766452575635412e+00 -1.059886381998921934e+00  2.406351323113540275e-01  9.222729458640515077e-01  1.305134825298182477e+00  1.305137675742344072e+00 
        18  0.000000000000000000e+00 -3.336918983174882669e+00 -2.815134971465340641e-01  8.349633668476599269e-01  1.379870894073746967e+00  1.659192535704733018e+00  1.659194477734217799e+00 
        19  0.000000000000000000e+00 -2.377457441097021729e+00  4.094282415746874904e-01  1.323068740434109714e+00  1.724936563596884298e+00  1.900110693824899499e+00  1.900111738824762142e+00 
        20  0.000000000000000000e+00 -1.466391329078760464e+00  1.005351795019578276e+00  1.704871420626659528e+00  1.962599712896917481e+00  2.036789943401572600e+00  2.036790135101682608e+00 
        21  0.000000000000000000e+00 -6.214266357558244636e-01  1.500072919958711282e+00  1.981303807039921594e+00  2.098499863541064769e+00  2.078120448346453486e+00  2.078119857672163562e+00 
        22  0.000000000000000000e+00  1.434320631146874803e-01  1.890908479178960988e+00  2.156226692009795443e+00  2.140586440316837979e+00  2.034706752245483585e+00  2.034705471559846046e+00 
        23  0.000000000000000000e+00  8.183188193461319315e-01  2.178854074359605875e+00  2.236467948719109700e+00  2.099082213792598850e+00  1.918793341111495465e+00  1.918791478219873170e+00 
        24  0.000000000000000000e+00  1.397598981143346464e+00  2.368466773267527969e+00  2.231614391840821554e+00  1.986243046287199832e+00  1.744024771673366558e+00  1.744022443934682087e+00 
