Count	Iteration-1	Iteration-100000	Iteration-200000	Iteration-300000	Iteration-400000	Iteration-500000	Iteration-500001
0	0.00E+00	-2.86E-03	-2.86E-03	-2.86E-03	-2.86E-03	-2.86E-03	-2.86E-03
1	0.00E+00	2.55E-02	2.55E-02	2.55E-02	2.55E-02	2.55E-02	2.55E-02
2	0.00E+00	8.47E-02	8.47E-02	8.47E-02	8.47E-02	8.47E-02	8.47E-02
3	0.00E+00	1.74E-01	1.74E-01	1.74E-01	1.74E-01	1.74E-01	1.74E-01
4	0.00E+00	2.94E-01	2.94E-01	2.94E-01	2.94E-01	2.94E-01	2.94E-01
5	0.00E+00	4.46E-01	4.47E-01	4.47E-01	4.47E-01	4.47E-01	4.47E-01
6	0.00E+00	6.35E-01	6.35E-01	6.36E-01	6.36E-01	6.36E-01	6.36E-01
7	0.00E+00	8.66E-01	8.66E-01	8.67E-01	8.67E-01	8.68E-01	8.68E-01
8	0.00E+00	1.15E+00	1.15E+00	1.15E+00	1.15E+00	1.15E+00	1.15E+00
9	0.00E+00	1.49E+00	1.49E+00	1.49E+00	1.49E+00	1.50E+00	1.50E+00
10	0.00E+00	1.90E+00	1.91E+00	1.91E+00	1.91E+00	1.91E+00	1.91E+00
11	0.00E+00	2.40E+00	2.40E+00	2.40E+00	2.41E+00	2.41E+00	2.41E+00
12	0.00E+00	2.98E+00	2.99E+00	2.99E+00	2.99E+00	3.00E+00	3.00E+00
13	0.00E+00	3.67E+00	3.67E+00	3.68E+00	3.68E+00	3.69E+00	3.69E+00
14	0.00E+00	4.46E+00	4.47E+00	4.48E+00	4.49E+00	4.49E+00	4.49E+00
15	0.00E+00	5.39E+00	5.40E+00	5.41E+00	5.42E+00	5.43E+00	5.43E+00
16	0.00E+00	6.45E+00	6.47E+00	6.48E+00	6.49E+00	6.50E+00	6.50E+00
17	0.00E+00	7.67E+00	7.69E+00	7.71E+00	7.72E+00	7.73E+00	7.73E+00
18	0.00E+00	9.06E+00	9.09E+00	9.11E+00	9.12E+00	9.14E+00	9.14E+00
19	0.00E+00	1.06E+01	1.07E+01	1.07E+01	1.07E+01	1.07E+01	1.07E+01
20	0.00E+00	1.24E+01	1.25E+01	1.25E+01	1.25E+01	1.26E+01	1.26E+01
21	0.00E+00	1.45E+01	1.45E+01	1.46E+01	1.46E+01	1.46E+01	1.46E+01
22	0.00E+00	1.67E+01	1.68E+01	1.68E+01	1.69E+01	1.69E+01	1.69E+01
23	0.00E+00	1.93E+01	1.93E+01	1.94E+01	1.94E+01	1.95E+01	1.95E+01
24	0.00E+00	2.21E+01	2.21E+01	2.22E+01	2.22E+01	2.23E+01	2.23E+01
25	0.00E+00	2.51E+01	2.52E+01	2.53E+01	2.54E+01	2.54E+01	2.54E+01
26	0.00E+00	2.86E+01	2.87E+01	2.88E+01	2.88E+01	2.89E+01	2.89E+01
27	0.00E+00	3.23E+01	3.25E+01	3.26E+01	3.26E+01	3.27E+01	3.27E+01
28	0.00E+00	3.65E+01	3.66E+01	3.67E+01	3.68E+01	3.69E+01	3.69E+01
29	0.00E+00	4.10E+01	4.12E+01	4.14E+01	4.15E+01	4.15E+01	4.15E+01
30	0.00E+00	4.61E+01	4.63E+01	4.65E+01	4.66E+01	4.67E+01	4.67E+01
31	0.00E+00	5.16E+01	5.19E+01	5.21E+01	5.22E+01	5.23E+01	5.23E+01
32	0.00E+00	5.78E+01	5.81E+01	5.83E+01	5.85E+01	5.86E+01	5.86E+01
33	0.00E+00	6.46E+01	6.50E+01	6.52E+01	6.54E+01	6.55E+01	6.55E+01
34	0.00E+00	7.22E+01	7.26E+01	7.28E+01	7.30E+01	7.32E+01	7.32E+01
35	0.00E+00	8.05E+01	8.10E+01	8.13E+01	8.15E+01	8.17E+01	8.17E+01
36	0.00E+00	8.98E+01	9.03E+01	9.07E+01	9.09E+01	9.11E+01	9.11E+01
37	0.00E+00	9.99E+01	1.01E+02	1.01E+02	1.01E+02	1.02E+02	1.02E+02
38	0.00E+00	1.11E+02	1.12E+02	1.12E+02	1.13E+02	1.13E+02	1.13E+02
39	0.00E+00	1.23E+02	1.24E+02	1.25E+02	1.25E+02	1.25E+02	1.25E+02
40	0.00E+00	1.36E+02	1.37E+02	1.38E+02	1.38E+02	1.39E+02	1.39E+02
41	0.00E+00	1.51E+02	1.52E+02	1.52E+02	1.53E+02	1.53E+02	1.53E+02
42	0.00E+00	1.66E+02	1.67E+02	1.68E+02	1.69E+02	1.69E+02	1.69E+02
43	0.00E+00	1.83E+02	1.84E+02	1.85E+02	1.85E+02	1.86E+02	1.86E+02
44	0.00E+00	2.00E+02	2.02E+02	2.02E+02	2.03E+02	2.04E+02	2.04E+02
45	0.00E+00	2.19E+02	2.20E+02	2.21E+02	2.22E+02	2.23E+02	2.23E+02
46	0.00E+00	2.39E+02	2.40E+02	2.42E+02	2.42E+02	2.43E+02	2.43E+02
47	0.00E+00	2.59E+02	2.61E+02	2.63E+02	2.64E+02	2.65E+02	2.65E+02
48	0.00E+00	2.81E+02	2.84E+02	2.85E+02	2.86E+02	2.87E+02	2.87E+02
49	0.00E+00	3.04E+02	3.07E+02	3.09E+02	3.10E+02	3.11E+02	3.11E+02
50	0.00E+00	3.28E+02	3.31E+02	3.33E+02	3.34E+02	3.36E+02	3.36E+02
51	0.00E+00	3.54E+02	3.57E+02	3.59E+02	3.60E+02	3.61E+02	3.61E+02
52	0.00E+00	3.80E+02	3.83E+02	3.85E+02	3.87E+02	3.88E+02	3.88E+02
53	0.00E+00	4.07E+02	4.11E+02	4.13E+02	4.15E+02	4.16E+02	4.16E+02
54	0.00E+00	4.35E+02	4.39E+02	4.42E+02	4.44E+02	4.45E+02	4.45E+02
55	0.00E+00	4.64E+02	4.69E+02	4.72E+02	4.74E+02	4.76E+02	4.76E+02
56	0.00E+00	4.94E+02	4.99E+02	5.02E+02	5.05E+02	5.07E+02	5.07E+02
57	0.00E+00	5.25E+02	5.30E+02	5.34E+02	5.37E+02	5.39E+02	5.39E+02
58	0.00E+00	5.57E+02	5.63E+02	5.67E+02	5.70E+02	5.72E+02	5.72E+02
59	0.00E+00	5.89E+02	5.96E+02	6.00E+02	6.03E+02	6.06E+02	6.06E+02
60	0.00E+00	6.23E+02	6.30E+02	6.35E+02	6.38E+02	6.41E+02	6.41E+02
61	0.00E+00	6.57E+02	6.65E+02	6.70E+02	6.74E+02	6.77E+02	6.77E+02
62	0.00E+00	6.93E+02	7.01E+02	7.06E+02	7.10E+02	7.13E+02	7.13E+02
63	0.00E+00	7.29E+02	7.38E+02	7.43E+02	7.48E+02	7.51E+02	7.51E+02
64	0.00E+00	7.65E+02	7.75E+02	7.81E+02	7.86E+02	7.89E+02	7.89E+02
65	0.00E+00	8.03E+02	8.13E+02	8.20E+02	8.25E+02	8.29E+02	8.29E+02
66	0.00E+00	8.41E+02	8.52E+02	8.59E+02	8.65E+02	8.69E+02	8.69E+02
67	0.00E+00	8.80E+02	8.92E+02	9.00E+02	9.05E+02	9.10E+02	9.10E+02
68	0.00E+00	9.20E+02	9.33E+02	9.41E+02	9.47E+02	9.51E+02	9.51E+02
69	0.00E+00	9.60E+02	9.74E+02	9.82E+02	9.89E+02	9.94E+02	9.94E+02
70	0.00E+00	1.00E+03	1.02E+03	1.02E+03	1.03E+03	1.04E+03	1.04E+03
71	0.00E+00	1.04E+03	1.06E+03	1.07E+03	1.08E+03	1.08E+03	1.08E+03
72	0.00E+00	1.09E+03	1.10E+03	1.11E+03	1.12E+03	1.13E+03	1.13E+03
73	0.00E+00	1.13E+03	1.15E+03	1.16E+03	1.16E+03	1.17E+03	1.17E+03
74	0.00E+00	1.17E+03	1.19E+03	1.20E+03	1.21E+03	1.22E+03	1.22E+03
75	0.00E+00	1.22E+03	1.24E+03	1.25E+03	1.26E+03	1.26E+03	1.26E+03
76	0.00E+00	1.26E+03	1.28E+03	1.29E+03	1.30E+03	1.31E+03	1.31E+03
77	0.00E+00	1.31E+03	1.33E+03	1.34E+03	1.35E+03	1.36E+03	1.36E+03
78	0.00E+00	1.35E+03	1.37E+03	1.39E+03	1.40E+03	1.41E+03	1.41E+03
79	0.00E+00	1.40E+03	1.42E+03	1.44E+03	1.45E+03	1.45E+03	1.45E+03
80	0.00E+00	1.44E+03	1.47E+03	1.48E+03	1.50E+03	1.50E+03	1.50E+03
81	0.00E+00	1.49E+03	1.52E+03	1.53E+03	1.54E+03	1.55E+03	1.55E+03
82	0.00E+00	1.54E+03	1.56E+03	1.58E+03	1.59E+03	1.60E+03	1.60E+03
83	0.00E+00	1.58E+03	1.61E+03	1.63E+03	1.64E+03	1.65E+03	1.65E+03
84	0.00E+00	1.63E+03	1.66E+03	1.68E+03	1.69E+03	1.70E+03	1.70E+03
85	0.00E+00	1.68E+03	1.71E+03	1.73E+03	1.74E+03	1.75E+03	1.75E+03
86	0.00E+00	1.73E+03	1.76E+03	1.78E+03	1.79E+03	1.80E+03	1.80E+03
87	0.00E+00	1.77E+03	1.81E+03	1.83E+03	1.84E+03	1.85E+03	1.85E+03
88	0.00E+00	1.82E+03	1.86E+03	1.88E+03	1.89E+03	1.90E+03	1.90E+03
89	0.00E+00	1.87E+03	1.90E+03	1.92E+03	1.94E+03	1.95E+03	1.95E+03
90	0.00E+00	1.92E+03	1.95E+03	1.97E+03	1.99E+03	2.00E+03	2.00E+03
91	0.00E+00	1.96E+03	2.00E+03	2.02E+03	2.04E+03	2.05E+03	2.05E+03
92	0.00E+00	2.01E+03	2.05E+03	2.07E+03	2.08E+03	2.10E+03	2.10E+03
93	0.00E+00	2.06E+03	2.09E+03	2.12E+03	2.13E+03	2.14E+03	2.14E+03
94	0.00E+00	2.10E+03	2.14E+03	2.16E+03	2.18E+03	2.19E+03	2.19E+03
95	0.00E+00	2.15E+03	2.19E+03	2.21E+03	2.22E+03	2.24E+03	2.24E+03
96	0.00E+00	2.19E+03	2.23E+03	2.25E+03	2.27E+03	2.28E+03	2.28E+03
97	0.00E+00	2.24E+03	2.28E+03	2.30E+03	2.32E+03	2.33E+03	2.33E+03
98	0.00E+00	2.28E+03	2.32E+03	2.34E+03	2.36E+03	2.37E+03	2.37E+03
99	0.00E+00	2.33E+03	2.36E+03	2.39E+03	2.40E+03	2.42E+03	2.42E+03
100	0.00E+00	2.37E+03	2.41E+03	2.43E+03	2.45E+03	2.46E+03	2.46E+03
101	0.00E+00	2.41E+03	2.45E+03	2.47E+03	2.49E+03	2.50E+03	2.50E+03
102	0.00E+00	2.45E+03	2.49E+03	2.51E+03	2.53E+03	2.54E+03	2.54E+03
103	0.00E+00	2.49E+03	2.53E+03	2.55E+03	2.57E+03	2.58E+03	2.58E+03
104	0.00E+00	2.53E+03	2.57E+03	2.59E+03	2.61E+03	2.62E+03	2.62E+03
105	0.00E+00	2.57E+03	2.61E+03	2.63E+03	2.65E+03	2.66E+03	2.66E+03
106	0.00E+00	2.61E+03	2.65E+03	2.67E+03	2.69E+03	2.70E+03	2.70E+03
107	0.00E+00	2.65E+03	2.69E+03	2.71E+03	2.72E+03	2.74E+03	2.74E+03
108	0.00E+00	2.69E+03	2.72E+03	2.75E+03	2.76E+03	2.77E+03	2.77E+03
109	0.00E+00	2.72E+03	2.76E+03	2.78E+03	2.80E+03	2.81E+03	2.81E+03
110	0.00E+00	2.76E+03	2.79E+03	2.82E+03	2.83E+03	2.84E+03	2.84E+03
111	0.00E+00	2.79E+03	2.83E+03	2.85E+03	2.86E+03	2.88E+03	2.88E+03
112	0.00E+00	2.83E+03	2.86E+03	2.88E+03	2.90E+03	2.91E+03	2.91E+03
113	0.00E+00	2.86E+03	2.89E+03	2.91E+03	2.93E+03	2.94E+03	2.94E+03
