Count	Iteration-1	Iteration-2	Iteration-100000	Iteration-200000	Iteration-300000	Iteration-400000	Iteration-500000	Iteration-500001		
0	4.13E-02	4.13E-02	4.13E-02	4.13E-02	4.13E-02	4.13E-02	4.13E-02	4.13E-02		0.977409995
1	1.26E-01	1.26E-01	1.26E-01	1.26E-01	1.27E-01	1.27E-01	1.27E-01	1.27E-01		
2	2.54E-01	2.54E-01	2.54E-01	2.54E-01	2.54E-01	2.54E-01	2.54E-01	2.54E-01		
3	4.22E-01	4.22E-01	4.22E-01	4.22E-01	4.22E-01	4.22E-01	4.23E-01	4.23E-01		
4	6.33E-01	6.33E-01	6.33E-01	6.34E-01	6.34E-01	6.34E-01	6.34E-01	6.34E-01		
5	8.91E-01	8.91E-01	8.92E-01	8.93E-01	8.93E-01	8.94E-01	8.94E-01	8.94E-01		
6	1.20E+00	1.20E+00	1.21E+00	1.21E+00	1.21E+00	1.21E+00	1.21E+00	1.21E+00		
7	1.58E+00	1.58E+00	1.59E+00	1.59E+00	1.59E+00	1.59E+00	1.59E+00	1.59E+00		
8	2.04E+00	2.04E+00	2.05E+00	2.05E+00	2.05E+00	2.05E+00	2.06E+00	2.06E+00		
9	2.59E+00	2.59E+00	2.60E+00	2.60E+00	2.61E+00	2.61E+00	2.61E+00	2.61E+00		
10	3.24E+00	3.24E+00	3.26E+00	3.26E+00	3.26E+00	3.27E+00	3.27E+00	3.27E+00		
11	4.01E+00	4.01E+00	4.03E+00	4.03E+00	4.04E+00	4.04E+00	4.05E+00	4.05E+00		
12	4.91E+00	4.91E+00	4.93E+00	4.94E+00	4.94E+00	4.95E+00	4.95E+00	4.95E+00		
13	5.95E+00	5.95E+00	5.97E+00	5.99E+00	5.99E+00	6.00E+00	6.01E+00	6.01E+00		
14	7.15E+00	7.15E+00	7.18E+00	7.19E+00	7.21E+00	7.21E+00	7.22E+00	7.22E+00		
15	8.52E+00	8.52E+00	8.56E+00	8.58E+00	8.59E+00	8.60E+00	8.61E+00	8.61E+00		
16	1.01E+01	1.01E+01	1.01E+01	1.02E+01	1.02E+01	1.02E+01	1.02E+01	1.02E+01		
17	1.19E+01	1.19E+01	1.19E+01	1.20E+01	1.20E+01	1.20E+01	1.20E+01	1.20E+01		
18	1.39E+01	1.39E+01	1.40E+01	1.40E+01	1.40E+01	1.40E+01	1.41E+01	1.41E+01		
19	1.62E+01	1.62E+01	1.63E+01	1.63E+01	1.63E+01	1.64E+01	1.64E+01	1.64E+01		
20	1.87E+01	1.87E+01	1.88E+01	1.89E+01	1.89E+01	1.90E+01	1.90E+01	1.90E+01		
21	2.15E+01	2.15E+01	2.17E+01	2.18E+01	2.18E+01	2.18E+01	2.19E+01	2.19E+01		
22	2.47E+01	2.47E+01	2.49E+01	2.50E+01	2.50E+01	2.51E+01	2.51E+01	2.51E+01		
23	2.82E+01	2.82E+01	2.84E+01	2.85E+01	2.86E+01	2.86E+01	2.86E+01	2.86E+01		
24	3.20E+01	3.20E+01	3.23E+01	3.24E+01	3.24E+01	3.25E+01	3.26E+01	3.26E+01		
25	3.62E+01	3.62E+01	3.65E+01	3.66E+01	3.67E+01	3.68E+01	3.69E+01	3.69E+01		
26	4.08E+01	4.08E+01	4.12E+01	4.13E+01	4.14E+01	4.15E+01	4.16E+01	4.16E+01		
27	4.59E+01	4.59E+01	4.63E+01	4.65E+01	4.66E+01	4.67E+01	4.68E+01	4.68E+01		
28	5.14E+01	5.14E+01	5.19E+01	5.22E+01	5.23E+01	5.24E+01	5.25E+01	5.25E+01		
29	5.76E+01	5.76E+01	5.82E+01	5.84E+01	5.86E+01	5.87E+01	5.88E+01	5.88E+01		
30	6.43E+01	6.43E+01	6.50E+01	6.53E+01	6.55E+01	6.56E+01	6.58E+01	6.58E+01		
31	7.18E+01	7.18E+01	7.26E+01	7.29E+01	7.31E+01	7.33E+01	7.34E+01	7.34E+01		
32	8.01E+01	8.01E+01	8.10E+01	8.13E+01	8.16E+01	8.18E+01	8.19E+01	8.19E+01		
33	8.92E+01	8.92E+01	9.02E+01	9.07E+01	9.10E+01	9.12E+01	9.14E+01	9.14E+01		
34	9.93E+01	9.93E+01	1.01E+02	1.01E+02	1.01E+02	1.02E+02	1.02E+02	1.02E+02		
35	1.11E+02	1.11E+02	1.12E+02	1.12E+02	1.13E+02	1.13E+02	1.13E+02	1.13E+02		
36	1.23E+02	1.23E+02	1.24E+02	1.25E+02	1.25E+02	1.26E+02	1.26E+02	1.26E+02		
37	1.36E+02	1.36E+02	1.38E+02	1.39E+02	1.39E+02	1.40E+02	1.40E+02	1.40E+02		
38	1.51E+02	1.51E+02	1.53E+02	1.54E+02	1.54E+02	1.55E+02	1.55E+02	1.55E+02		
39	1.67E+02	1.67E+02	1.69E+02	1.70E+02	1.71E+02	1.71E+02	1.71E+02	1.71E+02		
40	1.84E+02	1.84E+02	1.86E+02	1.87E+02	1.88E+02	1.89E+02	1.89E+02	1.89E+02		
41	2.02E+02	2.02E+02	2.05E+02	2.06E+02	2.07E+02	2.07E+02	2.08E+02	2.08E+02		
42	2.21E+02	2.21E+02	2.25E+02	2.26E+02	2.27E+02	2.28E+02	2.28E+02	2.28E+02		
43	2.42E+02	2.42E+02	2.46E+02	2.47E+02	2.48E+02	2.49E+02	2.50E+02	2.50E+02		
44	2.64E+02	2.64E+02	2.68E+02	2.70E+02	2.71E+02	2.72E+02	2.72E+02	2.72E+02		
45	2.87E+02	2.87E+02	2.91E+02	2.93E+02	2.94E+02	2.95E+02	2.96E+02	2.96E+02		
46	3.11E+02	3.11E+02	3.16E+02	3.18E+02	3.19E+02	3.20E+02	3.21E+02	3.21E+02		
47	3.36E+02	3.36E+02	3.42E+02	3.44E+02	3.46E+02	3.47E+02	3.48E+02	3.48E+02		
48	3.62E+02	3.62E+02	3.68E+02	3.71E+02	3.73E+02	3.74E+02	3.75E+02	3.75E+02		
49	3.89E+02	3.89E+02	3.96E+02	3.99E+02	4.01E+02	4.03E+02	4.04E+02	4.04E+02		
50	4.17E+02	4.17E+02	4.25E+02	4.28E+02	4.31E+02	4.32E+02	4.34E+02	4.34E+02		
51	4.46E+02	4.46E+02	4.55E+02	4.59E+02	4.61E+02	4.63E+02	4.64E+02	4.64E+02		
52	4.76E+02	4.76E+02	4.86E+02	4.90E+02	4.93E+02	4.95E+02	4.96E+02	4.96E+02		
53	5.07E+02	5.07E+02	5.18E+02	5.22E+02	5.25E+02	5.27E+02	5.29E+02	5.29E+02		
54	5.38E+02	5.38E+02	5.51E+02	5.55E+02	5.58E+02	5.61E+02	5.63E+02	5.63E+02		
55	5.71E+02	5.71E+02	5.84E+02	5.89E+02	5.93E+02	5.95E+02	5.97E+02	5.97E+02		
56	6.04E+02	6.04E+02	6.19E+02	6.24E+02	6.28E+02	6.31E+02	6.33E+02	6.33E+02		
57	6.38E+02	6.38E+02	6.54E+02	6.60E+02	6.64E+02	6.67E+02	6.70E+02	6.70E+02		
