Use the previous files? [y/n]
Invalid file paths.
Couldn't open a log file.
Read the target shape (415 items) in
 /Volumes/2018AD_Mac/UTokyoGoogleDrive/01MimuraLab/02SourceCodes/04Fabrication/01_20181210MagnetronDeconvolution/files/input/20201123SputerVFMProfileonFlatSurface/20201102VFMFirstTrialfromDS_2.4mm_filtered.txt
Read the unit sputter yield (169 items) in
 /Volumes/2018AD_Mac/UTokyoGoogleDrive/01MimuraLab/02SourceCodes/04Fabrication/01_20181210MagnetronDeconvolution/files/input/20201123SputerVFMProfileonFlatSurface/20201123SputterYield_filtered.txt

                                       
    Iterative Deconvolution Started   
***************************************

The number of entries
  # Target   :     415
  # Unit     :     169
  # 1/2 Unit :      84
  # All      :     753
The number of threads
  # Total    :       4
  # Thread   :       3
  # Thread   :       2
  # Thread   :       1
  # Thread   :       0
Computation time for initialization:    0.0023

Have memorized arrays 1 times
Have memorized arrays 2 times
loop:      2000, alpha:   10.5000, rms:    9.6230
loop:      4000, alpha:   10.5000, rms:    8.4367
loop:      6000, alpha:   10.5000, rms:    7.6096
loop:      8000, alpha:   10.5000, rms:    6.9816
loop:     10000, alpha:   10.5000, rms:    6.4894
loop:     12000, alpha:   10.5000, rms:    6.0938
loop:     14000, alpha:   10.5000, rms:    5.7678
loop:     16000, alpha:   10.5000, rms:    5.4924
loop:     18000, alpha:   10.5000, rms:    5.2547
loop:     20000, alpha:   10.5000, rms:    5.0458
loop:     22000, alpha:   10.5000, rms:    4.8594
loop:     24000, alpha:   10.5000, rms:    4.6911
loop:     26000, alpha:   10.5000, rms:    4.5378
loop:     28000, alpha:   10.5000, rms:    4.3972
loop:     30000, alpha:   10.5000, rms:    4.2674
loop:     32000, alpha:   10.5000, rms:    4.1472
loop:     34000, alpha:   10.5000, rms:    4.0353
loop:     36000, alpha:   10.5000, rms:    3.9310
loop:     38000, alpha:   10.5000, rms:    3.8334
loop:     40000, alpha:   10.5000, rms:    3.7420
loop:     42000, alpha:   10.5000, rms:    3.6562
loop:     44000, alpha:   10.5000, rms:    3.5755
loop:     46000, alpha:   10.5000, rms:    3.4996
loop:     48000, alpha:   10.5000, rms:    3.4279
loop:     50000, alpha:   10.5000, rms:    3.3603
loop:     52000, alpha:   10.5000, rms:    3.2964
loop:     54000, alpha:   10.5000, rms:    3.2359
loop:     56000, alpha:   10.5000, rms:    3.1786
loop:     58000, alpha:   10.5000, rms:    3.1243
loop:     60000, alpha:   10.5000, rms:    3.0727
loop:     62000, alpha:   10.5000, rms:    3.0237
loop:     64000, alpha:   10.5000, rms:    2.9771
loop:     66000, alpha:   10.5000, rms:    2.9326
loop:     68000, alpha:   10.5000, rms:    2.8903
loop:     70000, alpha:   10.5000, rms:    2.8499
loop:     72000, alpha:   10.5000, rms:    2.8113
loop:     74000, alpha:   10.5000, rms:    2.7743
loop:     76000, alpha:   10.5000, rms:    2.7390
loop:     78000, alpha:   10.5000, rms:    2.7051
loop:     80000, alpha:   10.5000, rms:    2.6726
loop:     82000, alpha:   10.5000, rms:    2.6415
loop:     84000, alpha:   10.5000, rms:    2.6115
loop:     86000, alpha:   10.5000, rms:    2.5826
loop:     88000, alpha:   10.5000, rms:    2.5549
loop:     90000, alpha:   10.5000, rms:    2.5281
loop:     92000, alpha:   10.5000, rms:    2.5023
loop:     94000, alpha:   10.5000, rms:    2.4774
loop:     96000, alpha:   10.5000, rms:    2.4533
loop:     98000, alpha:   10.5000, rms:    2.4299
Have memorized arrays 3 times
loop:    100000, alpha:   10.5000, rms:    2.4074
loop:    102000, alpha:   10.5000, rms:    2.3855
loop:    104000, alpha:   10.5000, rms:    2.3643
loop:    106000, alpha:   10.5000, rms:    2.3437
loop:    108000, alpha:   10.5000, rms:    2.3238
loop:    110000, alpha:   10.5000, rms:    2.3043
loop:    112000, alpha:   10.5000, rms:    2.2854
loop:    114000, alpha:   10.5000, rms:    2.2671
loop:    116000, alpha:   10.5000, rms:    2.2491
loop:    118000, alpha:   10.5000, rms:    2.2317
loop:    120000, alpha:   10.5000, rms:    2.2147
loop:    122000, alpha:   10.5000, rms:    2.1981
loop:    124000, alpha:   10.5000, rms:    2.1818
loop:    126000, alpha:   10.5000, rms:    2.1660
loop:    128000, alpha:   10.5000, rms:    2.1505
loop:    130000, alpha:   10.5000, rms:    2.1353
loop:    132000, alpha:   10.5000, rms:    2.1205
loop:    134000, alpha:   10.5000, rms:    2.1060
loop:    136000, alpha:   10.5000, rms:    2.0918
loop:    138000, alpha:   10.5000, rms:    2.0779
loop:    140000, alpha:   10.5000, rms:    2.0642
loop:    142000, alpha:   10.5000, rms:    2.0509
loop:    144000, alpha:   10.5000, rms:    2.0377
loop:    146000, alpha:   10.5000, rms:    2.0248
loop:    148000, alpha:   10.5000, rms:    2.0122
loop:    150000, alpha:   10.5000, rms:    1.9998
loop:    152000, alpha:   10.5000, rms:    1.9876
loop:    154000, alpha:   10.5000, rms:    1.9756
loop:    156000, alpha:   10.5000, rms:    1.9638
loop:    158000, alpha:   10.5000, rms:    1.9522
loop:    160000, alpha:   10.5000, rms:    1.9408
loop:    162000, alpha:   10.5000, rms:    1.9296
loop:    164000, alpha:   10.5000, rms:    1.9186
loop:    166000, alpha:   10.5000, rms:    1.9077
loop:    168000, alpha:   10.5000, rms:    1.8970
loop:    170000, alpha:   10.5000, rms:    1.8865
loop:    172000, alpha:   10.5000, rms:    1.8761
loop:    174000, alpha:   10.5000, rms:    1.8659
loop:    176000, alpha:   10.5000, rms:    1.8559
loop:    178000, alpha:   10.5000, rms:    1.8459
loop:    180000, alpha:   10.5000, rms:    1.8362
loop:    182000, alpha:   10.5000, rms:    1.8266
loop:    184000, alpha:   10.5000, rms:    1.8171
loop:    186000, alpha:   10.5000, rms:    1.8077
loop:    188000, alpha:   10.5000, rms:    1.7985
loop:    190000, alpha:   10.5000, rms:    1.7894
loop:    192000, alpha:   10.5000, rms:    1.7804
loop:    194000, alpha:   10.5000, rms:    1.7715
loop:    196000, alpha:   10.5000, rms:    1.7628
loop:    198000, alpha:   10.5000, rms:    1.7542
Have memorized arrays 4 times
loop:    200000, alpha:   10.5000, rms:    1.7457
loop:    202000, alpha:   10.5000, rms:    1.7373
loop:    204000, alpha:   10.5000, rms:    1.7290
loop:    206000, alpha:   10.5000, rms:    1.7208
loop:    208000, alpha:   10.5000, rms:    1.7127
loop:    210000, alpha:   10.5000, rms:    1.7048
loop:    212000, alpha:   10.5000, rms:    1.6969
loop:    214000, alpha:   10.5000, rms:    1.6891
