     Count               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00 -2.696963228245977007e+01  6.447587317663419526e+00  5.612780975746773038e+00  5.059168263202991511e+00  4.551280185858104232e+00  4.366178463634696527e+00  4.366177771949423914e+00 
         1  0.000000000000000000e+00 -3.005583851473102186e+01  3.462780158778059558e+00  2.899861764316483459e+00  2.544389757266344532e+00  2.194313389836679562e+00  2.076011436149656220e+00  2.076011175788153196e+00 
         2  0.000000000000000000e+00 -3.266447822555483071e+01  8.926314923469362839e-01  5.687253316691567306e-01  3.828140844361769268e-01  1.702046986174536869e-01  1.067762521529402875e-01  1.067763097535134875e-01 
         3  0.000000000000000000e+00 -3.454257973274479809e+01 -1.009019678122513142e+00 -1.128467477766207594e+00 -1.173806913946918939e+00 -1.269837461681618151e+00 -1.290053519997854892e+00 -1.290053251497283782e+00 
         4  0.000000000000000000e+00 -3.564457749381153917e+01 -2.193982211236743751e+00 -2.144288371950096916e+00 -2.077686423716386344e+00 -2.077978370829441701e+00 -2.065983913877516898e+00 -2.065983531419988140e+00 
         5  0.000000000000000000e+00 -3.605865555484069773e+01 -2.746053737630973046e+00 -2.562321637066361291e+00 -2.411258441483369097e+00 -2.335989793185945018e+00 -2.301737556815623975e+00 -2.301737143550326437e+00 
         6  0.000000000000000000e+00 -3.593622446639028567e+01 -2.810610371524944640e+00 -2.526773917771606648e+00 -2.316835276485562645e+00 -2.184950409062366816e+00 -2.137014024707241333e+00 -2.137013647065032274e+00 
         7  0.000000000000000000e+00 -3.544412000633883508e+01 -2.547038284724294499e+00 -2.195012392670378176e+00 -1.949282585313540039e+00 -1.778039321199685219e+00 -1.723402502514545631e+00 -1.723402208597235585e+00 
         8  0.000000000000000000e+00 -3.473212009686722013e+01 -2.096576252227350778e+00 -1.705580856468714046e+00 -1.444239429799836216e+00 -1.248924013711985026e+00 -1.192924836336260341e+00 -1.192924655936622003e+00 
         9  0.000000000000000000e+00 -3.391718707051199999e+01 -1.566961051138150651e+00 -1.163014549136732967e+00 -9.031452453093606891e-01 -6.969542995032043109e-01 -6.433787529851997533e-01 -6.433786990996850363e-01 
