     Count               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  9.590576155519397669e-03  9.590576155519397669e-03  9.590576155519397669e-03  9.590576155519397669e-03  9.590576155519397669e-03  9.590576155519397669e-03  9.590576155519397669e-03  9.590576155519397669e-03 
         1  1.830806057914251966e-02  1.830806057914251966e-02  1.841532623691420276e-02  1.851162570454014875e-02  1.859779703867268236e-02  1.867491174056261360e-02  1.874641686120885262e-02  1.874641756510612989e-02 
         2  2.571731526421993513e-02  2.571731526421993513e-02  2.594053374230732151e-02  2.614079910611468230e-02  2.631870669364663740e-02  2.647649837668390738e-02  2.662173216042617793e-02  2.662173358881572693e-02 
         3  3.150752344194344273e-02  3.150752344194344273e-02  3.178743495338458985e-02  3.203825634055769422e-02  3.225829295675630703e-02  3.245037818861437606e-02  3.262480761103399296e-02  3.262480932342189804e-02 
         4  3.587104008679595224e-02  3.587104008679595224e-02  3.611638696083642464e-02  3.633599618521972385e-02  3.652375224705896317e-02  3.668213711425811346e-02  3.682159680502315041e-02  3.682159816801369723e-02 
         5  3.955836252835741307e-02  3.955836252835741307e-02  3.968692032153929572e-02  3.980236042569570976e-02  3.989271732301319373e-02  3.995919326332345034e-02  4.000965375480650121e-02  4.000965423618071948e-02 
         6  4.356134779524560574e-02  4.356134779524560574e-02  4.353527966314442443e-02  4.351412826474487794e-02  4.347984257118731044e-02  4.343179055915767639e-02  4.337346633684446839e-02  4.337346574326160498e-02 
         7  4.871517675030449801e-02  4.871517675030449801e-02  4.855600934048832917e-02  4.841944311959811564e-02  4.828231289047696384e-02  4.814216409184179923e-02  4.799791771531569662e-02  4.799791627460524290e-02 
         8  5.551626618040211847e-02  5.551626618040211847e-02  5.529370739653564903e-02  5.510587683928244718e-02  5.492622553203623664e-02  5.475100505457596023e-02  5.457590450738726562e-02  5.457590276470733470e-02 
         9  6.420501682061334481e-02  6.420501682061334481e-02  6.400815575880181019e-02  6.384979203904932177e-02  6.370180824633731032e-02  6.355997493929774200e-02  6.341902774848112712e-02  6.341902634596532917e-02 
        10  7.494763887341207576e-02  7.494763887341207576e-02  7.485477410368870932e-02  7.479584315506586367e-02  7.474245429194527335e-02  7.469071691159324955e-02  7.463685673934880582e-02  7.463685619860599418e-02 
        11  8.792797580294914317e-02  8.792797580294914317e-02  8.798782285946585291e-02  8.807076805630972838e-02  8.814856484307113937e-02  8.821828481844602721e-02  8.827966678959138502e-02  8.827966738645981470e-02 
        12  1.032868040708327106e-01  1.032868040708327106e-01  1.035139285722294633e-01  1.037499932481971004e-01  1.039663559693808359e-01  1.041613832817187557e-01  1.043396464621464959e-01  1.043396482099736566e-01 
        13  1.210438051592453851e-01  1.210438051592453851e-01  1.214229048768531855e-01  1.217965434842498695e-01  1.221342712828302757e-01  1.224357718124970407e-01  1.227109837896834532e-01  1.227109864886998386e-01 
        14  1.411845708510289510e-01  1.411845708510289510e-01  1.416778096603034665e-01  1.421538037022930245e-01  1.425781953379292588e-01  1.429517132602626250e-01  1.432894218647712825e-01  1.432894251722511281e-01 
