     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-300000          Iteration-500001 
         0  4.262317581608999519e-03  4.262317581608999519e-03  4.262317581608999519e-03  4.262317581608999519e-03  4.262317581608999519e-03  4.262317581608999519e-03 
         1  8.728569824237999292e-03  8.728569824237999292e-03  8.728626070485790561e-03  8.728569824237999292e-03  8.728569824237999292e-03  8.728569824237999292e-03 
         2  1.326675016211249780e-02  1.326675016211249780e-02  1.326692784973448717e-02  1.326675016211249780e-02  1.326675016211249780e-02  1.326675016211249780e-02 
         3  1.768361397856649947e-02  1.768361397856649947e-02  1.768398422620200139e-02  1.768361397856649947e-02  1.768361397856649947e-02  1.768361397856649947e-02 
         4  2.181237538231649634e-02  2.181237538231649634e-02  2.181301021000342510e-02  2.181237538231649634e-02  2.181237538231649634e-02  2.181237538231649634e-02 
         5  2.557977894582599832e-02  2.557977894582599832e-02  2.558074643491132019e-02  2.557977894582599832e-02  2.557977894582599832e-02  2.557977894582599832e-02 
         6  2.904061030901100224e-02  2.904061030901100224e-02  2.904197188495608040e-02  2.904061030901100224e-02  2.904061030901100224e-02  2.904061030901100224e-02 
         7  3.237282962817750187e-02  3.237282962817750187e-02  3.237464074329964026e-02  3.237282962817750187e-02  3.237282962817750187e-02  3.237282962817750187e-02 
         8  3.582996825623249726e-02  3.582996825623249726e-02  3.583228273797514629e-02  3.582996825623249726e-02  3.582996825623249726e-02  3.582996825623249726e-02 
         9  3.966596708706149332e-02  3.966596708706149332e-02  3.966884414722338104e-02  3.966596708706149332e-02  3.966596708706149332e-02  3.966596708706149332e-02 
        10  4.406200177775849991e-02  4.406200177775849991e-02  4.406551367795788487e-02  4.406200177775849991e-02  4.406200177775849991e-02  4.406200177775849991e-02 
        11  4.908256301137799843e-02  4.908256301137799843e-02  4.908680114016410884e-02  4.908256301137799843e-02  4.908256301137799843e-02  4.908256301137799843e-02 
        12  5.467105573933049578e-02  5.467105573933049578e-02  5.467613345834310135e-02  5.467105573933049578e-02  5.467105573933049578e-02  5.467105573933049578e-02 
        13  6.068132425994399864e-02  6.068132425994399864e-02  6.068737596249841604e-02  6.068132425994399864e-02  6.068132425994399864e-02  6.068132425994399864e-02 
        14  6.692984956759950865e-02  6.692984956759950865e-02  6.693702658000061367e-02  6.692984956759950865e-02  6.692984956759950865e-02  6.692984956759950865e-02 
        15  7.324587480027901221e-02  7.324587480027901221e-02  7.325433963645330837e-02  7.324587480027901221e-02  7.324587480027901221e-02  7.324587480027901221e-02 
        16  7.950708979307100077e-02  7.950708979307100077e-02  7.951701050868435761e-02  7.950708979307100077e-02  7.950708979307100077e-02  7.950708979307100077e-02 
        17  8.565646112925448530e-02  8.565646112925448530e-02  8.566800725727261034e-02  8.565646112925448530e-02  8.565646112925448530e-02  8.565646112925448530e-02 
        18  9.169831241363099461e-02  9.169831241363099461e-02  9.171165337358244685e-02  9.169831241363099461e-02  9.169831241363099461e-02  9.169831241363099461e-02 
        19  9.768332893306198861e-02  9.768332893306198861e-02  9.769863500663900080e-02  9.768332893306198861e-02  9.768332893306198861e-02  9.768332893306198861e-02 
        20  1.036880097337979784e-01  1.036880097337979784e-01  1.037054550870636221e-01  1.036880097337979784e-01  1.036880097337979784e-01  1.036880097337979784e-01 
        21  1.097763031564589903e-01  1.097763031564589903e-01  1.097960699812389612e-01  1.097763031564589903e-01  1.097763031564589903e-01  1.097763031564589903e-01 
        22  1.159448890730535031e-01  1.159448890730535031e-01  1.159671713264411458e-01  1.159448890730535031e-01  1.159448890730535031e-01  1.159448890730535031e-01 
        23  1.220804797925835045e-01  1.220804797925835045e-01  1.221054845695327129e-01  1.220804797925835045e-01  1.220804797925835045e-01  1.220804797925835045e-01 
        24  1.279521322941150063e-01  1.279521322941150063e-01  1.279800772605168002e-01  1.279521322941150063e-01  1.279521322941150063e-01  1.279521322941150063e-01 
        25  1.332455491712579987e-01  1.332455491712579987e-01  1.332766556051925566e-01  1.332455491712579987e-01  1.332455491712579987e-01  1.332455491712579987e-01 
        26  1.376387513454584988e-01  1.376387513454584988e-01  1.376732337519274152e-01  1.376396555682330158e-01  1.376396555680655942e-01  1.376396555678983946e-01 
        27  1.409091583174035267e-01  1.409091583174035267e-01  1.409472130220542907e-01  1.409224546360557939e-01  1.409224546369686193e-01  1.409224546378802234e-01 
        28  1.430652318185385297e-01  1.430652318185385297e-01  1.431070280694453078e-01  1.431102476787235733e-01  1.431102476822807001e-01  1.431102476858330808e-01 
        29  1.445152786378275100e-01  1.445152786378275100e-01  1.445609565434606003e-01  1.446189847826110930e-01  1.446189847906685366e-01  1.446189847987152666e-01 
        30  1.463070222848130153e-01  1.463070222848130153e-01  1.463567028757714328e-01  1.464993524533518832e-01  1.464993524675853309e-01  1.464993524817997661e-01 
        31  1.504629012506654984e-01  1.504629012506654984e-01  1.505167157152437762e-01  1.507612159370304294e-01  1.507612159581017686e-01  1.507612159791449358e-01 
        32  1.603692557390760109e-01  1.603692557390760109e-01  1.604274034044341768e-01  1.607497225539623875e-01  1.607497225805122054e-01  1.607497226070265794e-01 
        33  1.811258611318124767e-01  1.811258611318124767e-01  1.811887074262178432e-01  1.815054995834682605e-01  1.815054996103031004e-01  1.815054996371021356e-01 
        34  2.197695831097755126e-01  2.197695831097755126e-01  2.198378080865982520e-01  2.201346063594221414e-01  2.201346063851974122e-01  2.201346064109382938e-01 
        35  2.852652972750570060e-01  2.852652972750570060e-01  2.853401022426816924e-01  2.856092703459140458e-01  2.856092703702205471e-01  2.856092703944944633e-01 
        36  3.881305240271985535e-01  3.881305240271985535e-01  3.882138976979997991e-01  3.884544792157942350e-01  3.884544792387449874e-01  3.884544792616652087e-01 
        37  5.396391002479137278e-01  5.396391002479137278e-01  5.397341357644686033e-01  5.399522033649113428e-01  5.399522033871774207e-01  5.399522034094136336e-01 
        38  7.506594274370321784e-01  7.506594274370321784e-01  7.507706696438082306e-01  7.509769414510993890e-01  7.509769414737569315e-01  7.509769414963840539e-01 
        39  1.030158903330699038e+00  1.030158903330699038e+00  1.030292694872289250e+00  1.030498158659159058e+00  1.030498158683406995e+00  1.030498158707622514e+00 
        40  1.383436618367979376e+00  1.383436618367979376e+00  1.383601403495610116e+00  1.383812307236334416e+00  1.383812307263172059e+00  1.383812307289974397e+00 
        41  1.810627460479206308e+00  1.810627460479206308e+00  1.810833997845612497e+00  1.811047862617648496e+00  1.811047862647624074e+00  1.811047862677560127e+00 
        42  2.306447065140749153e+00  2.306447065140749153e+00  2.306708508011340530e+00  2.306912411679596708e+00  2.306912411712703115e+00  2.306912411745765557e+00 
        43  2.861517487612617039e+00  2.861517487612617039e+00  2.861849324100906866e+00  2.862020770944215808e+00  2.862020770979952555e+00  2.862020771015640896e+00 
        44  3.464501015451000310e+00  3.464501015451000310e+00  3.464920907690471896e+00  3.465030659835836246e+00  3.465030659873393759e+00  3.465030659910900201e+00 
        45  4.104036158411771495e+00  4.104036158411771495e+00  4.104563747595041612e+00  4.104579465160369089e+00  4.104579465198867183e+00  4.104579465237315539e+00 
        46  4.769998353149446757e+00  4.769998353149446757e+00  4.770655096237915949e+00  4.770544588232081828e+00  4.770544588270785091e+00  4.770544588309435063e+00 
        47  5.454078945752845797e+00  5.454078945752845797e+00  5.454888029081092604e+00  5.454621299087757613e+00  5.454621299126200640e+00  5.454621299164591264e+00 
        48  6.149877882907473392e+00  6.149877882907473392e+00  6.150864229960339991e+00  6.150414037055786487e+00  6.150414037093819175e+00  6.150414037131799461e+00 
        49  6.852728945984548403e+00  6.852728945984548403e+00  6.853919309959333184e+00  6.853260304458788532e+00  6.853260304496515687e+00  6.853260304534193104e+00 
        50  7.559417785135408963e+00  7.559417785135408963e+00  7.560840897148117357e+00  7.559947598904329880e+00  7.559947598941977098e+00  7.559947598979575467e+00 
        51  8.267875075804283824e+00  8.267875075804283824e+00  8.269561809757798088e+00  8.268405830516085686e+00  8.268405830553806624e+00  8.268405830591481376e+00 
        52  8.976873959051568264e+00  8.976873959051568264e+00  8.978857474600633992e+00  8.977404436610999738e+00  8.977404436648679820e+00  8.977404436686297728e+00 
        53  9.685764430686168325e+00  9.685764430686168325e+00  9.688080264516070628e+00  9.686287178529727981e+00  9.686287178566782785e+00  9.686287178603789627e+00 
        54  1.039427299096966806e+01  1.039427299096966806e+01  1.039695908083212927e+01  1.039477342183429620e+01  1.039477342186966347e+01  1.039477342190498987e+01 
        55  1.110235445891527917e+01  1.110235445891527917e+01  1.110545110018883896e+01  1.110281271534176284e+01  1.110281271537402681e+01  1.110281271540624637e+01 
        56  1.181007645469644984e+01  1.181007645469644984e+01  1.181362620056284030e+01  1.181047251212926952e+01  1.181047251215702509e+01  1.181047251218473804e+01 
        57  1.251754091446056627e+01  1.251754091446056627e+01  1.252158843533385024e+01  1.251786296108094909e+01  1.251786296110338448e+01  1.251786296112579322e+01 
        58  1.322484731563666394e+01  1.322484731563666394e+01  1.322943923148337397e+01  1.322510350227633680e+01  1.322510350229409859e+01  1.322510350231184262e+01 
        59  1.393208675224599169e+01  1.393208675224599169e+01  1.393727144482823732e+01  1.393232070270436296e+01  1.393232070272067169e+01  1.393232070273695200e+01 
        60  1.463934577127638548e+01  1.463934577127638548e+01  1.464517317534538066e+01  1.463965643468805311e+01  1.463965643471012257e+01  1.463965643473216893e+01 
        61  1.534670308144687745e+01  1.534670308144687745e+01  1.535322444867110114e+01  1.534726895670623925e+01  1.534726895674704927e+01  1.534726895678780956e+01 
        62  1.605422098605528092e+01  1.605422098605528092e+01  1.606148861754609669e+01  1.605532690493184944e+01  1.605532690501203419e+01  1.605532690509211591e+01 
        63  1.676195266897805780e+01  1.676195266897805780e+01  1.677001962600910545e+01  1.676417123258448783e+01  1.676417123271738419e+01  1.676417123285011002e+01 
        64  1.746997397421131026e+01  1.746997397421131026e+01  1.747889380522846636e+01  1.747414562019776696e+01  1.747414562046390074e+01  1.747414562072966504e+01 
        65  1.817840791827127234e+01  1.817840791827127234e+01  1.818823448387276542e+01  1.818547753756763186e+01  1.818547753805255596e+01  1.818547753853682991e+01 
        66  1.888741203853484052e+01  1.888741203853484052e+01  1.889819957167981812e+01  1.889837701654174396e+01  1.889837701733257802e+01  1.889837701812236403e+01 
        67  1.959714078018421901e+01  1.959714078018421901e+01  1.960894438154027952e+01  1.961297975823942963e+01  1.961297975941835148e+01  1.961297976059569947e+01 
        68  2.030770990697783418e+01  2.030770990697783418e+01  2.032058673859951625e+01  2.032929408043311170e+01  2.032929408206942767e+01  2.032929408370354807e+01 
        69  2.101918045478074148e+01  2.101918045478074148e+01  2.103319195010061904e+01  2.104717757906901809e+01  2.104717758121135063e+01  2.104717758335084099e+01 
        70  2.173155983082649456e+01  2.173155983082649456e+01  2.174677527398949906e+01  2.176634763947006590e+01  2.176634764214004747e+01  2.176634764480647277e+01 
        71  2.244479790450695944e+01  2.244479790450695944e+01  2.246129973494056031e+01  2.248640806005494142e+01  2.248640806324456776e+01  2.248640806642992729e+01 
        72  2.315877313093569612e+01  2.315877313093569612e+01  2.317666428740610129e+01  2.320688818163083766e+01  2.320688818530443953e+01  2.320688818897311734e+01 
        73  2.387329269150785294e+01  2.387329269150785294e+01  2.389270621459989030e+01  2.392731032856508477e+01  2.392731033266640495e+01  2.392731033676224328e+01 
        74  2.458812605254996342e+01  2.458812605254996342e+01  2.460923701214254322e+01  2.464728034645948540e+01  2.464728035092217340e+01  2.464728035537889994e+01 
        75  2.530306325583846316e+01  2.530306325583846316e+01  2.532610286554730905e+01  2.536656417847904521e+01  2.536656418323731543e+01  2.536656418798921209e+01 
        76  2.601795887026811371e+01  2.601795887026811371e+01  2.604323040976826320e+01  2.608510634900748215e+01  2.608510635400422473e+01  2.608510635899430241e+01 
        77  2.673272546438928643e+01  2.673272546438928643e+01  2.676062138059396034e+01  2.680297563331775734e+01  2.680297563850830755e+01  2.680297564369193708e+01 
