     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500001 
         0  2.593246472289618011e-03  2.593246472289618011e-03  2.593246472289618011e-03  2.593246472289618011e-03  2.593246472289618011e-03  2.593246472289618011e-03  2.593246472289618011e-03  2.593246472289618011e-03 
         1  4.660505725504096586e-03  4.660505725504096586e-03  4.660413285075225114e-03  4.351985877794230587e-03  4.351985877794230587e-03  4.351985877794230587e-03  4.351985877794230587e-03  4.351985877794230587e-03 
         2  6.135955319180378537e-03  6.135955319180378537e-03  6.135718588921210484e-03  5.535254834290792569e-03  5.535254834290792569e-03  5.535254834290792569e-03  5.535254834290792569e-03  5.535254834290792569e-03 
         3  6.998710228955563710e-03  6.998710228955563710e-03  6.998317451228356322e-03  6.140406191973467667e-03  6.140406191973467667e-03  6.140406191973467667e-03  6.140406191973467667e-03  6.140406191973467667e-03 
         4  7.369765840310083145e-03  7.369765840310083145e-03  7.369240723603502630e-03  6.302267110278612916e-03  6.302267110278612916e-03  6.302267110278612916e-03  6.302267110278612916e-03  6.302267110278612916e-03 
         5  7.510289589939693304e-03  7.510289589939693304e-03  7.509676374867864032e-03  6.309257385519292244e-03  6.279070051192499335e-03  6.279070051192499335e-03  6.279070051192499335e-03  6.279070051192499335e-03 
         6  7.719158089122869944e-03  7.719158089122869944e-03  7.718498845228309070e-03  6.550999949256080049e-03  6.389592806617079915e-03  6.347663135393323205e-03  6.347663135393323205e-03  6.347663135393323205e-03 
         7  8.219729858644298295e-03  8.219729858644298295e-03  8.219043849405242852e-03  7.164423968831046263e-03  6.954238544367965374e-03  6.882630852203057946e-03  6.882630852087309389e-03  6.882630851971513128e-03 
         8  9.117857267302813609e-03  9.117857267302813609e-03  9.117131252649700313e-03  8.150379925568449271e-03  7.934146592815358862e-03  7.858764390237350100e-03  7.858764390077977585e-03  7.858764389918539151e-03 
         9  1.043674280556296588e-02  1.043674280556296588e-02  1.043593375726988709e-02  9.443494931552484650e-03  9.225505975533608918e-03  9.144752607903414154e-03  9.144752607695171009e-03  9.144752607486844598e-03 
        10  1.217525916097368655e-02  1.217525916097368655e-02  1.217430400521685163e-02  1.098995442863684099e-02  1.074188945510732261e-02  1.063428984978298172e-02  1.063428984945573308e-02  1.063428984912834913e-02 
        11  1.433575727494486307e-02  1.433575727494486307e-02  1.433458275571062625e-02  1.277675346271811563e-02  1.244757823919225188e-02  1.227994817658607622e-02  1.227994817603839973e-02  1.227994817549049773e-02 
        12  1.690761312990139362e-02  1.690761312990139362e-02  1.690614228404598365e-02  1.480597300357066985e-02  1.433572718832704790e-02  1.416916501857442938e-02  1.416916501819116478e-02  1.416916501780774405e-02 
        13  1.984790732605735269e-02  1.984790732605735269e-02  1.984606352398455426e-02  1.706575737889098193e-02  1.652608833353545054e-02  1.641045568677239330e-02  1.641045568653524966e-02  1.641045568629800888e-02 
        14  2.310890402062729110e-02  2.310890402062729110e-02  2.310661435009892656e-02  1.954965875051737842e-02  1.906153625231947479e-02  1.898441447383014680e-02  1.898441447370281809e-02  1.898441447357543388e-02 
        15  2.669174036187776933e-02  2.669174036187776933e-02  2.668893688552792520e-02  2.232097604738624702e-02  2.195285290984665821e-02  2.189615929986052367e-02  2.189615929978561831e-02  2.189615929971068520e-02 
        16  3.065588608300190074e-02  3.065588608300190074e-02  3.065250195944090733e-02  2.553612402170984258e-02  2.523743367556460088e-02  2.517824850412647003e-02  2.517824850403709708e-02  2.517824850394768943e-02 
        17  3.506520098141107517e-02  3.506520098141107517e-02  3.506116220425654212e-02  2.923058084762852893e-02  2.893411729123914616e-02  2.884999856536320934e-02  2.884999856520200495e-02  2.884999856504073812e-02 
        18  3.993804920615846160e-02  3.993804920615846160e-02  3.993326727197669956e-02  3.337870517654323993e-02  3.301435926050668573e-02  3.288935685142425902e-02  3.288935685115629282e-02  3.288935685088822253e-02 
        19  4.525707905552767141e-02  4.525707905552767141e-02  4.525144867792897652e-02  3.791437607526829123e-02  3.742734023745078464e-02  3.725443849848671107e-02  3.725443849809971508e-02  3.725443849771255256e-02 
        20  5.100948102901203124e-02  5.100948102901203124e-02  5.100288163089142235e-02  4.278102585288237614e-02  4.214036402167192774e-02  4.191916881767863978e-02  4.191916881717429322e-02  4.191916881666972461e-02 
        21  5.721502362793132179e-02  5.721502362793132179e-02  5.720732075019177576e-02  4.796659867908986685e-02  4.716036231693021552e-02  4.689259371660858822e-02  4.689259371599287241e-02  4.689259371537689292e-02 
        22  6.393563808514651781e-02  6.393563808514651781e-02  6.392668199202657109e-02  5.351463482974089247e-02  5.253996150569197054e-02  5.222665764564428381e-02  5.222665764492263885e-02  5.222665764420071632e-02 
        23  7.126006362216555368e-02  7.126006362216555368e-02  7.124968434948861229e-02  5.950301064431795517e-02  5.836077248221950564e-02  5.800275733285660540e-02  5.800275733203456852e-02  5.800275733121218469e-02 
        24  7.926762132264660032e-02  7.926762132264660032e-02  7.925562196432722750e-02  6.600022185167329913e-02  6.469506207997045844e-02  6.429428658112032458e-02  6.429428658020415466e-02  6.429428657928759616e-02 
        25  8.800643932379717538e-02  8.800643932379717538e-02  8.799259106354594129e-02  7.304173692645915539e-02  7.158169243141868088e-02  7.114032172818463007e-02  7.114032172717742186e-02  7.114032172616979732e-02 
        26  9.749551208298933014e-02  9.749551208298933014e-02  9.747955276852499074e-02  8.063441261138028227e-02  7.902641708850377533e-02  7.854436012097296138e-02  7.854436011987013522e-02  7.854436011876685109e-02 
        27  1.077127101995516423e-01  1.077127101995516423e-01  1.076943456466841198e-01  8.874710100263982770e-02  8.699069209815420145e-02  8.646490552207564129e-02  8.646490552086746884e-02  8.646490551965879678e-02 
        28  1.185635577508658001e-01  1.185635577508658001e-01  1.185424654819944024e-01  9.728298249586196655e-02  9.536787123795387178e-02  9.479430986633118061e-02  9.479430986501050094e-02  9.479430986368928003e-02 
        29  1.298871150953066766e-01  1.298871150953066766e-01  1.298629513362851984e-01  1.060894181826562976e-01  1.040000698201157953e-01  1.033757630245139281e-01  1.033757630230790481e-01  1.033757630216435713e-01 
        30  1.415299163989822140e-01  1.415299163989822140e-01  1.415023243701829803e-01  1.150309690836668619e-01  1.127541874432394647e-01  1.120773127485880094e-01  1.120773127470378883e-01  1.120773127454871426e-01 
        31  1.534316230099778411e-01  1.534316230099778411e-01  1.534002362459147006e-01  1.240666294696579075e-01  1.215946130959239674e-01  1.208630851447505539e-01  1.208630851430794600e-01  1.208630851414076862e-01 
        32  1.656409179932938625e-01  1.656409179932938625e-01  1.656053531963449232e-01  1.332546042979952938e-01  1.305818924168577755e-01  1.297921408974009871e-01  1.297921408955969858e-01  1.297921408937921794e-01 
        33  1.782515968843117471e-01  1.782515968843117471e-01  1.782114376798173139e-01  1.426815055559509382e-01  1.398016638790344213e-01  1.389488909191470278e-01  1.389488909171935349e-01  1.389488909152392371e-01 
        34  1.913308310699295689e-01  1.913308310699295689e-01  1.912856105347315594e-01  1.523909613637607630e-01  1.492975375504871360e-01  1.483778541175987398e-01  1.483778541154807118e-01  1.483778541133617956e-01 
        35  2.049169788059051200e-01  2.049169788059051200e-01  2.048661682988864030e-01  1.623870742615530216e-01  1.590768645785022861e-01  1.580898508779554901e-01  1.580898508756668486e-01  1.580898508733772911e-01 
        36  2.190785855498456336e-01  2.190785855498456336e-01  2.190215904877242659e-01  1.726995686482389047e-01  1.691741038268044228e-01  1.681233194750709481e-01  1.681233194726181324e-01  1.681233194701643174e-01 
        37  2.339538092677216630e-01  2.339538092677216630e-01  2.338899666505164232e-01  1.834277970648200140e-01  1.796924004155026622e-01  1.785837143787496195e-01  1.785837143761495049e-01  1.785837143735483079e-01 
        38  2.497338179436197625e-01  2.497338179436197625e-01  2.496623915902806135e-01  1.947288163431109276e-01  1.907922491131739118e-01  1.896326261407727809e-01  1.896326261380501532e-01  1.896326261353264153e-01 
