     Count            Initial values               Iteration-1               Iteration-2          Iteration-100000          Iteration-200000          Iteration-300000          Iteration-400000          Iteration-500000          Iteration-500001 
         0  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00 
         1  1.431876881328000058e-04  1.431876881328000058e-04  1.431876881328000058e-04  1.431876881328000058e-04  1.431876881328000058e-04  1.431876881328000058e-04  1.431876881328000058e-04  1.431876881328000058e-04  1.431876881328000058e-04 
         2  4.307881420249999788e-04  4.307881420249999788e-04  4.307881420249999788e-04  4.307881420249999788e-04  4.307881420249999788e-04  4.307881420249999788e-04  4.307881420249999788e-04  4.307881420249999788e-04  4.307881420249999788e-04 
         3  8.629110685997999457e-04  8.629110685997999457e-04  8.629171723175331184e-04  8.629110685997999457e-04  8.643932588702659108e-04  8.678398193116863358e-04  8.721538543491999702e-04  8.769246213622767985e-04  8.769246213622767985e-04 
         4  1.436243012082799846e-03  1.436243012082799846e-03  1.436273612777468588e-03  1.436243012082799846e-03  1.439220073868623627e-03  1.446142682650463154e-03  1.454807662517622379e-03  1.464390014019116689e-03  1.464390014019116689e-03 
         5  2.142486799122799920e-03  2.142486799122799920e-03  2.142578799451938694e-03  2.142486799122799920e-03  2.146959868042108178e-03  2.157361165835129484e-03  2.170380395840628904e-03  2.184777987076163587e-03  2.184777987076163587e-03 
         6  2.966124188757400006e-03  2.966124188757400006e-03  2.966339033637896416e-03  2.966124188757400006e-03  2.972058965968061260e-03  2.985859197133037754e-03  3.003132847714067716e-03  3.022235280047321990e-03  3.022235280047321990e-03 
         7  3.882720896155799836e-03  3.882720896155799836e-03  3.883150060600931534e-03  3.882720896155799836e-03  3.890031494457777198e-03  3.907030944132204413e-03  3.928309033624725020e-03  3.951839859538164995e-03  3.951839859538164995e-03 
         8  4.861704935952000477e-03  4.861704935952000477e-03  4.862474298324412358e-03  4.861704935952000477e-03  4.870230720125400849e-03  4.890055860695842645e-03  4.914870847259452703e-03  4.942313025706814543e-03  4.942313025706814543e-03 
         9  5.873972740094999916e-03  5.873972740094999916e-03  5.875245100456345793e-03  5.873972740094999916e-03  5.883460781555569473e-03  5.905523474191025184e-03  5.933139188660267564e-03  5.963678611378618773e-03  5.963678611378618773e-03 
        10  6.899626287958400030e-03  6.899626287958400030e-03  6.901601505051722929e-03  6.899626287958400030e-03  6.909760124447062064e-03  6.933324494459197802e-03  6.962819847753332243e-03  6.995437908875017964e-03  6.995437908875017964e-03 
        11  7.932056750643198470e-03  7.932056750643198470e-03  7.934969608306103456e-03  7.932056750643198470e-03  7.942535120047522837e-03  7.966900637889023570e-03  7.997398782187364538e-03  8.031125800979135518e-03  8.031125800979135518e-03 
        12  8.977032410528398843e-03  8.977032410528398843e-03  8.981148992048149787e-03  8.977032410528398843e-03  8.987649340861837352e-03  9.012337056619842968e-03  9.043238493744306175e-03  9.077411502449173053e-03  9.077411502449173053e-03 
        13  1.004768306609779907e-02  1.004768306609779907e-02  1.005329679243056364e-02  1.004768306609779907e-02  1.005837014685648061e-02  1.008322098450606039e-02  1.011432660013474212e-02  1.014872540396279457e-02  1.014872540396279457e-02 
        14  1.115936750227799860e-02  1.115936750227799860e-02  1.116679595518256345e-02  1.115936750227799860e-02  1.117018444314877429e-02  1.119533724656764963e-02  1.122682083058859463e-02  1.126163761876820997e-02  1.126163761876820997e-02 
        15  1.232655675240220024e-02  1.232655675240220024e-02  1.233614001358546153e-02  1.232655675240220024e-02  1.233763946492760256e-02  1.236341027137182781e-02  1.239566740535655645e-02  1.243133964014661932e-02  1.243133964014661932e-02 
        16  1.356014178619979922e-02  1.356014178619979922e-02  1.357224259107659911e-02  1.356014178619979922e-02  1.357164925500959490e-02  1.359840775394930736e-02  1.363190117556173017e-02  1.366894058520818321e-02  1.366894058520818321e-02 
        17  1.486518844376659952e-02  1.486518844376659952e-02  1.488019413222133741e-02  1.486518844376659952e-02  1.487727046403584247e-02  1.490536497655704611e-02  1.494053067680758094e-02  1.497941941120313827e-02  1.497941941120313827e-02 
        18  1.623950911724139981e-02  1.623950911724139981e-02  1.625783502692431173e-02  1.623950911724139981e-02  1.625227842554387986e-02  1.628197109978184870e-02  1.631913720761522454e-02  1.636023813510284822e-02  1.636023813510284822e-02 
        19  1.767237660897439874e-02  1.767237660897439874e-02  1.769447023029576890e-02  1.767237660897439874e-02  1.768588564374948269e-02  1.771729841563533109e-02  1.775661755738382891e-02  1.780009946302554477e-02  1.780009946302554477e-02 
        20  1.914649348167499904e-02  1.914649348167499904e-02  1.917283846119938878e-02  1.916312395798588225e-02  1.922723803124124636e-02  1.931537970418440928e-02  1.941489150873114411e-02  1.952319600010640754e-02  1.952319600010640754e-02 
        21  2.064467865004620054e-02  2.064467865004620054e-02  2.067579758307309945e-02  2.080646261352367410e-02  2.105582744335970577e-02  2.133324610864855211e-02  2.162523070415097240e-02  2.193310914791336483e-02  2.193310914791336483e-02 
        22  2.215444156519540131e-02  2.215444156519540131e-02  2.219089674501162693e-02  2.267209498334996423e-02  2.329547880946021207e-02  2.394168457012951778e-02  2.460218536745779200e-02  2.528628992450705770e-02  2.528628992450705770e-02 
        23  2.366471120754060423e-02  2.366471120754060423e-02  2.370710320652981429e-02  2.480369096075129773e-02  2.601531012976248183e-02  2.722830124008585734e-02  2.844881883212163620e-02  2.969947732654720784e-02  2.969947732654720784e-02 
